,Date,Open,High,Low,Close,Volume
0,2000-01-03,21.441,21.515,20.972,21.208,17880961
1,2000-01-04,21.219,21.329,20.78,20.982,17937793
2,2000-01-05,20.685,20.943,20.409,20.574,18979134
3,2000-01-07,20.366,21.164,20.349,21.108,19529717
4,2000-01-10,21.199,21.199,20.641,20.821,13735743
5,2000-01-11,20.899,20.936,19.868,20.23,31098627
6,2000-01-12,19.908,19.961,19.618,19.961,24532073
7,2000-01-13,20.073,20.091,19.532,19.785,22456106
8,2000-01-14,19.741,20.315,19.598,20.171,32021255
9,2000-01-17,20.3,20.337,19.289,19.449,64367251
10,2000-01-18,19.483,19.483,18.448,18.573,40925984
11,2000-01-19,18.329,18.524,18.081,18.508,42094794
12,2000-01-20,18.654,19.169,18.585,18.85,23944977
13,2000-01-21,18.949,19.128,18.134,18.241,37150747
14,2000-01-24,18.417,18.772,18.223,18.417,20153233
15,2000-01-25,18.43,18.662,18.322,18.626,32272661
16,2000-01-26,18.789,19.074,18.558,19.021,46089556
17,2000-01-27,19.147,19.164,18.738,18.987,101996953
18,2000-01-28,19.004,19.004,18.246,18.333,26668260
19,2000-01-31,18.622,18.837,18.336,18.569,100552174
20,2000-02-01,20.849,20.849,18.503,18.807,23566659
21,2000-02-02,18.966,18.984,18.536,18.805,21604268
22,2000-02-03,18.91,19.323,18.695,19.107,23036784
23,2000-02-04,19.094,19.254,18.829,19.042,28125554
24,2000-02-07,19.287,19.661,19.163,19.661,25227812
25,2000-02-08,19.643,20.05,19.377,19.926,24760888
26,2000-02-09,20.209,20.209,19.405,19.691,22076287
27,2000-02-10,19.466,19.625,18.967,19.234,18493251
28,2000-02-11,19.194,19.211,18.005,18.147,35187207
29,2000-02-14,18.763,19.681,18.093,18.94,54175384
30,2000-02-15,19.228,19.882,19.052,19.28,43166199
31,2000-02-16,19.68,20.244,19.363,20.192,68155409
32,2000-02-17,19.992,20.449,19.956,20.133,33992254
33,2000-02-18,20.154,20.225,19.626,19.626,37080673
34,2000-02-21,19.473,20.071,19.368,19.93,18066206
35,2000-02-22,20.185,20.47,19.721,19.935,23475943
36,2000-02-23,20.056,20.341,19.701,20.341,19019996
37,2000-02-24,20.04,20.217,19.598,19.687,22411191
38,2000-02-25,19.624,19.994,19.484,19.695,20116706
39,2000-02-28,19.69,19.796,19.392,19.532,19303544
40,2000-02-29,19.505,19.941,19.418,19.575,15178379
41,2000-03-01,19.536,19.571,19.224,19.414,18507481
42,2000-03-02,19.501,19.76,19.449,19.692,28588279
43,2000-03-03,19.796,19.968,19.348,19.416,33986855
44,2000-03-06,19.692,19.692,19.297,19.297,25011063
45,2000-03-07,19.309,19.533,19.138,19.206,20320501
46,2000-03-08,19.265,19.68,19.249,19.507,18612976
47,2000-03-09,19.392,19.736,19.289,19.512,29960989
48,2000-03-10,19.73,19.815,19.42,19.815,121243872
49,2000-03-14,19.816,19.885,19.491,19.885,47531022
50,2000-03-15,19.763,20.332,19.711,20.194,67595599
51,2000-03-16,20.34,20.547,20.253,20.494,33384419
52,2000-03-17,20.669,21.183,20.514,20.943,49615967
53,2000-03-20,20.79,21.115,20.79,20.877,40582326
54,2000-03-21,20.623,20.809,20.078,20.503,22278134
55,2000-03-22,20.357,20.628,19.969,20.154,26193263
56,2000-03-23,20.347,20.566,19.903,19.954,21132537
57,2000-03-24,19.967,20.427,19.848,20.257,11217234
58,2000-03-27,19.948,20.151,19.744,19.965,12786614
59,2000-03-28,19.902,20.463,19.869,20.345,15869889
60,2000-03-29,20.064,20.284,19.894,20.064,10266493
61,2000-03-30,20.216,20.353,19.975,20.131,17147091
62,2000-03-31,19.86,20.014,19.809,19.809,52207715
63,2000-04-03,19.997,20.239,19.823,20.03,15847549
64,2000-04-04,20.295,20.854,20.279,20.435,42671045
65,2000-04-05,20.637,20.83,20.039,20.25,25930479
66,2000-04-06,19.978,19.978,19.354,19.372,43563023
67,2000-04-07,19.531,19.755,19.409,19.703,22372726
68,2000-04-10,19.785,20.095,19.542,20.079,17447077
69,2000-04-11,19.846,20.176,19.846,19.864,18128021
70,2000-04-12,20.034,20.155,19.673,19.897,15856930
