,Date,Open,High,Low,Close,Volume
0,2010-12-23,0.232,0.278,0.232,0.277,2373250
1,2010-12-27,0.332,0.398,0.319,0.37,1741990
2,2010-12-28,0.37,0.37,0.308,0.31,346680
3,2010-12-29,0.34,0.35,0.272,0.3,277210
4,2010-12-30,0.295,0.331,0.26,0.32,1990800
5,2010-12-31,0.349,0.399,0.315,0.399,1507550
6,2011-01-03,0.411,0.44,0.335,0.35,1833610
7,2011-01-04,0.349,0.364,0.307,0.329,577990
8,2011-01-05,0.345,0.345,0.308,0.318,369870
9,2011-01-07,0.31,0.31,0.308,0.308,79180
10,2011-01-10,0.31,0.317,0.309,0.312,80340
11,2011-01-11,0.309,0.359,0.309,0.358,255650
12,2011-01-12,0.35,0.393,0.35,0.374,432010
13,2011-01-13,0.374,0.38,0.336,0.369,160220
14,2011-01-14,0.373,0.38,0.36,0.372,208960
15,2011-01-17,0.375,0.375,0.34,0.35,88220
16,2011-01-18,0.34,0.355,0.34,0.355,40010
17,2011-01-19,0.36,0.39,0.34,0.353,155350
18,2011-01-20,0.359,0.359,0.341,0.341,34440
19,2011-01-21,0.347,0.37,0.34,0.369,59490
20,2011-01-24,0.379,0.385,0.367,0.385,270150
21,2011-01-25,0.38,0.38,0.38,0.38,18800
22,2011-01-26,0.385,0.4,0.38,0.39,366930
23,2011-01-27,0.39,0.398,0.38,0.398,106150
24,2011-01-28,0.398,0.404,0.382,0.382,77170
25,2011-01-31,0.365,0.366,0.35,0.351,43640
26,2011-02-01,0.35,0.35,0.349,0.349,89350
27,2011-02-02,0.349,0.37,0.32,0.354,116780
28,2011-02-03,0.35,0.35,0.325,0.341,32960
29,2011-02-04,0.32,0.333,0.32,0.333,40540
30,2011-02-07,0.327,0.34,0.327,0.34,22550
31,2011-02-08,0.34,0.34,0.318,0.318,117710
32,2011-02-09,0.316,0.319,0.31,0.318,97620
33,2011-02-10,0.31,0.319,0.3,0.319,135660
34,2011-02-11,0.31,0.318,0.31,0.318,30000
35,2011-02-14,0.32,0.333,0.32,0.33,124310
36,2011-02-15,0.321,0.321,0.306,0.306,39580
37,2011-02-16,0.3,0.309,0.3,0.309,104540
38,2011-02-17,0.3,0.31,0.3,0.31,5430
39,2011-02-18,0.308,0.311,0.301,0.311,87570
40,2011-02-21,0.308,0.311,0.305,0.305,168100
41,2011-02-22,0.303,0.31,0.301,0.31,87840
42,2011-02-23,0.315,0.315,0.313,0.315,42290
43,2011-02-24,0.315,0.327,0.315,0.327,72440
44,2011-02-25,0.327,0.34,0.314,0.34,150590
45,2011-02-28,0.335,0.377,0.335,0.376,302490
46,2011-03-01,0.376,0.38,0.336,0.37,136140
47,2011-03-02,0.37,0.375,0.363,0.375,84670
48,2011-03-03,0.37,0.42,0.37,0.4,1082030
49,2011-03-04,0.395,0.399,0.39,0.39,35750
50,2011-03-07,0.397,0.398,0.362,0.39,58190
51,2011-03-08,0.39,0.395,0.36,0.369,52660
52,2011-03-09,0.37,0.377,0.361,0.361,35470
53,2011-03-10,0.369,0.377,0.369,0.377,14000
54,2011-03-11,0.377,0.399,0.377,0.399,30000
55,2011-03-14,0.377,0.378,0.36,0.368,75240
56,2011-03-15,0.361,0.361,0.313,0.355,58910
57,2011-03-16,0.36,0.378,0.36,0.36,111530
58,2011-03-17,0.361,0.39,0.345,0.383,288900
59,2011-03-18,0.388,0.388,0.388,0.388,5000
60,2011-03-21,0.383,0.383,0.383,0.383,5600
61,2011-03-22,0.376,0.378,0.36,0.37,91400
62,2011-03-23,0.368,0.368,0.368,0.368,5000
63,2011-03-24,0.376,0.38,0.363,0.363,45510
64,2011-03-25,0.363,0.363,0.363,0.363,15100
65,2011-03-28,0.359,0.36,0.337,0.36,57200
66,2011-03-29,0.359,0.361,0.346,0.36,45320
67,2011-03-30,0.359,0.359,0.344,0.344,30670
68,2011-03-31,0.345,0.348,0.3,0.3,135340
69,2011-04-01,0.3,0.327,0.299,0.3,105870
70,2011-04-04,0.306,0.31,0.304,0.304,50810
71,2011-04-05,0.304,0.305,0.28,0.29,106800
72,2011-04-06,0.285,0.299,0.27,0.285,129300
73,2011-04-07,0.29,0.299,0.28,0.293,90580
74,2011-04-08,0.295,0.298,0.28,0.289,43000
75,2011-04-11,0.289,0.289,0.289,0.289,13500
76,2011-04-12,0.288,0.295,0.27,0.294,147200
77,2011-04-13,0.285,0.29,0.285,0.29,26400
78,2011-04-14,0.28,0.295,0.265,0.285,58900
79,2011-04-15,0.291,0.291,0.255,0.274,121410
80,2011-04-18,0.274,0.275,0.26,0.266,59070
81,2011-04-19,0.268,0.294,0.255,0.263,64280
82,2011-04-20,0.265,0.289,0.257,0.27,76210
83,2011-04-21,0.274,0.275,0.262,0.271,25850
84,2011-04-26,0.272,0.272,0.26,0.269,21600
85,2011-04-27,0.262,0.29,0.26,0.27,50760
86,2011-04-28,0.269,0.273,0.26,0.273,18240
87,2011-04-29,0.264,0.265,0.264,0.265,23800
88,2011-05-02,0.265,0.266,0.256,0.265,30680
89,2011-05-04,0.264,0.265,0.256,0.265,29350
90,2011-05-05,0.263,0.263,0.263,0.263,7500
91,2011-05-06,0.263,0.263,0.255,0.263,57750
92,2011-05-09,0.263,0.294,0.262,0.283,105700
93,2011-05-10,0.282,0.282,0.281,0.281,23500
94,2011-05-11,0.271,0.271,0.263,0.263,30110
95,2011-05-12,0.263,0.263,0.248,0.259,24960
96,2011-05-13,0.257,0.257,0.246,0.255,23540
97,2011-05-16,0.255,0.255,0.242,0.242,38850
98,2011-05-17,0.24,0.241,0.234,0.234,15200
99,2011-05-18,0.234,0.236,0.234,0.236,20000
100,2011-05-19,0.236,0.236,0.234,0.234,32910
101,2011-05-20,0.234,0.235,0.224,0.234,50280
102,2011-05-23,0.235,0.248,0.234,0.236,57900
103,2011-05-24,0.234,0.234,0.23,0.23,33310
104,2011-05-25,0.23,0.23,0.222,0.23,20490
105,2011-05-26,0.229,0.229,0.229,0.229,24550
106,2011-05-27,0.23,0.23,0.227,0.227,16450
107,2011-05-30,0.226,0.227,0.223,0.227,26310
108,2011-05-31,0.232,0.232,0.232,0.232,8800
109,2011-06-01,0.231,0.248,0.231,0.241,53100
110,2011-06-02,0.226,0.226,0.222,0.226,39130
111,2011-06-03,0.227,0.227,0.226,0.226,22950
112,2011-06-06,0.221,0.221,0.2,0.212,1026000
113,2011-06-07,0.211,0.22,0.211,0.213,48300
114,2011-06-08,0.22,0.23,0.214,0.223,77510
115,2011-06-09,0.224,0.228,0.214,0.214,39200
116,2011-06-10,0.223,0.233,0.223,0.229,32120
117,2011-06-13,0.22,0.228,0.214,0.228,29540
118,2011-06-14,0.22,0.227,0.219,0.219,50500
119,2011-06-15,0.216,0.233,0.216,0.229,138010
120,2011-06-16,0.222,0.229,0.219,0.228,149230
121,2011-06-17,0.23,0.248,0.224,0.245,144010
122,2011-06-20,0.235,0.237,0.231,0.234,122340
123,2011-06-21,0.236,0.245,0.235,0.245,116540
124,2011-06-22,0.237,0.248,0.237,0.248,83650
125,2011-06-24,0.239,0.249,0.232,0.249,146250
126,2011-06-27,0.248,0.292,0.248,0.287,161080
127,2011-06-28,0.292,0.292,0.281,0.281,30900
128,2011-06-29,0.291,0.292,0.267,0.268,81360
129,2011-06-30,0.28,0.319,0.276,0.283,300070
130,2011-07-01,0.282,0.282,0.273,0.28,87000
131,2011-07-04,0.28,0.281,0.27,0.281,111690
132,2011-07-05,0.282,0.299,0.282,0.283,113600
133,2011-07-06,0.294,0.294,0.285,0.285,97950
134,2011-07-07,0.294,0.295,0.282,0.282,300140
135,2011-07-08,0.294,0.295,0.289,0.289,155490
136,2011-07-11,0.294,0.294,0.289,0.29,168030
137,2011-07-12,0.292,0.292,0.279,0.284,127320
138,2011-07-13,0.277,0.283,0.271,0.274,87450
139,2011-07-14,0.271,0.281,0.268,0.268,128850
140,2011-07-15,0.269,0.293,0.267,0.275,312190
141,2011-07-18,0.285,0.285,0.27,0.27,181550
142,2011-07-19,0.273,0.282,0.27,0.28,308430
143,2011-07-20,0.272,0.272,0.27,0.272,113770
144,2011-07-21,0.27,0.283,0.27,0.278,267260
145,2011-07-22,0.281,0.281,0.268,0.279,132830
146,2011-07-25,0.277,0.277,0.268,0.275,108770
147,2011-07-26,0.268,0.268,0.267,0.267,42220
148,2011-07-27,0.268,0.268,0.26,0.266,119030
149,2011-07-28,0.263,0.263,0.255,0.255,55690
150,2011-07-29,0.256,0.256,0.25,0.255,138080
151,2011-08-01,0.246,0.262,0.246,0.256,69890
152,2011-08-02,0.255,0.255,0.255,0.255,114430
153,2011-08-03,0.25,0.25,0.248,0.249,97210
154,2011-08-04,0.249,0.255,0.248,0.255,204190
155,2011-08-05,0.257,0.257,0.256,0.256,133510
156,2011-08-08,0.256,0.258,0.256,0.258,217260
157,2011-08-09,0.258,0.258,0.25,0.25,125010
158,2011-08-10,0.252,0.252,0.243,0.246,189150
159,2011-08-11,0.25,0.25,0.244,0.247,112100
