,Date,Open,High,Low,Close,Volume
0,2007-03-15,10.422,10.469,9.825,10.082,358119
1,2007-03-16,10.327,10.55,10.232,10.327,135240
2,2007-03-19,10.537,10.564,10.368,10.435,20559
3,2007-03-20,10.435,10.435,10.096,10.299,23755
4,2007-03-21,10.435,10.435,10.265,10.299,13754
5,2007-03-22,10.199,10.36,10.199,10.299,19688
6,2007-03-23,10.299,10.314,10.164,10.273,25087
7,2007-03-26,10.273,10.273,10.158,10.213,44329
8,2007-03-27,10.164,10.164,10.049,10.096,30966
9,2007-03-28,10.063,10.164,9.907,10.131,12407
10,2007-03-29,10.164,10.164,9.892,10.116,10358
11,2007-03-30,10.164,10.199,10.03,10.164,12225
12,2007-04-02,10.158,10.158,9.961,10.063,12039
13,2007-04-03,10.035,10.035,9.892,9.961,23654
14,2007-04-04,9.961,9.961,9.757,9.961,39050
15,2007-04-05,9.968,10.03,9.825,10.003,27153
16,2007-04-10,10.158,10.299,10.063,10.164,36732
17,2007-04-11,10.292,10.368,10.199,10.36,39765
18,2007-04-12,10.36,10.544,10.314,10.496,61200
19,2007-04-13,10.503,10.775,10.496,10.775,47765
20,2007-04-16,10.775,11.207,10.74,11.179,148466
21,2007-04-17,11.295,11.315,11.044,11.227,35958
22,2007-04-18,11.247,11.247,10.707,10.842,45507
23,2007-04-19,10.469,10.842,10.299,10.571,22557
24,2007-04-20,10.842,10.842,10.503,10.571,6902
25,2007-04-23,10.503,10.571,10.164,10.164,21163
26,2007-04-24,10.164,10.299,10.164,10.299,8704
27,2007-04-25,10.469,10.503,10.199,10.469,11275
28,2007-04-26,10.469,10.469,10.402,10.402,4760
29,2007-04-27,10.469,10.469,10.347,10.368,3944
30,2007-04-30,10.299,10.314,10.158,10.286,4000
31,2007-05-02,10.299,10.299,10.171,10.192,8105
32,2007-05-04,10.232,10.232,10.11,10.164,12940
33,2007-05-07,10.618,10.672,10.429,10.523,31121
34,2007-05-08,10.557,10.775,10.442,10.442,26438
35,2007-05-09,10.435,10.435,10.164,10.299,8076
36,2007-05-10,10.299,10.333,10.042,10.333,5422
37,2007-05-11,10.035,10.225,10.035,10.103,6401
38,2007-05-14,10.225,10.232,10.171,10.213,6421
39,2007-05-15,10.232,10.26,10.171,10.171,4994
40,2007-05-16,10.171,10.171,10.035,10.035,9295
41,2007-05-17,10.164,10.164,9.825,10.015,5121
42,2007-05-18,10.015,10.015,9.872,9.892,5225
43,2007-05-21,10.082,10.082,9.892,10.07,6692
44,2007-05-22,10.096,10.096,10.03,10.076,3572
45,2007-05-23,10.149,10.149,9.961,9.961,7621
46,2007-05-24,10.131,10.131,10.003,10.122,6949
47,2007-05-25,10.015,10.131,9.928,10.131,10659
48,2007-05-28,10.122,10.422,9.968,10.265,37878
49,2007-05-29,10.414,10.638,10.299,10.604,46551
50,2007-05-30,10.503,10.653,10.341,10.571,31120
51,2007-05-31,10.408,10.672,10.408,10.597,23669
52,2007-06-01,10.503,10.571,10.429,10.571,27171
53,2007-06-04,10.564,10.571,10.442,10.571,23235
54,2007-06-05,10.442,10.592,10.232,10.571,17457
55,2007-06-06,10.239,10.239,10.232,10.232,5251
56,2007-06-08,10.402,10.503,10.164,10.232,10270
57,2007-06-11,10.503,10.564,10.239,10.564,14241
58,2007-06-12,10.503,10.503,10.299,10.435,12091
59,2007-06-13,10.299,10.503,10.265,10.503,7207
60,2007-06-14,10.164,10.489,10.164,10.489,1913
61,2007-06-15,10.469,10.638,10.462,10.604,32332
62,2007-06-18,10.631,11.179,10.571,10.93,89914
63,2007-06-19,10.977,11.179,10.842,10.909,86242
64,2007-06-20,10.909,10.909,10.775,10.775,21294
65,2007-06-21,10.775,11.179,10.775,11.113,137534
66,2007-06-22,11.179,11.247,10.924,10.97,68216
67,2007-06-25,10.909,10.97,10.604,10.775,41072
68,2007-06-26,10.571,10.713,10.318,10.713,97330
69,2007-06-27,10.713,10.713,10.333,10.672,96884
70,2007-06-28,10.74,10.74,10.333,10.503,52737
71,2007-06-29,10.314,10.483,10.299,10.435,13659
72,2007-07-02,10.483,10.483,10.164,10.429,25239
73,2007-07-03,10.063,10.429,10.063,10.395,24779
74,2007-07-04,10.164,10.341,10.11,10.341,10522
75,2007-07-05,10.131,10.333,10.131,10.333,1679
76,2007-07-06,10.299,10.842,10.299,10.503,50673
77,2007-07-09,10.672,10.74,10.503,10.74,10110
78,2007-07-10,10.767,11.113,10.767,11.052,63252
79,2007-07-11,11.044,11.044,10.834,10.842,20127
80,2007-07-12,10.822,10.977,10.435,10.707,15476
81,2007-07-13,10.727,10.834,10.51,10.807,2179
82,2007-07-16,10.834,11.004,10.537,10.537,35448
83,2007-07-17,10.516,10.834,10.435,10.834,8099
84,2007-07-18,10.604,10.834,10.604,10.834,892
85,2007-07-19,10.626,10.977,10.618,10.916,32684
86,2007-07-20,11.011,11.722,11.011,11.722,249508
87,2007-07-23,11.999,12.738,11.999,12.461,212104
88,2007-07-24,12.461,13.384,11.837,12.738,170098
89,2007-07-25,12.537,12.867,12.217,12.733,76192
90,2007-07-26,12.874,13.214,12.332,12.332,43541
91,2007-07-27,11.852,12.284,11.69,11.994,38040
92,2007-07-30,12.183,12.183,11.587,11.987,32616
93,2007-07-31,12.198,12.537,12.19,12.487,31452
94,2007-08-01,11.859,12.867,11.859,12.738,25752
95,2007-08-02,12.806,12.806,12.537,12.733,24234
96,2007-08-03,12.537,12.724,12.332,12.685,5629
97,2007-08-06,11.864,12.198,11.758,11.987,19732
98,2007-08-07,12.158,12.158,11.283,11.283,31678
99,2007-08-08,11.179,11.587,11.179,11.587,11024
100,2007-08-09,11.587,11.587,11.195,11.513,4428
101,2007-08-10,10.848,11.41,10.842,11.41,6185
102,2007-08-13,11.513,11.553,11.513,11.553,899
103,2007-08-14,11.052,11.553,10.977,11.506,7717
104,2007-08-16,10.848,11.175,10.672,11.175,21939
105,2007-08-17,10.775,11.175,10.571,10.977,12704
106,2007-08-20,10.977,11.113,10.807,11.079,11508
107,2007-08-21,11.16,11.16,10.685,11.084,11908
108,2007-08-22,11.179,11.485,10.664,11.485,8117
109,2007-08-23,11.485,11.682,11.48,11.682,5210
110,2007-08-24,11.179,11.859,11.179,11.859,57809
111,2007-08-27,11.655,11.845,11.247,11.519,3897
112,2007-08-28,11.506,11.506,11.207,11.48,4019
113,2007-08-29,11.485,11.519,11.146,11.519,21610
114,2007-08-30,11.519,11.519,11.227,11.519,3658
115,2007-08-31,11.519,11.792,10.848,11.722,15854
116,2007-09-04,11.451,11.717,11.247,11.717,5260
117,2007-09-05,11.519,11.581,11.187,11.519,2315
118,2007-09-06,11.113,11.445,11.038,11.445,2010
119,2007-09-07,11.417,12.041,11.179,11.695,8251
120,2007-09-10,10.883,11.69,10.883,11.581,1337
121,2007-09-11,11.179,11.587,11.179,11.587,2434
122,2007-09-12,11.649,11.649,11.256,11.641,11234
123,2007-09-14,11.709,11.709,11.179,11.581,1102
124,2007-09-17,11.641,11.69,11.553,11.641,1786
125,2007-09-18,11.288,11.69,11.288,11.649,1280
126,2007-09-19,11.649,12.448,11.641,12.265,56816
127,2007-09-20,12.388,12.434,12.13,12.434,8546
128,2007-09-21,12.461,12.874,12.434,12.672,17140
129,2007-09-24,12.658,12.705,12.658,12.705,14759
130,2007-09-25,12.332,12.555,12.332,12.555,4590
131,2007-09-26,12.198,12.454,12.19,12.454,3773
132,2007-09-27,12.514,12.679,12.509,12.638,15895
133,2007-10-01,11.472,12.495,11.472,12.4,7563
134,2007-10-02,11.926,12.746,11.926,12.332,7274
135,2007-10-03,11.859,12.482,11.859,12.393,391
136,2007-10-04,12.38,12.503,12.062,12.062,11200
137,2007-10-05,11.722,12.469,11.519,12.434,4237
138,2007-10-08,12.428,12.503,11.967,12.183,22002
139,2007-10-09,12.393,12.393,12.393,12.393,1
140,2007-10-10,12.38,12.604,12.027,12.537,13935
141,2007-10-11,12.198,12.651,12.198,12.537,5223
142,2007-10-12,12.062,12.529,12.062,12.495,471
143,2007-10-15,12.461,12.874,12.461,12.503,16032
144,2007-10-16,12.867,13.417,12.522,13.064,28224
145,2007-10-17,13.036,13.619,12.882,13.206,23941
146,2007-10-18,13.206,13.552,13.206,13.35,12419
147,2007-10-19,13.409,13.552,13.384,13.552,12618
148,2007-10-22,13.45,13.89,12.942,13.885,13401
149,2007-10-23,13.885,14.773,13.822,14.291,18574
150,2007-10-24,14.5,14.638,13.619,14.563,10027
