,Date,Open,High,Low,Close,Volume
0,2008-04-18,27.116,27.63,26.133,27.586,312313
1,2008-04-21,27.502,27.502,26.944,27.374,78616
2,2008-04-22,27.347,27.544,26.86,27.116,139186
3,2008-04-23,27.116,27.442,27.116,27.125,122205
4,2008-04-24,26.954,27.33,26.954,27.244,54314
5,2008-04-25,26.944,27.321,26.944,27.254,3124
6,2008-04-28,27.288,27.374,26.997,27.201,12928
7,2008-04-29,27.031,27.527,27.014,27.485,74196
8,2008-04-30,27.374,27.374,26.944,26.954,993
9,2008-05-05,26.971,27.185,26.944,27.159,231
10,2008-05-06,26.944,27.014,26.516,26.944,52563
11,2008-05-07,27.014,27.056,25.748,26.937,923
12,2008-05-08,26.928,26.937,25.876,26.912,410
13,2008-05-09,26.928,27.031,26.688,26.944,5107
14,2008-05-12,24.807,27.022,24.807,27.022,1421
15,2008-05-13,27.014,27.014,26.516,26.516,481
16,2008-05-14,25.662,26.944,25.662,26.944,5043
17,2008-05-15,26.944,27.535,26.944,27.475,26657
18,2008-05-16,25.679,25.679,22.327,23.226,14711
19,2008-05-19,21.471,21.812,20.529,21.121,9354
20,2008-05-20,21.641,23.694,21.625,23.096,1584
21,2008-05-21,23.096,25.406,22.241,24.713,1647
22,2008-05-23,24.551,24.551,22.411,24.551,197
23,2008-05-26,22.327,24.542,22.291,22.352,371
24,2008-05-27,24.474,24.474,22.411,24.234,215
25,2008-05-28,22.506,23.935,22.506,22.667,245
26,2008-05-29,24.166,24.208,22.334,23.061,1150
27,2008-05-30,22.814,22.814,22.112,22.789,204
28,2008-06-02,22.627,22.627,20.957,22.549,302
29,2008-06-03,22.712,22.712,22.712,22.712,1
30,2008-06-04,22.754,22.754,21.558,22.241,1435
31,2008-06-05,22.754,22.754,20.479,22.232,906
32,2008-06-06,22.061,22.155,20.744,22.138,226
33,2008-06-09,21.291,21.291,20.103,21.214,192
34,2008-06-10,22.926,22.926,20.957,21.685,1400
35,2008-06-11,21.796,21.796,20.11,20.11,234
36,2008-06-12,20.529,22.411,20.137,20.144,873
37,2008-06-13,22.138,22.138,20.103,21.257,178
38,2008-06-16,22.112,22.112,22.112,22.112,1
39,2008-06-17,22.053,22.053,20.186,21.89,3494
40,2008-06-18,22.131,22.131,20.316,22.061,25
41,2008-06-19,22.103,22.103,20.186,21.206,198
42,2008-06-20,22.069,22.069,20.186,21.6,478
43,2008-06-23,21.985,21.985,19.161,19.844,1129
44,2008-06-24,21.341,21.341,17.621,17.621,391
45,2008-06-25,21.257,21.3,18.015,19.46,595
46,2008-06-26,19.673,19.673,17.16,17.963,7724
47,2008-06-27,19.237,19.237,17.108,17.237,12993
48,2008-06-30,19.161,19.161,16.595,18.135,781
49,2008-07-01,17.963,17.963,16.878,16.937,877
50,2008-07-02,16.51,17.193,16.166,16.166,4278
51,2008-07-03,16.21,17.783,14.883,15.733,626
52,2008-07-04,15.824,15.824,14.883,15.141,687
53,2008-07-07,15.396,15.396,13.866,13.866,1338
54,2008-07-08,13.986,13.986,12.592,12.831,2876
55,2008-07-09,13.089,13.73,12.831,13.73,5736
56,2008-07-10,13.13,13.644,12.403,13.6,3057
57,2008-07-11,13.774,13.774,13.172,13.259,1362
58,2008-07-14,13.774,14.114,13.172,13.774,2445
59,2008-07-15,12.831,12.831,12.78,12.831,117499
60,2008-07-16,12.916,12.916,12.403,12.403,528
61,2008-07-17,12.479,13.259,12.403,13.259,1150
62,2008-07-18,13.43,13.43,12.831,13.249,587
63,2008-07-21,12.858,13.259,12.66,13.259,593
64,2008-07-22,13.43,13.43,12.831,13.259,764
65,2008-07-23,12.831,13.249,12.831,12.831,746
66,2008-07-24,12.823,13.045,12.447,12.831,1097
67,2008-07-25,12.233,12.831,12.233,12.24,161
68,2008-07-28,12.575,12.575,12.147,12.147,958
69,2008-07-29,11.976,12.147,11.976,12.147,319
70,2008-07-30,12.403,13.172,12.403,12.575,5274
71,2008-07-31,12.831,13.089,12.53,13.089,902
72,2008-08-01,13.344,13.344,12.831,12.831,586
73,2008-08-04,15.824,15.824,12.567,12.567,10880
74,2008-08-05,12.584,12.831,11.976,11.976,48616
75,2008-08-06,11.898,12.53,11.761,11.806,3601
76,2008-08-07,12.233,12.233,11.506,11.506,1845
77,2008-08-08,11.334,12.156,11.334,12.156,2162
78,2008-08-11,12.403,12.403,12.156,12.156,1384
79,2008-08-12,12.156,12.156,11.976,11.976,976
80,2008-08-13,11.976,12.035,11.889,12.035,41213
81,2008-08-14,11.865,12.207,11.856,11.856,967
82,2008-08-18,11.848,12.147,11.155,11.633,31083
83,2008-08-19,11.462,11.462,11.214,11.214,827
84,2008-08-20,11.214,11.583,11.052,11.583,950
85,2008-08-21,11.675,11.675,11.207,11.675,171
86,2008-08-22,11.761,11.761,11.12,11.275,1703
87,2008-08-25,11.163,11.163,10.572,10.949,31635
88,2008-08-26,10.932,10.932,10.599,10.599,881
89,2008-08-27,10.779,10.779,10.392,10.401,467
90,2008-08-28,10.282,10.779,10.282,10.769,90529
91,2008-08-29,10.779,10.779,10.265,10.273,13326
92,2008-09-01,10.779,10.779,10.273,10.779,1473
93,2008-09-02,10.273,10.779,10.273,10.779,108
94,2008-09-03,10.769,11.548,10.769,10.779,8544
95,2008-09-04,11.069,11.506,10.779,10.779,2789
96,2008-09-05,11.069,11.069,10.437,11.069,108
97,2008-09-08,11.034,11.369,11.01,11.369,6171
98,2008-09-09,11.13,11.633,11.12,11.548,2870
99,2008-09-10,10.967,11.291,10.967,11.291,109
100,2008-09-11,11.462,11.462,10.864,10.864,1666
101,2008-09-12,10.683,10.864,10.683,10.864,487
102,2008-09-15,10.392,10.392,10.265,10.265,14016
103,2008-09-16,9.837,10.161,9.752,10.161,1698
104,2008-09-17,9.837,9.837,9.4271,9.837,6927
105,2008-09-18,9.88,9.88,9.837,9.88,469
106,2008-09-19,10.051,10.051,10.033,10.033,774
107,2008-09-22,10.265,10.265,9.752,10.265,444
108,2008-09-23,9.752,9.752,9.59,9.752,936
109,2008-09-24,9.59,9.923,9.59,9.88,7129
110,2008-09-25,9.581,9.923,9.581,9.923,456
111,2008-09-26,9.674,10.008,9.674,9.923,2590
112,2008-09-29,9.666,9.666,8.9216,8.9309,100654
113,2008-09-30,8.5801,8.8953,8.554,8.7504,2321
114,2008-10-01,9.1523,9.1523,8.554,9.1523,8444
115,2008-10-02,9.3667,9.3667,8.9814,8.9814,845
116,2008-10-03,9.3238,9.3238,8.7255,9.2809,57
117,2008-10-06,8.8111,9.3579,8.8111,9.2809,11734
118,2008-10-07,8.9814,9.3579,8.563,8.7255,1110
119,2008-10-08,8.8953,8.8953,8.0065,8.3829,1518
120,2008-10-09,9.1523,9.1523,8.1263,8.306,538
121,2008-10-10,8.3829,8.3829,6.8432,6.8432,24380
122,2008-10-13,7.1854,7.5191,6.9288,6.9373,1574
123,2008-10-14,7.2281,7.9467,7.2281,7.5191,5522
124,2008-10-15,7.442,7.6901,7.2281,7.6474,886
125,2008-10-16,7.6645,7.6645,7.271,7.6558,691
126,2008-10-17,7.6474,7.6474,7.0144,7.5019,2252
127,2008-10-20,7.6901,8.212,7.6901,7.8612,15769
128,2008-10-21,8.0323,8.0323,7.3565,8.0152,1692
129,2008-10-22,7.348,7.6729,7.271,7.536,1208
130,2008-10-23,8.0323,8.0323,6.8519,7.1854,2361
131,2008-10-24,6.8519,7.271,6.809,7.271,1103
132,2008-10-27,6.7663,7.1684,5.9878,5.9878,2516
133,2008-10-28,6.5011,6.7577,5.851,6.7492,26846
134,2008-10-29,7.3565,7.3565,6.1248,6.7919,2770
