,Date,Open,High,Low,Close,Volume
0,2010-05-25,17.7,19.1,17.4,18.3,466864
1,2010-05-26,18.0,20.4,18.0,19.5,533186
2,2010-05-27,19.2,20.0,18.9,19.3,359344
3,2010-05-28,19.4,19.4,18.7,19.3,219881
4,2010-05-31,18.6,19.0,18.6,18.9,88816
5,2010-06-01,18.8,18.8,18.5,18.6,29804
6,2010-06-02,19.5,23.5,19.5,22.7,1381142
7,2010-06-04,23.1,24.0,21.1,22.0,745310
8,2010-06-07,21.2,22.1,20.5,21.8,352532
9,2010-06-08,22.1,22.1,21.0,21.4,154555
10,2010-06-09,21.6,22.0,21.0,21.0,241434
11,2010-06-10,21.2,21.2,20.2,20.6,234323
12,2010-06-11,20.4,21.0,19.8,19.8,224280
13,2010-06-14,20.8,21.0,19.8,19.8,377139
14,2010-06-15,19.9,19.9,18.9,19.2,284636
15,2010-06-16,19.3,19.6,18.9,19.1,152661
16,2010-06-17,19.1,19.2,18.8,19.0,99235
17,2010-06-18,19.0,19.4,18.7,18.9,101544
18,2010-06-21,19.1,19.3,18.7,18.9,69373
19,2010-06-22,18.9,19.0,17.9,18.1,250595
20,2010-06-23,17.8,17.8,17.2,17.2,145065
21,2010-06-24,17.2,18.0,15.6,17.3,197469
22,2010-06-25,18.0,18.2,17.6,17.8,123661
23,2010-06-28,18.0,18.0,17.2,17.3,74771
24,2010-06-29,17.2,17.2,16.4,16.6,93963
25,2010-06-30,16.4,16.7,16.1,16.3,44265
26,2010-07-01,16.2,17.0,16.1,16.6,66814
27,2010-07-02,16.9,17.4,16.7,17.0,31378
28,2010-07-05,17.2,17.3,16.7,16.9,17082
29,2010-07-06,17.0,17.5,16.8,17.3,55428
30,2010-07-07,17.2,17.2,16.8,17.0,12325
31,2010-07-08,17.3,17.4,17.0,17.0,27418
32,2010-07-09,17.2,17.3,17.0,17.2,17942
33,2010-07-12,17.2,17.3,17.0,17.1,24669
34,2010-07-13,17.0,17.0,16.7,16.7,60366
35,2010-07-14,16.8,16.8,16.6,16.8,39155
36,2010-07-15,16.8,17.5,16.6,16.7,87863
37,2010-07-16,16.8,17.3,16.8,17.0,63176
38,2010-07-19,16.9,17.2,16.8,17.2,26428
39,2010-07-20,17.1,17.6,17.0,17.0,51598
40,2010-07-21,17.2,17.3,17.0,17.1,33183
41,2010-07-22,17.1,18.1,16.9,17.9,269437
42,2010-07-23,18.0,18.7,17.6,18.3,206029
43,2010-07-26,18.3,19.5,18.0,19.3,226448
44,2010-07-27,19.3,19.6,18.7,18.8,108946
45,2010-07-28,18.8,19.0,18.0,18.4,116696
46,2010-07-29,18.3,19.0,18.1,18.5,56934
47,2010-07-30,18.4,18.7,18.0,18.1,61092
48,2010-08-02,18.2,18.8,18.1,18.5,46554
49,2010-08-03,18.5,19.0,18.4,18.5,43709
50,2010-08-04,18.5,18.5,18.2,18.3,18615
51,2010-08-05,18.2,18.7,18.2,18.5,30605
52,2010-08-06,18.5,18.5,18.1,18.1,30999
53,2010-08-09,18.2,18.6,18.0,18.0,41458
54,2010-08-10,17.9,17.9,17.5,17.6,38463
55,2010-08-11,17.5,17.5,17.2,17.4,25881
56,2010-08-12,17.2,17.6,17.2,17.6,24946
57,2010-08-13,17.5,17.6,17.4,17.5,23555
58,2010-08-16,17.4,17.6,17.1,17.3,53606
59,2010-08-17,17.3,17.7,16.7,17.1,172878
60,2010-08-18,17.2,17.2,16.8,16.9,49726
61,2010-08-19,17.0,17.2,16.3,16.3,81633
62,2010-08-20,16.5,16.7,15.9,16.2,119553
63,2010-08-23,16.1,16.5,16.0,16.5,63336
64,2010-08-24,16.4,16.5,16.0,16.1,52227
65,2010-08-25,16.0,16.0,15.7,16.0,45941
66,2010-08-26,16.1,16.2,15.9,16.0,71837
67,2010-08-27,16.2,17.2,16.1,16.1,300061
68,2010-08-30,16.4,16.5,15.8,16.0,109469
69,2010-08-31,15.8,15.9,15.5,15.8,89397
70,2010-09-01,15.9,16.0,15.4,16.0,154157
71,2010-09-02,16.0,16.1,15.5,15.7,115120
72,2010-09-03,15.7,15.9,15.4,15.9,57940
73,2010-09-06,15.7,16.8,15.7,16.8,183772
74,2010-09-07,16.8,16.8,16.2,16.4,72109
75,2010-09-08,16.4,16.4,16.0,16.4,68258
76,2010-09-09,16.3,16.8,16.2,16.4,113725
77,2010-09-10,16.3,16.5,16.1,16.3,79959
78,2010-09-13,16.4,16.9,16.0,16.9,273509
79,2010-09-14,17.0,18.5,16.9,17.4,517567
80,2010-09-15,17.4,17.5,16.4,16.9,122975
81,2010-09-16,16.8,16.8,16.3,16.6,63501
82,2010-09-17,16.5,16.8,16.4,16.7,65467
83,2010-09-20,16.8,16.8,16.3,16.3,77532
84,2010-09-21,16.2,16.3,16.0,16.1,91162
85,2010-09-22,16.1,16.5,16.0,16.2,70204
86,2010-09-23,16.2,16.3,16.0,16.1,82711
87,2010-09-24,16.1,16.4,15.8,15.8,191384
88,2010-09-27,15.9,16.1,15.5,15.6,141572
89,2010-09-28,15.6,15.9,14.7,14.7,265601
90,2010-09-29,15.2,15.7,14.8,15.0,156857
91,2010-09-30,15.1,16.3,15.1,15.2,231358
92,2010-10-01,15.6,15.8,15.5,15.6,69642
93,2010-10-04,15.9,16.8,15.7,16.5,252100
94,2010-10-05,16.9,17.5,16.8,17.3,518389
95,2010-10-06,17.4,17.5,16.7,16.8,135670
96,2010-10-07,16.6,17.1,16.4,16.8,118797
97,2010-10-08,16.9,18.4,16.7,17.3,485191
98,2010-10-11,17.5,17.5,17.1,17.3,91664
99,2010-10-12,17.7,18.3,17.7,17.8,300009
100,2010-10-13,18.0,18.1,17.7,18.0,117222
101,2010-10-14,18.1,18.1,17.5,17.7,80045
102,2010-10-15,17.7,17.7,17.3,17.7,52437
103,2010-10-18,17.6,17.6,17.2,17.2,46325
104,2010-10-19,17.3,17.5,16.7,16.7,98518
105,2010-10-20,16.7,16.9,16.4,16.9,38584
106,2010-10-21,17.0,17.2,16.9,16.9,46065
107,2010-10-22,17.2,17.4,17.0,17.2,41494
108,2010-10-25,17.1,17.1,16.9,16.9,31906
109,2010-10-26,16.9,17.1,16.9,17.0,12662
110,2010-10-27,16.9,17.3,16.7,17.3,39149
111,2010-10-28,17.1,17.2,16.8,16.9,36944
112,2010-10-29,17.0,17.1,16.7,16.9,18820
113,2010-11-02,17.1,17.1,16.6,16.7,29734
114,2010-11-03,16.6,16.7,16.4,16.5,52829
115,2010-11-04,16.6,16.6,16.1,16.3,99057
116,2010-11-05,16.3,16.5,16.1,16.3,32735
117,2010-11-08,16.3,16.6,16.1,16.5,46860
118,2010-11-09,16.6,16.9,16.4,16.8,38711
119,2010-11-10,17.1,17.7,17.1,17.3,225774
120,2010-11-12,17.0,17.1,17.0,17.1,56033
121,2010-11-15,17.3,17.3,16.7,16.8,40064
122,2010-11-16,16.7,16.7,16.1,16.5,69415
123,2010-11-17,16.5,16.6,16.2,16.3,42223
124,2010-11-18,16.5,16.5,16.2,16.5,31220
125,2010-11-19,17.1,17.5,16.7,16.7,249431
126,2010-11-22,16.9,16.9,16.5,16.6,28182
127,2010-11-23,16.5,16.5,16.2,16.2,52745
128,2010-11-24,16.2,16.6,16.1,16.2,44674
129,2010-11-25,16.1,16.4,16.1,16.2,32100
130,2010-11-26,16.2,16.4,15.8,16.2,122683
131,2010-11-29,16.2,16.2,15.9,15.9,17069
132,2010-11-30,16.0,16.1,15.9,16.0,14612
133,2010-12-01,16.0,16.1,15.0,15.6,80756
134,2010-12-02,15.5,15.7,15.4,15.5,55972
135,2010-12-03,15.7,15.7,15.1,15.2,119977
136,2010-12-06,15.2,15.6,15.0,15.4,52442
137,2010-12-07,15.7,17.5,15.5,16.5,986210
138,2010-12-08,16.8,17.2,16.4,16.6,382781
139,2010-12-09,16.7,16.9,16.2,16.4,144966
140,2010-12-10,16.4,16.8,16.4,16.4,81497
141,2010-12-13,16.5,16.5,16.0,16.0,152418
142,2010-12-14,16.0,16.2,15.5,15.6,146494
143,2010-12-15,15.6,15.8,15.4,15.8,81240
144,2010-12-16,15.8,15.9,15.4,15.5,43733
145,2010-12-17,15.6,15.7,15.5,15.7,55394
146,2010-12-20,15.6,15.6,15.3,15.3,53020
147,2010-12-21,15.4,15.5,15.0,15.5,133411
148,2010-12-22,15.5,15.5,15.1,15.3,30832
149,2010-12-23,15.4,15.4,15.1,15.2,51470
150,2010-12-27,15.3,15.3,14.9,14.9,122315
151,2010-12-28,15.0,15.2,14.9,15.1,142327
152,2010-12-29,15.1,15.4,15.1,15.1,97397
153,2010-12-30,15.2,15.5,15.1,15.5,66025
154,2010-12-31,15.4,15.8,15.2,15.8,53373
155,2011-01-03,15.7,15.7,15.4,15.4,59507
156,2011-01-04,15.6,15.6,15.4,15.4,48364
157,2011-01-05,15.5,15.5,14.9,15.2,75876
158,2011-01-07,15.1,15.3,15.0,15.1,36684
159,2011-01-10,15.2,15.8,15.0,15.8,115901
160,2011-01-11,15.7,15.7,15.3,15.4,123090
161,2011-01-12,15.5,15.5,15.2,15.4,41332
162,2011-01-13,15.4,15.6,15.2,15.3,101569
163,2011-01-14,15.4,15.8,15.2,15.3,222985
164,2011-01-17,15.3,17.0,15.2,17.0,816945
165,2011-01-18,17.5,17.6,16.4,16.6,538056
166,2011-01-19,16.6,16.8,16.0,16.0,228481
167,2011-01-20,15.9,16.5,15.7,16.1,171976
168,2011-01-21,16.0,16.9,16.0,16.6,267167
169,2011-01-24,17.0,17.2,16.6,17.0,442909
170,2011-01-25,17.0,17.0,16.4,16.5,183294
171,2011-01-26,16.7,16.8,16.4,16.5,210924
172,2011-01-27,16.6,16.8,16.3,16.8,227337
173,2011-01-28,16.8,17.0,16.5,17.0,262930
174,2011-01-31,16.9,16.9,16.5,16.8,150216
175,2011-02-01,16.9,19.6,16.9,18.9,1571254
176,2011-02-02,19.0,19.5,17.4,17.8,989876
177,2011-02-03,17.8,21.9,17.4,21.9,1782201
178,2011-02-04,22.0,23.5,20.3,20.8,2000235
179,2011-02-07,20.5,21.1,20.1,21.0,390591
180,2011-02-08,18.9,18.9,17.9,18.0,882398
181,2011-02-09,17.8,18.2,17.6,17.6,277582
182,2011-02-10,17.8,19.5,17.5,18.9,860556
183,2011-02-11,19.6,20.3,18.8,18.9,935840
