,Date,Open,High,Low,Close,Volume
0,2014-08-21,1.6,1.98,1.2,1.54,86279
1,2014-08-22,1.58,1.59,1.36,1.49,22668
2,2014-08-25,1.47,1.47,1.18,1.3,7875
3,2014-08-26,1.19,1.19,1.01,1.02,2325
4,2014-08-27,1.01,1.21,1.0,1.0,7855
5,2014-08-28,1.0,1.1,1.0,1.04,3394
6,2014-08-29,1.03,1.03,0.97,0.97,2620
7,2014-09-01,0.97,0.97,0.8,0.8,5759
8,2014-09-02,0.82,0.98,0.82,0.98,3593
9,2014-09-03,0.98,1.01,0.84,1.01,10698
10,2014-09-04,1.01,1.05,0.93,1.05,737
11,2014-09-05,1.0,1.1,1.0,1.1,2373
12,2014-09-08,1.06,1.13,0.94,0.94,8793
13,2014-09-09,0.97,1.12,0.87,1.03,15714
14,2014-09-10,1.03,1.03,0.84,0.9,3285
15,2014-09-11,0.85,0.85,0.84,0.84,176
16,2014-09-12,0.9,1.08,0.9,1.08,3485
17,2014-09-15,1.08,1.17,0.9,0.9,6633
18,2014-09-16,0.9,0.98,0.9,0.91,1003
19,2014-09-17,0.91,0.91,0.91,0.91,328
20,2014-09-18,0.91,1.05,0.91,1.05,5312
21,2014-09-19,1.05,1.26,1.01,1.18,15599
22,2014-09-22,1.17,1.19,1.06,1.06,3643
23,2014-09-23,1.05,1.05,1.0,1.0,1430
24,2014-09-24,0.99,0.99,0.9,0.95,4102
25,2014-09-25,0.98,0.98,0.98,0.98,280
26,2014-09-30,0.98,1.07,0.98,1.07,5250
27,2014-10-02,1.07,1.07,1.07,1.07,10
28,2014-10-03,1.05,1.05,1.05,1.05,35
29,2014-10-06,1.05,1.05,1.05,1.05,10
30,2014-10-07,1.05,1.05,1.05,1.05,100
31,2014-10-08,1.05,1.05,1.05,1.05,100
32,2014-10-09,1.05,1.05,1.03,1.05,350
33,2014-10-10,1.05,1.05,0.95,0.95,2100
34,2014-10-13,0.93,0.93,0.87,0.87,2653
35,2014-10-14,0.87,0.87,0.87,0.87,20
36,2014-10-16,0.87,0.87,0.87,0.87,840
37,2014-10-22,0.84,0.84,0.77,0.77,5600
38,2014-10-23,0.78,0.79,0.77,0.77,2450
39,2014-11-03,0.78,0.86,0.78,0.86,2500
40,2014-11-04,0.86,1.03,0.86,0.96,4837
41,2014-11-05,0.96,1.04,0.96,1.04,300
42,2014-11-06,1.04,1.04,0.93,1.0,6109
43,2014-11-07,1.0,1.0,0.9,0.97,3590
44,2014-11-12,0.9,0.9,0.82,0.85,6310
45,2014-11-18,0.82,0.82,0.78,0.78,2180
46,2014-11-20,0.78,0.78,0.77,0.77,1000
47,2014-11-21,0.77,0.77,0.77,0.77,110
48,2014-11-24,0.76,0.76,0.71,0.71,1347
49,2014-11-25,0.72,0.72,0.72,0.72,100
50,2014-11-26,0.72,0.72,0.72,0.72,100
51,2014-12-02,0.74,0.77,0.74,0.75,4200
52,2014-12-04,0.78,0.88,0.78,0.88,600
53,2014-12-05,0.87,0.9,0.87,0.9,550
54,2014-12-08,0.9,0.99,0.87,0.97,3580
55,2014-12-09,0.97,0.97,0.79,0.89,2640
56,2014-12-11,0.9,0.9,0.9,0.9,20
57,2014-12-12,0.9,0.9,0.9,0.9,30
58,2014-12-15,0.9,0.9,0.9,0.9,20
59,2014-12-16,0.9,0.9,0.9,0.9,20
60,2014-12-17,0.9,0.9,0.83,0.83,699
61,2014-12-19,0.82,0.82,0.77,0.77,3020
62,2014-12-23,0.8,0.87,0.8,0.87,700
63,2014-12-30,0.87,0.89,0.87,0.89,220
64,2015-01-02,0.89,0.91,0.89,0.91,220
65,2015-01-08,0.84,0.84,0.8,0.83,2570
66,2015-01-09,0.83,0.88,0.83,0.88,520
67,2015-01-12,0.88,0.89,0.88,0.89,100
68,2015-01-13,0.81,0.83,0.78,0.83,4340
69,2015-01-14,0.85,0.86,0.85,0.86,150
70,2015-01-15,0.86,0.87,0.75,0.82,10200
71,2015-01-16,0.83,0.84,0.82,0.82,7150
72,2015-01-19,0.82,0.83,0.82,0.83,850
73,2015-01-20,0.82,0.82,0.82,0.82,20
74,2015-01-23,0.82,0.84,0.82,0.84,1350
75,2015-01-26,0.84,0.84,0.84,0.84,1320
76,2015-01-27,0.74,0.82,0.74,0.82,550
77,2015-01-28,0.82,0.82,0.73,0.78,5004
78,2015-01-29,0.78,0.8,0.78,0.8,400
79,2015-02-02,0.8,0.81,0.8,0.81,200
80,2015-02-03,0.8,0.82,0.8,0.82,3070
81,2015-02-04,0.82,0.82,0.82,0.82,35
82,2015-02-05,0.82,0.85,0.82,0.85,585
83,2015-02-06,0.85,0.87,0.85,0.87,266
84,2015-02-09,0.87,0.89,0.87,0.89,900
85,2015-02-10,0.89,0.91,0.89,0.91,351
86,2015-02-11,0.91,0.92,0.91,0.92,1630
87,2015-02-12,0.92,0.93,0.92,0.93,130
88,2015-02-13,0.93,0.95,0.93,0.95,900
89,2015-02-16,0.82,0.88,0.82,0.88,4610
90,2015-02-17,0.88,0.93,0.88,0.93,8200
91,2015-02-18,0.91,0.91,0.91,0.91,20
92,2015-02-19,0.91,0.94,0.91,0.94,27170
93,2015-02-20,0.94,0.94,0.88,0.94,8125
94,2015-02-23,0.93,0.93,0.84,0.84,780
95,2015-02-24,0.84,0.84,0.72,0.8,3520
96,2015-02-25,0.8,0.9,0.8,0.9,3853
97,2015-02-26,0.9,0.9,0.9,0.9,418
98,2015-02-27,0.91,0.94,0.91,0.94,1500
99,2015-03-02,0.94,0.94,0.85,0.88,2270
100,2015-03-03,0.82,0.82,0.8,0.8,1363
101,2015-03-04,0.83,0.86,0.83,0.86,350
102,2015-03-05,0.86,0.88,0.86,0.88,800
103,2015-03-06,0.88,0.98,0.88,0.97,3069
104,2015-03-09,0.95,0.95,0.94,0.95,3370
105,2015-03-10,0.95,0.95,0.95,0.95,20
106,2015-03-11,0.95,0.95,0.92,0.92,220
107,2015-03-12,0.92,0.95,0.92,0.95,2456
108,2015-03-13,0.95,0.95,0.88,0.88,1620
109,2015-03-16,0.83,0.94,0.83,0.94,1630
110,2015-03-17,0.94,0.94,0.94,0.94,20
111,2015-03-18,0.94,0.94,0.94,0.94,20
112,2015-03-19,0.94,0.94,0.94,0.94,20
113,2015-03-20,0.94,0.94,0.94,0.94,20
114,2015-03-23,0.94,0.95,0.94,0.95,701
115,2015-03-24,0.95,0.95,0.94,0.95,600
116,2015-03-25,0.95,0.95,0.94,0.94,545
117,2015-03-26,0.94,0.94,0.94,0.94,20
118,2015-04-02,0.94,0.94,0.94,0.94,20
119,2015-04-08,0.9,0.9,0.8,0.86,1375
120,2015-04-10,0.86,0.87,0.86,0.87,100
121,2015-04-21,0.87,0.88,0.87,0.88,100
122,2015-04-24,0.88,0.88,0.88,0.88,900
123,2015-04-27,0.88,0.88,0.88,0.88,1320
124,2015-04-28,0.88,0.88,0.88,0.88,20
125,2015-04-29,0.88,0.88,0.88,0.88,20
126,2015-04-30,0.88,0.89,0.79,0.89,600
127,2015-05-05,0.89,0.93,0.89,0.93,2800
128,2015-05-07,0.92,0.92,0.92,0.92,20
129,2015-05-08,0.92,0.92,0.92,0.92,20
130,2015-05-11,0.92,0.92,0.92,0.92,20
131,2015-05-12,0.92,0.92,0.92,0.92,20
132,2015-05-13,0.92,0.92,0.92,0.92,20
133,2015-05-14,0.92,0.92,0.91,0.92,2780
134,2015-05-15,0.92,0.92,0.92,0.92,20
135,2015-05-18,0.92,0.92,0.74,0.88,7220
136,2015-05-19,0.78,0.81,0.67,0.81,11910
137,2015-05-20,0.8,0.81,0.8,0.81,2010
138,2015-05-21,0.8,0.81,0.8,0.81,1900
139,2015-05-22,0.81,0.81,0.72,0.72,240
140,2015-05-25,0.75,0.77,0.75,0.77,100
141,2015-05-27,0.77,0.79,0.65,0.67,28710
142,2015-05-28,0.6,0.69,0.6,0.62,5310
143,2015-05-29,0.63,0.79,0.63,0.79,15455
144,2015-06-01,0.81,1.14,0.81,1.14,45169
145,2015-06-02,1.12,1.12,1.12,1.12,100
146,2015-06-03,1.11,1.11,0.9,1.06,6440
147,2015-06-05,1.06,1.06,1.06,1.06,20
148,2015-06-08,1.05,1.05,1.05,1.05,10
149,2015-06-09,1.09,1.09,0.9,1.08,1470
150,2015-06-10,1.07,1.07,1.07,1.07,20
151,2015-06-11,1.07,1.28,0.93,1.2,7696
152,2015-06-12,1.12,1.12,0.92,1.02,5300
153,2015-06-15,1.01,1.12,0.83,1.12,12470
154,2015-06-16,1.09,1.11,0.9,1.11,25500
155,2015-06-17,1.1,1.16,1.1,1.16,1070
156,2015-06-18,1.16,1.28,0.97,1.16,20640
157,2015-06-19,1.15,1.15,0.94,0.94,7680
158,2015-06-22,0.9,0.98,0.9,0.98,7400
159,2015-06-23,0.98,1.09,0.98,1.09,2800
160,2015-06-24,1.09,1.09,0.88,0.88,12951
161,2015-06-25,0.87,0.87,0.81,0.85,22563
162,2015-06-26,0.85,0.94,0.8,0.93,4970
163,2015-06-29,0.92,0.92,0.92,0.92,20
164,2015-06-30,0.93,0.99,0.81,0.81,4090
165,2015-07-01,0.81,0.81,0.75,0.75,6101
166,2015-07-02,0.73,0.73,0.58,0.58,42399
167,2015-07-03,0.61,0.63,0.61,0.63,1200
168,2015-07-06,0.64,0.68,0.64,0.68,401
169,2015-07-07,0.64,0.64,0.52,0.52,15378
170,2015-07-08,0.52,0.55,0.52,0.55,420
171,2015-07-10,0.52,0.59,0.44,0.59,12423
172,2015-07-14,0.53,0.58,0.49,0.58,4786
173,2015-07-15,0.59,0.59,0.59,0.59,20
174,2015-07-20,0.62,0.77,0.62,0.77,13863
175,2015-07-21,0.69,0.69,0.67,0.67,370
176,2015-07-22,0.67,0.67,0.67,0.67,20
177,2015-07-23,0.72,0.75,0.68,0.7,2940
178,2015-07-24,0.68,0.76,0.68,0.76,1698
179,2015-07-27,0.7,0.7,0.7,0.7,20
180,2015-07-31,0.67,0.67,0.65,0.65,700
181,2015-08-05,0.63,0.63,0.62,0.62,500
182,2015-08-07,0.62,0.62,0.62,0.62,3080
183,2015-08-10,0.62,0.7,0.62,0.7,2111
184,2015-08-12,0.69,0.69,0.6,0.61,4214
185,2015-08-13,0.61,0.61,0.61,0.61,50
186,2015-08-14,0.61,0.61,0.6,0.6,814
187,2015-08-17,0.62,0.64,0.62,0.64,500
188,2015-08-18,0.64,0.64,0.64,0.64,20
189,2015-08-19,0.64,0.64,0.56,0.64,15194
190,2015-08-20,0.64,0.66,0.63,0.66,19620
191,2015-08-21,0.66,0.77,0.66,0.77,5000
192,2015-08-25,0.76,0.76,0.76,0.76,15
193,2015-08-26,0.75,0.76,0.65,0.65,6640
194,2015-08-28,0.7,0.79,0.7,0.79,1600
195,2015-09-01,0.76,0.79,0.76,0.79,4150
196,2015-09-02,0.79,0.79,0.68,0.68,865
197,2015-09-03,0.71,0.73,0.71,0.73,210
198,2015-09-09,0.73,0.73,0.73,0.73,50
199,2015-09-14,0.73,0.74,0.73,0.74,3000
200,2015-09-15,0.74,0.76,0.65,0.76,10655
201,2015-09-16,0.75,0.75,0.75,0.75,20
202,2015-09-17,0.75,0.75,0.66,0.66,1020
203,2015-09-21,0.7,0.74,0.7,0.74,7800
204,2015-09-22,0.72,0.72,0.72,0.72,30
205,2015-09-23,0.72,0.72,0.64,0.72,6340
206,2015-09-24,0.72,0.72,0.72,0.72,20
207,2015-09-25,0.72,0.72,0.72,0.72,20
208,2015-09-28,0.72,0.72,0.63,0.7,1620
209,2015-09-30,0.62,0.72,0.61,0.72,2500
210,2015-10-01,0.69,0.69,0.57,0.57,1070
211,2015-10-07,0.62,0.66,0.62,0.66,410
212,2015-10-08,0.66,0.69,0.66,0.69,400
213,2015-10-13,0.69,0.7,0.69,0.7,250
214,2015-10-14,0.7,0.71,0.7,0.71,200
215,2015-10-15,0.71,0.72,0.71,0.72,2291
216,2015-10-16,0.72,0.72,0.71,0.72,620
217,2015-10-19,0.72,0.72,0.72,0.72,20
218,2015-10-20,0.72,0.72,0.72,0.72,420
219,2015-10-21,0.72,0.73,0.72,0.73,630
220,2015-10-22,0.73,0.73,0.73,0.73,20
221,2015-10-23,0.72,0.75,0.72,0.75,5331
222,2015-10-26,0.75,0.75,0.74,0.75,130
223,2015-10-27,0.75,0.75,0.75,0.75,50
224,2015-10-28,0.75,0.75,0.75,0.75,30
225,2015-10-29,0.75,0.75,0.75,0.75,999
226,2015-10-30,0.75,0.75,0.75,0.75,20
227,2015-11-02,0.75,0.78,0.75,0.78,1709
228,2015-11-03,0.78,0.79,0.78,0.79,624
229,2015-11-04,0.79,0.88,0.79,0.86,6300
230,2015-11-05,0.86,0.86,0.77,0.85,10848
231,2015-11-06,0.85,0.85,0.85,0.85,20
232,2015-11-09,0.84,0.84,0.84,0.84,20
233,2015-11-10,0.84,0.84,0.68,0.72,11781
234,2015-11-12,0.72,0.81,0.72,0.8,7400
235,2015-11-13,0.74,0.74,0.73,0.73,8880
236,2015-11-16,0.73,0.77,0.69,0.76,5741
237,2015-11-17,0.75,0.75,0.75,0.75,30
238,2015-11-18,0.75,0.77,0.75,0.77,1030
239,2015-11-19,0.77,0.77,0.76,0.76,3050
240,2015-11-23,0.76,0.76,0.76,0.76,7180
241,2015-11-24,0.76,0.76,0.76,0.76,50
242,2015-11-25,0.75,0.77,0.75,0.77,5100
243,2015-11-26,0.77,0.77,0.77,0.77,50
244,2015-11-27,0.77,0.77,0.77,0.77,820
245,2015-11-30,0.78,0.79,0.78,0.79,2500
246,2015-12-01,0.78,0.78,0.78,0.78,50
247,2015-12-02,0.78,0.78,0.78,0.78,50
248,2015-12-03,0.77,0.77,0.77,0.77,50
249,2015-12-04,0.77,0.77,0.77,0.77,50
250,2015-12-07,0.75,0.75,0.75,0.75,50
251,2015-12-08,0.75,0.75,0.75,0.75,50
252,2015-12-09,0.75,0.75,0.75,0.75,30
253,2015-12-10,0.75,0.78,0.68,0.78,5479
254,2015-12-11,0.78,0.78,0.78,0.78,20
255,2015-12-14,0.78,0.78,0.78,0.78,30
256,2015-12-15,0.78,0.78,0.78,0.78,20
257,2015-12-16,0.78,0.78,0.78,0.78,30
258,2015-12-17,0.78,0.78,0.78,0.78,20
259,2015-12-18,0.78,0.78,0.78,0.78,20
260,2015-12-21,0.77,0.77,0.77,0.77,20
261,2015-12-22,0.77,0.77,0.77,0.77,50
262,2015-12-23,0.77,0.77,0.77,0.77,30
263,2015-12-28,0.77,0.77,0.77,0.77,20
264,2015-12-29,0.77,0.77,0.77,0.77,30
265,2015-12-30,0.77,0.77,0.77,0.77,20
266,2016-01-04,0.8,0.81,0.8,0.81,330
267,2016-01-05,0.8,0.8,0.8,0.8,50
268,2016-01-07,0.8,0.8,0.8,0.8,20
269,2016-01-08,0.8,0.8,0.8,0.8,20
270,2016-01-11,0.8,0.95,0.8,0.95,16590
271,2016-01-12,0.95,1.05,0.95,1.05,9770
272,2016-01-13,1.06,1.06,0.88,1.05,8950
273,2016-01-14,0.95,1.0,0.91,1.0,5300
274,2016-01-15,0.99,0.99,0.9,0.94,2720
275,2016-01-18,0.96,0.96,0.94,0.96,1570
276,2016-01-19,0.9,0.9,0.9,0.9,2300
277,2016-01-21,0.92,0.94,0.92,0.94,200
278,2016-01-22,0.87,0.91,0.81,0.91,7800
279,2016-01-25,0.84,0.88,0.78,0.88,10723
280,2016-01-26,0.88,0.98,0.88,0.98,6100
281,2016-01-28,0.88,1.05,0.88,1.05,9030
282,2016-01-29,1.04,1.04,1.04,1.04,20
283,2016-02-01,1.04,1.04,0.89,1.04,13110
284,2016-02-02,1.04,1.04,1.04,1.04,1310
285,2016-02-03,1.04,1.04,0.9,0.99,6890
286,2016-02-04,0.99,0.99,0.98,0.98,5020
287,2016-02-05,0.92,0.94,0.8,0.94,7001
288,2016-02-08,0.92,0.94,0.92,0.94,6570
289,2016-02-09,0.93,0.94,0.93,0.94,4150
290,2016-02-10,0.94,1.0,0.94,1.0,8041
291,2016-02-11,1.0,1.0,0.9,0.96,3638
292,2016-02-12,0.96,0.96,0.96,0.96,20
293,2016-02-15,0.96,1.0,0.94,1.0,4074
294,2016-02-16,1.0,1.0,1.0,1.0,129
295,2016-02-17,1.0,1.0,1.0,1.0,10
296,2016-02-18,1.0,1.0,1.0,1.0,10
297,2016-02-19,0.94,0.94,0.94,0.94,2020
298,2016-02-22,1.0,1.0,0.9,0.97,607
