,Date,Open,High,Low,Close,Volume
0,1995-10-27,11.74,11.74,11.74,11.74,161380.0
1,1995-10-30,11.11,11.11,11.11,11.11,48290.0
2,1995-10-31,10.62,10.62,10.62,10.62,42276.0
3,1995-11-02,11.06,11.06,11.06,11.06,30666.0
4,1995-11-03,12.23,12.23,12.23,12.23,105177.0
5,1995-11-06,13.06,13.06,13.06,13.06,50203.0
6,1995-11-07,12.87,12.87,12.87,12.87,98331.0
7,1995-11-08,13.55,13.55,13.55,13.55,56910.0
8,1995-11-09,13.36,13.36,13.36,13.36,32559.0
9,1995-11-10,12.97,12.97,12.97,12.97,58169.0
10,1995-11-13,12.77,12.77,12.77,12.77,24084.0
11,1995-11-14,13.16,13.16,13.16,13.16,62051.0
12,1995-11-15,13.21,13.21,13.21,13.21,23959.0
13,1995-11-16,13.21,13.21,13.21,13.21,27175.0
14,1995-11-17,13.21,13.21,13.21,13.21,85235.0
15,1995-11-20,11.89,11.89,11.89,11.89,69536.0
16,1995-11-21,12.28,12.28,12.28,12.28,31441.0
17,1995-11-22,12.72,12.72,12.72,12.72,31130.0
18,1995-11-23,13.01,13.01,13.01,13.01,27699.0
19,1995-11-24,12.92,12.92,12.92,12.92,22917.0
20,1995-11-27,12.92,12.92,12.92,12.92,21988.0
21,1995-11-28,12.77,12.77,12.77,12.77,10692.0
22,1995-11-29,12.77,12.77,12.77,12.77,13513.0
23,1995-11-30,12.77,12.77,12.77,12.77,11202.0
24,1995-12-01,12.72,12.72,12.72,12.72,23778.0
25,1995-12-04,12.82,12.82,12.82,12.82,15562.0
26,1995-12-05,13.16,13.16,13.16,13.16,44572.0
27,1995-12-06,12.97,12.97,12.97,12.97,13919.0
28,1995-12-07,13.06,13.06,13.06,13.06,11749.0
29,1995-12-08,12.92,12.92,12.92,12.92,9909.0
30,1995-12-11,13.31,13.31,13.31,13.31,12211.0
31,1995-12-12,13.46,13.46,13.46,13.46,27193.0
32,1995-12-13,13.46,13.46,13.46,13.46,37245.0
33,1995-12-14,13.7,13.7,13.7,13.7,38724.0
34,1995-12-15,14.63,14.63,14.63,14.63,39673.0
35,1995-12-18,14.43,14.43,14.43,14.43,19991.0
36,1995-12-19,13.85,13.85,13.85,13.85,28318.0
37,1995-12-20,12.48,12.48,12.48,12.48,43893.0
38,1995-12-21,12.87,12.87,12.87,12.87,28527.0
39,1995-12-22,13.21,13.21,13.21,13.21,29937.0
40,1995-12-27,13.75,13.75,13.75,13.75,42998.0
41,1995-12-28,13.65,13.65,13.65,13.65,15023.0
42,1995-12-29,13.65,13.65,13.65,13.65,17147.0
43,1996-01-02,14.04,14.04,14.04,14.04,5661.0
44,1996-01-03,14.19,14.19,14.19,14.19,34147.0
45,1996-01-04,14.53,14.53,14.53,14.53,24768.0
46,1996-01-05,15.27,15.27,15.27,15.27,26792.0
47,1996-01-08,15.07,15.07,15.07,15.07,29398.0
48,1996-01-09,15.2,15.2,15.2,15.2,26448.0
49,1996-01-10,15.02,15.02,15.02,15.02,26291.0
50,1996-01-11,14.92,14.92,14.92,14.92,47118.0
51,1996-01-12,14.63,14.63,14.63,14.63,46779.0
52,1996-01-15,14.53,14.53,14.53,14.53,26556.0
53,1996-01-16,14.53,14.53,14.53,14.53,13863.0
54,1996-01-17,14.53,14.53,14.53,14.53,62231.0
55,1996-01-18,14.34,14.34,14.34,14.34,79890.0
56,1996-01-19,14.04,14.04,14.04,14.04,30486.0
57,1996-01-22,14.73,14.73,14.73,14.73,35349.0
58,1996-01-23,15.02,15.02,15.02,15.02,23572.0
59,1996-01-24,15.36,15.36,15.36,15.36,28543.0
60,1996-01-25,16.15,16.15,16.15,16.15,44469.0
61,1996-01-26,15.95,15.95,15.95,15.95,43353.0
62,1996-01-29,16.1,16.1,16.1,16.1,51179.0
63,1996-01-30,16.1,16.1,16.1,16.1,55209.0
64,1996-01-31,17.27,17.27,17.27,17.27,36512.0
65,1996-02-01,16.64,16.64,16.64,16.64,22181.0
66,1996-02-02,17.27,17.27,17.27,17.27,49338.0
67,1996-02-05,17.27,17.27,17.27,17.27,35877.0
68,1996-02-06,17.61,17.61,17.61,17.61,50870.0
69,1996-02-07,17.61,17.61,17.61,17.61,25265.0
70,1996-02-08,18.25,18.25,18.25,18.25,30663.0
71,1996-02-09,19.23,19.23,19.23,19.23,17790.0
72,1996-02-12,21.04,21.04,21.04,21.04,90857.0
73,1996-02-13,20.84,20.84,20.84,20.84,44038.0
74,1996-02-14,20.55,20.55,20.55,20.55,42359.0
75,1996-02-15,20.26,20.26,20.26,20.26,33475.0
76,1996-02-16,19.86,19.86,19.86,19.86,11701.0
77,1996-02-19,20.06,20.06,20.06,20.06,21684.0
78,1996-02-20,19.57,19.57,19.57,19.57,58072.0
79,1996-02-21,21.23,21.23,21.23,21.23,86053.0
80,1996-02-22,21.53,21.53,21.53,21.53,22806.0
81,1996-02-23,21.23,21.23,21.23,21.23,7394.0
82,1996-02-26,22.02,22.02,22.02,22.02,9289.0
83,1996-02-27,22.7,22.7,22.7,22.7,8987.0
84,1996-02-28,24.76,24.76,24.76,24.76,
85,1996-02-29,27.2,27.2,27.2,27.2,149630.0
86,1996-03-01,27.4,27.4,27.4,27.4,60056.0
87,1996-03-04,24.76,24.76,24.76,24.76,68316.0
88,1996-03-05,26.42,26.42,26.42,26.42,66236.0
89,1996-03-06,25.64,25.64,25.64,25.64,14338.0
90,1996-03-07,25.64,25.64,25.64,25.64,13966.0
91,1996-03-08,25.64,25.64,25.64,25.64,15017.0
92,1996-03-11,24.76,24.76,24.76,24.76,10096.0
93,1996-03-12,24.76,24.76,24.76,24.76,15669.0
94,1996-03-13,25.15,25.15,25.15,25.15,15727.0
95,1996-03-14,25.25,25.25,25.25,25.25,12575.0
96,1996-03-15,25.44,25.44,25.44,25.44,116223.0
97,1996-03-18,27.89,27.89,27.89,27.89,39426.0
98,1996-03-19,29.06,29.06,29.06,29.06,12888.0
99,1996-03-20,28.38,28.38,28.38,28.38,10096.0
100,1996-03-21,28.18,28.18,28.18,28.18,2661.0
101,1996-03-22,28.08,28.08,28.08,28.08,16293.0
102,1996-03-25,27.11,27.11,27.11,27.11,4795.0
103,1996-03-26,27.4,27.4,27.4,27.4,11680.0
104,1996-03-27,27.69,27.69,27.69,27.69,5198.0
105,1996-03-28,27.4,27.4,27.4,27.4,5966.0
106,1996-03-29,27.69,27.69,27.69,27.69,5723.0
107,1996-04-01,27.69,27.69,27.69,27.69,4766.0
108,1996-04-02,27.69,27.69,27.69,27.69,12005.0
109,1996-04-03,27.59,27.59,27.59,27.59,2248.0
110,1996-04-04,27.4,27.4,27.4,27.4,840.0
111,1996-04-05,27.89,27.89,27.89,27.89,1361.0
112,1996-04-09,28.08,28.08,28.08,28.08,1283.0
113,1996-04-10,28.38,28.38,28.38,28.38,1057.0
114,1996-04-11,28.18,28.18,28.18,28.18,1845.0
115,1996-04-12,28.38,28.38,28.38,28.38,1180.0
116,1996-04-15,28.67,28.67,28.67,28.67,1326.0
117,1996-04-16,30.34,30.34,30.34,30.34,3314.0
118,1996-04-17,32.59,32.59,32.59,32.59,16479.0
119,1996-04-18,29.36,29.36,29.36,29.36,15108.0
120,1996-04-19,32.1,32.1,32.1,32.1,25390.0
121,1996-04-22,35.23,35.23,35.23,35.23,19431.0
122,1996-04-23,35.91,35.91,35.91,35.91,13254.0
123,1996-04-24,35.52,35.52,35.52,35.52,10429.0
124,1996-04-25,34.54,34.54,34.54,34.54,11550.0
125,1996-04-26,33.07,33.07,33.07,33.07,7512.0
126,1996-04-29,35.91,35.91,35.91,35.91,7214.0
127,1996-04-30,39.44,39.44,39.44,39.44,19650.0
128,1996-05-06,40.32,40.32,40.32,40.32,6177.0
129,1996-05-07,44.23,44.23,44.23,44.23,21131.0
130,1996-05-08,44.03,44.03,44.03,44.03,7370.0
131,1996-05-09,46.29,46.29,46.29,46.29,8586.0
132,1996-05-10,44.72,44.72,44.72,44.72,8587.0
133,1996-05-13,47.26,47.26,47.26,47.26,9034.0
134,1996-05-14,46.68,46.68,46.68,46.68,9629.0
135,1996-05-15,47.26,47.26,47.26,47.26,20151.0
136,1996-05-16,47.26,47.26,47.26,47.26,15805.0
137,1996-05-17,47.26,47.26,47.26,47.26,12789.0
138,1996-05-20,47.26,47.26,47.26,47.26,11265.0
139,1996-05-21,47.26,47.26,47.26,47.26,14038.0
140,1996-05-22,47.26,47.26,47.26,47.26,13350.0
141,1996-05-23,42.57,42.57,42.57,42.57,4087.0
142,1996-05-24,43.06,43.06,43.06,43.06,13192.0
143,1996-05-27,44.03,44.03,44.03,44.03,7244.0
144,1996-05-28,44.03,44.03,44.03,44.03,11331.0
145,1996-05-29,44.23,44.23,44.23,44.23,928.0
146,1996-05-30,44.03,44.03,44.03,44.03,2578.0
147,1996-05-31,44.72,44.72,44.72,44.72,8823.0
148,1996-06-03,44.72,44.72,44.72,44.72,9572.0
149,1996-06-04,48.93,48.93,48.93,48.93,9096.0
150,1996-06-05,48.93,48.93,48.93,48.93,21684.0
151,1996-06-07,51.57,51.57,51.57,51.57,9106.0
152,1996-06-10,56.56,56.56,56.56,56.56,18094.0
153,1996-06-11,59.69,59.69,59.69,59.69,72650.0
154,1996-06-12,60.38,60.38,60.38,60.38,29460.0
155,1996-06-13,60.38,60.38,60.38,60.38,10710.0
156,1996-06-14,59.01,59.01,59.01,59.01,3194.0
157,1996-06-17,58.71,58.71,58.71,58.71,4081.0
158,1996-06-18,55.48,55.48,55.48,55.48,3830.0
159,1996-06-19,59.2,59.2,59.2,59.2,24998.0
160,1996-06-20,58.71,58.71,58.71,58.71,11350.0
161,1996-06-21,56.46,56.46,56.46,56.46,10734.0
162,1996-06-24,56.46,56.46,56.46,56.46,17855.0
163,1996-06-25,56.46,56.46,56.46,56.46,9662.0
164,1996-06-26,55.09,55.09,55.09,55.09,10490.0
165,1996-06-27,60.38,60.38,60.38,60.38,25170.0
166,1996-06-28,55.48,55.48,55.48,55.48,25856.0
167,1996-07-01,55.48,55.48,55.48,55.48,15989.0
168,1996-07-02,55.48,55.48,55.48,55.48,17530.0
169,1996-07-03,55.48,55.48,55.48,55.48,18106.0
170,1996-07-04,60.96,60.96,60.96,60.96,45542.0
171,1996-07-05,58.71,58.71,58.71,58.71,30309.0
172,1996-07-08,55.29,55.29,55.29,55.29,9876.0
173,1996-07-09,56.76,56.76,56.76,56.76,10334.0
174,1996-07-10,55.78,55.78,55.78,55.78,4806.0
175,1996-07-11,54.8,54.8,54.8,54.8,11105.0
176,1996-07-12,53.82,53.82,53.82,53.82,30871.0
177,1996-07-15,53.82,53.82,53.82,53.82,7135.0
178,1996-07-16,50.4,50.4,50.4,50.4,12144.0
179,1996-07-17,48.34,48.34,48.34,48.34,10343.0
180,1996-07-18,46.87,46.87,46.87,46.87,24311.0
181,1996-07-19,46.87,46.87,46.87,46.87,17730.0
182,1996-07-22,45.89,45.89,45.89,45.89,15602.0
183,1996-07-23,45.5,45.5,45.5,45.5,21153.0
184,1996-07-24,45.21,45.21,45.21,45.21,14864.0
185,1996-07-25,45.4,45.4,45.4,45.4,6266.0
186,1996-07-26,45.4,45.4,45.4,45.4,7554.0
187,1996-07-29,47.85,47.85,47.85,47.85,12423.0
188,1996-07-30,47.95,47.95,47.95,47.95,16361.0
189,1996-07-31,48.93,48.93,48.93,48.93,20152.0
190,1996-08-01,48.93,48.93,48.93,48.93,14031.0
191,1996-08-02,46.19,46.19,46.19,46.19,4860.0
192,1996-08-05,49.91,49.91,49.91,49.91,15229.0
193,1996-08-06,48.93,48.93,48.93,48.93,2443.0
194,1996-08-07,49.42,49.42,49.42,49.42,10169.0
195,1996-08-08,48.34,48.34,48.34,48.34,11440.0
196,1996-08-09,48.44,48.44,48.44,48.44,12593.0
