,Date,Open,High,Low,Close,Volume
0,1997-06-12,3.04,3.04,3.04,3.04,587766
1,1997-06-13,3.34,3.34,3.34,3.34,1358864
2,1997-06-16,3.47,3.47,3.47,3.47,987226
3,1997-06-17,3.34,3.34,3.34,3.34,676913
4,1997-06-18,3.19,3.19,3.19,3.19,154989
5,1997-06-19,3.12,3.12,3.12,3.12,520791
6,1997-06-20,3.06,3.06,3.06,3.06,186636
7,1997-06-23,2.79,2.79,2.79,2.79,546983
8,1997-06-24,2.61,2.61,2.61,2.61,157922
9,1997-06-25,2.66,2.66,2.66,2.66,516630
10,1997-06-26,2.53,2.53,2.53,2.53,311947
11,1997-06-27,2.58,2.58,2.58,2.58,100636
12,1997-06-30,2.61,2.61,2.61,2.61,243374
13,1997-07-01,2.58,2.58,2.58,2.58,137902
14,1997-07-02,2.53,2.58,2.53,2.56,175744
15,1997-07-03,2.53,2.58,2.53,2.58,480881
16,1997-07-04,2.58,2.58,2.53,2.56,119022
17,1997-07-07,2.58,2.58,2.53,2.53,93553
18,1997-07-08,2.56,2.58,2.56,2.58,82187
19,1997-07-09,2.56,2.58,2.56,2.58,164448
20,1997-07-10,2.56,2.56,2.51,2.51,301086
21,1997-07-11,2.56,2.56,2.46,2.46,320163
22,1997-07-14,2.3,2.3,2.18,2.2,27636
23,1997-07-15,2.25,2.28,2.25,2.28,259040
24,1997-07-16,2.28,2.29,2.28,2.28,464334
25,1997-07-17,2.28,2.3,2.25,2.3,181073
26,1997-07-18,2.28,2.28,2.22,2.22,259695
27,1997-07-21,2.28,2.28,2.23,2.23,233373
28,1997-07-22,2.15,2.19,2.15,2.18,48770
29,1997-07-23,2.18,2.22,2.18,2.18,99621
30,1997-07-24,2.18,2.18,2.13,2.13,131158
31,1997-07-25,2.2,2.2,2.13,2.15,479779
32,1997-07-28,2.25,2.25,2.2,2.22,175554
33,1997-07-29,2.25,2.34,2.24,2.34,117932
34,1997-07-30,2.33,2.37,2.33,2.37,162901
35,1997-07-31,2.36,2.36,2.3,2.33,297229
36,1997-08-01,2.3,2.39,2.3,2.34,102085
37,1997-08-04,2.33,2.33,2.25,2.25,271259
38,1997-08-05,2.33,2.38,2.33,2.38,211777
39,1997-08-06,2.34,2.37,2.34,2.37,139035
40,1997-08-07,2.41,2.46,2.18,2.46,264519
41,1997-08-08,2.56,2.63,2.56,2.58,407372
42,1997-08-11,2.56,2.56,2.51,2.52,567639
43,1997-08-12,2.61,2.61,2.58,2.58,505153
44,1997-08-13,2.74,2.74,2.74,2.74,290257
45,1997-08-14,2.53,2.61,2.53,2.61,160686
46,1997-08-18,2.56,2.58,2.56,2.58,283518
47,1997-08-19,2.56,2.63,2.56,2.58,158001
48,1997-08-20,2.61,2.66,2.61,2.61,277418
49,1997-08-21,2.53,2.53,2.53,2.53,166410
50,1997-08-22,2.53,2.56,2.53,2.56,100281
51,1997-08-25,2.53,2.53,2.52,2.52,228399
52,1997-08-26,2.48,2.48,2.48,2.48,51439
53,1997-08-27,2.53,2.53,2.52,2.52,149773
54,1997-08-28,2.53,2.56,2.53,2.56,83241
55,1997-08-29,2.53,2.53,2.51,2.51,357563
56,1997-09-01,2.48,2.51,2.48,2.51,185598
57,1997-09-02,2.48,2.49,2.48,2.48,108421
58,1997-09-03,2.52,2.53,2.52,2.53,66600
59,1997-09-04,2.56,2.56,2.52,2.53,97537
60,1997-09-05,2.56,2.63,2.56,2.63,82850
61,1997-09-08,2.63,2.63,2.61,2.63,306242
62,1997-09-09,2.63,2.68,2.63,2.68,157922
63,1997-09-10,2.68,2.68,2.66,2.68,239240
64,1997-09-11,2.66,2.76,2.66,2.68,270722
65,1997-09-12,2.71,2.71,2.63,2.66,483605
66,1997-09-15,2.63,2.68,2.63,2.68,140551
67,1997-09-16,2.71,2.71,2.61,2.63,328127
68,1997-09-17,2.66,2.66,2.61,2.61,140764
69,1997-09-18,2.61,2.66,2.61,2.61,502737
70,1997-09-19,2.61,2.63,2.61,2.63,270540
71,1997-09-22,2.63,2.68,2.63,2.68,411095
72,1997-09-23,2.68,2.68,2.63,2.68,227112
73,1997-09-24,2.66,2.68,2.63,2.66,222733
74,1997-09-25,2.68,2.68,2.61,2.66,278894
75,1997-09-26,2.66,2.66,2.66,2.66,297881
76,1997-09-29,2.66,2.66,2.61,2.63,284485
77,1997-09-30,2.66,2.66,2.61,2.61,229658
78,1997-10-01,2.63,2.63,2.61,2.63,250911
79,1997-10-02,2.63,2.63,2.61,2.63,285239
80,1997-10-03,2.61,2.61,2.56,2.58,221296
81,1997-10-06,2.51,2.53,2.51,2.51,122070
82,1997-10-07,2.51,2.53,2.51,2.51,112488
83,1997-10-08,2.43,2.53,2.43,2.52,125185
84,1997-10-09,2.48,2.48,2.46,2.47,313467
85,1997-10-10,2.44,2.46,2.44,2.46,129212
86,1997-10-13,2.43,2.47,2.43,2.46,204142
87,1997-10-14,2.43,2.46,2.43,2.44,402982
88,1997-10-15,2.46,2.47,2.42,2.42,112062
89,1997-10-16,2.43,2.46,2.43,2.44,107517
90,1997-10-17,2.44,2.46,2.44,2.46,119271
91,1997-10-20,2.49,2.49,2.46,2.48,108370
92,1997-10-21,2.48,2.51,2.48,2.49,147120
93,1997-10-22,2.51,2.51,2.48,2.48,129650
94,1997-10-23,2.43,2.43,2.36,2.39,240286
95,1997-10-24,2.36,2.39,2.36,2.37,168392
96,1997-10-27,2.28,2.28,2.18,2.19,327357
97,1997-10-28,2.05,2.05,1.85,1.85,43429
98,1997-10-29,2.19,2.2,2.15,2.19,288046
99,1997-10-30,2.13,2.13,2.08,2.08,106590
100,1997-10-31,2.1,2.14,2.1,2.14,417206
101,1997-11-03,2.17,2.18,2.15,2.18,156394
102,1997-11-04,2.18,2.2,2.14,2.14,370154
103,1997-11-05,2.14,2.17,2.14,2.17,91149
104,1997-11-06,2.19,2.19,2.17,2.19,125560
105,1997-11-07,2.13,2.14,2.13,2.14,167338
106,1997-11-12,2.09,2.09,2.04,2.05,367568
107,1997-11-13,2.01,2.03,2.0,2.03,246007
108,1997-11-14,2.0,2.01,2.0,2.01,51475
109,1997-11-17,2.05,2.05,2.03,2.04,180142
110,1997-11-18,2.03,2.03,1.96,1.98,162711
111,1997-11-19,1.94,1.99,1.91,1.98,189084
112,1997-11-20,1.94,1.94,1.94,1.94,140645
113,1997-11-21,1.98,2.0,1.96,2.0,206515
114,1997-11-24,2.0,2.0,1.93,1.94,405552
115,1997-11-25,1.99,1.99,1.98,1.98,324261
116,1997-11-26,1.96,1.96,1.94,1.96,116700
117,1997-11-27,1.95,1.95,1.95,1.95,223247
118,1997-11-28,1.94,1.95,1.93,1.95,95863
119,1997-12-01,1.96,2.04,1.96,2.03,81322
120,1997-12-02,2.08,2.08,2.06,2.08,189988
121,1997-12-03,2.03,2.06,2.03,2.06,242304
122,1997-12-04,2.0,2.08,2.0,2.08,111829
123,1997-12-05,2.04,2.06,2.04,2.06,170382
124,1997-12-08,2.03,2.05,2.03,2.05,303195
125,1997-12-09,2.03,2.05,2.03,2.05,191856
126,1997-12-10,2.03,2.04,2.03,2.03,201623
127,1997-12-11,2.06,2.06,2.03,2.03,1602337
128,1997-12-12,2.04,2.05,2.0,2.05,285831
129,1997-12-15,2.03,2.05,2.03,2.05,66667
130,1997-12-16,2.04,2.04,2.03,2.04,55091
131,1997-12-17,2.04,2.04,2.04,2.04,260564
132,1997-12-18,2.01,2.04,2.01,2.04,193853
133,1997-12-19,1.99,1.99,1.94,1.94,188551
134,1997-12-22,1.95,2.0,1.94,2.0,228351
135,1997-12-23,1.95,2.0,1.95,2.0,100213
136,1997-12-29,1.98,2.05,1.98,2.04,24979
137,1997-12-30,2.06,2.08,2.06,2.08,178811
138,1997-12-31,2.1,2.14,2.1,2.13,40625
139,1998-01-05,2.13,2.18,2.13,2.18,180236
140,1998-01-06,2.08,2.08,2.05,2.05,30799
141,1998-01-07,2.06,2.06,2.06,2.06,161313
142,1998-01-08,2.08,2.08,2.06,2.06,54957
143,1998-01-09,2.08,2.08,2.08,2.08,71626
144,1998-01-12,2.08,2.08,2.0,2.04,245825
145,1998-01-13,2.05,2.08,2.05,2.06,123156
146,1998-01-14,2.04,2.04,2.04,2.04,38778
147,1998-01-15,2.04,2.05,2.04,2.05,123416
148,1998-01-16,2.0,2.04,2.0,2.04,42007
149,1998-01-19,2.09,2.09,2.06,2.09,60899
150,1998-01-20,2.06,2.08,2.03,2.08,118785
151,1998-01-21,2.08,2.08,2.05,2.05,64223
152,1998-01-22,2.08,2.08,2.08,2.08,105160
