,Date,Open,High,Low,Close,Volume
0,2008-04-03,48.555,49.045,45.122,48.555,4033.0
1,2008-04-04,48.555,48.555,48.555,48.555,28.0
2,2008-04-07,44.631,44.631,44.631,44.631,20.0
3,2008-04-08,44.631,44.631,44.631,44.631,203.0
4,2008-04-10,45.269,45.269,45.269,45.269,203.0
5,2008-04-11,45.269,45.269,45.269,45.269,3.0
6,2008-04-15,44.631,48.996,44.631,48.996,633.0
7,2008-04-18,48.898,50.272,48.898,48.996,42.0
8,2008-04-21,44.141,49.045,44.141,49.045,63.0
9,2008-04-22,49.045,50.272,49.045,49.045,135.0
10,2008-04-23,50.272,50.272,48.8,48.8,165.0
11,2008-04-24,50.026,50.026,49.879,49.879,37.0
12,2008-04-25,49.83,49.83,49.536,49.536,45.0
13,2008-04-28,49.536,49.536,49.192,49.291,42.0
14,2008-04-29,49.291,49.291,49.291,49.291,10.0
15,2008-04-30,49.241,49.241,49.241,49.241,10.0
16,2008-05-05,49.045,49.045,49.045,49.045,10.0
17,2008-05-06,45.931,47.035,45.931,47.035,438.0
18,2008-05-07,49.388,49.388,48.187,49.045,225.0
19,2008-05-08,49.291,49.291,46.985,46.985,3.0
20,2008-05-09,49.291,49.291,49.291,49.291,2.0
21,2008-05-12,49.438,49.438,49.438,49.438,2.0
22,2008-05-13,49.438,49.438,46.618,46.618,218.0
23,2008-05-14,49.438,49.438,49.438,49.438,2.0
24,2008-05-15,49.388,49.388,49.388,49.388,3.0
25,2008-05-16,49.388,49.388,45.833,49.388,657.0
26,2008-05-19,49.045,49.045,46.691,46.691,220.0
27,2008-05-20,43.65,46.348,43.65,46.348,792.0
28,2008-05-21,49.045,49.045,46.519,46.519,218.0
29,2008-05-23,47.083,47.083,47.083,47.083,3.0
30,2008-05-26,47.083,47.083,47.083,47.083,2.0
31,2008-05-27,47.083,47.083,47.083,47.083,3.0
32,2008-05-28,47.083,47.083,47.083,47.083,2.0
33,2008-05-29,47.083,47.083,47.083,47.083,2.0
34,2008-05-30,47.083,47.083,47.083,47.083,2.0
35,2008-06-02,49.928,50.026,43.65,49.045,447.0
36,2008-06-03,48.31,48.31,44.141,48.31,707.0
37,2008-06-04,47.451,47.451,47.451,47.451,2.0
38,2008-06-05,48.31,48.31,43.65,48.31,453.0
39,2008-06-06,47.083,47.083,47.083,47.083,2.0
40,2008-06-09,46.593,46.593,46.593,46.593,2.0
41,2008-06-10,48.31,48.31,43.699,44.729,673.0
42,2008-06-11,48.31,48.31,43.699,48.064,1368.0
43,2008-06-12,47.77,47.77,44.779,45.073,492.0
44,2008-06-13,47.574,47.574,47.574,47.574,2.0
45,2008-06-16,45.343,47.574,42.228,47.574,468.0
46,2008-06-17,47.451,47.451,46.298,46.298,225.0
47,2008-06-18,44.386,47.476,43.699,45.122,510.0
48,2008-06-19,43.699,47.525,43.699,46.372,457.0
49,2008-06-20,44.582,44.68,44.582,44.68,12.0
50,2008-06-23,43.699,47.279,43.699,46.176,903.0
51,2008-06-24,44.631,47.083,42.743,42.841,1108.0
52,2008-06-25,44.631,47.035,43.013,44.018,687.0
53,2008-06-26,45.514,47.035,43.16,43.16,558.0
54,2008-06-27,41.689,44.68,41.689,44.68,458.0
55,2008-06-30,44.143,46.591,42.667,42.667,1063.0
56,2008-07-01,46.103,46.544,42.767,44.435,917.0
57,2008-07-02,42.718,46.593,42.718,46.593,698.0
58,2008-07-03,46.544,46.568,42.718,43.724,683.0
59,2008-07-04,42.694,46.593,42.694,45.465,1158.0
60,2008-07-07,42.718,46.593,42.694,45.465,918.0
61,2008-07-08,44.141,46.568,42.694,46.103,690.0
62,2008-07-09,46.103,46.103,42.718,44.754,697.0
63,2008-07-10,42.694,46.078,42.694,44.974,458.0
64,2008-07-11,42.718,46.103,42.718,42.792,697.0
65,2008-07-14,46.078,46.103,41.713,46.103,698.0
66,2008-07-15,44.141,44.631,41.198,44.631,450.0
67,2008-07-16,43.65,43.65,39.236,43.552,1885.0
68,2008-07-17,43.16,43.16,42.571,42.67,23.0
69,2008-07-18,39.236,41.689,38.501,38.501,672.0
70,2008-07-21,41.689,41.689,41.689,41.689,208.0
71,2008-07-22,38.501,41.689,38.501,41.689,63.0
72,2008-07-23,41.689,41.689,41.689,41.689,880.0
73,2008-07-24,41.689,41.689,40.708,40.708,28.0
74,2008-07-25,40.708,40.708,40.708,40.708,203.0
75,2008-07-28,40.708,40.708,40.708,40.708,292.0
76,2008-07-29,40.708,40.708,40.708,40.708,2.0
