,Date,Open,High,Low,Close,Volume
0,2003-12-29,13.605,14.565,13.605,14.356,229250
1,2003-12-30,14.565,15.585,14.565,15.585,236238
2,2003-12-31,15.802,16.281,15.106,15.21,280708
3,2004-01-02,14.995,15.266,14.46,15.266,116625
4,2004-01-05,14.995,15.106,14.46,14.995,166400
5,2004-01-06,14.731,15.315,14.62,14.995,140356
6,2004-01-07,14.995,15.315,14.94,15.049,80326
7,2004-01-08,15.049,15.21,14.78,14.78,124499
8,2004-01-09,14.675,14.731,14.356,14.565,138166
9,2004-01-12,14.46,14.62,14.356,14.46,61016
10,2004-01-13,14.515,14.675,14.46,14.46,59126
11,2004-01-14,14.515,14.515,14.299,14.299,40968
12,2004-01-15,14.196,14.196,13.87,14.084,67109
13,2004-01-16,13.98,13.98,13.764,13.764,82258
14,2004-01-19,13.605,13.98,13.605,13.87,38575
15,2004-01-20,13.821,14.299,13.821,14.299,40892
16,2004-01-21,14.356,14.405,14.196,14.245,19902
17,2004-01-22,14.356,14.46,14.245,14.46,36901
18,2004-01-23,14.46,14.675,14.356,14.515,66974
19,2004-01-26,14.46,14.836,14.299,14.78,115766
20,2004-01-27,14.78,14.78,14.62,14.731,43991
21,2004-01-28,14.675,14.675,14.245,14.405,85298
22,2004-01-29,14.196,14.356,14.084,14.299,58767
23,2004-01-30,14.405,14.46,14.245,14.405,12572
24,2004-02-02,14.299,14.78,14.299,14.731,62031
25,2004-02-03,14.515,14.78,14.46,14.46,16767
26,2004-02-04,14.46,14.62,14.405,14.565,17510
27,2004-02-05,14.515,14.62,14.46,14.62,18665
28,2004-02-06,14.731,15.106,14.675,14.995,177591
29,2004-02-09,15.049,15.266,15.049,15.21,90701
30,2004-02-10,15.37,15.37,14.995,15.106,69947
31,2004-02-11,15.049,15.156,14.891,15.049,24906
32,2004-02-12,14.995,15.106,14.94,15.106,18344
33,2004-02-13,15.049,15.106,14.94,14.94,24688
34,2004-02-16,14.995,15.049,14.836,15.049,21757
35,2004-02-17,15.106,15.156,14.995,15.156,50489
36,2004-02-18,15.156,15.21,14.891,15.106,27450
37,2004-02-19,14.995,15.106,14.891,14.995,23705
38,2004-02-20,14.891,14.995,14.78,14.995,9598
39,2004-02-23,14.995,15.049,14.836,14.995,25800
40,2004-02-24,14.995,14.995,14.731,14.78,17772
41,2004-02-25,14.731,14.836,14.565,14.62,12454
42,2004-02-26,14.62,14.94,14.62,14.891,13234
43,2004-02-27,14.94,15.049,14.78,15.049,62732
44,2004-03-01,14.995,15.315,14.94,15.266,90725
45,2004-03-02,15.266,15.37,15.106,15.156,25540
46,2004-03-03,15.266,15.425,15.049,15.315,29242
47,2004-03-04,15.315,15.37,15.266,15.315,28019
48,2004-03-05,15.315,15.315,15.106,15.21,42840
49,2004-03-08,15.21,15.21,14.731,15.049,65895
50,2004-03-09,15.106,15.266,15.106,15.156,59090
51,2004-03-10,15.156,15.37,15.156,15.266,25363
52,2004-03-11,15.156,15.21,14.891,15.049,56700
53,2004-03-12,14.995,15.266,14.995,15.266,75823
54,2004-03-15,15.266,15.315,15.049,15.049,31582
55,2004-03-16,14.94,15.156,14.94,14.995,20898
56,2004-03-17,15.266,15.802,15.049,15.802,81707
57,2004-03-18,16.065,16.765,15.904,16.015,241616
58,2004-03-19,16.118,16.175,15.156,15.528,75715
59,2004-03-22,15.315,15.745,15.266,15.64,34490
60,2004-03-23,15.64,15.959,15.64,15.904,18240
61,2004-03-24,16.065,16.335,15.802,16.175,42653
62,2004-03-25,16.335,16.335,15.904,16.118,8666
63,2004-03-26,16.065,16.495,16.065,16.231,33158
64,2004-03-29,16.281,16.765,16.281,16.765,42868
65,2004-03-30,16.87,17.085,16.655,17.029,49773
66,2004-03-31,17.029,17.029,16.55,16.87,66825
67,2004-04-01,16.605,17.029,16.605,16.975,14538
68,2004-04-02,17.085,17.515,16.924,17.3,51360
69,2004-04-05,17.406,17.676,17.245,17.676,28619
70,2004-04-06,17.676,18.64,17.564,18.265,117000
71,2004-04-07,18.37,18.37,18.099,18.265,61428
72,2004-04-08,18.265,18.745,18.21,18.689,37450
73,2004-04-13,19.014,19.281,18.745,18.801,53296
74,2004-04-14,18.529,18.529,18.316,18.316,21447
75,2004-04-15,18.316,19.014,18.316,18.745,25397
76,2004-04-16,18.801,18.801,18.37,18.529,10225
77,2004-04-19,18.37,18.64,18.316,18.37,17415
78,2004-04-20,18.689,18.689,18.265,18.425,22098
79,2004-04-21,18.265,18.475,18.265,18.316,27554
80,2004-04-22,18.265,18.37,18.155,18.155,64771
81,2004-04-23,18.21,18.316,18.155,18.316,33371
82,2004-04-26,18.21,18.425,18.155,18.265,12704
83,2004-04-27,18.265,18.475,18.265,18.425,34338
84,2004-04-28,18.425,18.425,18.316,18.37,9173
85,2004-04-29,18.316,18.37,18.155,18.37,74128
86,2004-04-30,18.099,18.265,18.099,18.265,5752
87,2004-05-04,18.21,18.801,18.21,18.529,21817
88,2004-05-05,18.745,18.745,18.37,18.37,24029
89,2004-05-06,18.21,18.21,17.515,18.05,33198
90,2004-05-07,17.779,18.155,17.676,17.892,23142
91,2004-05-10,16.605,17.029,16.335,16.975,47122
92,2004-05-11,15.69,16.71,15.69,16.605,49130
93,2004-05-12,16.605,16.814,16.495,16.605,10368
94,2004-05-13,16.495,16.765,16.439,16.605,80200
95,2004-05-14,16.335,16.814,16.335,16.71,80131
96,2004-05-17,16.605,17.348,16.335,17.348,8752
97,2004-05-18,17.406,18.425,17.406,17.892,32909
98,2004-05-19,18.21,18.316,17.892,17.892,12525
99,2004-05-20,17.892,17.892,17.19,17.892,9047
100,2004-05-21,18.155,18.21,17.725,18.05,14391
101,2004-05-24,18.05,18.05,17.725,17.725,2419
102,2004-05-25,17.725,17.94,17.725,17.725,20958
103,2004-05-26,17.676,17.94,17.676,17.94,6925
104,2004-05-27,17.94,18.05,17.779,17.779,3479
105,2004-05-28,17.94,18.05,17.94,18.05,8883
106,2004-05-31,17.676,18.21,17.676,18.05,5719
107,2004-06-01,17.725,18.05,17.725,18.05,4654
108,2004-06-02,17.725,18.585,17.725,18.425,74636
109,2004-06-03,18.265,18.265,18.099,18.21,8024
110,2004-06-04,18.155,18.475,18.155,18.425,2604
111,2004-06-07,18.475,18.529,18.155,18.21,11652
112,2004-06-08,18.37,18.37,17.892,18.21,6079
113,2004-06-09,18.155,18.155,17.892,17.94,18027
114,2004-06-11,18.099,18.099,17.779,18.099,1397
115,2004-06-14,18.099,18.099,17.725,18.05,22816
116,2004-06-15,17.725,17.94,17.725,17.892,934
117,2004-06-16,17.892,17.94,17.725,17.94,8761
118,2004-06-17,17.725,17.94,17.406,17.676,3205
119,2004-06-18,17.676,17.676,17.406,17.676,1093
120,2004-06-21,17.406,17.836,17.406,17.836,3067
121,2004-06-22,17.676,17.836,17.676,17.836,1411
122,2004-06-23,17.836,17.892,17.676,17.676,3133
123,2004-06-24,17.94,18.21,17.725,17.725,4125
124,2004-06-25,17.892,18.316,17.676,18.316,33099
125,2004-06-28,18.099,18.475,17.994,18.475,48742
126,2004-06-29,18.475,18.64,18.21,18.64,10705
127,2004-06-30,18.475,18.529,18.37,18.529,16890
128,2004-07-01,18.21,18.265,18.21,18.265,2744
129,2004-07-02,18.099,18.529,18.05,18.529,10345
130,2004-07-05,18.475,18.475,18.099,18.475,1233
131,2004-07-06,18.475,18.529,18.475,18.475,4164
132,2004-07-07,18.21,18.21,18.099,18.21,8696
133,2004-07-08,18.265,18.585,18.21,18.529,19266
134,2004-07-09,18.265,18.64,18.265,18.425,19939
135,2004-07-12,18.265,18.64,17.836,18.05,54170
136,2004-07-13,18.099,18.316,18.05,18.316,141067
137,2004-07-14,18.37,18.37,17.836,18.316,3802
138,2004-07-15,18.37,18.425,18.05,18.05,10534
139,2004-07-16,17.994,18.316,17.994,18.316,5150
140,2004-07-19,18.05,18.265,17.994,18.265,221021
141,2004-07-20,17.994,18.265,17.994,18.21,2125
142,2004-07-21,18.21,18.475,18.155,18.475,7169
143,2004-07-22,18.425,18.425,18.21,18.425,3700
144,2004-07-23,18.475,18.64,18.21,18.585,19493
145,2004-07-26,18.475,18.64,18.21,18.529,3665
146,2004-07-27,18.21,18.316,18.21,18.21,1817
147,2004-07-28,17.994,18.316,17.994,18.05,59416
148,2004-07-29,18.05,18.05,17.141,17.676,203344
149,2004-07-30,17.725,17.725,17.515,17.564,18989
150,2004-08-02,17.564,17.676,17.46,17.46,377
151,2004-08-03,17.19,17.676,17.029,17.676,3497
152,2004-08-04,17.564,17.621,17.19,17.515,1052
153,2004-08-05,17.141,17.406,16.87,17.141,12991
154,2004-08-06,17.141,17.141,16.55,16.55,7600
155,2004-08-09,16.335,16.335,15.745,16.231,14939
156,2004-08-10,16.065,16.281,16.015,16.281,10046
157,2004-08-11,16.118,16.118,15.802,15.802,24520
158,2004-08-12,15.802,15.904,15.802,15.904,47715
159,2004-08-13,15.959,15.959,15.315,15.745,18948
160,2004-08-16,15.745,15.904,15.528,15.904,2576
161,2004-08-17,16.015,16.065,15.856,15.959,32339
162,2004-08-18,15.959,16.065,15.856,16.065,20678
163,2004-08-19,16.065,16.335,15.904,16.065,8865
164,2004-08-20,15.959,16.335,15.959,16.335,6568
165,2004-08-23,16.335,16.39,16.065,16.281,5023
166,2004-08-24,16.281,16.605,16.231,16.605,23817
167,2004-08-25,16.605,16.765,16.495,16.495,11897
168,2004-08-26,16.495,16.605,16.39,16.55,1864
169,2004-08-27,16.335,16.495,16.335,16.439,1497
170,2004-08-30,16.39,16.87,16.335,16.87,97688
171,2004-08-31,16.605,16.814,16.439,16.814,45142
172,2004-09-01,16.814,16.814,16.605,16.71,1054
173,2004-09-02,16.439,16.605,16.335,16.605,74193
174,2004-09-03,16.605,16.605,16.065,16.175,4979
175,2004-09-06,16.39,16.495,16.335,16.495,1457
176,2004-09-07,16.55,16.71,16.495,16.605,16985
