,Date,Open,High,Low,Close,Volume
0,2014-11-18,21.228,21.228,20.363,20.715,22918
1,2014-11-19,20.715,20.97,20.05,20.864,8549
2,2014-11-20,20.927,20.99,20.927,20.984,6121
3,2014-11-21,20.927,21.178,20.802,21.178,4683
4,2014-11-24,21.271,21.29,21.209,21.241,2113
5,2014-11-25,21.209,21.209,20.99,21.115,7532
6,2014-11-26,21.115,21.178,20.74,20.99,1168
7,2014-11-27,20.99,21.115,20.74,20.99,5809
8,2014-11-28,20.99,21.115,20.99,20.99,1170
9,2014-12-01,20.489,20.677,20.489,20.677,1229
10,2014-12-02,20.677,20.953,20.432,20.953,690
11,2014-12-03,21.115,21.115,20.502,21.115,4624
12,2014-12-04,20.99,20.99,20.684,20.984,1699
13,2014-12-05,20.802,20.802,20.74,20.74,1657
14,2014-12-08,20.677,20.677,20.432,20.432,135
15,2014-12-09,20.05,20.802,20.05,20.677,4746
16,2014-12-10,20.677,20.677,20.614,20.614,367
17,2014-12-11,20.363,20.37,20.307,20.363,1052
18,2014-12-12,20.545,20.545,20.07,20.363,10353
19,2014-12-15,20.112,20.689,20.112,20.363,881
20,2014-12-16,20.207,20.363,20.207,20.256,239
21,2014-12-17,20.281,20.614,20.281,20.519,820
22,2014-12-18,20.677,20.677,20.519,20.519,87
23,2014-12-19,20.67,20.677,20.67,20.677,21
24,2014-12-22,20.363,20.614,20.156,20.3,971
25,2014-12-23,20.156,20.156,20.156,20.156,426
26,2014-12-29,20.156,20.802,18.797,20.363,3257
27,2015-01-02,19.612,20.927,19.612,20.927,456
28,2015-01-07,20.3,20.677,20.3,20.677,759
29,2015-01-08,20.677,20.677,19.838,20.363,6453
30,2015-01-09,20.055,20.363,20.055,20.363,3930
31,2015-01-12,20.05,20.363,20.05,20.363,7300
32,2015-01-13,20.614,20.614,20.614,20.614,138
33,2015-01-14,19.799,20.614,19.799,20.118,302
34,2015-01-15,20.055,20.055,20.05,20.05,501
35,2015-01-16,18.922,20.576,18.922,20.576,70
36,2015-01-19,18.797,20.363,18.797,20.363,8419
37,2015-01-20,20.363,20.363,20.363,20.363,2075
38,2015-01-21,20.583,20.583,20.112,20.112,119
39,2015-01-22,20.363,20.677,20.363,20.677,2611
40,2015-01-23,20.677,22.488,20.677,22.336,57432
41,2015-01-26,22.619,24.123,22.619,23.765,31176
42,2015-01-27,24.148,24.404,23.496,23.678,15213
43,2015-01-28,23.684,23.81,22.557,23.81,8178
44,2015-01-29,23.81,23.842,23.534,23.747,2004
45,2015-01-30,23.81,23.81,23.464,23.54,1842
46,2015-02-02,23.747,24.041,23.559,23.684,7267
47,2015-02-03,23.81,23.935,23.747,23.747,6424
48,2015-02-04,23.81,24.123,23.496,23.81,5420
49,2015-02-05,23.81,23.81,23.621,23.81,12721
50,2015-02-06,23.715,23.81,23.715,23.81,1666
51,2015-02-09,23.81,23.81,22.681,23.81,5279
52,2015-02-10,23.81,23.81,23.214,23.81,8219
53,2015-02-11,24.123,24.123,23.534,23.589,5383
54,2015-02-12,23.496,23.496,22.054,22.525,11269
