,Date,Open,High,Low,Close,Volume
0,2008-05-08,9.775,12.022,9.1529,11.867,118513
1,2008-05-09,12.013,12.382,10.213,10.213,23334
2,2008-05-12,10.019,10.194,8.365,8.365,18808
3,2008-05-13,7.7814,9.1237,7.7814,8.3164,1951
4,2008-05-14,8.7249,8.7541,8.7249,8.7346,1034
5,2008-05-15,8.0732,8.7541,7.7814,8.7541,1705
6,2008-05-16,9.1334,9.2404,9.1334,9.2404,2821
7,2008-05-19,8.6568,9.2404,8.5596,9.2404,276
8,2008-05-20,8.365,9.2404,8.365,9.2404,1210
9,2008-05-21,8.083,9.2404,8.0732,9.2404,226
10,2008-05-23,9.2404,9.2404,9.2404,9.2404,10
11,2008-05-26,7.2951,9.2404,7.2951,9.2404,1535
12,2008-05-27,9.2404,9.2404,9.2404,9.2404,51
13,2008-05-28,7.3923,8.9,7.3923,8.9,730
14,2008-05-29,7.2951,8.6568,7.2951,8.6568,795
15,2008-05-30,7.3534,8.5887,7.3534,8.5887,206
16,2008-06-03,7.2951,8.6568,7.2951,8.6568,1079
17,2008-06-04,7.4021,8.365,7.3923,8.365,360
18,2008-06-05,7.4507,8.3164,7.4507,8.2678,340
19,2008-06-06,7.4118,8.365,7.4118,8.258,477
20,2008-06-09,7.3145,7.8787,7.2951,7.8301,319
21,2008-06-11,6.3224,7.8106,6.3224,7.8106,247
22,2008-06-12,7.7717,7.7717,7.7717,7.7717,154
23,2008-06-13,7.7717,7.7717,7.7717,7.7717,103
24,2008-06-16,6.2446,7.7328,6.2154,6.2154,846
25,2008-06-23,4.9801,6.2154,4.9801,6.2154,104
26,2008-06-24,5.0093,5.8166,5.0093,5.8166,52
27,2008-06-27,4.6591,5.7388,4.6591,5.7388,268
28,2008-06-30,5.7874,5.7874,5.7874,5.7874,514
29,2008-07-10,5.34,6.0306,5.34,6.0209,2108
30,2008-07-14,4.9217,6.0306,4.912,6.0306,329
31,2008-07-16,4.9509,6.0111,4.8731,5.9333,962
32,2008-07-17,4.9704,5.875,4.9704,5.875,420
33,2008-07-21,4.912,5.6415,4.912,5.6415,206
34,2008-07-22,5.8361,6.7115,5.8361,6.7115,946
35,2008-07-23,6.2349,6.7601,6.2349,6.7115,628
36,2008-07-24,6.7601,7.6842,6.7601,7.6842,939
37,2008-07-25,7.6842,7.6842,7.6842,7.6842,206
38,2008-07-28,7.7717,7.7717,7.7717,7.7717,103
39,2008-07-30,7.7717,8.1705,7.7717,8.1705,1507
