,Date,Open,High,Low,Close,Volume
0,2004-12-16,24.0,24.27,22.89,23.01,16655.0
1,2004-12-17,22.17,22.47,20.25,20.52,24943.0
2,2004-12-20,20.94,21.21,20.1,20.52,15192.0
3,2004-12-21,20.37,20.52,19.98,19.98,10596.0
4,2004-12-22,19.98,19.98,18.15,18.45,13956.0
5,2004-12-23,17.88,18.57,16.77,18.45,35075.0
6,2004-12-24,18.45,18.45,17.76,18.3,1419.0
7,2004-12-27,18.15,18.87,18.15,18.72,9633.0
8,2004-12-28,18.87,19.68,18.72,19.41,36618.0
9,2004-12-29,19.68,19.68,18.99,19.26,6998.0
10,2004-12-30,18.87,18.99,18.87,18.87,2326.0
11,2004-12-31,18.87,19.14,18.45,18.45,1211.0
12,2005-01-03,18.57,19.56,18.57,19.56,8784.0
13,2005-01-04,19.68,19.98,19.26,19.68,11552.0
14,2005-01-05,19.98,20.25,19.56,20.1,4496.0
15,2005-01-06,20.25,20.25,19.26,19.98,482.0
16,2005-01-07,19.41,19.83,19.26,19.41,1580.0
17,2005-01-10,19.26,19.26,19.14,19.14,1603.0
18,2005-01-11,19.14,19.26,18.87,19.26,1075.0
19,2005-01-12,18.87,18.87,18.45,18.87,6498.0
20,2005-01-13,18.87,18.87,17.19,17.19,2945.0
21,2005-01-14,18.03,18.72,17.76,18.57,4520.0
22,2005-01-17,18.57,18.57,17.88,17.88,163.0
23,2005-01-18,18.57,18.57,18.3,18.3,6621.0
24,2005-01-19,18.03,18.15,18.03,18.15,2368.0
25,2005-01-20,18.03,18.03,18.03,18.03,1747.0
26,2005-01-21,18.3,18.3,18.3,18.3,3024.0
27,2005-01-25,17.46,18.15,17.46,17.76,2391.0
28,2005-01-26,17.76,17.88,17.76,17.88,3051.0
29,2005-01-27,18.03,18.3,18.03,18.3,2303.0
30,2005-01-28,18.45,19.68,18.45,19.41,9538.0
31,2005-01-31,19.41,19.68,19.14,19.41,3567.0
32,2005-02-01,19.14,19.14,19.14,19.14,1.0
33,2005-02-02,18.87,19.41,18.87,19.14,2577.0
34,2005-02-03,18.45,19.41,18.45,19.41,1500.0
35,2005-02-04,19.14,19.14,19.14,19.14,446.0
36,2005-02-07,18.72,19.14,18.57,19.14,253.0
37,2005-02-08,18.45,19.68,18.45,19.68,24760.0
38,2005-02-09,19.14,19.41,19.14,19.14,1052.0
39,2005-02-10,18.45,18.99,18.3,18.99,1519.0
40,2005-02-11,18.99,19.98,18.99,19.98,5677.0
41,2005-02-14,20.37,21.63,20.37,20.94,14940.0
42,2005-02-15,20.79,20.79,20.67,20.79,135.0
43,2005-02-16,20.67,20.79,20.67,20.79,2332.0
44,2005-02-17,20.52,20.79,20.52,20.67,282.0
45,2005-02-18,21.06,21.9,20.79,21.06,8808.0
46,2005-02-21,21.63,22.17,21.06,22.17,17298.0
47,2005-02-22,21.9,22.32,21.9,22.17,2970.0
48,2005-02-23,21.9,21.9,21.06,21.48,1839.0
49,2005-02-24,21.36,21.36,20.79,20.79,939.0
50,2005-02-25,20.79,20.79,20.79,20.79,524.0
51,2005-02-28,20.79,20.79,20.52,20.52,226.0
52,2005-03-01,20.52,21.06,20.52,21.06,1561.0
53,2005-03-02,21.48,21.48,21.06,21.36,2059.0
54,2005-03-03,22.17,22.47,22.05,22.17,18059.0
55,2005-03-04,22.17,22.32,22.17,22.17,2331.0
56,2005-03-07,21.78,21.78,21.78,21.78,39.0
57,2005-03-08,21.78,21.78,21.78,21.78,216.0
58,2005-03-09,21.48,21.48,21.36,21.36,1172.0
59,2005-03-10,20.94,21.63,20.94,21.36,2592.0
60,2005-03-11,20.94,21.63,20.94,21.63,846.0
61,2005-03-14,21.63,21.78,21.63,21.78,1908.0
62,2005-03-16,21.78,21.78,21.63,21.63,3879.0
63,2005-03-17,21.06,21.06,21.06,21.06,216.0
64,2005-03-18,21.36,21.36,21.36,21.36,
65,2005-03-21,21.36,22.47,21.36,22.47,3789.0
66,2005-03-22,22.17,22.17,21.9,21.9,638.0
67,2005-03-23,21.9,22.47,21.63,22.17,2629.0
68,2005-03-24,21.78,21.78,21.78,21.78,24.0
69,2005-03-29,22.32,23.01,22.32,22.89,4092.0
70,2005-03-30,22.74,23.01,22.17,22.47,820.0
71,2005-03-31,22.47,22.47,22.05,22.17,301.0
72,2005-04-01,22.74,22.74,22.59,22.59,74.0
73,2005-04-04,22.74,22.74,21.9,21.9,260.0
74,2005-04-05,21.9,21.9,21.9,21.9,87.0
75,2005-04-07,21.9,21.9,21.9,21.9,146.0
76,2005-04-11,21.63,21.63,21.63,21.63,50.0
77,2005-04-12,20.94,20.94,20.79,20.79,1723.0
78,2005-04-13,21.9,21.9,19.68,20.25,823.0
79,2005-04-14,20.94,22.17,20.94,21.9,5006.0
80,2005-04-15,21.9,22.17,21.9,22.17,2351.0
81,2005-04-18,20.94,22.17,20.79,22.17,325.0
82,2005-04-19,21.9,22.05,21.9,22.05,108.0
83,2005-04-20,21.21,22.89,21.21,22.89,8662.0
84,2005-04-21,22.74,22.74,22.05,22.32,2057.0
85,2005-04-22,22.59,22.59,22.17,22.17,1388.0
86,2005-04-25,22.17,22.17,22.17,22.17,150.0
87,2005-04-26,22.59,22.74,22.59,22.74,3282.0
