,Date,Open,High,Low,Close,Volume
0,2021-02-18,27.1,33.0,27.1,30.41,34060
1,2021-02-19,30.8,30.8,28.31,28.8,9243
2,2021-02-22,29.5,29.5,27.21,28.39,2100
3,2021-02-23,29.0,29.0,25.0,25.0,811
4,2021-02-24,25.01,26.99,25.01,26.385,429
5,2021-02-25,26.37,26.37,23.0,25.48,2154
6,2021-02-26,25.0,25.0,23.0,24.0,438
7,2021-03-01,23.985,24.4,22.4,24.38,1021
8,2021-03-02,23.345,24.9,22.8,24.42,1003
9,2021-03-03,24.0,24.42,21.2,23.685,1608
10,2021-03-04,23.64,24.94,21.3,24.94,1383
11,2021-03-05,23.49,25.66,21.3,25.645,7968
12,2021-03-08,25.66,25.66,22.22,22.995,3592
13,2021-03-09,23.995,23.995,22.925,23.0,395
14,2021-03-10,23.595,23.595,23.0,23.0,278
15,2021-03-11,23.195,23.195,22.8,22.995,215
16,2021-03-12,24.8,24.8,23.0,23.0,22
17,2021-03-15,24.78,24.78,22.975,23.9,1294
18,2021-03-16,24.0,24.0,22.35,23.0,1020
19,2021-03-17,24.0,24.0,22.93,23.0,164
20,2021-03-18,24.0,24.0,22.35,22.5,224
21,2021-03-19,22.61,24.0,22.61,24.0,1197
22,2021-03-22,24.78,24.78,24.0,24.0,106
23,2021-03-23,24.78,24.78,22.3,22.3,254
24,2021-03-24,24.775,24.775,23.005,23.305,454
25,2021-03-25,24.48,24.48,22.3,22.4,675
26,2021-03-26,23.0,23.72,22.785,23.72,132
27,2021-03-29,23.715,23.715,23.715,23.715,2
28,2021-03-30,23.72,23.72,22.905,23.72,227
29,2021-03-31,23.72,23.72,22.5,23.46,240
30,2021-04-01,23.715,23.715,22.22,23.525,89
31,2021-04-06,23.72,23.72,22.22,22.25,390
32,2021-04-07,23.0,23.45,22.99,23.45,8653
33,2021-04-08,23.72,23.72,23.45,23.45,44
34,2021-04-09,23.39,23.39,22.26,22.26,69
35,2021-04-12,23.48,23.48,22.22,22.22,885
36,2021-04-13,22.22,22.22,22.22,22.22,94
37,2021-04-14,23.0,23.0,22.5,22.5,8610
38,2021-04-15,23.0,23.0,22.0,22.5,447
39,2021-04-16,23.4,23.4,22.0,22.0,71
40,2021-04-19,23.2,23.2,21.8,23.0,967
41,2021-04-20,23.28,23.28,23.0,23.0,232
42,2021-04-21,23.19,23.19,22.34,23.0,684
43,2021-04-22,23.0,23.0,22.8,22.8,519
44,2021-04-23,23.0,23.0,22.5,22.5,1385
45,2021-04-26,22.8,23.19,21.9,23.19,184
46,2021-04-27,23.19,23.3,22.5,23.2,362
47,2021-04-28,23.2,26.0,22.5,25.99,726
48,2021-04-29,26.0,26.0,24.0,24.0,783
49,2021-04-30,25.8,25.8,23.42,24.655,105
50,2021-05-04,24.7,24.7,24.5,24.5,124
51,2021-05-05,25.5,25.5,24.075,24.075,4
52,2021-05-06,24.075,24.075,22.5,22.5,324
53,2021-05-07,22.5,23.5,22.5,23.5,203
54,2021-05-11,25.5,25.5,23.5,24.05,147
55,2021-05-12,24.49,24.49,22.925,22.925,47
56,2021-05-13,23.895,23.895,23.0,23.0,396
57,2021-05-18,25.5,25.5,25.5,25.5,2
58,2021-05-19,25.5,25.5,24.5,24.615,250
59,2021-05-20,25.0,25.0,24.0,24.0,52
60,2021-05-21,24.0,24.0,24.0,24.0,2
61,2021-05-24,24.0,24.0,24.0,24.0,2
62,2021-05-25,24.0,24.0,22.92,22.92,47
63,2021-05-26,24.0,24.0,24.0,24.0,5
64,2021-05-27,24.0,24.0,23.5,23.5,135
65,2021-05-28,24.85,24.85,24.765,24.765,4
66,2021-05-31,24.85,24.85,23.5,23.5,162
67,2021-06-01,22.9,22.9,22.9,22.9,70
68,2021-06-02,22.5,22.5,22.25,22.25,245
69,2021-06-04,21.9,21.9,21.0,21.9,110
70,2021-06-07,22.0,22.395,21.0,21.0,362
71,2021-06-08,21.0,22.0,20.0,21.5,420
72,2021-06-09,21.0,21.135,20.205,21.135,507
73,2021-06-10,21.135,21.135,19.0,19.5,827
74,2021-06-11,20.2,20.2,17.998,19.998,1619
75,2021-06-14,20.0,20.0,19.512,19.512,231
76,2021-06-15,18.1,19.056,18.1,19.056,409
77,2021-06-16,19.51,19.51,18.42,18.42,127
78,2021-06-17,18.42,18.42,18.42,18.42,98
79,2021-06-18,18.42,18.958,18.42,18.958,265
80,2021-06-21,19.0,19.0,19.0,19.0,8
81,2021-06-22,19.5,19.5,19.5,19.5,2
82,2021-06-23,19.5,19.5,18.42,19.0,265
83,2021-06-24,20.0,20.0,18.532,18.532,137
84,2021-06-25,18.382,18.382,18.382,18.382,5
85,2021-06-29,18.0,18.4,18.0,18.4,60
86,2021-06-30,18.0,18.05,18.0,18.0,492
87,2021-07-01,19.0,19.0,19.0,19.0,2
88,2021-07-02,19.0,19.0,19.0,19.0,5
89,2021-07-05,19.0,19.0,19.0,19.0,2
90,2021-07-06,19.0,19.0,18.0,18.0,153
91,2021-07-07,18.0,18.0,18.0,18.0,230
92,2021-07-08,19.0,19.0,19.0,19.0,2
93,2021-07-09,19.0,19.3,18.44,19.3,148
94,2021-07-12,19.1,19.1,19.1,19.1,2
95,2021-07-13,19.29,19.29,18.588,18.588,102
96,2021-07-14,18.7,20.22,18.7,19.262,686
97,2021-07-15,19.262,19.262,19.262,19.262,2
98,2021-07-16,19.262,19.262,18.44,19.0,152
99,2021-07-19,19.0,19.0,18.0,18.0,210
100,2021-07-20,18.0,18.376,17.318,18.376,172
101,2021-07-21,19.262,19.262,19.262,19.262,2
102,2021-07-22,19.262,19.262,18.226,18.226,127
103,2021-07-23,18.0,18.5,18.0,18.5,35
104,2021-07-26,19.262,19.262,18.162,18.162,202
105,2021-07-27,18.0,18.0,18.0,18.0,449
106,2021-07-28,17.998,17.998,17.998,17.998,105
107,2021-07-29,18.002,18.002,17.5,17.5,188
108,2021-07-30,17.55,17.55,17.5,17.5,15654
109,2021-08-02,18.994,18.994,18.994,18.994,5
110,2021-08-03,18.994,18.994,17.86,18.0,276
