,Date,Open,High,Low,Close,Volume
0,2011-06-13,1.3883,1.3883,1.3883,1.3883,720750
1,2011-06-14,1.5867,1.904,1.53,1.904,293795
2,2011-06-15,2.1533,2.2667,1.3827,1.5017,836933
3,2011-06-16,1.411,1.938,1.2467,1.921,502800
4,2011-06-17,1.8133,1.9097,1.3997,1.3997,372829
5,2011-06-20,1.2863,1.394,1.054,1.0993,423582
6,2011-06-21,1.0937,1.2353,1.0937,1.1107,217038
7,2011-06-22,1.1107,1.1503,0.918,1.0087,115867
8,2011-06-24,0.9293,1.0653,0.9123,0.9463,57446
9,2011-06-27,0.9917,0.9917,0.85,0.85,86370
10,2011-06-28,0.8217,0.8727,0.7367,0.782,59202
11,2011-06-29,0.748,0.9067,0.6913,0.85,78976
12,2011-06-30,0.85,0.99,0.85,0.99,59042
13,2011-07-01,0.9917,0.9917,0.85,0.9917,21376
14,2011-07-04,0.9917,1.326,0.9293,1.1333,154225
15,2011-07-05,1.1333,1.2467,1.0427,1.1787,62765
16,2011-07-06,1.1787,1.207,1.0767,1.1333,31106
17,2011-07-07,1.0597,1.122,0.9463,1.037,58560
18,2011-07-08,1.037,1.0597,0.9633,1.003,30808
19,2011-07-11,0.9633,1.2013,0.9633,1.173,76604
20,2011-07-12,1.2183,1.326,1.1787,1.2297,79073
21,2011-07-13,1.2523,1.258,1.0653,1.1617,147122
22,2011-07-14,1.1503,1.156,1.088,1.088,14275
23,2011-07-15,1.0993,1.2977,1.0823,1.1617,74284
24,2011-07-18,1.1617,1.1617,1.0653,1.1107,32389
25,2011-07-19,1.0993,1.0993,1.0257,1.0313,45279
26,2011-07-20,1.0313,1.2297,1.0257,1.037,81505
27,2011-07-21,1.088,1.105,1.0257,1.0483,13553
28,2011-07-22,1.0937,1.105,1.0653,1.0653,14162
29,2011-07-25,1.0483,1.0767,1.0143,1.02,8642
30,2011-07-26,1.0143,1.0313,1.0143,1.0143,9353
31,2011-07-27,1.0143,1.0143,0.9067,0.9577,33501
32,2011-07-28,0.9237,0.935,0.9067,0.935,9397
33,2011-07-29,0.96,0.96,0.91,0.96,3538
34,2011-08-01,0.9067,1.1277,0.85,1.122,46698
35,2011-08-02,0.9067,0.9577,0.7083,0.7083,513224
36,2011-08-03,0.6687,0.7537,0.5327,0.5327,717406
37,2011-08-04,0.578,0.578,0.374,0.4363,334825
38,2011-08-05,0.357,0.425,0.2947,0.3683,240519
39,2011-08-08,0.3513,0.374,0.3117,0.357,321455
40,2011-08-09,0.34,0.34,0.2947,0.3117,46489
41,2011-08-10,0.34,0.3457,0.306,0.34,88705
42,2011-08-11,0.3173,0.3173,0.2663,0.2663,417538
43,2011-08-12,0.2777,0.3287,0.2663,0.3287,206931
44,2011-08-16,0.323,0.357,0.2833,0.289,175775
45,2011-08-17,0.2833,0.2833,0.2437,0.2663,142902
46,2011-08-18,0.2777,0.2777,0.2437,0.2607,87815
47,2011-08-19,0.2437,0.3003,0.2437,0.2777,89520
48,2011-08-22,0.3003,0.323,0.2777,0.323,126584
49,2011-08-23,0.3287,0.357,0.3117,0.3343,102048
50,2011-08-24,0.3513,0.3683,0.2833,0.3627,207801
51,2011-08-25,0.391,0.408,0.34,0.3967,158554
52,2011-08-26,0.3853,0.408,0.34,0.3683,110647
53,2011-08-29,0.357,0.3797,0.3287,0.3797,40219
54,2011-08-30,0.3627,0.3627,0.3173,0.3343,88772
55,2011-08-31,0.33,0.35,0.3,0.33,37969
56,2011-09-01,0.3343,0.34,0.3003,0.3343,22922
57,2011-09-02,0.33,0.33,0.3,0.33,19924
58,2011-09-05,0.3287,0.3287,0.306,0.3287,5513
59,2011-09-06,0.3287,0.3287,0.306,0.3287,3201
60,2011-09-07,0.3287,0.3287,0.323,0.323,759
61,2011-09-08,0.306,0.323,0.3003,0.3003,20585
62,2011-09-09,0.3173,0.3173,0.289,0.3173,14975
63,2011-09-12,0.289,0.289,0.2607,0.2607,36815
