,Date,Open,High,Low,Close,Volume
0,2011-09-29,3.9847,4.6879,3.594,3.9847,58229.0
1,2011-09-30,4.141,4.141,2.9691,3.0472,16039.0
2,2011-10-03,3.0472,3.0472,2.5002,2.6566,6709.0
3,2011-10-04,2.2657,2.7347,2.2657,2.3438,3976.0
4,2011-10-05,2.2657,3.5159,2.2657,3.5159,17675.0
5,2011-10-06,3.5159,3.9847,3.0472,3.594,10619.0
6,2011-10-07,3.5159,3.594,3.2034,3.5159,1218.0
7,2011-10-10,3.1251,3.2815,2.5002,2.5783,2310.0
8,2011-10-11,2.8908,3.0472,2.4221,3.0472,3679.0
9,2011-10-12,2.5002,2.9691,2.5002,2.5783,2320.0
10,2011-10-13,3.0472,3.0472,2.5002,2.5783,1117.0
11,2011-10-14,2.5002,2.7347,2.3438,2.7347,4243.0
12,2011-10-17,2.7347,2.7347,2.3438,2.3438,1575.0
13,2011-10-18,2.6566,2.6566,2.1877,2.4221,4021.0
14,2011-10-19,2.2657,2.8908,2.2657,2.7347,2607.0
15,2011-10-20,2.4221,2.5002,2.3438,2.3438,4761.0
16,2011-10-21,2.3438,2.3438,1.8752,2.0313,3135.0
17,2011-10-24,1.9532,2.3438,1.9532,2.3438,161.0
18,2011-10-25,2.2657,2.2657,1.8752,2.1877,3785.0
19,2011-10-26,1.9532,2.1877,1.8752,1.9532,4061.0
20,2011-10-27,2.0313,2.0313,1.797,1.8752,654.0
21,2011-10-28,2.0313,2.1877,1.9532,2.1877,2089.0
22,2011-10-31,2.1877,2.2657,2.0313,2.0313,1409.0
23,2011-11-02,2.0313,2.0313,1.8752,2.0313,523.0
24,2011-11-04,1.8752,2.1096,1.8752,1.8752,1203.0
25,2011-11-07,1.797,1.8752,1.797,1.8752,267.0
26,2011-11-08,2.1096,2.1096,1.8752,2.0313,101.0
27,2011-11-09,2.1096,2.1096,1.9532,1.9532,413.0
28,2011-11-10,1.8752,2.0313,1.8752,2.0313,825.0
29,2011-11-14,2.1096,2.1096,1.8752,2.1096,116.0
30,2011-11-15,2.0313,2.2657,2.0313,2.2657,589.0
31,2011-11-16,2.2657,2.2657,2.2657,2.2657,65.0
32,2011-11-17,1.8752,2.2657,1.8752,2.1096,408.0
33,2011-11-21,2.1096,2.1096,2.1096,2.1096,70.0
34,2011-11-22,1.7189,2.1096,1.7189,2.1096,5.0
35,2011-11-23,1.9532,2.1096,1.9532,2.1096,141.0
36,2011-11-24,2.1096,2.1096,1.797,2.1096,126.0
37,2011-11-25,1.797,2.0313,1.7189,2.0313,1112.0
38,2011-11-28,1.8752,2.0313,1.6407,2.0313,2526.0
39,2011-11-29,1.5627,1.9532,1.5627,1.9532,528.0
40,2011-11-30,1.5627,1.5627,1.5627,1.5627,1278.0
41,2011-12-01,1.7189,1.7189,1.7189,1.7189,544.0
42,2011-12-02,1.797,2.1096,1.797,1.9532,3870.0
43,2011-12-05,2.1877,2.1877,1.797,1.9532,1772.0
44,2011-12-13,1.797,2.2657,1.797,2.2657,629.0
45,2011-12-15,2.0313,2.0313,1.8752,1.8752,815.0
46,2011-12-16,2.0313,2.0313,2.0313,2.0313,65.0
47,2011-12-21,1.8752,2.0313,1.797,2.0313,2013.0
48,2011-12-22,1.9532,1.9532,1.9532,1.9532,257.0
49,2011-12-23,1.7189,2.0313,1.6407,2.0313,1183.0
50,2011-12-27,1.9532,1.9532,1.9532,1.9532,141.0
51,2011-12-30,1.9532,2.0313,1.9532,2.0313,574.0
52,2012-01-03,2.1096,2.1096,2.1096,2.1096,65.0
53,2012-01-10,1.797,2.0313,1.7189,2.0313,644.0
54,2012-01-16,2.0313,2.1096,2.0313,2.1096,166.0
55,2012-01-19,2.0313,2.0313,2.0313,2.0313,257.0
56,2012-01-23,2.0313,2.1096,2.0313,2.1096,408.0
57,2012-01-25,1.797,1.797,1.797,1.797,297.0
58,2012-01-26,1.797,2.0313,1.797,2.0313,171.0
59,2012-01-30,1.797,1.8752,1.797,1.797,1359.0
60,2012-01-31,1.797,1.797,1.797,1.797,795.0
61,2012-02-01,1.9532,1.9532,1.9532,1.9532,257.0
62,2012-02-02,1.797,1.797,1.797,1.797,191.0
63,2012-02-06,1.797,1.9532,1.797,1.9532,745.0
64,2012-02-17,1.9532,1.9532,1.9532,1.9532,377.0
65,2012-02-29,1.6407,1.6407,1.6407,1.6407,
66,2012-03-01,1.8752,1.8752,1.8752,1.8752,
67,2012-03-05,1.6407,1.6407,1.6407,1.6407,644.0
68,2012-03-06,1.5627,1.5627,1.4064,1.5627,3609.0
69,2012-03-07,1.3282,1.3282,1.3282,1.3282,
70,2012-03-08,1.3282,1.3282,1.3282,1.3282,257.0
71,2012-03-13,1.4064,1.6407,1.4064,1.6407,2728.0
72,2012-03-14,1.6407,1.6407,1.6407,1.6407,15.0
73,2012-03-20,1.6407,1.6407,1.6407,1.6407,478.0
74,2012-03-22,1.4845,1.6407,1.4845,1.6407,423.0
75,2012-03-27,1.4064,1.5627,1.4064,1.5627,1112.0
76,2012-04-03,1.3282,1.4845,1.3282,1.4845,448.0
77,2012-04-12,1.3282,1.3282,1.3282,1.3282,629.0
78,2012-04-13,1.2501,1.4845,1.2501,1.4845,322.0
79,2012-04-20,1.5627,1.5627,1.4064,1.5627,1726.0
80,2012-05-10,1.5627,1.5627,1.5627,1.5627,75.0
81,2012-05-15,1.3282,1.5627,1.3282,1.5627,715.0
