,Date,Open,High,Low,Close,Volume
0,2008-06-23,4.3991,4.4165,4.0571,4.231,39663
1,2008-06-24,4.3413,4.3413,4.0861,4.2833,5986
2,2008-06-25,4.1092,4.3294,4.1092,4.3294,139
3,2008-06-27,4.231,4.231,4.231,4.231,237
4,2008-07-01,4.0571,4.0571,4.0571,4.0571,174
5,2008-07-02,3.8891,4.0571,3.8891,4.0571,4873
6,2008-07-03,3.9702,3.9702,3.9702,3.9702,2062
7,2008-07-07,3.9992,3.9992,3.9992,3.9992,914
8,2008-07-08,3.9992,4.2542,3.9414,4.2542,6038
9,2008-07-09,3.8948,4.1673,3.8948,4.1673,10432
10,2008-07-11,3.9992,4.1441,3.9992,4.1441,2300
11,2008-07-15,3.9414,3.9414,3.9414,3.9414,2588
12,2008-07-16,3.9414,3.9414,3.9414,3.9414,291
13,2008-07-22,3.8832,4.1673,3.8832,4.1673,776
14,2008-07-24,4.5788,4.5788,4.5788,4.5788,17
15,2008-07-25,4.1441,4.3585,4.1441,4.3585,1959
16,2008-07-29,4.3585,4.3585,4.3585,4.3585,85
17,2008-07-30,3.9354,3.9414,3.9354,3.9414,2675
18,2008-07-31,4.0048,4.2658,4.0048,4.2658,1900
19,2008-08-05,4.115,4.2194,4.115,4.115,1672
20,2008-08-11,4.1556,4.1556,4.1556,4.1556,147
21,2008-08-12,4.2833,4.2833,4.2833,4.2833,1
22,2008-08-18,4.2833,4.2833,4.115,4.115,652
23,2008-08-20,4.115,4.115,4.115,4.115,328
24,2008-08-22,4.2774,4.2774,4.2774,4.2774,1
25,2008-08-25,4.2774,4.2774,4.2774,4.2774,588
26,2008-08-29,4.3585,4.3585,4.3585,4.3585,5
27,2008-09-02,4.3585,4.3585,4.3585,4.3585,174
28,2008-09-05,4.3644,4.3644,4.2717,4.3413,603
29,2008-09-08,4.2542,4.2542,4.2542,4.2542,1369
30,2008-09-09,4.2542,4.2542,4.2542,4.2542,347
31,2008-09-12,4.3179,4.3179,4.0282,4.0861,9087
32,2008-09-15,3.9992,4.173,3.9992,4.173,1924
33,2008-09-16,4.0861,4.173,4.0861,4.173,606
34,2008-09-17,4.0861,4.0861,4.0571,4.0571,1958
35,2008-09-18,3.976,3.976,3.976,3.976,2003
36,2008-09-19,3.8948,3.8948,3.8136,3.8948,1660
37,2008-09-22,3.976,3.976,3.8948,3.976,2128
38,2008-09-23,4.0571,4.0571,3.976,3.976,2051
39,2008-09-25,3.8254,3.8891,3.7964,3.8891,2010
40,2008-09-30,4.1673,4.1673,4.1673,4.1673,5
41,2008-10-02,3.8891,4.0513,3.8891,3.9702,4740
42,2008-10-03,3.831,3.831,3.831,3.831,1459
