,Date,Open,High,Low,Close,Volume
0,2008-10-02,1.55,1.55,1.1,1.19,120368
1,2008-10-03,1.19,1.4,1.04,1.3,33924
2,2008-10-06,1.17,1.17,1.01,1.01,14185
3,2008-10-07,1.09,1.09,0.95,0.95,4125
4,2008-10-08,0.95,1.0,0.82,0.95,14717
5,2008-10-09,0.95,0.95,0.85,0.85,876
6,2008-10-10,0.9,0.9,0.85,0.85,2871
7,2008-10-13,1.0,1.0,1.0,1.0,80
8,2008-10-14,1.0,1.04,0.87,0.95,7365
9,2008-10-15,0.95,0.95,0.78,0.78,7569
10,2008-10-20,0.8,0.8,0.8,0.8,1
11,2008-10-21,0.84,0.84,0.73,0.73,3715
12,2008-10-22,0.78,0.78,0.6,0.67,9335
13,2008-10-23,0.65,0.65,0.6,0.6,1160
14,2008-10-24,0.7,0.72,0.66,0.7,1794
15,2008-10-27,0.75,0.76,0.6,0.7,11000
16,2008-10-28,0.7,0.73,0.7,0.7,758
17,2008-10-29,0.72,0.72,0.71,0.72,6779
18,2008-10-30,0.65,0.71,0.6,0.71,2925
19,2008-11-03,0.72,0.72,0.72,0.72,10
20,2008-11-04,0.6,0.72,0.6,0.72,6491
21,2008-11-05,0.72,0.72,0.72,0.72,4139
22,2008-11-06,0.69,0.69,0.64,0.69,3710
23,2008-11-10,0.71,0.71,0.71,0.71,5
24,2008-11-12,0.69,0.72,0.69,0.72,2000
25,2008-11-13,0.7,0.72,0.7,0.7,1000
26,2008-11-14,0.62,0.62,0.62,0.62,650
27,2008-11-17,0.7,0.7,0.7,0.7,500
28,2008-11-18,0.69,0.69,0.69,0.69,2
29,2008-11-19,0.69,0.75,0.57,0.73,5700
30,2008-11-20,0.61,0.61,0.61,0.61,2
31,2008-11-21,0.63,0.63,0.63,0.63,1
32,2008-11-24,0.66,0.66,0.66,0.66,1
33,2008-11-26,0.67,0.67,0.67,0.67,1
34,2008-11-27,0.69,0.69,0.62,0.69,5010
35,2008-11-28,0.69,0.69,0.69,0.69,10
36,2008-12-01,0.64,0.64,0.64,0.64,2000
37,2008-12-02,0.65,0.65,0.61,0.61,657
38,2008-12-03,0.61,0.61,0.61,0.61,1
39,2008-12-04,0.61,0.61,0.61,0.61,167
40,2008-12-05,0.65,0.65,0.65,0.65,100
41,2008-12-09,0.59,0.63,0.49,0.51,52023
42,2008-12-10,0.53,0.57,0.52,0.52,15800
43,2008-12-11,0.56,0.56,0.56,0.56,2
44,2008-12-12,0.54,0.54,0.54,0.54,365
45,2008-12-15,0.54,0.54,0.54,0.54,105001
46,2008-12-16,0.54,0.54,0.54,0.54,1
47,2008-12-17,0.55,0.55,0.55,0.55,1
48,2008-12-18,0.5,0.5,0.47,0.47,18000
49,2008-12-19,0.54,0.54,0.54,0.54,1
50,2008-12-22,0.54,0.54,0.5,0.5,4238
51,2008-12-23,0.5,0.5,0.5,0.5,4999
52,2008-12-29,0.54,0.54,0.54,0.54,1
53,2008-12-30,0.54,0.54,0.54,0.54,1
54,2008-12-31,0.58,0.58,0.58,0.58,1
55,2009-01-05,0.59,0.59,0.59,0.59,1
56,2009-01-07,0.58,0.58,0.58,0.58,1
57,2009-01-08,0.58,0.58,0.58,0.58,1
58,2009-01-09,0.58,0.58,0.58,0.58,1
59,2009-01-12,0.58,0.58,0.58,0.58,1
60,2009-01-13,0.58,0.58,0.58,0.58,1
61,2009-01-14,0.58,0.8,0.58,0.79,117381
62,2009-01-15,0.65,0.94,0.65,0.92,46670
63,2009-01-19,0.74,0.82,0.74,0.82,30000
64,2009-01-20,0.66,0.66,0.66,0.66,665
65,2009-01-21,0.6,0.6,0.6,0.6,1074
66,2009-01-23,0.6,0.6,0.6,0.6,1
67,2009-01-26,0.6,0.72,0.5,0.5,1400
68,2009-01-27,0.5,0.6,0.5,0.6,2140
69,2009-01-28,0.62,0.62,0.62,0.62,1
70,2009-01-29,0.62,0.62,0.62,0.62,1
71,2009-02-02,0.56,0.59,0.5,0.5,2500
72,2009-02-03,0.59,0.59,0.59,0.59,1248
73,2009-02-04,0.48,0.6,0.48,0.6,540
74,2009-02-05,0.41,0.57,0.4,0.57,25252
75,2009-02-06,0.5,0.56,0.46,0.56,5278
76,2009-02-09,0.56,0.56,0.56,0.56,100
77,2009-02-10,0.48,0.58,0.48,0.58,1500
78,2009-02-13,0.47,0.48,0.47,0.48,7600
79,2009-02-16,0.49,0.49,0.48,0.48,13730
80,2009-02-19,0.49,0.49,0.49,0.49,1
81,2009-02-20,0.49,0.49,0.49,0.49,1
82,2009-02-24,0.47,0.47,0.47,0.47,1600
83,2009-02-25,0.46,0.46,0.46,0.46,2380
84,2009-02-26,0.48,0.48,0.48,0.48,1600
85,2009-03-02,0.48,0.48,0.48,0.48,2140
86,2009-03-03,0.49,0.6,0.49,0.53,17211
87,2009-03-04,0.62,0.74,0.62,0.65,20928
88,2009-03-05,0.64,0.64,0.45,0.45,150
89,2009-03-06,0.46,0.54,0.46,0.51,6563
90,2009-03-10,0.48,0.56,0.48,0.56,4240
91,2009-03-11,0.57,0.64,0.5,0.59,4653
92,2009-03-12,0.62,0.63,0.55,0.63,16660
93,2009-03-16,0.62,0.73,0.62,0.73,5738
94,2009-03-20,0.59,0.62,0.59,0.6,5801
95,2009-03-23,0.63,0.63,0.63,0.63,1
96,2009-03-24,0.63,0.63,0.63,0.63,1
97,2009-03-25,0.63,0.63,0.63,0.63,1998
98,2009-03-27,0.63,0.63,0.63,0.63,198
99,2009-03-30,0.69,0.69,0.69,0.69,1200
100,2009-04-01,0.67,0.67,0.67,0.67,1917
101,2009-04-03,0.6,0.67,0.6,0.67,1810
102,2009-04-06,0.55,0.89,0.55,0.86,10954
103,2009-04-15,0.98,0.98,0.97,0.97,1050
104,2009-04-16,0.94,0.94,0.94,0.94,450
105,2009-04-20,1.11,1.19,0.91,0.91,2742
106,2009-04-23,0.98,0.98,0.98,0.98,2000
107,2009-04-27,1.13,1.13,0.95,0.95,150
108,2009-04-28,0.87,1.09,0.87,1.09,2000
109,2009-04-29,0.97,0.97,0.97,0.97,40
110,2009-04-30,0.78,0.95,0.73,0.82,11720
111,2009-05-07,0.74,0.74,0.74,0.74,2490
112,2009-05-11,0.72,0.72,0.7,0.7,9000
113,2009-05-20,0.6,0.65,0.6,0.6,23343
114,2009-05-22,0.61,0.65,0.61,0.65,101
115,2009-06-03,0.64,0.65,0.64,0.65,3000
116,2009-06-08,0.67,0.67,0.67,0.67,50
117,2009-06-09,0.68,0.8,0.68,0.79,22618
118,2009-06-10,0.8,0.8,0.65,0.79,1043
119,2009-06-12,0.65,0.84,0.65,0.84,981
120,2009-06-15,0.68,0.83,0.68,0.83,1640
121,2009-06-16,0.69,0.8,0.69,0.8,590
122,2009-06-17,0.79,0.85,0.75,0.75,1202
123,2009-06-18,0.78,0.79,0.78,0.79,101
124,2009-06-24,0.82,0.82,0.82,0.82,10
125,2009-06-25,0.7,0.82,0.7,0.7,2002
126,2009-06-26,0.65,0.74,0.65,0.74,367
127,2009-06-29,0.65,0.65,0.64,0.64,4000
128,2009-06-30,0.69,0.69,0.66,0.66,12150
129,2009-07-01,0.7,0.7,0.7,0.7,10
130,2009-07-03,0.6,0.7,0.6,0.7,5769
131,2009-07-06,0.65,0.7,0.65,0.7,4278
132,2009-07-07,0.71,0.72,0.71,0.72,1900
133,2009-07-08,0.7,0.7,0.7,0.7,14500
134,2009-07-10,0.65,0.79,0.65,0.79,11400
135,2009-07-13,0.68,0.68,0.68,0.68,1331
136,2009-07-14,0.65,0.72,0.65,0.72,685
137,2009-07-15,0.72,0.72,0.72,0.72,140
138,2009-07-16,0.63,0.71,0.6,0.71,9477
139,2009-07-17,0.71,0.71,0.71,0.71,700
140,2009-07-20,0.68,0.69,0.68,0.69,2930
141,2009-07-27,0.69,0.69,0.69,0.69,5000
142,2009-07-28,0.61,0.7,0.61,0.7,14007
143,2009-07-31,0.7,0.7,0.7,0.7,5000
144,2009-08-04,0.65,0.65,0.65,0.65,5000
145,2009-08-05,0.65,0.65,0.65,0.65,1000
146,2009-08-06,0.61,0.62,0.6,0.62,20900
147,2009-08-10,0.6,0.63,0.6,0.63,3470
148,2009-08-11,0.63,0.88,0.63,0.7,54047
149,2009-08-12,0.67,0.68,0.67,0.68,1700
150,2009-08-13,0.69,0.74,0.69,0.7,29312
151,2009-08-14,0.71,0.75,0.67,0.73,35001
152,2009-08-17,0.73,0.73,0.65,0.66,13711
153,2009-08-18,0.64,0.64,0.6,0.64,26446
154,2009-08-19,0.62,0.63,0.62,0.63,11985
155,2009-08-20,0.63,0.67,0.62,0.65,29270
156,2009-08-21,0.64,0.64,0.64,0.64,9000
157,2009-08-24,0.64,0.64,0.63,0.63,7433
158,2009-08-25,0.65,0.73,0.65,0.72,68700
159,2009-08-26,0.69,0.7,0.69,0.7,14824
160,2009-08-27,0.68,0.7,0.68,0.7,7000
161,2009-08-28,0.68,0.68,0.67,0.67,3770
162,2009-08-31,0.67,0.67,0.65,0.65,7500
163,2009-09-02,0.63,0.68,0.57,0.68,40200
164,2009-09-03,0.65,0.65,0.65,0.65,2000
165,2009-09-04,0.64,0.64,0.64,0.64,2850
166,2009-09-07,0.62,0.62,0.6,0.6,5400
167,2009-09-08,0.62,0.63,0.6,0.6,25100
168,2009-09-10,0.6,0.6,0.6,0.6,9350
169,2009-09-16,0.59,0.6,0.59,0.6,5765
170,2009-09-17,0.59,0.6,0.58,0.6,2300
171,2009-09-18,0.57,0.6,0.57,0.6,6500
172,2009-09-21,0.58,0.58,0.57,0.57,4000
173,2009-09-23,0.56,0.6,0.56,0.6,2100
174,2009-09-24,0.6,0.64,0.6,0.64,1300
175,2009-09-25,0.55,0.64,0.55,0.64,30100
176,2009-09-28,0.58,0.63,0.57,0.63,35798
177,2009-09-29,0.59,0.59,0.59,0.59,300
178,2009-09-30,0.57,0.57,0.54,0.55,16500
179,2009-10-02,0.58,0.58,0.58,0.58,400
180,2009-10-05,0.56,0.56,0.56,0.56,6459
181,2009-10-06,0.55,0.55,0.55,0.55,8826
182,2009-10-08,0.55,0.56,0.55,0.56,2000
183,2009-10-09,0.54,0.55,0.51,0.51,2000
184,2009-10-12,0.51,0.51,0.51,0.51,519
185,2009-10-13,0.53,0.53,0.48,0.48,8000
186,2009-10-14,0.5,0.5,0.5,0.5,5822
187,2009-10-16,0.5,0.5,0.48,0.49,2790
188,2009-10-20,0.47,0.47,0.44,0.44,8919
189,2009-10-21,0.48,0.48,0.48,0.48,710
190,2009-10-23,0.46,0.47,0.46,0.47,1141
191,2009-10-27,0.45,0.48,0.45,0.48,7550
192,2009-10-28,0.49,0.5,0.49,0.5,6500
193,2009-10-29,0.5,0.6,0.5,0.54,53362
194,2009-10-30,0.55,0.57,0.5,0.5,8670
195,2009-11-02,0.51,0.55,0.47,0.5,12440
196,2009-11-03,0.49,0.49,0.49,0.49,4000
197,2009-11-04,0.47,0.47,0.46,0.46,5000
198,2009-11-05,0.48,0.6,0.48,0.59,50973
199,2009-11-06,0.59,0.59,0.55,0.55,11929
200,2009-11-10,0.55,0.64,0.54,0.6,29491
201,2009-11-12,0.62,0.62,0.55,0.62,371
202,2009-11-16,0.56,0.61,0.56,0.61,3001
203,2009-11-17,0.62,0.63,0.62,0.63,9300
204,2009-11-18,0.62,0.62,0.6,0.62,4925
205,2009-11-19,0.61,0.65,0.61,0.65,35569
206,2009-11-23,0.62,0.62,0.62,0.62,10
207,2009-11-24,0.63,0.63,0.62,0.62,5040
208,2009-11-25,0.62,0.62,0.57,0.59,7000
209,2009-11-27,0.57,0.63,0.57,0.63,4800
210,2009-12-01,0.6,0.66,0.58,0.65,24251
211,2009-12-02,0.65,0.7,0.65,0.7,32578
212,2009-12-04,0.69,0.71,0.69,0.71,10210
213,2009-12-08,0.65,0.68,0.64,0.68,4500
214,2009-12-11,0.66,0.66,0.65,0.65,1297
215,2009-12-14,0.69,0.73,0.69,0.73,1624
216,2009-12-16,0.66,0.66,0.65,0.65,6000
217,2009-12-17,0.65,0.65,0.6,0.6,7958
218,2009-12-18,0.59,0.64,0.59,0.62,4664
219,2009-12-21,0.62,0.62,0.62,0.62,17000
220,2009-12-22,0.62,0.63,0.62,0.63,12000
221,2009-12-23,0.63,0.63,0.63,0.63,6300
222,2009-12-29,0.64,0.64,0.64,0.64,6500
223,2010-01-05,0.55,0.66,0.55,0.66,1050
224,2010-01-06,0.72,0.72,0.72,0.72,100
225,2010-01-07,0.72,0.76,0.72,0.76,16400
226,2010-01-08,0.76,0.78,0.76,0.78,500
227,2010-01-11,0.78,0.78,0.78,0.78,450
228,2010-01-12,0.78,0.9,0.78,0.82,36361
229,2010-01-13,0.8,0.85,0.75,0.81,4781
230,2010-01-14,0.76,0.8,0.75,0.8,9760
231,2010-01-15,0.74,0.86,0.73,0.81,15861
232,2010-01-18,0.81,0.84,0.81,0.84,6000
233,2010-01-19,0.77,0.86,0.77,0.86,1111
234,2010-01-20,0.75,0.85,0.74,0.85,18172
235,2010-01-28,0.73,0.83,0.72,0.83,9151
236,2010-02-03,0.77,0.77,0.72,0.72,5800
237,2010-02-04,0.78,0.86,0.78,0.86,8115
238,2010-02-05,0.82,0.85,0.81,0.85,4586
239,2010-02-08,0.82,0.82,0.75,0.75,7688
240,2010-02-09,0.76,0.82,0.75,0.82,26501
241,2010-02-11,0.8,0.8,0.76,0.76,6000
242,2010-02-12,0.79,0.79,0.79,0.79,300
243,2010-02-15,0.76,0.76,0.7,0.7,31132
244,2010-02-16,0.65,0.72,0.64,0.66,14296
245,2010-02-17,0.63,0.66,0.62,0.66,7171
246,2010-02-18,0.62,0.62,0.6,0.61,18600
247,2010-02-19,0.63,0.63,0.62,0.62,3000
248,2010-02-23,0.61,0.61,0.58,0.61,2696
249,2010-02-25,0.61,0.61,0.56,0.56,9758
250,2010-02-26,0.59,0.59,0.55,0.55,39087
251,2010-03-01,0.55,0.55,0.54,0.54,700
252,2010-03-02,0.53,0.59,0.53,0.59,25603
253,2010-03-03,0.59,0.59,0.59,0.59,6731
254,2010-03-04,0.6,0.6,0.6,0.6,2000
255,2010-03-05,0.6,0.6,0.6,0.6,3261
256,2010-03-08,0.6,0.6,0.58,0.58,7790
257,2010-03-09,0.55,0.55,0.55,0.55,7969
258,2010-03-10,0.58,0.58,0.56,0.56,3988
259,2010-03-11,0.56,0.56,0.56,0.56,1000
260,2010-03-12,0.58,0.62,0.58,0.62,15668
261,2010-03-15,0.61,0.62,0.59,0.62,32300
262,2010-03-16,0.59,0.59,0.59,0.59,2000
263,2010-03-17,0.62,0.64,0.62,0.64,16990
264,2010-03-19,0.64,0.64,0.58,0.61,20047
