,Date,Open,High,Low,Close,Volume
0,1998-10-14,2.7156,2.7156,2.7156,2.7156,9789.0
1,1998-10-15,2.4594,2.4594,2.4594,2.4594,
2,1998-10-16,2.2203,2.2203,2.2203,2.2203,
3,1998-10-19,2.2031,2.2031,2.2031,2.2031,763.0
4,1998-10-20,2.2203,2.2203,2.2203,2.2203,13015.0
5,1998-10-21,2.3484,2.3484,2.3484,2.3484,4188.0
6,1998-10-22,2.1285,2.1285,2.1285,2.1285,12001.0
7,1998-10-23,2.0922,2.0922,2.0922,2.0922,5161.0
8,1998-10-26,2.2031,2.2031,2.2031,2.2031,13449.0
9,1998-10-27,2.2031,2.2031,2.2031,2.2031,2641.0
10,1998-10-28,2.1476,2.1476,2.1476,2.1476,4324.0
11,1998-10-29,2.1113,2.1113,2.1113,2.1113,1061.0
12,1998-10-30,2.2949,2.2949,2.2949,2.2949,2562.0
13,1998-11-02,2.2566,2.2566,2.2566,2.2566,1255.0
14,1998-11-03,2.2949,2.2949,2.2949,2.2949,1307.0
15,1998-11-04,2.2949,2.2949,2.2949,2.2949,18751.0
16,1998-11-05,2.2758,2.2758,2.2758,2.2758,1375.0
17,1998-11-06,2.3484,2.3484,2.3484,2.3484,5992.0
18,1998-11-09,2.3484,2.3484,2.3484,2.3484,5501.0
19,1998-11-10,2.2203,2.2203,2.2203,2.2203,2719.0
20,1998-11-12,2.2203,2.2203,2.2203,2.2203,1088.0
21,1998-11-13,2.1648,2.1648,2.1648,2.1648,1631.0
22,1998-11-16,2.2031,2.2031,2.2031,2.2031,5009.0
23,1998-11-17,2.0922,2.0922,2.0922,2.0922,5825.0
24,1998-11-18,2.1113,2.1113,2.1113,2.1113,1903.0
25,1998-11-19,2.0195,2.0195,2.0195,2.0195,3906.0
26,1998-11-20,2.0558,2.0558,2.0558,2.0558,10908.0
27,1998-11-23,2.1285,2.1285,2.1285,2.1285,5992.0
28,1998-11-24,2.0195,2.0195,2.0195,2.0195,10348.0
29,1998-11-25,1.9086,1.9086,1.9086,1.9086,3812.0
30,1998-11-26,1.8722,1.8722,1.8722,1.8722,1537.0
