,Date,Open,High,Low,Close,Volume
0,2018-07-26,18.0,18.0,15.0,17.5,6899
1,2018-07-27,17.5,17.5,16.68,17.47,172
2,2018-07-30,17.47,17.47,16.21,17.47,813
3,2018-07-31,16.98,16.98,16.2,16.2,1167
4,2018-08-01,16.9,16.97,16.9,16.97,8923
5,2018-08-02,17.0,17.0,17.0,17.0,18
6,2018-08-03,17.47,17.47,16.0,17.47,5404
7,2018-08-06,17.47,17.47,16.3,17.47,5051
8,2018-08-07,17.47,17.47,16.99,17.47,25644
9,2018-08-08,17.47,17.47,17.47,17.47,2
10,2018-08-09,17.47,17.47,17.47,17.47,2
11,2018-08-10,17.47,17.47,17.47,17.47,1
12,2018-08-13,17.47,17.47,17.47,17.47,2
13,2018-08-14,17.47,17.47,16.7,17.45,402
14,2018-08-16,17.44,17.44,17.44,17.44,2
15,2018-08-17,17.44,17.44,17.44,17.44,2
16,2018-08-20,17.44,17.44,16.3,17.0,23
17,2018-08-21,17.44,17.44,17.44,17.44,2
18,2018-08-22,17.44,17.44,17.44,17.44,1
19,2018-08-23,17.44,17.44,17.44,17.44,2
20,2018-08-24,17.44,17.44,16.0,17.3,615
21,2018-08-27,17.44,17.44,17.44,17.44,1
22,2018-08-28,17.44,17.44,17.44,17.44,1
23,2018-08-29,17.44,17.44,16.1,17.2,582
24,2018-08-30,17.4,17.4,16.6,16.6,383
25,2018-08-31,17.4,17.4,16.7,17.1,911
26,2018-09-03,17.4,17.4,17.05,17.4,36
27,2018-09-04,17.4,17.45,17.12,17.45,232
28,2018-09-05,17.45,17.5,17.15,17.3,761
29,2018-09-07,17.5,17.5,17.4,17.4,481
30,2018-09-10,17.2,17.2,17.2,17.2,10
31,2018-09-11,17.2,17.2,17.2,17.2,1
32,2018-09-12,17.2,17.2,17.2,17.2,1
33,2018-09-13,17.2,17.2,17.2,17.2,1
34,2018-09-14,17.2,17.2,17.2,17.2,1
35,2018-09-17,17.1,17.1,16.4,17.1,372
36,2018-09-18,17.1,17.1,17.1,17.1,1
37,2018-09-19,17.0,17.0,17.0,17.0,1
38,2018-09-20,17.0,17.0,17.0,17.0,1
39,2018-09-21,17.1,17.1,15.88,16.8,1222
40,2018-09-24,16.8,16.8,16.8,16.8,1
41,2018-09-25,16.8,16.8,16.3,16.3,727
42,2018-09-26,16.8,16.8,15.9,16.8,22
43,2018-09-27,16.8,16.8,16.8,16.8,1
44,2018-09-28,16.8,16.8,16.8,16.8,2
45,2018-10-01,16.8,16.8,16.4,16.8,552
46,2018-10-02,16.8,17.1,16.8,17.1,3315
47,2018-10-03,17.1,17.2,17.09,17.09,2551
48,2018-10-04,16.99,17.0,16.21,17.0,1017
49,2018-10-05,17.0,17.0,17.0,17.0,2
50,2018-10-08,17.0,17.01,17.0,17.01,2
51,2018-10-09,16.25,16.9,16.25,16.9,210
52,2018-10-10,16.9,16.9,16.9,16.9,1
53,2018-10-11,16.9,17.0,16.9,17.0,2
54,2018-10-12,17.0,17.0,17.0,17.0,2
55,2018-10-15,17.0,17.0,17.0,17.0,2
56,2018-10-16,17.0,17.0,17.0,17.0,1
57,2018-10-17,17.0,17.0,17.0,17.0,1
58,2018-10-18,17.0,17.0,17.0,17.0,1
59,2018-10-19,17.0,17.0,17.0,17.0,1
60,2018-10-22,17.0,17.0,17.0,17.0,1
61,2018-10-23,16.5,17.0,16.5,17.0,188
62,2018-10-24,17.0,17.0,16.0,17.0,283
63,2018-10-25,17.0,17.0,16.21,17.0,553
64,2018-10-26,17.0,17.0,17.0,17.0,1
65,2018-10-30,17.0,17.0,17.0,17.0,1
66,2018-10-31,17.0,17.0,17.0,17.0,1
67,2018-11-02,17.0,17.0,17.0,17.0,1
68,2018-11-05,17.0,17.0,17.0,17.0,1
69,2018-11-06,17.0,17.0,17.0,17.0,1
70,2018-11-07,17.0,17.0,17.0,17.0,1
71,2018-11-08,17.0,17.0,17.0,17.0,1
72,2018-11-09,17.0,17.0,17.0,17.0,2
73,2018-11-13,17.0,17.0,17.0,17.0,12
74,2018-11-14,17.0,17.0,17.0,17.0,6
75,2018-11-15,17.0,17.0,17.0,17.0,1
76,2018-11-16,17.0,17.0,17.0,17.0,13
77,2018-11-19,17.0,17.0,17.0,17.0,13
78,2018-11-20,17.0,17.0,17.0,17.0,8
79,2018-11-21,17.0,17.0,17.0,17.0,6
80,2018-11-22,17.0,17.0,17.0,17.0,1
81,2018-11-23,17.0,17.0,15.3,17.0,400
82,2018-11-26,17.0,17.0,17.0,17.0,2
83,2018-11-27,17.0,17.0,17.0,17.0,1
84,2018-11-28,17.0,17.0,17.0,17.0,2
