,Date,Open,High,Low,Close,Volume
0,2012-03-16,1.2,1.2,0.78,1.05,87856
1,2012-03-19,1.04,1.05,0.96,1.05,26708
2,2012-03-20,1.05,1.05,0.95,1.03,17867
3,2012-03-21,1.02,1.02,0.95,1.01,10953
4,2012-03-22,0.88,0.99,0.88,0.99,7924
5,2012-03-23,0.86,0.97,0.86,0.97,425
6,2012-03-26,0.97,1.01,0.97,1.01,5310
7,2012-03-27,1.01,1.01,0.97,1.01,515
8,2012-03-28,1.01,1.02,0.98,1.02,995
9,2012-03-29,1.02,1.02,1.02,1.02,100
10,2012-03-30,1.02,1.02,0.97,1.01,1130
11,2012-04-02,1.01,1.01,1.01,1.01,1480
12,2012-04-03,0.99,1.01,0.96,1.01,3020
13,2012-04-04,1.01,1.03,0.82,0.93,23550
14,2012-04-05,0.9,0.9,0.9,0.9,200
15,2012-04-10,0.9,0.98,0.85,0.98,5599
16,2012-04-11,0.98,0.98,0.98,0.98,60
17,2012-04-12,0.85,0.99,0.85,0.99,5450
18,2012-04-13,0.85,1.01,0.85,1.01,8004
19,2012-04-16,1.0,1.0,1.0,1.0,12
20,2012-04-17,1.0,1.0,0.94,0.96,646
21,2012-04-18,0.96,0.96,0.96,0.96,300
22,2012-04-19,1.0,1.0,1.0,1.0,700
23,2012-04-20,0.99,1.0,0.85,0.9,17724
24,2012-04-23,0.86,0.91,0.75,0.75,31809
25,2012-04-24,0.89,0.89,0.77,0.82,6883
26,2012-04-25,0.83,0.97,0.83,0.97,1400
27,2012-04-26,0.97,0.97,0.86,0.91,3210
28,2012-04-27,0.97,0.97,0.97,0.97,50
29,2012-04-30,0.97,0.97,0.97,0.97,50
30,2012-05-02,0.97,0.97,0.97,0.97,50
31,2012-05-04,0.97,0.97,0.97,0.97,50
32,2012-05-07,0.99,0.99,0.99,0.99,100
33,2012-05-08,0.99,0.99,0.99,0.99,50
34,2012-05-09,1.0,1.0,0.92,0.92,208
35,2012-05-10,0.99,0.99,0.92,0.95,2248
36,2012-05-11,0.99,1.0,0.9,1.0,348
37,2012-05-22,0.9,0.9,0.9,0.9,2
38,2012-05-23,0.9,0.9,0.84,0.9,1000
39,2012-05-24,0.88,0.88,0.88,0.88,10
40,2012-05-25,0.88,0.88,0.88,0.88,22
41,2012-05-30,0.88,0.98,0.88,0.98,5906
42,2012-05-31,0.99,0.99,0.94,0.99,2999
43,2012-06-01,0.99,0.99,0.99,0.99,14
44,2012-06-04,0.99,0.99,0.87,0.92,658
45,2012-06-05,0.99,0.99,0.99,0.99,50
46,2012-06-08,1.0,1.0,1.0,1.0,1
47,2012-06-14,0.87,0.88,0.84,0.88,3067
48,2012-06-15,0.99,0.99,0.83,0.98,3303
49,2012-06-19,0.82,0.98,0.81,0.98,1801
50,2012-06-20,0.9,0.9,0.9,0.9,2833
51,2012-06-22,0.95,0.95,0.95,0.95,2
52,2012-06-25,0.95,0.95,0.95,0.95,4
53,2012-06-26,0.97,0.97,0.97,0.97,4
54,2012-06-27,0.97,0.97,0.97,0.97,5
55,2012-06-28,0.95,0.95,0.95,0.95,4
56,2012-06-29,0.96,0.96,0.96,0.96,4
57,2012-07-02,0.97,0.97,0.97,0.97,5
58,2012-07-03,0.97,0.97,0.97,0.97,12
59,2012-07-04,0.97,0.97,0.97,0.97,21
60,2012-07-05,0.97,0.97,0.97,0.97,7
61,2012-07-06,0.97,0.97,0.97,0.97,5
62,2012-07-10,0.97,0.97,0.97,0.97,3
63,2012-07-11,0.97,0.97,0.97,0.97,14
64,2012-07-12,0.94,0.94,0.94,0.94,4
65,2012-07-13,0.94,0.94,0.94,0.94,3
66,2012-07-16,0.94,0.94,0.94,0.94,2
67,2012-07-17,0.92,0.92,0.92,0.92,1
68,2012-07-18,0.9,0.9,0.9,0.9,1
69,2012-07-19,0.9,0.9,0.9,0.9,1
70,2012-07-20,0.9,0.9,0.9,0.9,1
71,2012-07-23,0.9,0.9,0.9,0.9,1
72,2012-07-25,0.9,0.9,0.9,0.9,1
73,2012-07-30,0.85,0.9,0.85,0.9,700
74,2012-08-07,0.94,0.94,0.94,0.94,100
75,2012-08-10,0.95,0.95,0.95,0.95,1
76,2012-08-28,0.95,0.95,0.95,0.95,1
77,2012-09-03,1.0,1.0,1.0,1.0,4
78,2012-09-19,1.0,1.0,1.0,1.0,1
79,2012-09-26,1.0,1.0,1.0,1.0,1
80,2012-09-27,0.8,1.0,0.8,1.0,926
81,2012-09-28,0.99,0.99,0.99,0.99,1
82,2012-10-02,1.0,1.0,1.0,1.0,1
83,2012-10-03,1.0,1.0,0.98,0.98,27
84,2012-10-04,1.0,1.0,1.0,1.0,1
85,2012-10-08,0.95,0.99,0.95,0.99,8
86,2012-10-09,1.0,1.0,1.0,1.0,1
87,2012-10-10,0.99,0.99,0.99,0.99,1
88,2012-10-11,1.0,1.0,1.0,1.0,1
89,2012-10-12,0.94,0.95,0.94,0.95,610
90,2012-10-15,0.99,0.99,0.99,0.99,10
