,Date,Open,High,Low,Close,Volume
0,2017-01-05,0.43,0.43,0.35,0.43,217483
1,2017-01-09,0.47,0.56,0.41,0.56,226351
2,2017-01-10,0.62,0.74,0.54,0.74,217614
3,2017-01-11,0.81,0.95,0.72,0.85,283190
4,2017-01-12,0.8,0.83,0.63,0.63,221151
5,2017-01-13,0.65,0.67,0.6,0.64,49079
6,2017-01-16,0.6,0.8,0.6,0.78,98086
7,2017-01-17,0.84,0.9,0.74,0.76,111353
8,2017-01-18,0.82,0.82,0.66,0.68,88497
9,2017-01-19,0.68,0.71,0.63,0.68,68115
10,2017-01-20,0.69,0.73,0.66,0.66,28355
11,2017-01-23,0.68,0.68,0.64,0.66,10110
12,2017-01-24,0.64,0.66,0.62,0.66,2230
13,2017-01-25,0.62,0.65,0.61,0.61,20032
14,2017-01-26,0.62,0.63,0.56,0.59,10228
15,2017-01-27,0.58,0.6,0.5,0.52,35472
16,2017-01-30,0.55,0.55,0.45,0.46,67125
17,2017-01-31,0.46,0.55,0.43,0.52,97572
18,2017-02-01,0.52,0.55,0.5,0.53,59591
19,2017-02-02,0.53,0.54,0.44,0.54,29178
20,2017-02-03,0.47,0.54,0.47,0.51,16981
21,2017-02-06,0.51,0.51,0.48,0.48,11235
22,2017-02-07,0.48,0.51,0.44,0.47,44791
23,2017-02-08,0.47,0.48,0.45,0.48,16168
24,2017-02-09,0.45,0.48,0.44,0.48,15442
25,2017-02-10,0.45,0.48,0.44,0.48,6349
26,2017-02-13,0.43,0.47,0.42,0.47,16506
27,2017-02-14,0.47,0.49,0.44,0.49,20809
28,2017-02-15,0.51,0.53,0.47,0.51,14995
29,2017-02-16,0.51,0.51,0.51,0.51,150
30,2017-02-20,0.47,0.53,0.45,0.53,16893
31,2017-02-21,0.51,0.59,0.51,0.58,36855
32,2017-02-22,0.58,0.67,0.58,0.63,37383
33,2017-02-23,0.69,0.97,0.66,0.97,216452
34,2017-02-24,1.1,1.34,1.1,1.34,243671
35,2017-02-27,1.59,1.79,1.34,1.45,354263
36,2017-02-28,1.5,1.53,1.02,1.4,161941
37,2017-03-01,1.42,1.45,1.2,1.33,81952
38,2017-03-02,1.3,1.45,1.19,1.35,108070
39,2017-03-03,1.4,1.56,1.24,1.44,137864
40,2017-03-06,1.44,1.44,1.11,1.27,133004
41,2017-03-07,1.26,1.27,1.08,1.21,31177
42,2017-03-08,1.25,1.25,1.06,1.07,28214
43,2017-03-09,0.95,1.02,0.8,0.95,148686
44,2017-03-10,0.95,0.98,0.82,0.97,38637
45,2017-03-13,0.9,0.93,0.85,0.9,26892
46,2017-03-14,0.86,1.02,0.84,0.94,131022
47,2017-03-15,0.9,0.95,0.9,0.95,27129
48,2017-03-16,0.91,0.94,0.9,0.94,4501
49,2017-03-17,0.94,0.94,0.91,0.94,6103
50,2017-03-20,0.94,0.94,0.87,0.91,7307
51,2017-03-21,0.89,1.27,0.82,1.27,196737
52,2017-03-22,1.35,1.38,1.08,1.2,147907
53,2017-03-23,1.2,1.23,1.02,1.23,76595
54,2017-03-24,1.24,1.25,1.2,1.25,7911
55,2017-03-27,1.17,1.24,1.15,1.24,3380
56,2017-03-28,1.15,1.38,1.08,1.28,76377
57,2017-03-29,1.28,1.5,1.27,1.46,232956
58,2017-03-30,1.46,1.54,1.32,1.37,87476
59,2017-03-31,1.47,1.47,1.31,1.4,27291
60,2017-04-03,1.4,1.4,1.25,1.4,21616
61,2017-04-04,1.4,1.4,1.3,1.38,2545
62,2017-04-05,1.33,1.39,1.3,1.35,22228
63,2017-04-06,1.27,1.39,1.2,1.35,56431
64,2017-04-07,1.39,1.43,1.25,1.35,59352
65,2017-04-10,1.37,1.38,1.23,1.29,28554
66,2017-04-11,1.23,1.29,1.2,1.29,11998
67,2017-04-12,1.28,1.28,1.16,1.28,2261
68,2017-04-13,1.27,1.28,1.27,1.28,641
69,2017-04-18,1.2,1.27,1.2,1.27,4821
70,2017-04-19,1.18,1.26,1.05,1.25,7907
71,2017-04-20,1.15,1.26,1.05,1.25,32598
72,2017-04-21,1.26,1.37,1.21,1.34,21295
73,2017-04-24,1.2,1.35,1.16,1.35,4850
74,2017-04-25,1.35,1.35,1.17,1.32,16046
75,2017-04-26,1.29,1.29,1.17,1.29,19997
76,2017-04-27,1.19,1.3,1.19,1.3,1557
77,2017-04-28,1.19,1.25,1.18,1.24,3485
78,2017-05-02,1.2,1.29,1.16,1.29,636
79,2017-05-04,1.17,1.26,1.16,1.23,16730
80,2017-05-05,1.16,1.23,1.16,1.23,9290
81,2017-05-08,1.16,1.23,1.16,1.23,1010
82,2017-05-09,1.16,1.2,1.09,1.18,6314
83,2017-05-10,1.12,1.17,1.02,1.09,45699
84,2017-05-11,1.02,1.06,0.95,1.0,48838
85,2017-05-12,1.0,1.06,0.96,1.03,30962
86,2017-05-15,0.99,1.01,0.98,1.01,3702
87,2017-05-16,0.95,0.99,0.87,0.96,27406
88,2017-05-17,0.96,0.97,0.86,0.93,22317
89,2017-05-18,0.86,0.89,0.83,0.89,16631
90,2017-05-19,0.88,0.89,0.88,0.89,5470
91,2017-05-22,0.89,0.9,0.89,0.89,5380
92,2017-05-23,0.9,0.9,0.9,0.9,50
93,2017-05-24,0.9,0.9,0.9,0.9,50
94,2017-05-25,0.9,0.92,0.9,0.92,900
95,2017-05-29,0.87,0.93,0.85,0.9,13004
96,2017-05-30,0.86,0.96,0.86,0.96,14590
97,2017-05-31,0.96,0.98,0.91,0.98,5390
98,2017-06-01,0.93,0.94,0.85,0.94,664
99,2017-06-02,0.97,0.97,0.9,0.9,152
100,2017-06-05,0.97,0.97,0.8,0.9,57815
101,2017-06-06,0.88,0.88,0.81,0.86,14683
102,2017-06-07,0.85,0.86,0.84,0.86,9591
103,2017-06-08,0.82,0.9,0.82,0.9,6642
104,2017-06-09,0.82,0.9,0.8,0.86,58980
105,2017-06-12,0.78,0.84,0.7,0.71,56697
106,2017-06-13,0.69,0.73,0.69,0.72,13565
107,2017-06-14,0.7,0.71,0.69,0.7,26385
108,2017-06-16,0.71,0.71,0.67,0.69,10516
109,2017-06-19,0.7,0.7,0.66,0.7,9907
110,2017-06-20,0.66,0.69,0.66,0.69,1056
111,2017-06-21,0.69,0.69,0.69,0.69,1500
112,2017-06-22,0.71,0.71,0.7,0.71,984
113,2017-06-23,0.71,0.71,0.67,0.69,3523
114,2017-06-26,0.69,0.7,0.69,0.7,248
115,2017-06-27,0.67,0.7,0.66,0.7,2713
116,2017-06-28,0.7,0.71,0.7,0.71,5720
117,2017-06-29,0.7,0.71,0.7,0.71,1157
118,2017-07-03,0.7,0.78,0.7,0.75,123927
119,2017-07-04,0.78,0.85,0.69,0.73,258518
120,2017-07-05,0.72,0.73,0.64,0.71,46507
121,2017-07-06,0.69,0.88,0.66,0.88,370483
122,2017-07-07,0.91,0.99,0.89,0.92,715736
123,2017-07-10,0.93,0.97,0.83,0.87,203147
124,2017-07-11,0.83,0.86,0.73,0.76,291959
125,2017-07-12,0.76,0.79,0.71,0.76,56840
126,2017-07-13,0.75,0.82,0.69,0.76,173071
127,2017-07-14,0.8,0.91,0.75,0.82,407248
128,2017-07-17,0.8,0.83,0.76,0.79,118379
129,2017-07-18,0.77,0.81,0.75,0.78,52346
130,2017-07-19,0.78,0.8,0.66,0.69,395108
131,2017-07-20,0.69,0.71,0.62,0.68,285082
132,2017-07-21,0.69,0.76,0.67,0.7,203558
133,2017-07-24,0.71,0.81,0.67,0.75,365860
134,2017-07-25,0.79,0.88,0.79,0.86,667592
135,2017-07-26,0.87,0.98,0.83,0.93,579599
136,2017-07-27,0.95,1.19,0.93,1.12,899236
137,2017-07-28,1.14,1.23,1.06,1.14,553607
138,2017-07-31,1.14,1.33,1.0,1.3,1256396
139,2017-08-01,1.33,1.35,1.23,1.27,620873
140,2017-08-02,1.24,1.25,1.05,1.1,714447
141,2017-08-09,0.98,1.19,0.89,1.01,688017
142,2017-08-10,0.91,1.04,0.83,0.99,407727
143,2017-08-11,1.02,1.06,0.95,0.95,111038
144,2017-08-14,0.92,1.01,0.91,0.91,86486
145,2017-08-16,0.92,0.94,0.81,0.81,242547
146,2017-08-17,0.8,0.8,0.71,0.73,255003
147,2017-08-18,0.71,0.85,0.7,0.8,225627
148,2017-08-21,0.82,0.85,0.77,0.79,194730
149,2017-08-22,0.76,0.78,0.72,0.77,81356
150,2017-08-23,0.78,0.82,0.75,0.82,71137
151,2017-08-24,0.82,0.82,0.76,0.8,54300
152,2017-08-25,0.81,1.04,0.79,0.99,229004
153,2017-08-28,0.95,1.04,0.91,0.91,181940
154,2017-08-29,0.9,1.05,0.86,0.92,317339
155,2017-08-30,0.94,1.01,0.91,0.92,94698
156,2017-08-31,0.95,1.01,0.93,0.93,187608
157,2017-09-01,0.93,0.97,0.92,0.96,61008
158,2017-09-04,0.95,1.01,0.88,0.91,227763
159,2017-09-05,0.9,0.9,0.85,0.87,115506
160,2017-09-06,0.87,0.97,0.82,0.82,198877
161,2017-09-07,0.85,0.88,0.83,0.84,90977
162,2017-09-08,0.84,0.87,0.84,0.87,25831
163,2017-09-11,0.87,0.91,0.84,0.87,99180
164,2017-09-12,0.87,0.88,0.83,0.85,81277
165,2017-09-13,0.85,0.86,0.83,0.85,60601
166,2017-09-14,0.83,0.83,0.73,0.76,211766
167,2017-09-15,0.74,0.76,0.73,0.76,61161
168,2017-09-18,0.82,0.83,0.73,0.77,83244
169,2017-09-19,0.77,0.78,0.71,0.76,75492
170,2017-09-20,0.76,0.77,0.73,0.73,38012
171,2017-09-21,0.73,0.86,0.7,0.75,345172
172,2017-09-22,0.77,0.77,0.71,0.71,76606
173,2017-09-25,0.72,0.73,0.67,0.7,198718
174,2017-09-26,0.69,0.75,0.67,0.73,130054
175,2017-09-27,0.75,0.83,0.74,0.83,216212
176,2017-09-28,0.83,0.87,0.75,0.75,239324
177,2017-09-29,0.74,0.8,0.74,0.76,82979
178,2017-10-02,0.79,0.84,0.79,0.83,126933
179,2017-10-03,0.83,0.99,0.83,0.96,653513
180,2017-10-04,0.96,0.98,0.91,0.94,242072
181,2017-10-05,0.98,1.04,0.94,1.04,441037
182,2017-10-06,1.04,1.13,0.99,1.03,396277
183,2017-10-09,1.04,1.04,0.93,0.96,180055
184,2017-10-10,0.94,0.95,0.88,0.94,205869
185,2017-10-11,0.9,0.95,0.9,0.94,61974
186,2017-10-12,0.96,1.05,0.95,1.01,228230
187,2017-10-13,1.01,1.01,0.95,0.99,59275
188,2017-10-16,0.98,1.03,0.96,0.96,56042
189,2017-10-17,0.95,1.02,0.94,0.97,155716
190,2017-10-18,0.96,0.98,0.93,0.93,46111
191,2017-10-19,0.93,0.95,0.91,0.94,37479
192,2017-10-20,0.95,0.95,0.89,0.89,44766
193,2017-10-23,0.88,0.88,0.83,0.83,62378
194,2017-10-24,0.82,0.96,0.79,0.89,106992
195,2017-10-25,0.91,1.03,0.9,1.0,162472
196,2017-10-26,1.0,1.03,0.93,1.01,88115
197,2017-10-27,0.97,1.02,0.92,0.99,111364
198,2017-10-30,0.99,0.99,0.95,0.95,8693
199,2017-10-31,0.95,1.01,0.95,1.01,13964
200,2017-11-02,1.01,1.03,0.98,1.0,66758
201,2017-11-03,1.0,1.02,0.97,1.0,36997
202,2017-11-06,1.0,1.0,0.7,0.77,422631
203,2017-11-07,0.79,0.79,0.72,0.75,194569
204,2017-11-08,0.74,0.77,0.73,0.73,105244
205,2017-11-09,0.74,0.82,0.73,0.8,149837
206,2017-11-10,0.81,0.83,0.79,0.79,86600
207,2017-11-13,0.81,0.82,0.78,0.82,47216
208,2017-11-14,0.8,0.84,0.8,0.81,34230
209,2017-11-15,0.81,0.83,0.79,0.79,70407
