,Date,Open,High,Low,Close,Volume
0,2013-06-18,8.5405,9.2207,8.3282,9.1614,501264
1,2013-06-19,9.1784,9.578,8.7533,8.838,167385
2,2013-06-20,8.7444,8.9235,8.7275,8.838,54022
3,2013-06-21,8.838,9.2973,8.838,9.2292,35053
4,2013-06-24,9.2462,9.2973,9.0927,9.1784,51259
5,2013-06-25,9.0927,9.1275,9.0079,9.1275,19943
6,2013-06-26,9.0079,9.0927,8.8468,9.0927,14127
7,2013-06-27,9.0079,9.169,9.0079,9.0927,28390
8,2013-06-28,9.1614,9.3392,8.8637,9.3392,55054
9,2013-07-01,9.3392,9.348,9.0249,9.0927,4821
10,2013-07-02,9.0079,9.186,8.838,9.186,16234
11,2013-07-04,9.0758,9.0842,8.8976,8.8976,2656
12,2013-07-05,8.8548,8.8807,8.7533,8.8807,4813
13,2013-07-08,9.1784,9.1784,8.5921,8.7872,1848
14,2013-07-09,8.8637,8.8637,8.5921,8.7533,6466
15,2013-07-10,8.9145,9.0927,8.9145,9.0079,5709
16,2013-07-11,9.0682,9.969,9.0079,9.943,34163
17,2013-07-12,9.9,10.019,9.774,9.943,14370
18,2013-07-15,10.537,10.537,10.215,10.342,21506
19,2013-07-16,10.351,10.351,10.199,10.283,5472
20,2013-07-17,10.199,10.283,10.028,10.028,4048
21,2013-07-18,9.815,9.815,9.645,9.722,7010
22,2013-07-19,9.688,9.976,9.688,9.976,2423
23,2013-07-22,9.976,10.962,9.976,10.811,71134
24,2013-07-23,10.869,11.557,10.869,11.176,55283
25,2013-07-24,11.176,11.371,11.176,11.362,8650
26,2013-07-25,11.268,11.787,11.268,11.787,37602
27,2013-07-26,11.855,11.898,10.793,11.898,35110
28,2013-07-29,11.898,11.898,11.727,11.803,15744
29,2013-07-30,11.881,11.888,11.812,11.812,4546
30,2013-07-31,11.898,11.983,11.516,11.643,23897
31,2013-08-01,11.634,11.634,11.387,11.549,31899
32,2013-08-02,11.516,11.855,11.413,11.855,27992
33,2013-08-05,11.837,12.323,11.837,12.229,41115
34,2013-08-06,12.493,12.493,12.162,12.229,38400
35,2013-08-07,12.323,12.442,12.272,12.442,17019
36,2013-08-08,12.577,12.858,12.577,12.858,76906
37,2013-08-09,13.121,13.121,12.918,13.088,33335
38,2013-08-12,13.129,13.155,12.748,12.901,14408
39,2013-08-13,12.901,13.079,12.901,13.07,10197
40,2013-08-14,13.172,13.172,12.713,12.748,35022
41,2013-08-16,12.449,12.449,11.32,11.898,110114
42,2013-08-19,11.898,11.898,11.056,11.685,146768
43,2013-08-20,11.643,11.727,11.439,11.727,35965
44,2013-08-21,11.803,11.983,11.753,11.881,50627
45,2013-08-22,11.864,11.923,11.727,11.898,104269
46,2013-08-23,11.898,11.898,11.736,11.888,24212
47,2013-08-26,11.898,11.898,11.643,11.77,3322
48,2013-08-27,11.77,11.881,11.387,11.643,136684
49,2013-08-28,11.387,11.626,10.955,11.132,32375
50,2013-08-29,10.962,10.962,10.537,10.716,23327
51,2013-08-30,10.903,11.022,10.427,10.572,130940
52,2013-09-02,10.665,11.26,10.537,11.081,16428
53,2013-09-03,11.26,11.43,11.098,11.115,17614
54,2013-09-04,11.26,11.26,10.622,10.921,7683
55,2013-09-05,10.793,10.793,9.859,10.622,47397
56,2013-09-06,10.386,10.878,10.386,10.878,11924
57,2013-09-09,11.176,11.516,10.887,11.516,9930
58,2013-09-10,11.533,11.888,11.533,11.812,19111
59,2013-09-11,11.855,11.855,11.609,11.727,30006
60,2013-09-12,11.702,11.702,11.557,11.557,236
61,2013-09-13,11.457,11.617,11.457,11.609,1019
62,2013-09-16,11.457,11.472,11.303,11.303,1568
63,2013-09-17,11.303,11.472,11.047,11.457,3638
64,2013-09-18,11.472,11.472,10.962,11.125,15036
65,2013-09-19,11.166,11.43,11.047,11.047,11818
66,2013-09-20,11.132,11.132,10.962,10.962,2498
67,2013-09-23,10.962,10.962,10.589,10.75,13427
68,2013-09-24,10.912,11.039,10.869,10.955,21400
69,2013-09-25,11.047,11.091,11.039,11.091,4107
