,Date,Open,High,Low,Close,Volume
0,2018-05-11,49.281,59.476,48.252,58.533,212671
1,2018-05-14,64.197,70.617,61.648,62.97,254460
2,2018-05-15,62.875,62.875,55.02,58.533,99528
3,2018-05-16,59.949,60.325,56.654,60.109,36022
4,2018-05-17,60.298,60.325,55.699,55.699,25494
5,2018-05-18,55.699,58.533,55.039,55.699,13837
6,2018-05-21,56.654,59.476,56.654,57.399,21541
7,2018-05-22,59.004,59.099,57.588,58.4,8034
8,2018-05-23,58.533,58.533,55.511,57.588,12900
9,2018-05-24,57.588,57.588,56.465,57.578,5898
10,2018-05-25,57.588,57.588,56.173,57.126,6244
11,2018-05-28,57.399,60.42,56.663,60.42,38591
12,2018-05-29,66.085,68.634,62.402,63.611,95955
13,2018-05-30,61.345,63.064,57.872,59.004,34199
14,2018-06-01,59.004,61.365,58.25,60.42,6770
15,2018-06-04,61.365,65.991,60.893,65.802,21067
16,2018-06-05,67.51,73.628,67.038,73.628,77813
17,2018-06-06,75.289,82.794,72.976,74.865,104200
18,2018-06-07,76.847,79.302,72.704,78.358,23316
19,2018-06-08,77.876,79.292,75.997,78.216,16791
20,2018-06-11,79.774,80.057,71.324,74.95,30498
21,2018-06-12,74.912,77.414,74.912,75.893,8450
22,2018-06-13,76.328,76.47,74.119,74.836,5967
23,2018-06-14,73.637,78.358,71.844,77.886,22279
24,2018-06-15,78.074,78.169,76.186,77.414,13520
25,2018-06-18,77.32,77.32,75.525,76.347,6443
26,2018-06-19,75.62,75.62,72.127,74.109,11797
27,2018-06-20,73.637,74.488,70.05,72.684,12914
28,2018-06-21,72.684,73.807,67.501,68.917,16669
29,2018-06-22,68.446,69.862,68.446,68.908,6903
30,2018-06-25,69.153,75.516,67.596,73.326,11450
31,2018-06-26,73.448,74.488,70.825,72.684,7425
32,2018-06-27,71.938,72.788,70.456,70.947,6406
33,2018-06-28,70.475,72.694,70.343,72.675,7482
34,2018-06-29,70.966,72.665,70.957,71.749,13293
35,2018-07-02,71.749,73.732,71.749,73.637,19861
36,2018-07-03,73.637,73.637,72.278,73.071,3630
37,2018-07-04,73.496,75.384,72.694,73.166,10128
38,2018-07-05,73.26,76.942,72.892,75.997,34429
39,2018-07-06,76.47,77.414,75.545,75.563,7622
40,2018-07-09,76.366,76.461,74.157,75.337,4542
41,2018-07-10,75.563,83.74,75.148,80.812,67876
42,2018-07-11,82.134,82.134,80.245,80.718,8499
43,2018-07-12,81.379,82.125,77.414,80.972,6361
44,2018-07-13,81.096,81.945,80.237,80.718,5921
45,2018-07-16,81.568,82.125,80.529,80.727,3875
46,2018-07-17,80.746,80.746,78.405,79.963,7470
47,2018-07-18,80.218,80.237,77.99,78.83,7966
48,2018-07-19,78.83,79.764,77.14,78.358,5697
49,2018-07-20,79.302,81.945,78.358,79.67,14202
50,2018-07-23,80.614,81.691,79.774,81.691,7676
51,2018-07-24,82.134,83.031,78.367,82.37,17552
52,2018-07-25,83.078,91.386,82.134,89.687,30641
53,2018-07-26,90.158,94.398,90.158,93.463,30468
54,2018-07-27,93.935,101.01,90.915,99.98,44385
55,2018-07-30,103.86,109.89,98.369,99.6,77690
56,2018-07-31,99.123,104.8,95.257,96.295,31019
57,2018-08-01,96.765,98.928,95.409,96.844,18343
58,2018-08-02,97.527,98.369,96.863,97.048,10952
59,2018-08-03,97.243,98.183,95.823,95.823,7128
60,2018-08-06,97.243,97.693,92.066,93.935,17851
61,2018-08-07,94.407,97.106,91.858,94.218,16548
62,2018-08-08,95.257,100.81,93.935,100.81,65684
63,2018-08-09,103.09,107.62,100.19,107.62,33669
64,2018-08-10,107.81,107.81,103.86,107.16,13005
65,2018-08-13,106.58,111.85,103.93,110.46,23307
66,2018-08-14,110.46,116.1,109.52,115.65,23488
67,2018-08-16,117.89,120.46,111.03,118.47,21257
68,2018-08-17,118.95,120.27,113.78,116.12,21557
69,2018-08-20,117.07,121.03,113.29,113.76,18355
70,2018-08-21,115.93,116.12,111.42,114.23,11458
71,2018-08-22,115.17,117.07,111.87,112.46,10334
72,2018-08-23,114.23,114.23,109.54,110.36,13883
73,2018-08-24,114.14,114.14,110.68,111.4,9645
74,2018-08-27,112.35,117.53,112.16,113.29,29002
75,2018-08-28,110.93,116.12,99.85,99.85,74019
76,2018-08-29,99.83,108.57,89.847,103.86,75786
77,2018-08-30,106.49,106.49,99.123,101.01,12761
78,2018-08-31,100.07,100.07,92.519,95.635,26213
79,2018-09-03,94.426,95.351,80.245,80.245,66704
80,2018-09-04,78.452,86.298,76.659,84.759,63611
81,2018-09-05,84.589,91.386,84.589,86.383,36442
82,2018-09-06,84.871,85.438,81.191,83.55,25225
83,2018-09-07,82.134,87.61,82.134,83.55,27695
84,2018-09-10,82.154,88.224,79.302,87.798,24423
85,2018-09-11,89.687,89.687,82.134,82.512,15904
86,2018-09-12,85.155,85.911,80.718,81.209,14795
87,2018-09-13,83.985,83.985,82.134,83.767,4292
88,2018-09-14,84.022,84.777,83.078,84.683,5893
89,2018-09-17,84.589,96.765,84.589,96.765,24462
90,2018-09-18,97.243,103.86,96.295,96.295,24691
91,2018-09-19,95.823,99.123,90.725,91.103,21611
92,2018-09-20,91.113,93.444,91.103,92.897,3263
93,2018-09-21,93.463,96.201,92.992,94.407,5279
94,2018-09-24,94.407,95.351,87.798,87.798,17386
95,2018-09-25,88.837,92.509,88.837,92.188,7331
96,2018-09-26,92.33,95.917,90.725,91.556,12356
97,2018-09-27,92.33,94.88,92.33,92.519,7175
98,2018-09-28,93.463,95.313,89.781,91.575,9736
99,2018-10-01,91.575,93.822,88.366,89.045,5257
100,2018-10-02,87.893,89.611,86.383,87.326,8694
101,2018-10-03,87.789,89.262,83.834,89.12,24202
102,2018-10-04,89.687,89.733,85.07,86.854,11731
103,2018-10-05,85.343,93.454,85.343,89.309,18833
104,2018-10-08,89.29,91.575,84.24,86.005,7964
105,2018-10-09,85.061,86.561,83.645,85.532,6373
106,2018-10-10,85.438,85.438,80.245,81.568,12404
107,2018-10-11,77.508,79.188,71.749,75.243,46373
108,2018-10-12,76.47,79.255,73.166,79.104,18544
109,2018-10-15,80.245,80.529,76.753,78.216,18936
110,2018-10-16,78.358,79.114,76.186,78.358,8976
111,2018-10-17,78.358,79.132,75.62,75.997,12127
112,2018-10-18,75.715,77.414,73.826,74.676,14706
113,2018-10-19,74.015,75.054,72.976,74.213,12322
114,2018-10-22,73.637,73.637,67.028,72.221,33576
115,2018-10-23,69.862,69.862,65.142,68.927,33081
116,2018-10-24,67.227,72.599,67.227,70.352,19090
117,2018-10-25,66.661,67.973,64.593,66.793,42508
118,2018-10-26,67.028,69.956,67.028,67.038,21621
119,2018-10-29,67.048,68.822,67.048,68.398,7789
120,2018-10-30,67.973,68.54,67.529,68.446,5058
121,2018-10-31,69.059,72.694,69.059,71.183,11613
122,2018-11-02,72.694,77.414,72.694,76.47,14581
123,2018-11-05,77.433,89.574,77.424,86.854,48760
124,2018-11-06,88.648,92.992,85.448,89.592,25547
125,2018-11-07,91.103,92.141,82.323,83.39,18891
126,2018-11-08,83.504,86.854,82.248,83.219,12692
127,2018-11-09,82.134,82.134,77.886,80.906,17345
128,2018-11-13,78.358,78.358,76.47,77.886,13656
129,2018-11-14,76.942,82.7,76.478,82.464,5033
130,2018-11-15,83.078,84.012,80.245,81.663,4937
131,2018-11-16,81.473,82.606,76.714,77.886,12160
132,2018-11-19,78.83,80.189,73.26,77.046,9303
133,2018-11-20,76.47,78.245,73.448,73.684,11153
134,2018-11-21,72.599,72.694,69.672,71.371,31453
135,2018-11-22,72.316,79.312,71.277,79.312,19036
136,2018-11-23,81.191,82.606,78.641,78.641,11530
137,2018-11-26,78.546,81.001,78.358,79.774,6082
138,2018-11-27,79.774,80.245,78.358,79.302,2798
139,2018-11-28,79.68,82.04,79.68,81.191,10524
140,2018-11-29,81.945,84.022,81.945,83.456,11679
141,2018-11-30,83.078,84.211,82.606,83.078,5579
142,2018-12-03,83.267,84.777,76.488,78.377,21120
143,2018-12-04,79.585,79.585,75.809,77.98,8992
144,2018-12-05,76.923,77.131,74.959,76.47,11468
145,2018-12-06,75.525,75.525,73.071,73.637,19189
146,2018-12-07,74.553,77.697,74.553,75.516,10775
147,2018-12-10,73.637,74.582,72.694,72.694,9085
148,2018-12-11,73.637,74.109,71.985,73.637,5941
149,2018-12-12,73.637,74.289,72.467,73.637,5224
150,2018-12-13,74.582,80.718,73.637,78.452,30316
151,2018-12-14,78.452,79.491,75.856,76.847,5078
152,2018-12-17,76.838,77.414,74.582,75.761,7736
153,2018-12-18,75.525,75.525,73.637,74.394,3552
154,2018-12-19,74.582,76.659,73.845,75.573,6783
155,2018-12-20,74.394,75.054,73.637,73.751,5704
156,2018-12-21,73.967,74.771,69.106,70.05,18382
157,2018-12-27,71.277,72.882,70.805,72.882,8923
