,Date,Open,High,Low,Close,Volume
0,2021-11-15,110.0,112.0,91.6,96.0,10380
1,2021-11-16,94.6,94.6,85.0,85.99,4081
2,2021-11-17,89.5,89.5,80.5,84.5,1731
3,2021-11-18,82.0,85.0,80.0,81.99,2586
4,2021-11-19,83.0,84.88,73.2,73.9,3725
5,2021-11-22,72.0,72.0,65.0,68.0,2168
6,2021-11-23,64.22,75.0,63.0,75.0,2369
7,2021-11-24,76.0,78.7,70.0,75.95,1066
8,2021-11-25,78.0,78.0,72.02,77.59,1128
9,2021-11-26,72.05,75.98,68.2,68.8,716
10,2021-11-29,70.0,70.99,69.0,70.8,230
11,2021-11-30,70.99,74.99,66.6,69.99,607
12,2021-12-01,68.2,69.99,68.0,69.8,164
13,2021-12-02,69.99,70.0,66.6,68.96,220
14,2021-12-03,69.99,70.4,66.99,70.2,347
15,2021-12-06,70.3,70.4,70.3,70.3,25
16,2021-12-07,70.3,70.3,69.0,69.7,130
17,2021-12-08,69.6,69.6,69.6,69.6,77
18,2021-12-09,68.8,68.8,67.02,67.9,134
19,2021-12-10,68.8,69.0,67.5,68.8,108
20,2021-12-13,68.8,68.8,62.0,66.99,331
21,2021-12-14,62.0,66.99,60.0,63.51,391
22,2021-12-15,60.0,62.0,58.2,58.4,663
23,2021-12-16,59.99,60.3,48.0,57.99,1034
24,2021-12-17,57.9,59.0,56.1,58.9,313
25,2021-12-20,56.31,58.8,54.48,57.0,515
26,2021-12-21,54.4,55.0,47.4,49.6,2536
27,2021-12-22,51.1,51.1,48.1,51.0,162
28,2021-12-23,51.1,51.1,45.2,49.87,437
29,2021-12-27,49.4,50.4,46.0,47.8,37457
30,2021-12-28,48.48,65.28,46.12,62.7,24339
31,2021-12-29,62.98,63.0,58.0,63.0,1730
32,2021-12-30,63.1,66.4,61.0,61.0,1836
33,2022-01-03,62.3,66.0,60.1,62.0,621
34,2022-01-04,60.1,63.0,57.2,60.0,628
35,2022-01-05,60.0,60.0,57.8,58.6,604
36,2022-01-07,58.6,59.0,50.0,58.69,1586
37,2022-01-10,58.4,58.4,49.4,52.97,1125
38,2022-01-11,52.0,52.6,46.9,52.1,2398
39,2022-01-12,53.8,54.3,52.0,53.95,683
40,2022-01-13,56.5,56.5,48.0,54.9,969
41,2022-01-14,53.4,53.9,50.0,52.44,773
42,2022-01-17,52.59,52.59,48.0,51.29,1016
43,2022-01-18,48.02,51.3,46.0,50.5,2015
44,2022-01-19,50.0,51.0,48.01,50.0,1143
45,2022-01-20,50.0,50.9,47.6,50.5,180
46,2022-01-21,47.0,50.08,45.0,49.19,1658
47,2022-01-24,49.19,49.19,46.2,46.2,34
48,2022-01-25,47.0,47.8,46.0,47.8,227
49,2022-01-26,47.8,49.2,47.4,49.2,221
50,2022-01-27,49.2,49.9,48.3,49.9,201
51,2022-01-28,50.7,50.7,47.0,49.7,631
52,2022-01-31,49.9,49.9,49.89,49.9,126
53,2022-02-01,50.0,50.0,46.12,49.39,677
54,2022-02-02,49.4,50.0,46.3,49.0,400
55,2022-02-03,46.505,48.79,46.1,48.48,477
56,2022-02-04,48.49,48.49,46.1,48.48,139
