,Date,Open,High,Low,Close,Volume
0,2018-04-16,11.2,11.2,8.0,8.45,21420
1,2018-04-17,8.59,9.05,7.07,7.6,7322
2,2018-04-18,7.69,7.89,6.5,7.1,3512
3,2018-04-19,7.43,7.43,6.95,7.1,1517
4,2018-04-20,7.42,7.42,6.8,7.2,224
5,2018-04-23,7.2,7.2,7.2,7.2,21
6,2018-04-24,7.2,7.5,6.81,7.5,476
7,2018-04-25,7.47,7.48,7.47,7.48,8
8,2018-04-26,7.48,7.48,7.48,7.48,8
9,2018-04-27,7.48,7.48,7.19,7.25,557
10,2018-04-30,7.25,7.25,7.2,7.2,16
11,2018-05-02,7.2,7.2,7.2,7.2,2
12,2018-05-04,7.2,7.2,7.2,7.2,6
13,2018-05-07,7.2,7.2,7.2,7.2,33
14,2018-05-08,7.2,7.2,7.18,7.18,36
15,2018-05-09,7.18,7.18,6.5,6.5,1410
16,2018-05-10,7.0,7.0,6.5,6.5,314
17,2018-05-11,6.5,7.05,6.49,7.05,1059
18,2018-05-14,7.16,7.16,6.0,6.0,3300
19,2018-05-15,6.49,6.5,6.41,6.45,331
20,2018-05-16,6.43,6.43,6.39,6.39,60
21,2018-05-17,6.35,6.35,5.97,6.3,93
22,2018-05-18,5.98,5.98,5.65,5.96,347
23,2018-05-21,6.34,6.34,6.28,6.28,3
24,2018-05-22,6.26,6.26,5.2,5.99,1082
25,2018-05-23,5.2,5.98,4.44,4.56,1616
26,2018-05-24,4.56,4.8,4.35,4.35,1120
27,2018-05-25,4.8,4.8,4.05,4.52,240
28,2018-05-28,4.4,4.55,3.85,4.45,716
29,2018-05-29,4.52,4.52,4.52,4.52,3
30,2018-05-30,4.52,4.52,4.2,4.2,250
31,2018-06-01,4.52,4.52,4.0,4.52,515
32,2018-06-04,4.51,4.51,3.82,4.51,254
33,2018-06-05,4.51,4.51,4.1,4.51,424
34,2018-06-06,4.51,4.51,4.3,4.51,112
35,2018-06-07,4.51,5.0,4.01,4.01,2861
36,2018-06-08,4.01,5.77,3.9,4.85,10908
37,2018-06-11,4.91,4.91,4.5,4.91,546
38,2018-06-12,4.91,4.91,4.79,4.8,2670
