,Date,Open,High,Low,Close,Volume
0,2011-07-26,11.63,13.89,10.5,11.48,6183
1,2011-07-27,10.9,11.0,10.0,10.0,805
2,2011-07-28,11.33,11.33,10.5,11.0,319
3,2011-07-29,10.0,10.0,8.8,8.8,494
4,2011-08-01,8.8,8.8,8.8,8.8,65
5,2011-08-02,8.8,9.99,8.8,9.99,101
6,2011-08-03,11.0,11.0,11.0,11.0,1
7,2011-08-05,9.0,9.0,9.0,9.0,150
8,2011-08-09,8.5,8.5,8.4,8.4,320
9,2011-08-12,8.4,8.4,8.4,8.4,90
10,2011-08-18,7.5,7.5,7.5,7.5,199
11,2011-09-06,7.0,7.0,7.0,7.0,200
12,2011-09-07,6.0,6.0,6.0,6.0,200
13,2011-10-04,5.0,5.0,5.0,5.0,100
14,2011-10-12,5.0,5.0,5.0,5.0,1
15,2011-10-24,5.5,5.5,5.5,5.5,39
16,2011-11-22,4.5,4.5,4.5,4.5,59
17,2011-12-07,4.0,4.0,4.0,4.0,81
18,2011-12-13,4.5,5.0,4.5,5.0,91
19,2011-12-30,5.0,6.0,5.0,6.0,94
20,2012-01-11,6.0,7.2,6.0,7.2,315
21,2012-03-13,5.76,5.76,5.76,5.76,50
22,2012-03-14,5.76,5.76,5.76,5.76,120
23,2012-03-22,5.5,5.5,5.5,5.5,15
24,2012-03-27,5.0,5.0,5.0,5.0,152
25,2012-03-30,5.0,5.0,4.0,4.0,2
26,2012-04-12,4.8,4.8,4.8,4.8,20
27,2012-04-24,5.0,5.0,5.0,5.0,143
28,2012-04-26,5.0,5.0,5.0,5.0,143
29,2012-05-17,4.15,4.15,4.0,4.0,120
30,2012-06-22,4.1,4.1,4.1,4.1,100
31,2012-08-31,4.92,4.92,4.92,4.92,10
32,2012-09-07,4.92,4.92,4.92,4.92,60
33,2012-09-18,4.92,4.92,4.92,4.92,73
34,2012-10-22,4.5,4.5,4.5,4.5,20
35,2013-01-10,4.5,4.5,4.5,4.5,100
36,2013-01-22,5.03,6.0,5.03,6.0,502
37,2013-01-23,7.15,8.45,7.15,8.45,575
38,2013-01-24,9.23,10.49,7.4,9.23,125
39,2013-01-25,8.5,10.49,8.5,10.49,89
40,2013-01-31,8.01,9.0,8.0,9.0,205
41,2013-02-04,8.0,8.0,8.0,8.0,56
42,2013-02-22,7.0,8.0,7.0,8.0,24
43,2013-03-08,7.0,7.0,7.0,7.0,77
44,2013-04-24,7.5,8.2,7.5,8.2,488
45,2013-04-25,8.0,8.0,8.0,8.0,10
46,2013-04-29,7.19,7.19,7.19,7.19,100
47,2013-06-21,6.5,6.5,6.5,6.5,100
48,2013-06-27,6.0,6.0,6.0,6.0,62
49,2013-09-18,5.5,5.5,5.5,5.5,100
50,2013-09-24,4.5,4.5,4.5,4.5,100
51,2013-10-15,3.5,3.5,3.5,3.5,200
52,2013-10-29,3.5,4.0,3.5,4.0,220
53,2013-11-28,4.0,4.0,4.0,4.0,90
54,2013-12-03,4.01,4.01,4.0,4.0,220
55,2013-12-04,3.0,3.0,3.0,3.0,50
56,2013-12-20,3.5,4.0,3.5,4.0,150
57,2013-12-23,4.0,5.0,4.0,5.0,600
58,2013-12-27,6.0,7.0,6.0,7.0,200
59,2013-12-30,8.0,8.0,7.5,8.0,450
60,2014-01-07,6.5,7.0,5.5,7.0,155
61,2014-01-13,7.0,7.0,7.0,7.0,13
62,2014-01-23,7.4,7.4,7.4,7.4,12
63,2014-02-03,6.5,6.5,6.5,6.5,17
64,2014-02-04,6.5,6.5,6.5,6.5,33
65,2014-08-05,6.0,6.0,6.0,6.0,1
66,2014-08-21,5.0,5.0,5.0,5.0,100
67,2014-08-25,4.5,4.5,4.5,4.5,55
68,2014-09-03,4.5,4.5,4.5,4.5,45
69,2014-12-22,4.2,5.0,4.2,5.0,150
70,2014-12-23,4.8,5.66,4.8,5.66,250
71,2014-12-29,4.8,5.66,4.8,5.66,512
72,2014-12-30,6.6,6.6,6.6,6.6,103
73,2015-02-24,5.5,5.5,5.5,5.5,1
74,2015-04-16,6.05,6.5,6.05,6.5,283
75,2015-04-17,7.04,7.7,7.04,7.7,75
76,2015-04-22,7.7,8.0,7.7,8.0,85
77,2015-04-29,7.8,7.8,7.8,7.8,65
78,2015-05-15,7.19,7.19,7.19,7.19,20
79,2015-05-20,7.19,7.19,7.19,7.19,70
80,2015-06-11,6.73,6.73,6.0,6.0,105
81,2015-12-22,7.0,7.0,7.0,7.0,100
82,2016-08-16,6.28,6.28,6.28,6.28,80
83,2018-04-26,5.95,5.95,5.95,5.95,120
84,2018-12-17,6.05,7.25,6.05,6.85,692
85,2019-01-18,7.35,7.35,7.3,7.3,240
86,2019-03-13,6.85,6.85,6.85,6.85,100
87,2019-05-16,6.6,6.6,6.6,6.6,54
88,2019-05-22,7.05,8.45,7.05,8.45,418
89,2019-05-23,8.0,10.0,7.0,10.0,645
90,2019-05-24,7.45,7.45,6.75,6.75,503
91,2019-05-27,6.9,9.9,6.9,9.9,856
92,2019-05-28,8.2,11.7,8.2,11.7,580
93,2019-05-29,14.0,16.8,12.0,16.8,516
94,2019-05-30,17.0,19.9,16.0,19.9,153
95,2019-05-31,23.8,23.8,23.8,23.8,1
96,2019-06-07,23.8,28.4,23.8,28.4,50
97,2019-06-17,22.8,22.8,18.0,18.0,12
98,2019-06-18,14.4,14.4,13.4,14.0,278
99,2019-06-19,10.8,18.4,10.8,18.4,391
100,2019-06-21,22.2,26.6,22.2,26.6,95
101,2019-06-24,31.8,36.0,21.4,21.4,246
102,2019-06-25,16.8,17.5,15.7,17.5,480
103,2019-06-26,14.0,14.0,14.0,14.0,111
104,2019-06-27,11.2,11.2,11.2,11.2,100
105,2019-06-28,11.3,11.5,11.3,11.3,298
106,2019-07-03,10.0,10.0,10.0,10.0,58
107,2019-07-05,9.0,10.5,9.0,10.0,179
108,2019-07-09,8.0,8.0,7.0,7.0,172
109,2019-07-10,6.5,6.5,6.0,6.0,67
110,2019-07-11,7.0,7.0,7.0,7.0,10
111,2019-07-12,7.0,7.0,7.0,7.0,40
112,2019-07-15,8.0,9.0,8.0,9.0,67
113,2019-07-17,7.2,7.2,7.0,7.0,70
114,2019-07-19,7.0,7.0,7.0,7.0,18
115,2019-08-06,7.0,7.0,7.0,7.0,50
116,2019-08-12,8.0,8.0,8.0,8.0,10
117,2019-08-14,7.0,7.0,7.0,7.0,12
118,2019-09-02,8.0,8.0,8.0,8.0,13
119,2019-09-06,7.0,7.0,7.0,7.0,16
120,2019-09-10,7.0,7.0,6.05,6.05,150
121,2019-09-19,7.0,7.0,7.0,7.0,10
122,2019-10-03,7.0,7.0,7.0,7.0,143
123,2019-10-22,6.6,6.6,6.6,6.6,35
124,2019-12-02,7.0,7.0,7.0,7.0,143
125,2019-12-03,7.0,8.4,7.0,8.4,345
126,2019-12-04,9.0,12.0,7.95,12.0,462
127,2019-12-05,14.4,17.0,11.6,17.0,527
128,2019-12-11,13.9,13.9,13.9,13.9,18
129,2019-12-16,16.6,17.0,16.6,17.0,10
130,2019-12-17,13.0,13.0,13.0,13.0,4
131,2019-12-27,9.0,9.0,7.2,7.2,489
132,2020-01-08,7.0,7.0,7.0,7.0,65
133,2020-01-20,7.25,7.7,7.25,7.7,175
134,2020-01-24,7.7,8.0,7.7,8.0,142
135,2020-01-27,8.15,8.65,8.15,8.65,277
136,2020-01-28,9.2,9.2,9.2,9.2,109
137,2020-01-29,9.1,9.1,9.1,9.1,2
138,2020-02-12,10.1,11.0,10.0,11.0,92
139,2020-02-13,12.0,13.0,12.0,13.0,20
140,2020-02-14,14.0,16.5,14.0,16.5,61
141,2020-02-17,18.0,18.0,18.0,18.0,2
142,2020-03-11,13.0,13.0,13.0,13.0,10
143,2020-03-12,11.0,11.0,11.0,11.0,50
144,2020-03-16,10.0,10.0,9.0,9.0,56
145,2020-04-03,10.0,11.0,10.0,11.0,40
146,2020-04-06,11.0,11.0,11.0,11.0,10
147,2020-04-07,11.0,11.0,11.0,11.0,10
148,2020-04-08,11.0,11.0,11.0,11.0,10
149,2020-04-14,11.0,12.0,11.0,12.0,32
150,2020-04-17,12.0,12.0,12.0,12.0,48
151,2020-04-20,14.0,14.0,14.0,14.0,3
152,2020-04-23,13.5,13.5,13.5,13.5,5
153,2020-04-30,12.0,12.0,10.0,10.0,237
154,2020-05-04,11.0,11.0,9.0,9.0,150
155,2020-05-08,9.0,10.4,9.0,10.4,66
156,2020-05-11,10.0,10.0,10.0,10.0,50
157,2020-05-12,9.0,9.0,7.8,9.0,160
158,2020-05-13,7.85,7.85,7.45,7.45,328
159,2020-05-14,7.5,7.5,7.5,7.5,40
160,2020-05-15,8.0,8.0,8.0,8.0,100
161,2020-05-29,7.5,7.5,7.5,7.5,55
162,2020-06-01,8.0,8.0,8.0,8.0,45
163,2020-06-05,8.5,9.0,8.5,9.0,115
164,2020-06-10,9.0,9.0,9.0,9.0,17
165,2020-06-19,8.5,8.5,8.0,8.0,151
166,2020-06-22,8.2,8.2,8.2,8.2,18
167,2020-06-25,8.2,8.2,8.2,8.2,6
168,2020-07-06,8.4,8.4,8.4,8.4,120
169,2020-07-13,8.9,8.9,8.9,8.9,14
170,2020-07-16,8.3,8.3,8.3,8.3,3
171,2020-07-21,8.3,8.3,8.3,8.3,4
172,2020-07-28,8.3,8.4,8.3,8.4,240
173,2020-07-29,8.9,10.0,8.9,10.0,163
174,2020-07-31,9.0,9.0,9.0,9.0,50
175,2020-08-04,8.6,8.6,8.6,8.6,50
