,Date,Open,High,Low,Close,Volume
0,2008-05-28,5.49,5.49,2.1,2.34,13572
1,2008-05-29,2.35,2.35,1.54,2.14,2349
2,2008-05-30,2.56,2.56,2.56,2.56,5
3,2008-06-02,2.04,2.04,1.74,1.74,2936
4,2008-06-03,1.91,2.01,1.82,2.01,1612
5,2008-06-04,2.03,2.03,2.03,2.03,196
6,2008-06-05,2.27,2.27,1.83,1.83,394
7,2008-06-06,1.91,1.91,1.89,1.89,48
8,2008-06-09,1.91,1.91,1.91,1.91,4
9,2008-06-10,1.91,1.91,1.91,1.91,49
10,2008-06-11,1.54,1.87,1.54,1.83,114
11,2008-06-12,1.82,1.88,1.82,1.88,324
12,2008-06-13,1.88,1.92,1.88,1.92,191
13,2008-06-16,2.24,2.24,1.83,2.01,114
14,2008-06-19,1.61,1.87,1.61,1.87,213
15,2008-06-20,2.1,2.1,1.56,2.01,548
16,2008-06-23,2.1,2.1,2.1,2.1,1092
17,2008-06-24,1.68,2.05,1.68,1.78,1311
18,2008-06-25,2.06,2.06,1.88,1.97,230
19,2008-06-26,2.01,2.01,2.01,2.01,109
20,2008-07-03,2.06,2.06,2.06,2.06,1
21,2008-07-07,1.65,1.65,1.65,1.65,109
22,2008-07-09,1.98,1.98,1.98,1.98,1
23,2008-07-10,1.88,2.06,1.88,2.06,918
24,2008-07-11,1.92,1.92,1.92,1.92,120
25,2008-07-14,1.82,1.82,1.54,1.78,318
26,2008-07-15,2.05,2.05,2.05,2.05,1
27,2008-07-16,2.05,2.05,1.65,1.65,2658
28,2008-07-30,1.61,1.61,1.32,1.37,602
29,2008-07-31,1.65,1.65,1.65,1.65,274
30,2008-08-04,1.39,1.39,1.39,1.39,227
31,2008-08-19,1.36,1.36,1.35,1.35,555
32,2008-10-08,1.19,1.19,1.19,1.19,1080
33,2008-10-14,1.43,1.67,1.43,1.67,874
34,2008-10-15,1.88,1.88,1.88,1.88,327
35,2008-10-16,1.99,1.99,1.99,1.99,218
36,2008-10-17,2.06,2.06,2.06,2.06,109
37,2008-10-20,2.06,2.06,2.06,2.06,109
38,2008-10-21,2.06,2.06,2.06,2.06,109
39,2008-10-22,2.06,2.06,2.06,2.06,21
40,2008-10-23,2.06,2.06,2.06,2.06,109
41,2008-10-24,2.06,2.06,2.06,2.06,21
42,2008-10-27,2.06,2.06,2.06,2.06,21
43,2008-10-28,2.06,2.06,2.06,2.06,10
44,2008-10-29,2.06,2.06,2.06,2.06,10
45,2008-10-30,2.06,2.06,2.06,2.06,10
46,2008-10-31,1.46,1.51,1.42,1.47,8340
47,2008-11-03,1.51,1.69,1.51,1.69,924
48,2008-11-04,1.46,1.48,1.46,1.48,1202
49,2008-11-05,1.48,1.48,1.48,1.48,72
50,2008-11-07,1.42,1.42,1.42,1.42,218
51,2008-11-14,1.36,1.36,1.35,1.35,491
52,2008-11-24,1.42,1.42,1.42,1.42,1
53,2008-12-01,1.48,1.48,1.48,1.48,54
54,2008-12-02,1.48,1.48,1.48,1.48,710
55,2008-12-03,1.48,1.48,1.48,1.48,109
56,2008-12-04,1.48,1.48,1.48,1.48,109
57,2008-12-05,1.48,1.48,1.48,1.48,10
58,2008-12-08,1.49,1.49,1.49,1.49,98
59,2008-12-09,1.48,1.48,1.48,1.48,327
60,2008-12-10,1.48,1.48,1.48,1.48,218
61,2008-12-11,1.48,1.48,1.48,1.48,10
62,2008-12-12,1.48,1.48,1.48,1.48,10
63,2008-12-15,1.48,1.48,1.48,1.48,10
64,2008-12-16,1.48,1.48,1.48,1.48,10
65,2008-12-17,1.48,1.48,1.48,1.48,10
66,2008-12-18,1.48,1.48,1.46,1.46,120
67,2008-12-19,1.47,1.47,1.47,1.47,10
68,2008-12-22,1.47,1.47,1.28,1.28,63
69,2008-12-23,1.22,1.22,1.22,1.22,1
70,2008-12-29,1.45,1.48,1.45,1.48,42
71,2008-12-30,1.47,1.47,1.37,1.45,185
72,2008-12-31,1.44,1.44,1.44,1.44,1038
73,2009-01-05,1.52,1.52,1.52,1.52,10
74,2009-01-06,1.48,1.48,1.48,1.48,10
75,2009-01-07,1.47,1.47,1.47,1.47,10
76,2009-01-08,1.46,1.46,1.46,1.46,10
77,2009-01-09,1.46,1.46,1.46,1.46,10
78,2009-01-12,1.46,1.46,1.46,1.46,10
79,2009-01-13,1.46,1.46,1.46,1.46,10
80,2009-01-14,1.47,1.47,1.47,1.47,10
81,2009-01-15,1.47,1.47,1.28,1.28,1432
82,2009-01-16,1.45,1.45,1.45,1.45,10
83,2009-01-19,1.45,1.45,1.45,1.45,10
84,2009-01-20,1.45,1.45,1.45,1.45,10
85,2009-01-21,1.45,1.45,1.45,1.45,10
86,2009-01-22,1.45,1.45,1.45,1.45,10
87,2009-01-23,1.47,1.47,1.47,1.47,10
88,2009-01-26,1.48,1.48,1.48,1.48,21
89,2009-01-27,1.48,1.48,1.48,1.48,10
90,2009-01-28,1.47,1.47,1.47,1.47,10
91,2009-01-29,1.47,1.47,1.47,1.47,10
92,2009-01-30,1.47,1.47,1.19,1.19,42
93,2009-02-02,1.22,1.22,1.22,1.22,10
94,2009-02-16,1.1,1.1,1.01,1.1,546
95,2009-03-17,1.06,1.06,1.06,1.06,10
96,2009-03-18,1.01,1.01,1.01,1.01,109
97,2009-03-19,1.01,1.01,1.01,1.01,10
98,2009-03-20,1.01,1.01,1.01,1.01,10
99,2009-03-23,1.01,1.01,0.91,0.91,65
100,2009-04-08,0.91,1.1,0.91,1.1,120
101,2009-04-22,1.14,1.32,1.14,1.32,1202
102,2009-04-23,1.36,1.36,1.36,1.36,218
103,2009-04-24,1.19,1.19,1.19,1.19,109
104,2009-04-28,1.15,1.15,0.95,0.95,262
105,2009-04-29,0.91,0.91,0.91,0.91,3608
106,2009-04-30,0.91,1.01,0.91,1.01,644
107,2009-05-04,1.01,1.01,1.01,1.01,139
108,2009-05-05,0.88,1.09,0.87,0.91,1256
109,2009-05-06,1.01,1.01,1.01,1.01,13
110,2009-05-08,1.01,1.01,1.01,1.01,32
111,2009-05-14,0.96,0.96,0.96,0.96,10
112,2009-05-15,1.0,1.0,1.0,1.0,10
113,2009-05-20,1.0,1.0,1.0,1.0,10
114,2009-05-21,0.96,0.96,0.96,0.96,10
115,2009-05-27,0.92,0.92,0.77,0.77,751
116,2009-05-28,0.78,0.78,0.78,0.78,44
117,2009-05-29,0.77,0.77,0.77,0.77,54
118,2009-06-01,0.77,0.91,0.77,0.91,131
119,2009-06-03,0.96,0.96,0.96,0.96,54
120,2009-06-04,1.0,1.03,1.0,1.03,218
121,2009-06-05,1.08,1.13,1.08,1.13,327
122,2009-06-08,1.13,1.13,1.13,1.13,179
123,2009-06-09,1.13,1.13,1.13,1.13,10
124,2009-06-10,1.13,1.13,1.13,1.13,10
125,2009-06-12,1.13,1.13,1.13,1.13,54
126,2009-06-15,1.13,1.13,1.13,1.13,43
127,2009-06-16,1.13,1.13,1.13,1.13,10
128,2009-06-17,1.13,1.13,1.13,1.13,10
129,2009-06-18,1.13,1.13,0.92,1.13,136
130,2009-06-19,1.13,1.13,1.13,1.13,10
131,2009-06-22,1.13,1.13,1.01,1.1,240
132,2009-06-23,1.13,1.13,1.12,1.12,130
133,2009-06-24,1.13,1.13,1.13,1.13,10
134,2009-06-26,1.21,1.21,1.21,1.21,10
135,2009-07-01,1.2,1.2,1.2,1.2,10
136,2009-07-02,1.2,1.2,1.2,1.2,10
137,2009-07-03,1.2,1.2,1.2,1.2,10
138,2009-07-06,1.2,1.2,1.2,1.2,10
139,2009-07-07,1.2,1.2,1.2,1.2,10
140,2009-07-08,1.2,1.2,1.2,1.2,10
141,2009-07-09,1.2,1.2,1.2,1.2,10
142,2009-07-10,1.2,1.2,1.2,1.2,10
143,2009-07-13,1.19,1.19,1.19,1.19,10
144,2009-07-14,1.19,1.19,1.19,1.19,10
145,2009-07-15,1.19,1.19,1.19,1.19,10
146,2009-07-16,1.19,1.19,1.19,1.19,10
147,2009-07-17,1.19,1.19,1.19,1.19,1041
148,2009-07-20,1.2,1.2,1.2,1.2,10
149,2009-07-21,1.15,1.15,1.15,1.15,216
150,2009-07-22,1.15,1.15,1.15,1.15,10
151,2009-07-23,1.15,1.15,1.15,1.15,10
152,2009-07-24,1.15,1.15,1.15,1.15,357
153,2009-07-27,1.15,1.15,1.15,1.15,10
154,2009-07-28,1.15,1.15,1.15,1.15,10
155,2009-07-29,1.15,1.15,1.15,1.15,10
156,2009-07-30,1.15,1.15,1.15,1.15,10
157,2009-07-31,1.15,1.15,1.15,1.15,10
158,2009-08-03,1.26,1.26,1.26,1.26,103
159,2009-08-04,1.26,1.26,1.26,1.26,10
160,2009-08-05,1.26,1.26,1.26,1.26,10
161,2009-08-06,1.26,1.26,1.26,1.26,10
162,2009-08-07,1.26,1.26,1.26,1.26,10
163,2009-08-10,1.25,1.25,1.25,1.25,10
164,2009-08-11,1.25,1.25,1.25,1.25,10
165,2009-08-12,1.25,1.25,1.25,1.25,10
166,2009-08-13,1.25,1.25,1.25,1.25,10
167,2009-08-14,1.3,1.3,1.3,1.3,10
168,2009-08-17,1.3,1.3,1.3,1.3,110
169,2009-08-18,1.3,1.3,1.3,1.3,10
170,2009-08-19,1.3,1.3,1.3,1.3,10
171,2009-08-20,1.3,1.3,1.3,1.3,10
172,2009-08-21,1.3,1.3,1.3,1.3,10
173,2009-08-24,1.3,1.3,1.3,1.3,10
174,2009-08-25,1.3,1.31,1.3,1.31,164
175,2009-08-26,1.31,1.31,1.31,1.31,10
176,2009-09-01,1.31,1.31,1.31,1.31,10
177,2009-09-10,1.31,1.31,1.31,1.31,5
178,2009-09-14,1.16,1.16,1.16,1.16,103
179,2009-09-15,1.12,1.16,1.12,1.16,162
180,2009-09-16,1.16,1.16,1.16,1.16,360
181,2009-09-17,1.16,1.26,1.16,1.16,422
182,2009-09-18,1.16,1.16,1.16,1.16,10
183,2009-09-21,1.16,1.16,1.16,1.16,10
184,2009-09-22,1.16,1.16,1.16,1.16,5
185,2009-09-25,1.16,1.16,1.16,1.16,2
186,2009-09-30,1.16,1.16,1.16,1.16,10
187,2009-10-05,1.16,1.16,1.16,1.16,10
188,2009-10-06,1.16,1.16,1.16,1.16,10
189,2009-10-07,1.12,1.12,1.07,1.07,102
190,2009-10-08,1.07,1.07,1.07,1.07,10
191,2009-10-12,1.07,1.07,1.07,1.07,10
192,2009-10-13,1.12,1.12,1.12,1.12,10
193,2009-10-14,1.12,1.12,1.12,1.12,10
194,2009-10-15,1.12,1.12,1.12,1.12,10
