,Date,Open,High,Low,Close,Volume
0,2010-12-09,0.8292,1.0366,0.8292,1.0366,1173534
1,2010-12-10,1.0366,1.2107,0.9121,0.9204,1570787
2,2010-12-13,0.9038,0.9951,0.8706,0.8788,203594
3,2010-12-14,0.9038,0.9038,0.8292,0.8624,138722
4,2010-12-15,0.8457,0.9536,0.8374,0.9121,255669
5,2010-12-16,0.9121,0.937,0.8457,0.9204,91908
6,2010-12-17,0.8873,1.2439,0.8873,1.2439,409559
7,2010-12-20,1.2439,1.7827,1.2439,1.7827,270569
8,2010-12-21,1.8408,2.6451,1.7414,2.5705,417348
9,2010-12-22,3.0762,3.69,2.7364,3.69,124265
10,2010-12-23,4.1542,4.9834,3.3584,4.9752,141312
11,2010-12-27,5.0166,6.0033,4.1542,5.0166,74647
12,2010-12-28,4.8923,5.9288,4.1958,5.8872,49796
13,2010-12-29,5.9702,6.957,5.8541,6.6336,56273
14,2010-12-30,6.6336,9.552,6.2605,9.121,36061
15,2010-12-31,9.4529,11.195,9.1296,10.615,21620
16,2011-01-03,10.779,10.779,6.6419,6.6501,61906
17,2011-01-04,6.2024,7.4629,4.9669,7.4629,54986
18,2011-01-05,6.7164,7.3798,4.9752,4.9752,67087
19,2011-01-07,4.9752,4.9752,3.4577,3.4577,198368
20,2011-01-10,3.1509,3.1509,2.5124,2.5124,528283
21,2011-01-11,2.5788,3.0929,2.4876,2.6036,504686
22,2011-01-12,2.6119,2.6949,2.1725,2.3135,233318
23,2011-01-13,2.3051,2.4627,1.8574,1.8822,411688
24,2011-01-14,1.9071,2.0731,1.7165,1.8491,310974
25,2011-01-17,1.8491,2.0979,1.6916,1.791,280512
26,2011-01-18,1.8075,1.9237,1.6667,1.7082,188493
27,2011-01-19,1.7165,2.4378,1.675,2.2388,595872
28,2011-01-20,2.3383,2.7943,2.214,2.6535,736837
29,2011-01-21,2.6535,2.7943,2.2804,2.2885,382454
30,2011-01-24,2.3466,2.4627,1.9653,2.2804,144804
31,2011-01-25,2.2554,2.5705,2.1144,2.3383,172725
32,2011-01-26,2.3963,2.4461,2.2305,2.2804,42945
33,2011-01-27,2.3383,2.4047,2.156,2.272,59148
34,2011-01-28,2.2885,2.2885,2.1227,2.1227,30322
35,2011-01-31,2.1144,2.1144,1.9569,2.0731,36841
36,2011-02-01,2.0564,2.0564,1.758,1.8574,119722
37,2011-02-02,1.758,2.0316,1.7248,1.8574,114617
38,2011-02-03,1.8241,1.8574,1.6916,1.7082,118972
39,2011-02-04,1.6998,1.8822,1.6998,1.7414,91368
40,2011-02-07,1.7827,1.8905,1.758,1.8241,31306
41,2011-02-08,1.8241,1.8822,1.7082,1.7745,40626
42,2011-02-09,1.7663,1.874,1.7248,1.7994,34571
43,2011-02-10,1.7496,1.7827,1.7082,1.7165,34871
44,2011-02-11,1.7663,1.7663,1.617,1.6667,52106
45,2011-02-14,1.675,1.675,1.5174,1.6003,41479
46,2011-02-15,1.5753,1.5753,1.4676,1.5008,57089
47,2011-02-16,1.5008,1.592,1.4511,1.5091,33648
48,2011-02-17,1.5589,1.9486,1.5589,1.9486,156163
49,2011-02-18,1.9486,2.0482,1.7414,1.7496,292866
50,2011-02-21,1.7745,1.7745,1.5838,1.617,46633
51,2011-02-22,1.617,1.6584,1.5174,1.6086,31337
52,2011-02-23,1.617,1.617,1.5091,1.5753,19755
53,2011-02-24,1.5422,1.9569,1.534,1.8241,183927
54,2011-02-25,1.8408,2.2056,1.7663,2.0564,232859
55,2011-02-28,2.0731,2.3383,2.0731,2.1973,148545
56,2011-03-01,2.2056,2.3051,1.9154,2.0482,116349
57,2011-03-02,1.99,2.0814,1.7165,1.8159,128098
58,2011-03-03,1.7745,1.9237,1.7248,1.9071,36481
59,2011-03-04,1.9237,2.0979,1.8326,2.0731,79502
60,2011-03-07,2.0731,2.189,1.9736,1.9983,89723
61,2011-03-08,2.0316,2.0316,1.8491,1.8905,49035
62,2011-03-09,1.8491,2.0731,1.7827,1.9071,35381
63,2011-03-10,1.8822,1.9653,1.8408,1.874,20689
64,2011-03-11,1.8491,2.0316,1.8491,1.9817,18584
65,2011-03-14,1.9071,2.0232,1.9071,1.9071,9711
66,2011-03-15,1.8822,1.9653,1.8408,1.8822,8049
67,2011-03-16,1.8822,2.0149,1.8408,1.9817,22243
68,2011-03-17,1.9486,1.9486,1.8657,1.8988,10665
69,2011-03-18,1.8822,1.9736,1.8822,1.9736,4575
70,2011-03-21,1.8905,1.9404,1.8491,1.8491,16954
71,2011-03-22,1.8491,1.8905,1.791,1.8241,15561
72,2011-03-23,1.7827,1.8241,1.758,1.791,10410
73,2011-03-24,1.8159,1.9237,1.7827,1.8075,29472
74,2011-03-25,1.8905,1.8905,1.7414,1.8408,27116
75,2011-03-28,1.8241,1.9486,1.8241,1.874,47323
76,2011-03-29,1.874,1.9071,1.8241,1.8988,9379
77,2011-03-30,1.8988,1.8988,1.8241,1.8574,4344
78,2011-03-31,1.8408,2.0067,1.8241,1.9071,46786
79,2011-04-01,1.99,1.99,1.8408,1.9154,43388
80,2011-04-04,1.8905,1.9569,1.8657,1.932,15768
81,2011-04-05,1.9404,1.9404,1.8491,1.8822,10249
82,2011-04-06,1.8574,1.9404,1.8574,1.932,4120
83,2011-04-07,1.9237,1.9237,1.8574,1.8905,4282
84,2011-04-08,1.8574,2.4627,1.8408,2.3218,340167
85,2011-04-11,2.3135,2.5291,2.1061,2.1641,189034
86,2011-04-12,2.1641,2.2221,1.99,2.156,63964
87,2011-04-13,2.1808,2.2804,2.1227,2.2388,58597
88,2011-04-14,2.2471,2.2804,2.0232,2.0648,29523
89,2011-04-15,2.0232,2.156,1.9154,2.0482,35488
90,2011-04-18,2.0067,2.1144,1.9569,1.9569,24623
91,2011-04-19,2.0232,2.1061,1.9817,2.0482,20956
92,2011-04-20,2.0648,2.2388,2.0648,2.189,68969
93,2011-04-21,2.214,2.3632,2.156,2.156,72854
94,2011-04-26,2.1641,2.1641,2.0067,2.0564,61384
95,2011-04-27,1.9736,2.0564,1.8822,1.9154,55256
96,2011-04-28,1.8988,1.9653,1.8988,1.9404,22562
97,2011-04-29,1.9404,1.9404,1.8822,1.9237,17349
98,2011-05-02,1.8657,1.9237,1.8574,1.8988,11326
99,2011-05-04,1.9071,1.9071,1.8241,1.8491,17905
100,2011-05-05,1.8491,1.874,1.8075,1.874,14669
101,2011-05-06,1.874,1.874,1.791,1.791,6752
