,Date,Open,High,Low,Close,Volume
0,2012-12-21,3.9014,4.2916,3.1212,3.1212,1103
1,2012-12-28,2.9651,2.9651,2.497,2.497,856
2,2013-01-02,2.497,2.497,1.6386,1.6386,1257
3,2013-01-03,1.6386,1.6386,1.6386,1.6386,307
4,2013-01-04,1.6386,1.9508,1.5217,1.5217,2683
5,2013-01-07,1.4826,1.4826,1.4435,1.4435,91
6,2013-01-08,1.4435,1.4435,1.4435,1.4435,39
7,2013-01-10,1.4826,1.4826,1.2876,1.3266,1736
8,2013-01-22,1.3577,1.4045,1.3266,1.3266,1653
9,2013-01-23,1.3657,1.3657,1.3657,1.3657,103
10,2013-01-25,1.2876,1.5606,1.2876,1.5606,1345
11,2013-01-28,1.4045,1.4045,1.4045,1.4045,897
12,2013-01-29,1.2876,1.2876,1.2876,1.2876,1026
13,2013-01-30,1.1705,1.2095,1.1705,1.2095,1282
14,2013-02-05,1.2095,1.2095,1.1079,1.1159,1409
15,2013-02-08,1.1315,1.5606,1.1315,1.3031,7055
16,2013-02-11,1.2876,1.2876,1.186,1.186,897
17,2013-02-12,1.2095,1.6854,1.1705,1.4045,18459
18,2013-02-13,1.4045,1.6854,1.3657,1.6854,8552
19,2013-02-14,1.9508,2.3409,1.6386,2.3409,5862
20,2013-02-15,2.7468,3.2928,2.4892,3.2928,5085
21,2013-02-18,3.5505,4.2135,3.1212,3.4333,8564
22,2013-02-19,3.5114,3.5114,2.7468,2.7468,2350
23,2013-02-20,2.653,2.653,2.1302,2.2004,4128
24,2013-02-21,1.9508,2.0287,1.7713,1.7713,3111
25,2013-02-22,1.9741,1.9741,1.8727,1.9663,902
26,2013-02-25,1.6777,1.6777,1.584,1.6777,3403
27,2013-02-26,1.7947,1.7947,1.5606,1.6698,1050
28,2013-02-27,1.5684,1.5684,1.4435,1.4435,4170
29,2013-02-28,1.4513,1.4513,1.4045,1.4435,1063
30,2013-03-01,1.4435,1.4435,1.3657,1.3657,1048
31,2013-03-04,1.3657,1.9663,1.3266,1.9663,13003
32,2013-03-05,1.9663,2.0054,1.6073,1.7479,6554
33,2013-03-06,1.6464,2.0287,1.6386,2.0054,5648
34,2013-03-07,1.8336,1.8336,1.7947,1.7947,915
35,2013-03-08,1.6777,1.6777,1.5528,1.5763,3977
36,2013-03-11,1.6309,1.6777,1.6309,1.6621,256
37,2013-03-12,1.5606,1.5606,1.342,1.3733,3443
38,2013-03-13,1.4124,1.4124,1.4045,1.4045,833
39,2013-03-15,1.4045,1.4045,1.3266,1.3266,830
40,2013-03-18,1.4435,1.5918,1.3344,1.5528,3691
41,2013-03-19,1.5528,1.5528,1.5528,1.5528,34
42,2013-03-20,1.5528,1.5528,1.5528,1.5528,19
43,2013-03-21,1.5528,1.5528,1.5528,1.5528,26
44,2013-03-22,1.5528,1.5528,1.4435,1.4435,660
45,2013-03-25,1.4435,1.787,1.4435,1.6386,7337
46,2013-03-26,1.7479,1.7713,1.4124,1.4124,1612
47,2013-03-28,1.4904,1.4904,1.428,1.428,311
48,2013-04-02,1.4982,1.4982,1.4982,1.4982,476
