,Date,Open,High,Low,Close,Volume
0,2014-07-08,6.071,6.071,5.7514,5.8223,1038887
1,2014-07-09,5.8223,5.8223,5.6521,5.7443,39255
2,2014-07-10,5.7443,5.7869,5.7089,5.7799,109951
3,2014-07-11,5.8012,5.8012,5.7231,5.7799,6846
4,2014-07-14,5.7514,6.0213,5.7514,5.9928,72177
5,2014-07-15,6.0354,6.0354,5.9716,5.9716,62213
6,2014-07-16,6.0142,6.0142,5.9644,5.9644,10730
7,2014-07-17,5.9644,5.9787,5.8223,5.858,99918
8,2014-07-18,5.9503,5.9503,5.8295,5.9075,7793
9,2014-07-21,5.9075,6.0213,5.9075,5.9503,133691
10,2014-07-22,5.9289,6.0213,5.9075,6.0213,165083
11,2014-07-23,6.0142,6.2769,5.9787,6.2769,37217
12,2014-07-24,6.2697,6.2769,6.149,6.1563,23039
13,2014-07-25,6.149,6.2485,6.1064,6.1987,44003
14,2014-07-28,6.1987,6.1987,6.0852,6.1064,9226
15,2014-07-29,6.1064,6.2485,6.0568,6.0994,5926
16,2014-07-30,6.213,6.213,6.0354,6.0354,7683
17,2014-07-31,5.9644,6.2485,5.794,6.1349,173180
18,2014-08-01,6.0354,6.0354,5.8935,5.9999,23330
19,2014-08-04,5.9999,5.9999,5.9218,5.9218,7081
20,2014-08-06,5.9644,5.9644,5.7302,5.794,7793
21,2014-08-07,5.794,5.8223,5.7443,5.7869,16053
22,2014-08-08,5.8083,5.8438,5.8083,5.8438,800
23,2014-08-11,5.8722,5.9289,5.7585,5.9289,3816
24,2014-08-12,5.9432,5.9572,5.8862,5.8862,8132
25,2014-08-13,5.8083,5.8862,5.8083,5.8862,876
26,2014-08-14,5.8793,5.8862,5.7727,5.7727,2098
27,2014-08-18,5.9289,5.9289,5.7656,5.9289,1685
28,2014-08-19,5.9218,5.9503,5.7869,5.8223,10186
29,2014-08-21,5.9289,5.9999,5.9289,5.9644,59880
30,2014-08-22,5.9644,5.9644,5.9005,5.9644,3711
