,Date,Open,High,Low,Close,Volume
0,2011-04-26,7.0,8.4,6.06,6.17,57652
1,2011-04-27,6.39,6.39,5.0,5.49,18571
2,2011-04-28,5.7,6.1,5.05,6.1,6774
3,2011-04-29,6.38,6.38,5.4,6.1,4347
4,2011-05-02,5.41,5.7,5.41,5.7,531
5,2011-05-04,5.8,6.07,5.6,5.6,1958
6,2011-05-05,5.7,5.7,5.4,5.4,2077
7,2011-05-06,5.3,5.3,4.99,5.2,5279
8,2011-05-09,5.0,5.2,5.0,5.2,1741
9,2011-05-10,4.86,5.18,4.73,5.18,4001
10,2011-05-11,4.75,5.15,4.5,5.15,2342
11,2011-05-12,4.56,5.1,4.56,5.1,2100
12,2011-05-13,5.1,5.1,4.61,4.61,1646
13,2011-05-16,4.64,4.64,4.42,4.61,1191
14,2011-05-17,4.61,4.85,4.59,4.85,1427
15,2011-05-18,4.85,4.85,4.84,4.84,2
16,2011-05-19,4.85,4.85,4.6,4.85,522
17,2011-05-20,4.85,4.85,4.84,4.84,2
18,2011-05-23,4.49,4.84,4.49,4.84,138
19,2011-05-24,4.84,4.84,4.84,4.84,2
20,2011-05-25,4.84,5.5,4.62,5.5,5596
21,2011-05-26,5.2,5.9,5.2,5.9,1549
22,2011-05-27,6.06,6.06,5.75,5.75,492
23,2011-05-30,6.0,6.0,5.8,6.0,1044
24,2011-05-31,6.06,6.2,5.45,6.2,5409
25,2011-06-01,6.1,6.19,6.0,6.19,706
26,2011-06-03,6.04,6.04,6.04,6.04,550
27,2011-06-06,5.89,5.89,5.89,5.89,31
28,2011-06-08,5.88,5.88,5.88,5.88,2
29,2011-06-09,5.75,5.75,5.75,5.75,441
30,2011-06-14,5.3,5.31,5.3,5.31,300
31,2011-06-15,5.6,5.6,5.6,5.6,450
32,2011-06-16,5.6,5.6,5.6,5.6,2
33,2011-06-17,5.34,5.35,5.34,5.35,898
34,2011-06-20,5.35,5.35,5.35,5.35,77
35,2011-06-21,5.55,5.55,5.55,5.55,1
36,2011-06-22,5.55,5.55,5.54,5.54,2
37,2011-06-24,5.55,5.55,5.4,5.55,603
38,2011-06-27,5.55,5.75,5.35,5.75,1351
39,2011-06-28,5.75,5.75,5.69,5.69,2
40,2011-06-29,5.69,6.03,5.61,6.03,2424
41,2011-06-30,6.0,6.3,6.0,6.3,2275
42,2011-07-01,6.35,6.35,6.35,6.35,102
43,2011-07-04,6.51,6.51,6.51,6.51,2
44,2011-07-05,6.5,6.5,6.5,6.5,121
45,2011-07-06,6.5,6.5,6.5,6.5,2
46,2011-07-07,6.4,6.4,6.4,6.4,2
47,2011-07-08,6.3,6.3,6.3,6.3,2
48,2011-07-11,6.5,6.5,6.5,6.5,2
49,2011-07-12,6.5,6.5,6.49,6.49,2
50,2011-07-13,6.5,6.5,6.5,6.5,2
51,2011-07-14,6.5,6.5,6.5,6.5,2
52,2011-07-15,6.5,6.5,6.5,6.5,2
53,2011-07-18,6.5,6.5,6.5,6.5,1
54,2011-07-19,6.5,6.5,6.5,6.5,2
55,2011-07-20,6.5,6.5,6.5,6.5,2
56,2011-07-21,6.5,6.5,6.5,6.5,2
57,2011-07-22,6.5,6.5,5.79,5.79,201
58,2011-07-25,5.8,6.07,5.8,6.07,450
59,2011-07-26,6.5,6.5,5.85,5.85,863
60,2011-07-27,5.85,5.85,5.79,5.79,2313
61,2011-07-28,5.8,6.5,5.8,6.5,1041
62,2011-07-29,6.5,6.5,5.79,6.05,4696
63,2011-08-01,5.92,6.19,5.92,6.19,2
64,2011-08-02,6.47,6.47,6.47,6.47,2
65,2011-08-03,6.47,6.47,6.2,6.2,437
66,2011-08-04,6.2,6.2,6.2,6.2,1
67,2011-08-05,5.5,5.5,5.5,5.5,870
68,2011-08-08,5.5,5.5,5.5,5.5,506
69,2011-08-09,5.49,5.5,5.49,5.5,920
70,2011-08-10,5.6,5.6,5.6,5.6,450
71,2011-08-12,5.8,5.8,5.53,5.53,2
72,2011-08-18,5.52,5.52,5.5,5.5,915
73,2011-08-30,5.55,6.2,5.55,5.88,941
74,2011-08-31,6.5,6.5,6.5,6.5,2667
75,2011-09-01,6.19,6.19,5.91,5.91,830
76,2011-09-02,5.91,5.91,5.91,5.91,1
77,2011-09-05,5.91,5.91,5.91,5.91,1
78,2011-09-06,5.91,5.91,5.53,5.53,121
79,2011-09-07,5.53,5.6,5.53,5.6,451
80,2011-09-12,5.46,5.46,5.46,5.46,465
81,2011-09-28,6.0,6.0,6.0,6.0,500
82,2011-09-29,6.09,6.09,6.09,6.09,100
83,2011-09-30,6.0,6.1,6.0,6.1,1004
84,2011-10-13,6.0,6.0,6.0,6.0,2
85,2011-10-14,6.0,6.0,6.0,6.0,2
86,2011-10-19,5.81,5.81,5.81,5.81,122
87,2011-10-25,5.82,5.82,5.82,5.82,440
88,2011-10-26,5.82,5.9,5.82,5.9,426
89,2011-10-27,6.0,6.0,6.0,6.0,419
90,2011-10-31,6.1,6.1,6.1,6.1,1000
91,2011-11-02,6.0,6.0,6.0,6.0,282
92,2011-11-07,6.0,6.0,6.0,6.0,1
93,2011-11-08,5.81,5.81,5.72,5.72,433
94,2011-11-30,6.45,6.45,6.45,6.45,1000
95,2011-12-01,6.45,6.45,6.45,6.45,2
96,2011-12-02,6.45,6.45,6.45,6.45,2
97,2011-12-05,6.45,6.45,6.45,6.45,2
98,2011-12-06,6.45,6.45,6.45,6.45,2
99,2011-12-07,6.45,6.45,6.45,6.45,2
100,2011-12-08,6.45,6.45,6.45,6.45,2
101,2011-12-09,6.45,6.45,6.45,6.45,2
102,2011-12-12,6.45,6.45,6.45,6.45,2
103,2011-12-13,6.45,6.45,6.45,6.45,2
104,2011-12-14,6.45,6.45,6.17,6.17,148
105,2011-12-20,6.0,6.0,6.0,6.0,325
106,2011-12-30,6.45,6.45,6.45,6.45,500
107,2012-01-02,6.47,6.47,6.47,6.47,1
108,2012-01-03,6.47,6.47,6.47,6.47,2
109,2012-01-04,6.47,6.47,6.47,6.47,1
110,2012-01-05,6.47,6.47,6.47,6.47,2
111,2012-01-09,6.47,6.47,6.47,6.47,2
112,2012-01-10,6.47,6.47,6.47,6.47,2
113,2012-01-12,6.47,6.47,6.47,6.47,1
114,2012-01-26,6.2,6.2,6.0,6.0,1238
