,Date,Open,High,Low,Close,Volume
0,2008-04-01,31.745,35.555,31.181,34.709,234531
1,2008-04-02,35.766,35.836,33.792,33.861,58214
2,2008-04-03,34.85,34.85,33.367,33.861,26694
3,2008-04-04,34.215,34.215,32.943,33.861,10003
4,2008-04-07,33.792,34.567,32.875,33.156,36069
5,2008-04-08,32.943,32.943,31.886,32.168,15824
6,2008-04-09,32.168,34.425,31.816,33.367,425030
7,2008-04-10,34.143,34.497,33.227,34.215,4743
8,2008-04-11,35.272,38.024,35.272,35.977,145406
9,2008-04-14,35.625,36.26,34.567,36.19,16391
10,2008-04-15,36.684,37.318,35.272,35.272,49159
11,2008-04-16,35.977,36.049,34.567,34.567,24878
12,2008-04-17,35.131,35.272,34.215,34.778,8778
13,2008-04-18,34.778,35.272,33.579,34.709,20736
14,2008-04-21,35.555,35.555,34.215,34.355,6605
15,2008-04-22,34.567,34.567,32.803,33.085,31260
16,2008-04-23,33.016,33.438,32.309,32.591,17113
17,2008-04-24,32.875,33.579,32.449,33.016,10714
18,2008-04-25,33.932,33.932,32.522,33.932,16821
19,2008-04-28,34.497,34.991,33.932,34.567,13954
20,2008-04-29,34.355,34.497,33.932,34.143,1636
21,2008-04-30,33.721,34.284,33.721,34.284,10250
22,2008-05-05,35.272,35.272,33.861,34.425,4096
23,2008-05-06,34.284,34.355,33.861,34.355,5939
24,2008-05-07,34.355,34.497,33.932,34.425,9430
25,2008-05-08,33.861,34.497,33.65,33.932,3885
26,2008-05-09,33.861,33.932,33.085,33.367,36818
27,2008-05-12,33.861,34.143,33.156,33.861,4735
28,2008-05-13,33.932,34.074,33.508,33.932,6373
29,2008-05-14,35.131,35.131,33.65,33.792,7443
30,2008-05-15,33.65,34.425,33.508,34.143,62102
31,2008-05-16,35.06,36.402,34.85,36.402,88476
32,2008-05-19,36.684,38.094,36.684,38.024,57655
33,2008-05-20,38.024,39.364,37.389,37.953,112053
34,2008-05-21,37.953,38.235,36.542,38.094,52071
35,2008-05-23,38.799,39.505,38.094,38.799,12518
36,2008-05-26,39.082,39.082,37.529,37.812,3773
37,2008-05-27,36.33,37.883,36.33,37.389,5220
38,2008-05-28,37.601,38.446,36.753,38.305,11230
39,2008-05-29,38.305,38.73,37.177,38.517,3429
40,2008-05-30,38.446,38.588,37.742,38.024,57751
41,2008-06-02,37.529,38.094,37.389,37.459,3200
42,2008-06-03,37.953,39.082,37.036,38.799,120477
43,2008-06-04,39.152,40.492,38.73,38.73,7816
44,2008-06-05,39.152,39.152,38.094,38.659,2635
45,2008-06-06,38.799,39.434,38.377,38.799,137488
46,2008-06-09,37.883,38.024,37.036,37.953,15352
47,2008-06-10,37.389,38.517,36.753,37.036,25689
48,2008-06-11,37.671,37.742,35.836,36.895,86163
49,2008-06-12,36.049,36.753,35.909,36.049,79763
50,2008-06-13,35.836,35.977,35.272,35.625,60550
51,2008-06-16,36.402,36.402,35.625,36.049,14575
52,2008-06-17,35.836,36.402,35.836,36.33,35957
53,2008-06-18,36.612,37.036,35.555,35.555,25790
54,2008-06-19,36.26,37.036,35.555,36.753,21791
55,2008-06-20,37.247,37.247,36.049,36.33,35483
56,2008-06-23,36.33,36.33,33.932,34.215,74632
57,2008-06-24,34.215,35.343,34.002,34.425,34435
58,2008-06-25,34.919,35.696,34.425,35.272,35134
59,2008-06-26,35.413,36.118,35.272,36.118,43514
60,2008-06-27,35.272,35.343,34.637,35.202,29134
61,2008-06-30,35.202,35.555,34.637,34.919,47315
62,2008-07-01,35.555,35.555,34.074,34.215,24281
63,2008-07-02,34.002,35.06,33.579,33.65,9293
64,2008-07-03,32.803,33.508,31.745,31.745,99694
65,2008-07-04,32.309,32.309,29.629,31.04,918629
66,2008-07-07,31.04,31.11,29.769,30.616,5124
67,2008-07-08,29.981,30.899,28.5,29.275,14354
68,2008-07-09,29.347,30.474,29.275,30.334,3372
69,2008-07-10,30.053,31.533,28.359,29.629,155339
70,2008-07-11,29.911,29.911,28.923,29.488,8819
71,2008-07-14,30.193,30.193,27.653,28.006,17240
72,2008-07-15,28.006,28.288,26.948,27.089,175029
73,2008-07-16,26.807,28.218,26.807,27.866,8275
74,2008-07-17,28.641,30.264,28.641,30.193,10903
75,2008-07-18,30.264,30.334,29.629,30.122,3162
76,2008-07-21,30.122,32.381,30.122,32.028,6274
77,2008-07-22,31.745,31.957,31.181,31.25,4051
78,2008-07-23,31.886,34.355,31.886,34.355,30552
79,2008-07-24,34.425,34.637,33.227,33.861,17043
80,2008-07-25,33.156,36.118,32.522,35.696,41073
81,2008-07-28,35.625,37.318,35.484,36.049,147509
82,2008-07-29,35.909,36.049,35.555,36.049,27113
83,2008-07-30,36.966,37.671,35.625,36.049,105394
84,2008-07-31,36.049,36.049,34.637,35.131,16793
85,2008-08-01,35.272,36.049,34.637,35.977,4741
86,2008-08-04,35.625,35.625,34.284,35.131,6808
87,2008-08-05,35.131,35.625,34.567,35.625,101935
88,2008-08-06,36.26,36.26,34.991,34.991,28781
89,2008-08-07,34.919,35.272,34.425,34.991,120474
90,2008-08-08,34.991,35.484,34.709,35.272,1285
91,2008-08-11,35.272,36.612,35.272,35.977,123314
92,2008-08-12,36.26,36.684,35.977,35.977,63784
93,2008-08-13,36.542,36.542,35.836,36.26,5918
94,2008-08-14,37.036,37.389,36.684,36.966,117865
95,2008-08-18,37.036,37.601,36.402,37.459,32344
96,2008-08-19,37.036,37.247,35.836,36.33,13462
97,2008-08-20,36.684,36.684,36.049,36.684,7006
98,2008-08-21,37.318,37.318,36.33,36.471,1492
99,2008-08-22,36.471,37.036,36.33,36.966,23366
100,2008-08-25,36.966,37.247,36.895,36.966,2047
101,2008-08-26,37.036,37.036,36.895,37.036,8129
102,2008-08-27,36.542,37.036,36.542,36.824,33156
103,2008-08-28,36.824,36.895,36.19,36.895,6119
104,2008-08-29,36.684,37.177,36.471,36.966,6858
105,2008-09-01,37.177,37.177,36.471,36.684,18816
106,2008-09-02,37.177,38.377,37.177,37.812,29911
107,2008-09-03,37.601,38.094,37.459,37.529,19452
108,2008-09-04,38.024,41.268,38.024,39.505,70453
109,2008-09-05,38.377,39.152,38.094,38.094,36174
110,2008-09-08,39.082,39.788,37.953,38.094,8513
111,2008-09-09,38.799,38.799,37.318,37.529,4397
112,2008-09-10,37.177,37.389,36.753,37.318,19266
113,2008-09-11,36.966,38.799,36.895,38.659,8536
114,2008-09-12,38.588,40.14,38.446,39.646,89251
115,2008-09-15,38.799,38.799,37.529,37.883,13429
116,2008-09-16,37.389,37.953,35.413,35.555,31428
117,2008-09-17,36.684,37.036,34.497,34.919,32140
118,2008-09-18,33.438,35.272,32.449,34.497,109305
119,2008-09-19,36.049,36.612,35.272,36.471,15817
120,2008-09-22,36.684,37.812,36.19,36.19,6665
121,2008-09-23,35.625,35.625,34.778,35.272,11666
122,2008-09-24,35.766,35.766,34.991,35.625,4655
123,2008-09-25,35.272,36.19,35.272,36.049,11557
124,2008-09-26,35.977,35.977,35.131,35.343,4949
125,2008-09-29,35.272,35.555,34.567,34.991,10934
126,2008-09-30,33.932,37.177,33.861,36.33,39217
127,2008-10-01,36.612,37.318,35.766,35.977,3252
128,2008-10-02,36.26,36.33,35.555,35.766,1736
129,2008-10-03,36.402,36.402,34.778,35.696,10441
130,2008-10-06,34.85,35.625,34.284,34.85,17400
131,2008-10-07,35.272,35.625,33.508,35.272,17657
132,2008-10-08,33.721,34.919,33.156,34.215,18279
133,2008-10-09,34.567,34.709,33.227,33.861,10022
134,2008-10-10,31.816,32.803,29.841,30.474,157752
135,2008-10-13,31.745,33.65,31.745,33.156,55911
136,2008-10-14,35.272,35.625,33.792,33.792,16965
137,2008-10-15,33.792,34.215,32.591,33.156,13733
138,2008-10-16,31.957,33.861,31.04,33.156,149112
139,2008-10-17,34.778,34.778,31.886,32.943,19840
140,2008-10-20,33.792,34.143,33.721,33.861,93128
141,2008-10-21,34.425,34.425,33.508,33.508,7153
142,2008-10-22,33.156,34.074,32.381,32.803,6287
143,2008-10-23,32.098,33.227,30.474,32.449,53633
144,2008-10-24,32.591,32.734,31.816,32.168,59134
145,2008-10-27,33.085,33.085,31.604,32.24,29670
146,2008-10-28,33.085,33.297,31.957,32.381,31232
147,2008-10-29,33.508,33.508,32.449,32.449,34467
148,2008-10-30,33.085,33.367,32.449,32.591,10309
149,2008-10-31,32.591,32.734,32.168,32.734,5697
150,2008-11-03,33.156,34.355,33.085,33.861,11685
151,2008-11-04,34.215,34.425,33.932,34.143,14811
152,2008-11-05,34.355,34.425,33.579,34.215,10025
153,2008-11-06,33.721,33.721,33.297,33.438,4567
154,2008-11-07,33.367,33.65,32.449,32.803,7588
155,2008-11-10,32.875,33.508,32.803,33.085,1081
156,2008-11-12,33.016,33.156,31.463,31.463,38834
157,2008-11-13,31.04,32.522,31.04,31.533,33446
158,2008-11-14,32.943,32.943,32.098,32.522,13910
159,2008-11-17,33.016,33.792,31.745,31.745,55160
160,2008-11-18,32.381,32.449,31.463,32.381,28557
161,2008-11-19,33.016,33.016,32.098,32.168,6564
162,2008-11-20,31.604,31.675,31.04,31.323,24250
163,2008-11-21,31.533,32.309,31.04,31.04,22997
164,2008-11-24,32.381,32.381,29.981,31.675,618795
165,2008-11-25,31.745,32.168,31.392,31.745,16512
166,2008-11-26,31.745,31.957,31.604,31.675,12967
167,2008-11-27,31.604,32.028,31.604,31.675,23456
168,2008-11-28,31.745,31.745,31.323,31.323,14108
169,2008-12-01,31.04,31.04,30.122,30.406,16460
170,2008-12-02,30.122,30.757,29.064,30.053,10644
171,2008-12-03,30.053,30.828,29.841,30.053,8449
172,2008-12-04,30.334,30.334,29.769,29.981,6037
173,2008-12-05,29.981,30.193,29.629,30.193,1429
174,2008-12-08,30.334,30.969,29.981,30.193,29035
175,2008-12-09,30.406,30.406,29.416,29.911,17405
176,2008-12-10,29.981,30.334,29.488,29.629,17319
177,2008-12-11,29.911,29.911,29.275,29.629,40670
178,2008-12-12,29.064,29.558,28.923,28.923,9556
179,2008-12-15,29.064,29.275,28.782,28.923,2097
180,2008-12-16,28.923,28.994,28.641,28.641,7338
181,2008-12-17,28.5,29.981,28.5,29.629,12116
182,2008-12-18,29.629,29.629,28.923,29.206,13648
183,2008-12-19,28.994,28.994,28.571,28.712,34927
184,2008-12-22,28.712,28.782,28.218,28.571,11436
185,2008-12-23,28.288,28.712,28.218,28.5,12038
186,2008-12-29,28.571,28.571,28.359,28.5,10086
187,2008-12-30,28.5,28.571,28.077,28.077,34971
188,2008-12-31,28.218,28.571,28.218,28.5,1497
189,2009-01-05,28.571,29.981,28.359,29.488,80842
190,2009-01-06,29.841,31.25,29.488,30.334,21571
191,2009-01-07,31.25,31.25,29.769,29.769,11839
192,2009-01-08,29.769,30.053,29.488,29.488,17855
193,2009-01-09,29.629,29.629,28.854,29.064,20425
194,2009-01-12,29.064,29.064,28.571,28.641,4722
195,2009-01-13,28.571,28.571,27.936,28.218,89134
196,2009-01-14,28.148,28.218,27.725,27.795,52473
197,2009-01-15,27.866,28.218,26.878,28.077,15652
198,2009-01-16,28.148,28.359,27.795,27.866,4712
199,2009-01-19,27.653,28.359,27.653,27.795,80290
200,2009-01-20,27.512,27.866,27.512,27.512,1349
201,2009-01-21,27.512,27.512,27.16,27.231,32940
202,2009-01-22,27.16,27.372,25.607,26.032,13876
203,2009-01-23,26.384,26.384,24.125,24.338,23786
204,2009-01-26,24.057,24.057,22.151,23.985,87610
205,2009-01-27,24.409,26.807,24.409,25.396,187777
206,2009-01-28,26.101,26.101,25.749,25.96,33117
207,2009-01-29,26.101,27.019,25.396,26.173,92151
208,2009-01-30,25.679,27.089,25.679,26.454,9448
209,2009-02-02,26.878,27.653,26.101,26.807,9386
210,2009-02-03,26.454,26.525,26.101,26.101,23436
211,2009-02-04,26.173,26.525,24.338,24.761,26408
212,2009-02-05,24.832,24.832,24.125,24.55,17283
213,2009-02-06,24.69,25.537,23.844,25.184,21804
214,2009-02-09,25.043,25.184,24.338,24.761,46646
215,2009-02-10,24.62,25.607,24.409,25.467,12407
216,2009-02-11,25.043,25.467,24.62,25.467,2803
217,2009-02-12,25.184,25.326,24.69,24.69,968
218,2009-02-13,25.537,25.537,24.761,25.255,1169
219,2009-02-16,25.255,25.607,24.761,24.761,2638
220,2009-02-17,24.761,25.396,24.338,24.761,5966
221,2009-02-18,24.902,24.902,23.28,23.985,16049
222,2009-02-19,23.985,25.043,23.632,25.043,3740
223,2009-02-20,24.974,24.974,24.338,24.69,759
224,2009-02-23,25.043,25.043,24.125,24.62,3629
225,2009-02-24,24.197,24.832,24.057,24.125,2110
226,2009-02-25,24.69,24.69,24.125,24.62,1276
227,2009-02-26,24.69,24.69,23.632,24.125,5781
228,2009-02-27,24.832,24.832,24.125,24.197,2809
229,2009-03-02,23.985,24.55,22.715,23.985,16809
230,2009-03-03,23.985,25.043,23.985,24.832,19353
231,2009-03-04,24.69,25.255,24.409,25.255,5984
232,2009-03-05,25.255,26.313,25.255,25.396,101566
233,2009-03-06,25.255,27.442,24.69,27.372,12336
234,2009-03-09,27.442,28.006,26.807,27.372,35777
235,2009-03-10,27.795,27.795,26.878,27.512,19060
236,2009-03-11,27.795,28.148,27.231,28.077,6516
237,2009-03-12,27.866,27.866,26.878,27.089,3323
238,2009-03-13,27.725,27.725,26.384,26.594,6756
239,2009-03-16,26.454,26.594,25.537,26.454,6940
240,2009-03-17,26.384,27.725,25.749,27.582,13570
241,2009-03-18,28.006,29.769,28.006,29.347,26669
242,2009-03-19,29.841,29.841,27.866,28.077,42455
243,2009-03-20,27.3,28.5,27.3,28.218,11920
244,2009-03-23,28.5,28.5,27.16,27.442,14823
245,2009-03-24,27.866,28.5,27.231,28.218,19628
246,2009-03-25,28.288,28.641,27.936,28.288,17865
247,2009-03-26,28.571,28.571,27.795,27.866,33228
248,2009-03-27,28.148,28.148,27.442,28.148,9505
249,2009-03-30,28.218,28.218,26.807,26.878,10722
250,2009-03-31,26.878,27.653,26.878,27.512,1777
251,2009-04-01,28.006,28.006,27.16,27.442,682
252,2009-04-02,27.582,28.218,27.512,28.148,14492
253,2009-04-03,28.077,29.064,27.795,28.077,30149
254,2009-04-06,28.218,28.994,27.936,28.077,12463
255,2009-04-07,27.936,29.206,27.795,29.064,13761
256,2009-04-08,27.936,28.429,27.725,28.429,37220
257,2009-04-09,28.641,28.782,28.077,28.5,50594
258,2009-04-14,28.5,28.712,28.148,28.218,15768
259,2009-04-15,28.218,28.712,28.218,28.712,27184
260,2009-04-16,28.712,29.769,28.5,28.854,35240
261,2009-04-17,29.064,30.122,28.712,29.347,29091
262,2009-04-20,29.911,29.911,28.5,28.994,18939
263,2009-04-21,28.782,29.206,28.571,29.135,59296
264,2009-04-22,29.275,29.558,28.782,28.923,13778
265,2009-04-23,28.994,29.206,28.782,28.923,41415
266,2009-04-24,28.923,30.547,28.571,30.334,190716
267,2009-04-27,30.687,31.886,30.193,30.406,102522
268,2009-04-28,30.334,30.334,29.347,29.841,37452
269,2009-04-29,29.841,30.616,29.558,30.122,25821
270,2009-04-30,30.334,30.616,30.122,30.616,41296
271,2009-05-04,30.969,31.604,30.687,30.828,22024
272,2009-05-05,31.04,31.04,29.981,30.334,21313
273,2009-05-06,30.334,30.687,29.7,30.687,35402
274,2009-05-07,31.04,31.04,29.981,30.053,18014
275,2009-05-08,29.841,29.981,28.923,29.416,21932
276,2009-05-11,29.064,29.135,28.288,28.782,15371
277,2009-05-12,28.923,29.911,28.5,29.911,19551
278,2009-05-13,29.769,29.911,29.206,29.488,4317
279,2009-05-14,28.712,29.769,28.712,29.488,2637
280,2009-05-15,28.712,28.923,28.218,28.429,19061
281,2009-05-18,28.5,29.769,28.218,29.769,16405
282,2009-05-19,28.994,29.7,28.5,29.416,9346
283,2009-05-20,29.416,29.558,28.923,29.416,5269
284,2009-05-21,28.923,30.264,28.923,30.264,12037
285,2009-05-22,29.629,30.899,29.558,30.547,23632
286,2009-05-25,30.899,30.969,29.769,29.911,34250
287,2009-05-26,30.193,30.193,29.135,29.629,4534
288,2009-05-27,30.193,30.193,29.275,29.275,22868
289,2009-05-28,29.206,29.206,28.782,28.782,3097
290,2009-05-29,28.931,29.295,27.771,27.771,77442
291,2009-06-01,27.512,28.077,26.878,28.077,77057
292,2009-06-02,28.077,28.077,27.231,27.3,38169
293,2009-06-03,27.653,27.653,26.878,27.019,13708
294,2009-06-04,27.089,28.006,27.019,27.3,32845
295,2009-06-05,27.3,27.653,27.019,27.089,30249
296,2009-06-08,27.16,27.512,26.807,26.878,13347
297,2009-06-09,26.878,27.089,26.594,26.807,8303
298,2009-06-10,26.878,29.275,26.878,29.275,62339
299,2009-06-12,28.5,28.782,28.218,28.218,34197
300,2009-06-15,28.288,28.288,27.16,27.725,6138
301,2009-06-16,26.948,27.16,26.666,26.807,35541
302,2009-06-17,26.737,26.807,25.679,25.749,49519
303,2009-06-18,25.749,25.819,25.114,25.467,26502
304,2009-06-19,25.537,26.594,25.537,26.384,4796
305,2009-06-22,26.384,26.454,25.255,25.255,8259
306,2009-06-23,24.902,25.467,24.62,24.974,28686
307,2009-06-24,25.184,25.679,24.974,25.114,18082
308,2009-06-25,25.255,25.396,24.197,24.974,12681
309,2009-06-26,25.255,25.255,24.55,24.62,10496
310,2009-06-29,25.043,25.043,24.55,24.69,8364
311,2009-06-30,24.69,24.832,24.55,24.55,25224
312,2009-07-01,24.409,24.832,23.985,24.69,188739
313,2009-07-02,24.974,25.396,24.267,25.396,57389
314,2009-07-03,25.749,27.16,24.69,25.96,624071
315,2009-07-06,26.313,26.313,24.69,24.69,49351
316,2009-07-07,24.832,25.255,24.69,24.69,16721
317,2009-07-08,24.832,25.396,24.409,25.326,17844
318,2009-07-09,25.607,26.101,25.607,25.819,15128
319,2009-07-10,26.032,26.101,25.537,25.819,15132
320,2009-07-13,25.607,25.607,25.396,25.396,33208
321,2009-07-14,25.607,25.819,25.396,25.819,8438
322,2009-07-15,25.96,26.384,25.819,26.384,24579
323,2009-07-16,26.454,27.019,26.384,26.737,58660
324,2009-07-17,26.807,27.16,26.666,26.666,11102
325,2009-07-20,26.683,26.828,26.177,26.393,16812
326,2009-07-21,26.538,26.611,26.248,26.393,2979
327,2009-07-22,26.756,26.756,25.887,26.103,40188
328,2009-07-23,26.103,26.103,25.813,25.813,74035
329,2009-07-24,26.103,26.466,25.813,26.103,18170
330,2009-07-27,26.177,26.466,26.032,26.032,15262
331,2009-07-28,26.466,26.683,26.032,26.466,7823
332,2009-07-29,26.683,27.119,26.538,26.828,46111
333,2009-07-30,27.119,27.119,26.828,26.828,38330
334,2009-07-31,27.119,27.481,27.046,27.409,96067
335,2009-08-03,27.481,30.091,27.409,29.15,167451
336,2009-08-04,29.801,29.801,29.004,29.221,166285
337,2009-08-05,29.366,29.729,28.497,28.641,67546
338,2009-08-06,29.15,29.295,28.714,29.004,74534
339,2009-08-07,29.221,29.221,28.569,28.714,25498
340,2009-08-10,28.786,28.859,28.062,28.279,22471
341,2009-08-11,28.134,28.786,28.062,28.279,35046
342,2009-08-12,28.279,28.279,27.771,28.279,12338
343,2009-08-13,28.641,29.15,27.989,28.279,43373
344,2009-08-14,28.279,28.497,27.844,27.989,27266
345,2009-08-17,27.844,27.844,26.683,27.046,29103
346,2009-08-18,27.046,27.771,26.683,27.771,30144
347,2009-08-19,27.553,27.844,27.264,27.844,4138
348,2009-08-20,28.352,28.931,27.916,28.497,24079
349,2009-08-21,28.279,28.641,28.062,28.497,19938
350,2009-08-24,29.221,30.091,29.076,29.729,112805
351,2009-08-25,30.091,30.091,29.366,29.729,34740
352,2009-08-26,29.874,29.874,28.641,28.786,44962
353,2009-08-27,28.859,29.585,27.191,27.191,81632
354,2009-08-28,27.916,29.44,27.916,29.221,55754
355,2009-08-31,29.366,29.801,29.004,29.511,27394
356,2009-09-01,29.44,29.511,28.279,29.004,18390
357,2009-09-02,27.698,28.641,27.626,28.134,23986
358,2009-09-03,28.279,28.786,28.207,28.352,7905
359,2009-09-04,29.004,29.366,28.859,29.076,23860
360,2009-09-07,29.076,29.511,28.931,29.15,23346
361,2009-09-08,29.221,29.366,28.786,28.931,19402
362,2009-09-09,28.859,29.004,28.352,28.786,4397
363,2009-09-10,28.859,29.004,28.279,28.279,13891
364,2009-09-11,28.641,28.859,28.207,28.279,10751
365,2009-09-14,28.207,28.207,26.683,27.264,16355
366,2009-09-15,28.062,28.062,27.409,27.989,6424
367,2009-09-16,28.134,28.859,27.553,28.641,12588
368,2009-09-17,28.641,28.859,28.062,28.352,12871
369,2009-09-18,28.279,28.497,27.916,28.424,6617
370,2009-09-21,28.497,28.786,27.844,28.497,7368
371,2009-09-22,28.279,28.641,28.207,28.569,82007
372,2009-09-23,28.641,29.004,28.641,28.714,8135
373,2009-09-24,28.279,28.714,28.279,28.279,2997
374,2009-09-25,28.714,28.931,28.279,28.279,9148
375,2009-09-28,28.641,28.786,28.279,28.714,7196
376,2009-09-29,28.786,28.786,28.207,28.207,6436
377,2009-09-30,28.641,28.859,27.916,28.424,16795
378,2009-10-01,28.279,28.279,27.916,27.989,5157
379,2009-10-02,27.771,27.844,26.828,27.191,16442
380,2009-10-05,27.409,27.844,26.901,27.844,2684
381,2009-10-06,27.916,28.279,27.336,28.207,3151
382,2009-10-07,28.279,28.279,27.771,27.844,3156
383,2009-10-08,27.844,28.207,27.844,27.844,2923
384,2009-10-09,28.062,28.134,27.771,28.134,2346
385,2009-10-12,28.134,28.207,27.844,27.916,1775
386,2009-10-13,27.771,27.844,27.409,27.698,4085
387,2009-10-14,27.698,28.134,27.553,27.553,6293
388,2009-10-15,27.916,28.062,27.553,27.626,3250
389,2009-10-16,27.844,27.844,27.046,27.046,8693
390,2009-10-19,27.264,27.409,26.828,27.046,26146
391,2009-10-20,27.191,27.191,26.466,26.466,28064
392,2009-10-21,26.756,27.119,26.248,26.901,20615
393,2009-10-22,27.046,27.698,27.046,27.553,162703
394,2009-10-23,27.916,28.569,27.916,28.569,29053
395,2009-10-26,28.569,28.569,27.626,28.207,5134
396,2009-10-27,27.989,28.134,27.626,27.989,9766
397,2009-10-28,27.698,28.134,27.698,27.771,6014
398,2009-10-29,27.553,27.844,27.191,27.481,10339
399,2009-10-30,27.771,27.771,27.336,27.553,10980
400,2009-11-02,27.553,27.553,27.119,27.119,9056
401,2009-11-03,27.191,27.481,27.191,27.191,18890
402,2009-11-04,27.336,27.916,27.191,27.916,93793
403,2009-11-05,28.207,28.207,27.989,28.062,1556
404,2009-11-06,28.207,28.207,27.553,27.916,11540
405,2009-11-09,27.989,28.279,27.771,28.279,3925
406,2009-11-10,28.279,28.352,27.916,28.134,3786
407,2009-11-12,28.279,28.279,28.062,28.134,6234
408,2009-11-13,28.207,28.279,27.553,27.771,7236
409,2009-11-16,27.771,28.207,27.771,27.844,5531
410,2009-11-17,28.279,28.714,27.916,28.134,23760
411,2009-11-18,28.279,28.497,27.844,27.844,74247
412,2009-11-19,27.844,27.989,27.481,27.553,44405
413,2009-11-20,27.553,27.553,27.264,27.336,8079
414,2009-11-23,27.336,28.641,27.046,28.641,37471
415,2009-11-24,28.641,28.714,28.207,28.352,9602
416,2009-11-25,28.424,28.424,27.916,28.424,67840
417,2009-11-26,28.497,28.497,27.989,28.352,18261
418,2009-11-27,27.553,27.916,27.553,27.844,4507
419,2009-11-30,28.062,28.062,27.553,27.626,1227
