,Date,Open,High,Low,Close,Volume
0,2008-09-12,2.6327,4.1055,2.5998,3.7434,15860
1,2008-09-15,4.1218,4.3605,3.5377,3.7434,6530
2,2008-09-16,3.949,4.1136,3.7845,3.949,2668
3,2008-09-17,4.0313,4.0313,4.0313,4.0313,61
4,2008-09-18,3.949,4.1136,3.949,4.1136,1178
5,2008-09-19,4.1465,4.237,4.1465,4.237,2736
6,2008-09-22,4.1959,4.6073,4.1959,4.3193,1859
7,2008-09-23,4.2946,4.3605,4.2946,4.3605,30
8,2008-09-24,4.4016,4.4016,4.4016,4.4016,12
9,2008-09-25,4.344,4.4591,4.344,4.4591,207
10,2008-09-26,4.6073,5.3476,4.6073,4.7718,5337
11,2008-09-29,4.7718,4.7718,4.5661,4.7718,1998
12,2008-09-30,4.7718,4.8211,4.5661,4.8211,2534
13,2008-10-01,4.8211,4.8211,4.4838,4.4838,1959
14,2008-10-02,4.6073,4.8211,4.6073,4.6895,257
15,2008-10-03,4.6895,4.8211,4.6895,4.8129,1746
16,2008-10-06,4.7718,4.8541,4.7718,4.8541,403
17,2008-10-07,4.8541,4.8541,4.8541,4.8541,12
18,2008-10-08,4.7718,4.8952,4.7718,4.8952,66
19,2008-10-09,4.8541,4.9199,4.5661,4.6895,7901
20,2008-10-10,4.6895,4.6895,4.6484,4.6484,447
21,2008-10-13,4.6484,4.6484,4.6484,4.6484,12
22,2008-10-14,4.6895,4.6895,4.6895,4.6895,134
23,2008-10-15,4.6484,4.6484,4.6484,4.6484,12
24,2008-10-16,4.6484,4.6484,4.6484,4.6484,12
25,2008-10-17,4.6484,4.6484,4.6484,4.6484,12
26,2008-10-20,4.6484,4.6484,4.6484,4.6484,12
27,2008-10-21,4.6895,4.6895,4.6895,4.6895,12
28,2008-10-22,4.6895,4.6895,4.6895,4.6895,12
29,2008-10-23,4.6895,4.8869,4.6895,4.8869,24
30,2008-10-28,4.8787,4.8787,4.8787,4.8787,12
31,2008-10-29,4.8787,4.8787,4.6895,4.6895,18
