,Date,Open,High,Low,Close,Volume
0,2009-07-08,8.9633,9.2776,8.9633,9.0971,157654
1,2009-07-09,9.4114,10.666,9.0614,9.546,39706
2,2009-07-10,9.904,10.218,9.591,9.86,2908
3,2009-07-13,10.756,11.661,10.263,10.531,31160
4,2009-07-14,10.487,10.531,10.083,10.397,2558
5,2009-07-15,10.128,10.317,9.86,10.317,625
6,2009-07-16,9.86,10.442,9.77,10.442,575
7,2009-07-17,10.397,10.397,10.218,10.397,167
8,2009-07-20,9.869,10.353,9.869,10.353,252
9,2009-07-21,9.869,10.397,9.869,10.397,123
10,2009-07-22,9.869,10.397,9.869,10.397,979
11,2009-07-23,9.896,10.442,9.77,9.904,43143
12,2009-07-24,10.379,10.379,9.77,9.86,31685
13,2009-07-27,9.85,9.86,9.85,9.86,5307
14,2009-07-28,9.86,9.86,9.86,9.86,20912
15,2009-07-29,9.86,10.308,9.86,10.308,842
16,2009-07-30,9.904,10.353,9.85,9.85,6326
17,2009-07-31,9.85,9.86,9.85,9.85,12891
18,2009-08-04,9.689,9.86,9.681,9.86,1261
19,2009-08-05,9.814,10.317,9.814,10.317,1507
20,2009-08-07,9.86,9.86,9.77,9.77,39035
21,2009-08-10,9.814,9.824,9.77,9.77,2633
22,2009-08-11,9.814,9.814,9.814,9.814,3701
23,2009-08-12,9.814,9.814,9.814,9.814,480
24,2009-08-13,10.397,10.576,10.397,10.576,449
25,2009-08-14,10.576,10.576,10.253,10.576,278
26,2009-08-17,10.576,10.576,10.083,10.308,359
27,2009-08-18,10.308,10.308,10.308,10.308,187
28,2009-08-19,10.308,10.308,10.308,10.308,21936
29,2009-08-20,10.308,10.308,10.039,10.128,867
30,2009-08-21,10.128,10.487,10.128,10.308,79
31,2009-08-24,10.818,10.845,10.487,10.801,2440
32,2009-08-25,10.801,10.801,10.442,10.801,1881
33,2009-08-26,10.801,11.329,10.801,10.979,1820
34,2009-08-27,12.351,12.351,10.756,10.756,9984
35,2009-08-28,10.756,11.607,10.756,11.607,136
36,2009-08-31,11.562,11.562,11.562,11.562,45
37,2009-09-01,10.936,11.115,10.936,11.115,847
38,2009-09-02,10.936,10.936,10.936,10.936,308
39,2009-09-03,10.936,10.936,10.936,10.936,5
40,2009-09-04,10.936,10.936,10.576,10.576,837
41,2009-09-07,10.576,10.576,10.389,10.397,88187
42,2009-09-08,10.397,11.069,10.389,10.953,47383
43,2009-09-09,11.025,11.204,11.025,11.115,3458
44,2009-09-10,11.115,11.204,10.756,10.936,5347
45,2009-09-11,11.204,11.921,10.944,11.832,43835
46,2009-09-14,11.652,11.652,11.204,11.204,2404
47,2009-09-15,11.652,11.652,11.159,11.159,2608
48,2009-09-16,11.832,11.832,10.854,10.854,1729
49,2009-09-17,11.115,11.607,11.115,11.472,1385
50,2009-09-18,11.465,11.465,11.204,11.393,121
51,2009-09-21,11.293,12.011,11.293,11.921,5021
52,2009-09-22,12.235,12.279,12.235,12.279,1127
53,2009-09-23,11.921,12.011,11.742,12.011,4072
54,2009-09-24,11.948,12.459,11.742,12.459,12496
55,2009-09-25,12.459,14.341,12.459,14.341,22564
56,2009-09-28,14.207,14.207,13.534,14.162,603
57,2009-09-29,13.444,13.983,13.444,13.983,67
58,2009-09-30,13.355,13.804,13.31,13.804,2243
59,2009-10-01,13.804,13.804,13.221,13.804,3663
60,2009-10-02,14.297,14.297,14.297,14.297,1
61,2009-10-05,14.117,14.117,14.072,14.072,62
62,2009-10-06,13.355,13.444,13.051,13.444,4841
63,2009-10-07,13.444,13.444,13.444,13.444,582
64,2009-10-08,13.176,13.176,13.176,13.176,56
65,2009-10-09,13.444,13.444,12.996,13.444,1211
66,2009-10-12,12.996,12.996,12.996,12.996,2231
67,2009-10-13,13.444,13.444,12.862,12.988,1773
68,2009-10-14,12.817,12.817,12.558,12.817,2852
69,2009-10-15,12.996,12.996,12.548,12.817,6148
70,2009-10-16,13.444,13.444,13.266,13.266,1675
71,2009-10-19,13.257,13.257,12.593,12.638,9289
72,2009-10-20,12.602,13.221,12.602,12.996,457
73,2009-10-21,12.996,12.996,12.548,12.548,11873
74,2009-10-22,12.638,12.638,12.504,12.504,11513
75,2009-10-23,12.638,12.638,12.548,12.548,3910
76,2009-10-26,12.638,13.436,12.548,13.436,27106
77,2009-10-27,13.087,13.087,12.996,12.996,1425
78,2009-10-28,13.13,13.427,12.996,13.427,937
79,2009-10-29,12.593,13.239,12.548,12.817,2064
80,2009-10-30,13.166,13.166,12.548,12.817,14165
81,2009-11-02,12.996,13.436,12.655,12.655,1826
82,2009-11-03,12.692,12.692,12.611,12.692,3073
83,2009-11-04,12.996,12.996,12.728,12.728,603
84,2009-11-05,12.683,12.683,12.459,12.548,6622
85,2009-11-06,12.558,12.558,12.459,12.459,200
86,2009-11-09,12.593,12.593,12.504,12.504,6163
87,2009-11-10,12.522,12.522,12.504,12.504,1673
88,2009-11-12,12.548,13.266,12.459,13.266,51391
89,2009-11-13,13.346,13.4,12.584,12.584,1264
90,2009-11-16,12.584,13.266,12.584,13.266,814
91,2009-11-17,12.996,12.996,12.996,12.996,117
92,2009-11-18,12.728,12.728,12.548,12.728,2354
93,2009-11-20,12.728,12.728,12.728,12.728,1
94,2009-11-23,12.728,12.728,12.728,12.728,290
95,2009-11-24,12.638,12.737,12.548,12.548,7719
96,2009-11-25,12.548,12.907,12.548,12.907,1687
97,2009-11-26,13.176,13.176,13.176,13.176,336
98,2009-11-30,13.176,13.176,12.602,12.602,3554
99,2009-12-01,12.647,13.176,12.647,13.176,340
100,2009-12-02,13.176,13.176,13.176,13.176,1
101,2009-12-03,13.176,13.176,13.176,13.176,2
