,Date,Open,High,Low,Close,Volume
0,2011-01-04,1.27,1.32,1.02,1.16,619341
1,2011-01-05,1.17,1.17,1.04,1.1,73440
2,2011-01-07,1.09,1.13,1.02,1.07,34961
3,2011-01-10,1.06,1.11,0.94,1.05,53522
4,2011-01-11,1.04,1.04,0.91,0.96,20023
5,2011-01-12,0.88,0.95,0.77,0.79,89098
6,2011-01-13,0.77,0.79,0.72,0.75,43734
7,2011-01-14,0.76,0.76,0.69,0.73,50855
8,2011-01-17,0.73,0.73,0.66,0.66,15642
9,2011-01-18,0.65,0.67,0.64,0.66,10408
10,2011-01-19,0.66,0.76,0.66,0.72,35385
11,2011-01-20,0.72,0.83,0.71,0.79,69592
12,2011-01-21,0.8,0.8,0.75,0.79,29212
13,2011-01-24,0.76,0.8,0.75,0.76,30485
14,2011-01-25,0.75,0.75,0.72,0.73,10746
15,2011-01-26,0.73,0.77,0.73,0.77,6554
16,2011-01-27,0.77,0.77,0.69,0.74,18314
17,2011-01-28,0.74,0.74,0.7,0.72,4350
18,2011-01-31,0.71,0.78,0.7,0.78,8308
19,2011-02-01,0.75,0.75,0.66,0.74,10870
20,2011-02-02,0.7,0.72,0.66,0.67,7382
21,2011-02-03,0.67,0.77,0.67,0.75,16432
22,2011-02-04,0.75,0.75,0.65,0.71,22215
23,2011-02-07,0.71,0.71,0.65,0.68,10806
24,2011-02-08,0.65,0.69,0.65,0.66,7929
25,2011-02-09,0.66,0.66,0.65,0.65,3000
26,2011-02-10,0.66,0.67,0.64,0.66,6200
27,2011-02-11,0.66,0.67,0.63,0.67,13625
28,2011-02-14,0.67,0.69,0.65,0.69,4384
29,2011-02-15,0.7,0.72,0.68,0.69,8100
30,2011-02-16,0.7,0.7,0.64,0.66,4773
31,2011-02-17,0.65,0.65,0.63,0.64,7231
32,2011-02-18,0.64,0.64,0.62,0.62,9320
33,2011-02-21,0.62,0.64,0.61,0.61,3797
34,2011-02-22,0.61,0.61,0.61,0.61,5559
35,2011-02-23,0.6,0.6,0.55,0.58,15050
36,2011-02-24,0.58,0.58,0.56,0.58,9399
37,2011-02-25,0.58,0.6,0.58,0.6,1201
38,2011-02-28,0.6,0.6,0.6,0.6,500
39,2011-03-01,0.61,0.65,0.6,0.6,3727
40,2011-03-02,0.62,0.64,0.6,0.64,10800
41,2011-03-03,0.64,0.64,0.6,0.63,18888
42,2011-03-04,0.6,0.62,0.57,0.62,3932
43,2011-03-07,0.6,0.65,0.6,0.65,1500
44,2011-03-08,0.65,0.65,0.6,0.62,1722
45,2011-03-09,0.62,0.62,0.58,0.6,6822
46,2011-03-10,0.6,0.61,0.6,0.6,1500
47,2011-03-11,0.58,0.6,0.48,0.51,73503
48,2011-03-14,0.5,0.55,0.5,0.5,2760
49,2011-03-15,0.5,0.52,0.49,0.52,2950
50,2011-03-16,0.52,0.52,0.52,0.52,350
51,2011-03-17,0.51,0.51,0.5,0.51,4300
52,2011-03-18,0.51,0.51,0.49,0.49,11650
53,2011-03-21,0.49,0.54,0.46,0.54,7951
54,2011-03-22,0.54,0.54,0.54,0.54,1
55,2011-03-23,0.53,0.56,0.53,0.55,2972
56,2011-03-24,0.55,0.55,0.55,0.55,1
57,2011-03-25,0.54,0.57,0.54,0.56,2623
58,2011-03-28,0.56,0.57,0.56,0.57,12000
59,2011-03-29,0.57,0.57,0.48,0.52,17087
60,2011-03-30,0.52,0.52,0.52,0.52,1
61,2011-03-31,0.51,0.52,0.5,0.51,2024
62,2011-04-01,0.5,0.5,0.5,0.5,500
63,2011-04-04,0.51,0.53,0.51,0.53,56
64,2011-04-05,0.53,0.53,0.5,0.53,2246
65,2011-04-06,0.53,0.53,0.5,0.53,1323
66,2011-04-07,0.53,0.53,0.53,0.53,200
67,2011-04-08,0.53,0.53,0.5,0.51,8840
68,2011-04-11,0.53,0.55,0.52,0.52,21319
69,2011-04-12,0.52,0.52,0.52,0.52,281
70,2011-04-13,0.53,0.53,0.53,0.53,4300
71,2011-04-14,0.54,0.54,0.5,0.5,2420
72,2011-04-15,0.5,0.5,0.5,0.5,200
73,2011-04-18,0.51,0.58,0.5,0.56,73116
74,2011-04-19,0.56,0.56,0.51,0.54,19743
75,2011-04-20,0.52,0.57,0.52,0.57,45644
76,2011-04-21,0.57,0.66,0.57,0.62,41243
77,2011-04-26,0.66,0.66,0.6,0.65,7313
78,2011-04-27,0.64,0.64,0.63,0.63,250
79,2011-04-28,0.59,0.61,0.59,0.61,11490
80,2011-04-29,0.61,0.61,0.61,0.61,200
81,2011-05-02,0.61,0.61,0.61,0.61,150
82,2011-05-04,0.6,0.6,0.55,0.55,2925
83,2011-05-05,0.55,0.61,0.55,0.6,3200
