,Date,Open,High,Low,Close,Volume
0,2011-07-07,3.5651,3.5651,2.7606,2.9618,52788
1,2011-07-08,2.9344,2.9344,2.3768,2.4773,16628
2,2011-07-11,2.4682,2.4773,2.1939,2.3493,7133
3,2011-07-12,2.2671,2.2671,1.8923,2.1847,1598
4,2011-07-13,1.8831,2.2579,1.8648,2.1391,5452
5,2011-07-14,1.8831,2.1482,1.8831,2.0568,2485
6,2011-07-15,1.8831,2.4499,1.8831,2.2853,5130
7,2011-07-18,1.9197,2.1939,1.9197,2.1939,249
8,2011-07-19,1.9654,2.1573,1.9654,2.1573,699
9,2011-07-20,2.0842,2.1664,2.0111,2.1664,984
10,2011-07-22,1.8374,2.1391,1.8374,2.1391,425
11,2011-07-26,2.0934,2.1391,2.0934,2.1391,425
12,2011-07-28,1.8282,2.1025,1.8282,2.1025,361
13,2011-07-29,2.0568,2.0568,1.9197,2.0476,2456
14,2011-08-01,2.0934,2.0934,2.0934,2.0934,5
15,2011-08-02,1.9197,2.0934,1.9197,2.0934,2149
16,2011-08-03,1.9197,2.0111,1.8282,1.9654,1162
17,2011-08-04,1.7826,1.9197,1.7368,1.8099,2959
18,2011-08-08,2.002,2.002,1.8009,1.8009,1228
19,2011-08-09,1.8009,1.8009,1.7826,1.8009,1094
20,2011-08-10,2.0568,2.0568,2.0568,2.0568,1
21,2011-08-16,2.0751,2.0751,2.0751,2.0751,1
22,2011-08-17,2.0111,2.0111,2.0111,2.0111,11
23,2011-08-19,1.8282,1.8282,1.8282,1.8282,333
24,2011-08-23,1.7368,1.7368,1.7368,1.7368,110
25,2011-08-24,1.5632,1.7826,1.5541,1.7826,4442
26,2011-08-25,1.7826,1.7826,1.4809,1.6911,700
27,2011-08-26,1.7368,1.7368,1.3712,1.6271,3892
28,2011-08-29,1.6271,1.6637,1.5997,1.5997,2266
29,2011-08-30,1.6454,1.6454,1.6454,1.6454,5
30,2011-08-31,1.6454,1.6454,1.6454,1.6454,993
31,2011-09-01,1.6454,1.6454,1.6454,1.6454,110
32,2011-09-02,1.6454,1.6454,1.6454,1.6454,34
33,2011-09-07,1.6637,1.6637,1.6637,1.6637,2
34,2011-09-12,1.3712,1.3712,1.3712,1.3712,2724
35,2011-09-19,1.3712,1.3712,1.3712,1.3712,219
36,2011-09-20,1.3712,1.4535,1.3712,1.4535,1970
37,2011-09-21,1.4535,1.4535,1.4535,1.4535,11
38,2011-09-26,1.362,1.362,1.362,1.362,5
39,2011-09-27,1.3164,1.362,1.3164,1.362,1105
40,2011-09-29,1.1061,1.3529,1.1061,1.3529,4682
41,2011-09-30,1.1884,1.1884,1.1884,1.1884,164
42,2011-10-03,1.1701,1.1701,1.1426,1.1426,1329
43,2011-10-04,1.1152,1.3529,1.1152,1.3529,886
44,2011-10-05,1.2798,1.2798,1.2798,1.2798,1072
45,2011-10-06,1.3255,1.3437,1.234,1.234,1055
46,2011-10-07,1.3164,1.3437,1.3164,1.3437,1100
47,2011-10-11,1.2798,1.2798,1.2798,1.2798,1203
48,2011-10-13,1.2889,1.362,1.2889,1.2889,661
49,2011-10-14,1.2981,1.6271,1.2981,1.6271,329
50,2011-10-17,1.4169,1.5541,1.4169,1.5541,1312
51,2011-10-21,1.6637,1.7368,1.6637,1.7368,1475
52,2011-10-24,1.618,1.7368,1.618,1.7368,320
53,2011-10-25,1.8191,1.8191,1.8191,1.8191,219
54,2011-10-31,1.7368,1.7368,1.7368,1.7368,1106
55,2011-11-08,1.5997,1.5997,1.5997,1.5997,547
56,2011-11-14,1.7277,1.7277,1.7277,1.7277,3
57,2011-11-16,1.7185,1.7185,1.7185,1.7185,5
58,2011-11-18,1.4626,1.4626,1.4626,1.4626,219
59,2011-11-22,1.7094,1.7094,1.7094,1.7094,3
60,2011-11-23,1.7094,1.7094,1.7094,1.7094,5
61,2011-11-24,1.7094,1.7094,1.7094,1.7094,5
62,2011-11-25,1.7185,1.7185,1.7185,1.7185,3
63,2011-11-29,1.7185,1.7185,1.7185,1.7185,219
64,2011-12-01,1.4809,1.6911,1.3803,1.6911,1829
65,2011-12-05,1.2798,1.5358,1.2798,1.5358,753
66,2011-12-09,1.3895,1.5906,1.3895,1.3895,1095
67,2011-12-12,1.3712,1.5906,1.1884,1.1884,3516
68,2011-12-13,1.3712,1.3712,1.1792,1.1792,6046
69,2011-12-15,1.1335,1.1335,1.1335,1.1335,110
70,2011-12-16,1.1152,1.1152,1.1152,1.1152,372
71,2011-12-19,1.3072,1.3072,1.3072,1.3072,3
72,2011-12-22,1.1792,1.1884,1.1243,1.1884,1114
73,2011-12-27,1.1243,1.1243,1.1152,1.1152,6563
74,2011-12-30,1.3072,1.3072,1.3072,1.3072,17
75,2012-01-02,1.1701,1.5541,1.097,1.4169,4671
76,2012-01-04,1.4444,1.4444,1.4444,1.4444,2
77,2012-01-09,0.9873,1.0696,0.9416,1.0696,6201
78,2012-01-10,1.0879,1.0879,1.0238,1.0696,2044
79,2012-01-11,1.2615,1.2615,1.2615,1.2615,148
80,2012-01-16,0.9507,1.1884,0.9507,1.1884,1703
81,2012-01-17,0.969,1.0879,0.9507,1.0879,5251
82,2012-01-18,1.1792,1.1792,1.1792,1.1792,107
83,2012-01-20,1.0879,1.0879,1.0879,1.0879,5
84,2012-01-25,1.0513,1.0513,1.0513,1.0513,216
85,2012-01-27,1.0604,1.0604,1.0604,1.0604,1203
86,2012-02-03,1.0787,1.1426,1.0787,1.1426,1105
87,2012-02-06,1.097,1.2798,1.097,1.2798,3216
88,2012-02-07,1.1061,1.1061,1.097,1.097,1532
89,2012-02-08,1.0879,1.0879,1.0055,1.0055,7466
90,2012-02-13,1.1701,1.1701,1.1701,1.1701,55
91,2012-02-20,1.1152,1.1518,1.097,1.097,3227
92,2012-02-22,1.097,1.097,1.097,1.097,219
93,2012-02-28,1.1335,1.1335,1.1335,1.1335,110
94,2012-03-05,1.1884,1.1884,1.1884,1.1884,3282
95,2012-03-14,1.1426,1.1426,1.1426,1.1426,547
96,2012-03-15,1.234,1.234,1.234,1.234,2
