,Date,Open,High,Low,Close,Volume
0,1987-01-02,49.942,50.706,49.183,49.942,
1,1987-01-05,50.706,51.277,50.706,50.706,
2,1987-01-07,52.04,52.415,50.706,50.706,
3,1987-01-08,49.942,49.942,48.414,48.6,
4,1987-01-09,48.6,48.983,48.6,48.6,
5,1987-01-12,48.6,48.6,48.6,48.6,
6,1987-01-13,48.6,48.6,48.6,48.6,
7,1987-01-14,48.6,48.6,48.6,48.6,
8,1987-01-15,49.559,49.559,49.559,49.559,
9,1987-01-16,49.183,49.183,49.183,49.183,
10,1987-01-19,48.414,48.414,48.414,48.414,
11,1987-01-20,48.039,48.039,48.039,48.039,
12,1987-01-21,47.845,47.845,47.845,47.845,
13,1987-01-22,46.696,46.696,46.696,46.696,
14,1987-01-23,47.27,47.27,47.27,47.27,
15,1987-01-26,45.941,45.941,45.941,45.941,
16,1987-01-27,45.941,45.941,45.941,45.941,
17,1987-01-28,45.362,45.362,45.362,45.362,
18,1987-01-29,46.507,46.507,46.507,46.507,
19,1987-01-30,47.081,47.845,47.081,47.845,
20,1987-02-02,47.081,47.081,47.081,47.081,
21,1987-02-03,47.081,47.081,47.081,47.081,
22,1987-02-04,45.941,45.941,45.941,45.941,
23,1987-02-05,46.316,46.316,46.316,46.316,
24,1987-02-06,45.941,45.941,45.941,45.941,
25,1987-02-09,44.987,44.987,44.987,44.987,
26,1987-02-10,44.792,44.792,44.792,44.792,
27,1987-02-11,44.987,44.987,44.987,44.987,
28,1987-02-12,44.406,44.987,44.406,44.406,
29,1987-02-13,44.406,44.987,44.406,44.406,
30,1987-02-16,45.558,45.558,45.558,45.558,
31,1987-02-17,44.224,44.224,44.224,44.224,
32,1987-02-18,44.032,44.032,44.032,44.032,
33,1987-02-19,43.651,43.651,43.651,43.651,
34,1987-02-20,43.651,43.651,43.651,43.651,
35,1987-02-23,44.406,44.406,44.406,44.406,
36,1987-02-24,44.604,44.604,44.604,44.604,
37,1987-02-25,43.651,43.651,43.651,43.651,
38,1987-02-26,43.266,43.266,43.266,43.266,
39,1987-02-27,43.651,43.839,43.651,43.839,
40,1987-03-02,43.266,43.266,43.266,43.266,
41,1987-03-03,42.503,42.503,42.503,42.503,
42,1987-03-04,42.888,42.888,42.888,42.888,
43,1987-03-05,42.888,42.888,42.888,42.888,
44,1987-03-06,42.888,42.888,42.888,42.888,
45,1987-03-09,42.317,42.317,42.317,42.317,
46,1987-03-10,42.317,42.317,42.317,42.317,
47,1987-03-11,42.503,42.503,42.503,42.503,
48,1987-03-12,42.317,42.317,42.317,42.317,
49,1987-03-13,42.503,42.503,42.503,42.503,
50,1987-03-16,42.7,42.7,42.7,42.7,
51,1987-03-17,43.651,44.032,43.651,43.651,
52,1987-03-18,44.032,44.406,44.032,44.032,
53,1987-03-19,43.651,43.839,43.651,43.651,
54,1987-03-20,44.032,44.032,44.032,44.032,
55,1987-03-23,44.792,44.792,44.792,44.792,
56,1987-03-24,43.839,43.839,43.839,43.839,
57,1987-03-25,43.46,43.46,43.46,43.46,
58,1987-03-26,43.078,43.078,43.078,43.078,
59,1987-03-27,42.888,42.888,42.888,42.888,
60,1987-03-30,42.317,42.317,42.317,42.317,
61,1987-03-31,42.123,42.123,42.123,42.123,
62,1987-04-01,42.123,42.123,42.123,42.123,
63,1987-04-02,42.888,42.888,42.888,42.888,
64,1987-04-03,42.888,42.888,42.888,42.888,
65,1987-04-06,43.266,43.266,43.266,43.266,
66,1987-04-07,43.266,43.266,43.266,43.266,
67,1987-04-08,43.078,43.078,43.078,43.078,
68,1987-04-09,42.888,43.651,42.888,42.888,
69,1987-04-10,44.032,44.032,43.266,43.266,
70,1987-04-13,44.792,45.362,44.604,45.362,
71,1987-04-14,45.558,45.558,45.558,45.558,
72,1987-04-15,45.362,45.558,45.362,45.362,
73,1987-04-16,45.558,45.558,45.558,45.558,
74,1987-04-17,45.941,45.941,45.941,45.941,
75,1987-04-21,45.941,45.941,45.941,45.941,
76,1987-04-22,45.941,45.941,45.941,45.941,
77,1987-04-23,45.558,45.558,45.558,45.558,
78,1987-04-24,45.362,45.362,45.362,45.362,
79,1987-04-27,45.177,45.177,45.177,45.177,
80,1987-04-28,43.651,44.406,43.651,43.651,
81,1987-04-29,44.406,44.406,44.406,44.406,
82,1987-04-30,44.032,44.987,44.032,44.032,
83,1987-05-04,44.792,44.792,44.792,44.792,
84,1987-05-05,44.987,44.987,44.987,44.987,
85,1987-05-06,43.651,43.651,43.651,43.651,
86,1987-05-07,43.651,43.651,43.651,43.651,
87,1987-05-08,42.888,42.888,42.888,42.888,
88,1987-05-11,43.651,43.651,43.651,43.651,
89,1987-05-12,42.317,42.317,42.317,42.317,
90,1987-05-13,42.888,42.888,42.888,42.888,
91,1987-05-14,39.456,39.456,39.456,39.456,
92,1987-05-15,40.79,40.79,40.79,40.79,
93,1987-05-18,40.218,40.218,40.218,40.218,
94,1987-05-19,38.886,38.886,38.886,38.886,
95,1987-05-20,39.073,40.218,39.073,39.456,
96,1987-05-21,40.218,40.218,39.073,39.456,
97,1987-05-22,38.503,38.503,38.503,38.503,
98,1987-05-25,38.503,38.503,37.93,37.93,
99,1987-05-26,38.123,38.123,38.123,38.123,
100,1987-05-27,38.123,38.123,38.123,38.123,
101,1987-05-28,38.503,38.503,38.503,38.503,
102,1987-05-29,38.503,38.503,38.503,38.503,
103,1987-06-01,38.123,38.886,38.123,38.886,
104,1987-06-02,38.503,38.503,38.503,38.503,
105,1987-06-03,38.503,38.503,38.503,38.503,
106,1987-06-04,38.886,39.073,38.886,39.073,
107,1987-06-05,39.456,39.456,39.456,39.456,
108,1987-06-08,38.503,38.503,38.503,38.503,
109,1987-06-09,39.073,39.073,39.073,39.073,
110,1987-06-10,38.503,38.503,38.503,38.503,
111,1987-06-11,38.503,38.503,38.503,38.503,
112,1987-06-12,39.073,39.261,39.073,39.073,
113,1987-06-15,39.073,39.073,39.073,39.073,
114,1987-06-16,40.218,40.218,40.218,40.218,
115,1987-06-17,40.218,40.218,40.218,40.218,
116,1987-06-18,39.261,39.261,39.261,39.261,
117,1987-06-19,39.073,39.073,39.073,39.073,
118,1987-06-22,38.503,38.503,38.503,38.503,
119,1987-06-23,39.456,39.456,39.456,39.456,
120,1987-06-24,38.691,38.691,38.691,38.691,
121,1987-06-25,38.503,38.503,37.93,37.93,
122,1987-06-26,37.552,37.552,37.552,37.552,
123,1987-06-29,37.552,37.552,37.552,37.552,
124,1987-06-30,36.974,37.168,36.974,36.974,
125,1987-07-01,36.787,36.787,36.787,36.787,
126,1987-07-02,36.215,36.215,36.215,36.215,
127,1987-07-03,36.215,36.215,36.215,36.215,
128,1987-07-06,36.026,36.026,36.026,36.026,
129,1987-07-07,35.645,35.645,35.645,35.645,
130,1987-07-08,35.831,35.831,35.831,35.831,
131,1987-07-09,36.026,36.404,36.026,36.026,
132,1987-07-10,36.404,36.404,36.404,36.404,
133,1987-07-13,36.026,36.026,36.026,36.026,
134,1987-07-14,35.831,35.831,35.831,35.831,
135,1987-07-15,35.831,35.831,35.831,35.831,
136,1987-07-16,36.596,36.596,36.596,36.596,
137,1987-07-17,37.552,37.552,37.552,37.552,
138,1987-07-20,38.503,38.503,38.503,38.503,
139,1987-07-21,38.691,38.691,38.691,38.691,
140,1987-07-22,37.738,37.738,37.738,37.738,
141,1987-07-23,36.974,36.974,36.974,36.974,
142,1987-07-24,36.596,36.596,36.596,36.596,
143,1987-07-27,36.787,36.787,36.787,36.787,
144,1987-07-28,36.787,36.787,36.787,36.787,
145,1987-07-29,36.974,36.974,36.974,36.974,
146,1987-07-30,36.974,36.974,36.974,36.974,
147,1987-07-31,36.404,36.404,36.404,36.404,
148,1987-08-03,35.645,35.645,35.645,35.645,
149,1987-08-04,36.026,36.026,36.026,36.026,
150,1987-08-05,35.451,35.451,35.451,35.451,
151,1987-08-06,34.883,34.883,34.883,34.883,
152,1987-08-07,34.691,34.691,34.691,34.691,
153,1987-08-10,32.786,33.358,32.786,32.786,
154,1987-08-11,33.165,33.165,33.165,33.165,
155,1987-08-12,35.264,35.264,35.264,35.264,
156,1987-08-13,34.498,34.498,34.498,34.498,
157,1987-08-14,34.691,34.691,34.691,34.691,
158,1987-08-17,33.547,33.547,33.547,33.547,
159,1987-08-18,33.547,33.547,33.547,33.547,
160,1987-08-19,33.547,33.736,33.547,33.547,
161,1987-08-20,34.309,34.309,34.309,34.309,
162,1987-08-21,34.309,34.309,34.309,34.309,
163,1987-08-24,34.691,34.691,34.691,34.691,
164,1987-08-25,33.547,33.547,33.547,33.547,
165,1987-08-26,32.786,33.736,32.786,32.786,
166,1987-08-27,34.119,34.119,34.119,34.119,
167,1987-08-28,34.309,34.309,34.309,34.309,
168,1987-08-31,34.883,34.883,34.883,34.883,
169,1987-09-01,34.883,37.168,34.883,37.168,
170,1987-09-02,35.645,35.645,35.645,35.645,
171,1987-09-03,33.736,33.736,33.736,33.736,
172,1987-09-04,34.498,34.498,34.498,34.498,
173,1987-09-07,33.736,33.736,33.736,33.736,
174,1987-09-08,33.736,33.736,33.736,33.736,
175,1987-09-09,33.358,33.358,33.358,33.358,
176,1987-09-10,33.358,33.358,33.358,33.358,
177,1987-09-11,32.786,32.786,32.786,32.786,
178,1987-09-14,32.786,32.786,32.786,32.786,
179,1987-09-15,32.974,32.974,32.974,32.974,
180,1987-09-16,33.736,33.736,33.736,33.736,
181,1987-09-17,34.119,34.498,34.119,34.119,
182,1987-09-18,34.119,34.119,34.119,34.119,
183,1987-09-21,33.927,33.927,33.927,33.927,
184,1987-09-22,33.927,33.927,33.927,33.927,
185,1987-09-23,33.927,33.927,33.927,33.927,
186,1987-09-24,33.165,33.547,33.165,33.165,
187,1987-09-25,33.736,33.927,33.736,33.736,
188,1987-09-28,33.358,33.358,33.358,33.358,
189,1987-09-29,32.786,32.786,32.786,32.786,
190,1987-09-30,32.594,32.594,32.594,32.594,
191,1987-10-01,32.021,32.021,32.021,32.021,
192,1987-10-02,32.021,32.021,32.021,32.021,
193,1987-10-05,32.214,32.214,32.214,32.214,
194,1987-10-06,32.404,32.786,32.404,32.404,
195,1987-10-07,32.786,32.786,32.786,32.786,
196,1987-10-08,32.404,35.069,32.404,32.404,
197,1987-10-09,35.069,35.451,34.691,34.883,
198,1987-10-12,35.645,39.456,35.645,37.358,
199,1987-10-13,39.456,40.98,38.503,39.642,
200,1987-10-14,38.691,39.456,38.123,39.073,
201,1987-10-15,39.073,39.456,38.309,38.309,
202,1987-10-16,37.93,37.93,35.451,35.451,
203,1987-10-19,33.736,33.736,33.165,33.736,
204,1987-10-20,32.021,33.165,32.021,32.021,
205,1987-10-21,33.165,33.927,33.165,33.927,
206,1987-10-22,33.547,33.547,33.547,33.547,
207,1987-10-23,32.214,32.214,32.214,32.214,
208,1987-10-26,30.878,30.878,30.308,30.878,
209,1987-10-27,31.258,31.258,31.258,31.258,
210,1987-10-28,30.688,30.688,29.162,30.688,
211,1987-10-29,29.162,30.117,29.162,29.162,
212,1987-10-30,29.927,31.258,29.927,31.258,
213,1987-11-02,30.117,30.117,30.117,30.117,
214,1987-11-03,29.927,29.927,29.927,29.927,
215,1987-11-04,29.162,29.162,29.162,29.162,
216,1987-11-05,27.45,27.45,27.45,27.45,
217,1987-11-06,27.256,27.256,26.875,27.256,
218,1987-11-09,26.303,26.303,26.303,26.303,
219,1987-11-10,25.921,27.256,25.921,26.493,
220,1987-11-11,27.256,27.635,27.256,27.256,
221,1987-11-12,28.02,28.212,28.02,28.02,
222,1987-11-13,28.212,28.212,28.212,28.212,
223,1987-11-16,28.971,28.971,28.971,28.971,
224,1987-11-17,29.543,29.543,29.543,29.543,
225,1987-11-18,29.543,30.117,29.543,29.927,
226,1987-11-19,29.927,29.927,29.927,29.927,
227,1987-11-20,28.59,28.59,28.59,28.59,
228,1987-11-23,28.212,28.212,28.212,28.212,
229,1987-11-24,28.4,28.4,28.4,28.4,
