,Date,Open,High,Low,Close,Volume
0,2008-04-08,7.2239,7.6456,7.2086,7.3698,322692
1,2008-04-09,7.3008,7.4004,7.3008,7.362,167134
2,2008-04-10,7.3468,7.3773,7.3313,7.362,83667
3,2008-04-11,7.3849,7.4464,7.3849,7.4388,27302
4,2008-04-14,7.4388,7.4388,7.293,7.362,7862
5,2008-04-15,7.362,7.4004,7.362,7.362,10294
6,2008-04-16,7.3392,7.362,7.3392,7.362,5373
7,2008-04-17,7.362,7.362,7.3313,7.362,2448
8,2008-04-18,7.293,7.362,7.293,7.362,11215
9,2008-04-21,7.3698,7.3698,7.362,7.3698,13163
10,2008-04-22,7.3927,7.3927,7.3159,7.362,80849
11,2008-04-23,7.2701,7.362,7.2701,7.362,3307
12,2008-04-24,7.362,7.362,7.362,7.362,469
13,2008-04-25,7.362,7.362,7.2165,7.2239,41127
14,2008-04-28,7.2165,7.3468,7.2165,7.3468,237
15,2008-04-29,7.3468,7.3468,7.3468,7.3468,160
16,2008-04-30,7.1319,7.4388,7.1319,7.4388,13053
17,2008-05-05,7.2854,7.362,7.2854,7.362,1736
18,2008-05-06,7.362,7.362,7.362,7.362,17
19,2008-05-07,7.4158,7.4158,7.4158,7.4158,131
20,2008-05-08,7.4158,7.4158,7.2165,7.362,40157
21,2008-05-09,7.431,7.454,7.2854,7.431,1014
22,2008-05-12,7.4388,7.4388,7.431,7.4388,40727
23,2008-05-13,7.4464,7.4464,7.293,7.4464,926
24,2008-05-14,7.454,7.5154,7.362,7.5154,5844
25,2008-05-15,7.5844,7.6687,7.5154,7.6687,2490
26,2008-05-16,7.7378,8.1368,7.7378,7.8605,156181
27,2008-05-19,8.052,8.2047,8.052,8.1829,37612
28,2008-05-20,8.2821,8.4282,8.1368,8.259,3000
29,2008-05-21,8.2745,8.2745,8.0678,8.0678,3478
30,2008-05-23,7.914,8.2133,7.914,8.2133,2573
31,2008-05-26,8.259,8.2821,7.9373,8.2047,342
32,2008-05-27,8.2047,8.2047,8.1909,8.1909,253
33,2008-05-28,8.1752,8.1829,8.1752,8.1829,144
34,2008-05-29,8.1829,8.1829,8.1829,8.1829,101
35,2008-05-30,8.259,8.259,8.1292,8.1292,149
36,2008-06-02,8.1292,8.1292,8.1292,8.1292,838
37,2008-06-03,8.1292,8.1292,8.1292,8.1292,198
38,2008-06-04,8.1292,8.1292,7.9066,7.9066,221
39,2008-06-05,7.9908,8.1292,7.9908,7.9908,6107
40,2008-06-06,8.0678,8.0678,8.0603,8.0603,1453
41,2008-06-09,7.8222,8.1292,7.5922,8.1292,2527
42,2008-06-10,8.1139,8.1139,8.1139,8.1139,25
43,2008-06-11,8.0294,8.0294,8.0294,8.0294,65
44,2008-06-12,8.037,8.037,8.037,8.037,49
45,2008-06-13,8.052,8.052,8.052,8.052,60
46,2008-06-16,8.0294,8.0294,8.0294,8.0294,65
47,2008-06-17,7.7456,7.9983,7.7456,7.9983,933
48,2008-06-18,7.9758,7.9758,7.6842,7.9758,434
49,2008-06-19,7.6842,7.7456,7.6842,7.7456,1797
50,2008-06-20,7.7378,7.9066,7.7378,7.9066,812
51,2008-06-23,7.7456,8.0058,7.7456,7.9683,61
52,2008-06-24,7.9524,7.9524,7.9373,7.9373,1214
53,2008-06-25,7.8912,7.8912,7.8605,7.8835,210
54,2008-06-26,7.8222,7.8988,7.7837,7.8988,1566
55,2008-06-27,7.8146,7.8146,7.8146,7.8146,27
56,2008-06-30,7.8912,7.8912,7.8912,7.8912,27
57,2008-07-01,7.9066,7.9066,7.8988,7.8988,34
58,2008-07-02,7.8835,7.8835,7.8835,7.8835,29
59,2008-07-03,7.9373,7.9373,7.9373,7.9373,27
