,Date,Open,High,Low,Close,Volume
0,2018-06-28,2.85,4.27,2.5,4.27,152110
1,2018-06-29,4.4,6.4,3.65,6.4,205689
2,2018-07-02,6.75,8.25,6.3,6.4,158755
3,2018-07-03,6.6,6.6,5.28,5.66,85260
4,2018-07-04,5.6,5.88,4.1,4.11,122925
5,2018-07-05,4.4,4.95,3.87,4.9,118174
6,2018-07-06,4.9,5.45,4.66,5.02,110144
7,2018-07-09,5.08,5.08,4.5,4.67,42407
8,2018-07-10,4.3,4.59,3.6,3.66,33563
9,2018-07-11,3.59,3.8,2.88,3.19,118736
10,2018-07-12,3.44,3.44,2.8,3.21,46803
11,2018-07-13,3.2,3.67,3.07,3.51,69287
12,2018-07-16,3.55,4.26,3.55,4.16,132749
13,2018-07-17,4.3,4.5,3.6,3.95,47865
14,2018-07-18,3.9,3.9,3.44,3.44,23331
15,2018-07-19,3.6,3.66,3.3,3.5,15363
16,2018-07-20,3.49,3.75,3.3,3.74,15819
17,2018-07-23,3.75,4.09,3.7,4.0,44765
18,2018-07-24,4.0,4.07,3.33,3.68,34038
19,2018-07-25,3.6,3.65,3.3,3.59,26964
20,2018-07-26,3.59,3.63,3.3,3.55,15948
21,2018-07-27,3.55,3.86,3.3,3.66,14699
22,2018-07-30,3.67,3.8,3.5,3.68,31534
23,2018-07-31,3.68,3.8,3.5,3.67,12650
24,2018-08-01,3.66,3.78,3.62,3.74,3942
25,2018-08-02,3.75,3.75,3.45,3.71,2855
26,2018-08-03,3.69,3.69,3.37,3.52,9875
27,2018-08-06,3.51,3.51,3.24,3.35,14841
28,2018-08-07,3.35,3.48,3.35,3.43,4623
29,2018-08-08,3.35,3.45,3.2,3.44,4968
30,2018-08-09,3.42,3.42,3.05,3.3,14044
31,2018-08-10,3.27,3.27,3.04,3.04,4992
32,2018-08-13,3.21,3.22,3.0,3.11,10249
33,2018-08-14,3.1,3.14,2.94,3.08,7559
34,2018-08-16,2.92,3.08,2.88,3.02,3196
35,2018-08-17,2.86,2.95,2.6,2.83,7094
36,2018-08-20,2.68,2.82,2.52,2.62,7087
37,2018-08-21,2.62,2.82,2.48,2.81,6760
38,2018-08-22,2.81,2.81,2.56,2.75,11332
39,2018-08-23,2.68,3.28,2.65,3.28,71549
40,2018-08-24,3.35,3.45,3.01,3.27,13426
41,2018-08-27,3.12,3.23,2.9,3.13,10044
42,2018-08-28,3.21,3.21,2.65,2.9,18324
43,2018-08-29,2.96,2.99,2.6,2.86,11710
44,2018-08-30,2.7,2.78,2.62,2.74,3087
45,2018-08-31,2.62,2.72,2.6,2.72,2231
46,2018-09-03,2.68,2.68,2.45,2.58,4269
47,2018-09-04,2.45,2.45,2.3,2.3,6907
48,2018-09-05,2.31,2.42,1.92,1.95,7218
49,2018-09-06,1.86,2.12,1.86,2.12,5521
50,2018-09-07,2.08,2.22,1.88,2.06,6109
51,2018-09-10,2.04,2.04,1.73,1.94,4671
52,2018-09-11,1.9,1.97,1.7,1.9,4420
53,2018-09-12,1.88,1.88,1.8,1.87,2162
54,2018-09-13,1.76,1.92,1.76,1.92,1485
55,2018-09-14,1.98,1.99,1.88,1.92,2009
56,2018-09-17,1.92,1.93,1.85,1.92,634
57,2018-09-18,1.92,1.99,1.85,1.85,4629
58,2018-09-19,1.84,2.03,1.78,2.03,2901
59,2018-09-20,1.94,2.03,1.94,2.03,21
60,2018-09-21,1.89,2.03,1.66,1.8,7749
61,2018-09-24,1.9,1.9,1.53,1.76,17759
62,2018-09-25,1.76,1.9,1.61,1.9,11274
63,2018-09-26,1.9,1.9,1.75,1.75,1973
64,2018-09-27,1.8,2.29,1.8,2.29,16492
65,2018-09-28,2.28,2.73,1.89,1.89,48631
66,2018-10-01,2.0,2.0,1.8,1.8,5491
67,2018-10-02,1.74,1.88,1.71,1.88,461
68,2018-10-03,1.98,2.0,1.76,1.95,4105
69,2018-10-04,1.94,1.95,1.93,1.93,1500
70,2018-10-05,1.91,1.91,1.86,1.89,741
71,2018-10-08,1.83,1.9,1.83,1.9,95
72,2018-10-09,1.9,1.9,1.9,1.9,79
73,2018-10-10,1.9,1.9,1.83,1.9,45
74,2018-10-11,1.9,1.9,1.86,1.9,746
75,2018-10-12,1.89,1.9,1.89,1.9,240
76,2018-10-15,1.88,1.95,1.81,1.92,228
77,2018-10-16,1.94,1.94,1.94,1.94,20
78,2018-10-17,1.94,1.94,1.94,1.94,15
79,2018-10-18,1.87,1.94,1.86,1.94,130
80,2018-10-19,1.94,1.94,1.94,1.94,10
81,2018-10-22,1.86,1.93,1.8,1.93,815
82,2018-10-23,1.92,1.94,1.92,1.94,70
83,2018-10-24,1.94,1.94,1.94,1.94,10
84,2018-10-25,1.86,1.86,1.5,1.75,4022
85,2018-10-29,1.75,1.75,1.6,1.6,1307
86,2018-10-30,1.5,1.63,1.49,1.63,4979
87,2018-10-31,1.6,1.7,1.58,1.66,619
88,2018-11-02,1.6,1.65,1.6,1.65,325
89,2018-11-05,1.56,1.65,1.56,1.65,30
90,2018-11-06,1.65,1.73,1.65,1.73,658
91,2018-11-07,1.73,1.87,1.62,1.76,3470
92,2018-11-08,1.62,1.82,1.62,1.82,2775
93,2018-11-09,1.82,1.86,1.82,1.86,353
94,2018-11-13,1.85,1.86,1.8,1.86,105
