,Date,Open,High,Low,Close,Volume
0,2009-03-23,5.425,7.5951,5.425,6.51,32619
1,2009-03-24,6.051,6.51,5.4917,6.51,2275
2,2009-03-25,6.0093,7.0942,6.0093,6.1928,3838
3,2009-03-26,6.1761,6.6769,5.6754,6.6769,1872
4,2009-03-27,6.2596,6.2596,6.2596,6.2596,599
5,2009-03-30,6.0093,6.6769,6.0093,6.2596,1666
6,2009-03-31,6.6602,7.0775,6.6602,6.802,3950
7,2009-04-01,6.51,6.802,6.51,6.7604,684
8,2009-04-02,6.7604,6.8439,6.7604,6.8439,3042
9,2009-04-03,7.0691,7.0691,6.5517,6.5517,4394
10,2009-04-06,7.0024,7.0108,6.5683,6.5683,1689
11,2009-04-07,6.5683,7.0942,6.5683,7.0858,3547
12,2009-04-08,7.0942,7.5114,6.5935,6.6769,4708
13,2009-04-09,6.6769,7.0525,6.2596,6.3013,3088
14,2009-04-14,6.343,6.51,6.2596,6.2596,11275
15,2009-04-15,7.0858,7.0858,6.2846,6.5015,9229
16,2009-04-16,6.3514,6.3514,5.6087,5.8255,12083
17,2009-04-17,6.0093,6.0678,5.8006,5.8006,4328
18,2009-04-20,5.8423,5.8423,5.3832,5.3832,2838
19,2009-04-21,5.3415,5.3415,5.1329,5.1329,1200
20,2009-04-22,5.2164,5.3415,5.2164,5.2998,2263
21,2009-04-23,5.5835,5.5835,5.4833,5.4833,2959
22,2009-04-24,5.7169,5.7169,5.4917,5.4917,175
23,2009-04-27,5.6754,6.0093,5.6754,6.0093,326
24,2009-04-28,5.9426,5.9426,5.7588,5.7588,257
25,2009-04-29,5.7588,6.0093,5.7505,5.7505,2939
26,2009-04-30,6.1761,6.1761,5.1413,5.1413,5567
27,2009-05-04,6.1678,6.1761,5.6337,5.6337,9399
28,2009-05-05,6.1593,6.1593,5.7169,5.7169,902
29,2009-05-06,5.642,5.7588,5.425,5.7588,3174
30,2009-05-07,6.0093,6.0093,5.5918,5.5918,3822
31,2009-05-08,5.9426,5.9426,5.45,5.7256,2356
32,2009-05-11,5.7505,5.7505,5.3499,5.425,8298
33,2009-05-12,5.4165,5.4165,5.2412,5.2581,6528
34,2009-05-13,5.3499,5.3499,5.0077,5.0077,8246
35,2009-05-14,5.2581,5.2581,5.0577,5.0577,2220
36,2009-05-15,5.0912,5.0912,5.0494,5.0494,534
37,2009-05-18,5.3415,5.3415,5.0494,5.0494,2872
38,2009-05-19,5.2581,5.2581,4.941,4.941,4674
39,2009-05-20,5.1829,5.1829,4.941,4.966,114
40,2009-05-21,4.966,5.0912,4.966,5.0912,2001
41,2009-05-22,5.1829,5.1829,5.1829,5.1829,2
42,2009-05-25,5.0494,5.0494,4.9241,4.9241,829
43,2009-05-26,5.0494,5.0494,5.0494,5.0494,11
44,2009-05-27,5.0077,5.0077,5.0077,5.0077,377
45,2009-05-28,5.0077,5.0077,5.0077,5.0077,1018
46,2009-05-29,5.0077,5.0077,4.966,4.966,508
47,2009-06-01,5.0077,5.0077,4.9994,4.9994,505
48,2009-06-02,4.9994,4.9994,4.9241,4.9241,90
49,2009-06-03,4.9744,5.0077,4.9326,4.9326,1256
50,2009-06-04,5.041,5.041,4.9326,4.9326,698
51,2009-06-05,5.0077,5.0077,4.7657,4.7657,571
52,2009-06-08,4.8825,4.8825,4.5069,4.5069,4279
53,2009-06-09,4.8324,4.8324,4.6321,4.6321,1625
54,2009-06-10,4.8408,4.8408,4.8408,4.8408,58
55,2009-06-12,5.0077,5.0077,4.8908,4.8908,558
56,2009-06-15,4.966,4.966,4.7406,4.7406,499
57,2009-06-16,4.8492,4.9076,4.8492,4.9076,319
58,2009-06-17,4.8408,4.8408,4.6905,4.8408,369
59,2009-06-18,4.8324,4.8324,4.3567,4.3567,22
60,2009-06-19,4.6989,4.9241,4.6989,4.8825,940
61,2009-06-22,4.9326,4.9326,4.4567,4.5485,2217
62,2009-06-23,4.4567,4.7572,4.3401,4.5152,1316
63,2009-06-24,4.7572,4.7572,4.6405,4.6405,123
64,2009-06-25,4.7572,4.7572,4.6405,4.6405,276
65,2009-06-26,4.7572,4.7572,4.7572,4.7572,31
66,2009-06-29,4.557,4.6653,4.557,4.6653,131
67,2009-06-30,4.6653,4.6653,4.557,4.557,106
68,2009-07-01,4.6321,4.6321,4.6321,4.6321,97
69,2009-07-02,4.6405,4.6405,4.6405,4.6405,108
70,2009-07-03,4.7157,4.7157,4.7157,4.7157,14
71,2009-07-06,4.5988,4.7157,4.5988,4.7157,123
72,2009-07-07,4.7157,4.7157,4.7157,4.7157,13
73,2009-07-08,4.7322,4.7322,4.5404,4.5404,291
74,2009-07-09,4.7157,4.7157,4.7157,4.7157,95
75,2009-07-10,4.7072,4.7072,4.7072,4.7072,5
76,2009-07-13,4.6738,4.6738,4.6738,4.6738,5
77,2009-07-14,4.7072,4.7072,4.7072,4.7072,5
78,2009-07-15,4.7072,4.7072,4.7072,4.7072,10
79,2009-07-16,4.7572,4.7572,4.6738,4.6738,251
80,2009-07-17,4.6738,4.6738,4.5069,4.5069,634
81,2009-07-20,4.4735,4.4735,4.4735,4.4735,22
82,2009-07-21,4.6321,4.6321,4.6321,4.6321,22
83,2009-07-22,4.6653,4.6653,4.5904,4.5904,93
84,2009-07-23,4.6653,4.6653,4.6572,4.6572,398
85,2009-07-24,4.6738,4.6738,4.4735,4.4818,3756
86,2009-07-27,4.4818,4.4818,4.4818,4.4818,22
87,2009-07-28,4.4818,4.4818,4.4485,4.4567,2318
88,2009-07-29,4.5485,4.5904,4.173,4.4234,15156
89,2009-07-30,4.4318,4.4318,4.173,4.173,10704
90,2009-07-31,4.3985,4.4401,4.173,4.173,10750
91,2009-08-03,4.3066,4.3567,4.2231,4.2231,1153
92,2009-08-04,4.2314,4.4151,4.2231,4.4151,4473
93,2009-08-05,4.4234,4.5069,4.4234,4.4653,2203
94,2009-08-06,4.5069,4.5069,4.5069,4.5069,57
95,2009-08-07,4.5904,4.5904,4.4234,4.5069,938
96,2009-08-10,4.6321,4.6321,4.4653,4.4653,1882
97,2009-08-11,4.6321,4.7657,4.5904,4.7657,4212
98,2009-08-12,4.8825,4.991,4.7824,4.9241,1889
99,2009-08-13,5.0077,6.0927,5.0077,6.0927,22343
100,2009-08-14,6.1011,6.7103,5.4332,5.4332,78898
101,2009-08-17,5.7337,5.7337,5.1746,5.3415,11040
102,2009-08-18,5.4917,5.5918,5.0161,5.2412,2518
103,2009-08-19,5.2581,5.2581,4.7238,5.0912,20614
104,2009-08-20,5.041,5.0494,4.8742,5.0244,1945
105,2009-08-21,5.0161,5.2581,4.8991,5.2581,4845
106,2009-08-24,5.5835,5.7004,5.3165,5.5084,12676
107,2009-08-25,5.4667,5.4667,5.0161,5.308,11604
108,2009-08-26,5.2915,5.3248,5.0077,5.3248,6375
109,2009-08-27,5.2581,5.3499,5.1329,5.2998,2306
110,2009-08-28,5.3415,5.3415,5.0077,5.1162,6180
111,2009-08-31,5.1829,5.1829,5.0077,5.1329,1955
112,2009-09-01,5.0829,5.0829,4.7657,4.7657,3604
113,2009-09-02,4.7657,4.7657,4.4735,4.4902,3917
114,2009-09-03,4.8991,4.8991,4.4735,4.4818,4074
115,2009-09-04,4.607,4.6572,4.5069,4.5152,3887
116,2009-09-07,4.6738,4.7238,4.4985,4.7238,4044
117,2009-09-08,4.8742,5.0077,4.8408,4.8908,4960
118,2009-09-09,5.3248,5.3248,4.8657,4.8657,2301
119,2009-09-10,4.8908,5.0077,4.7406,5.0077,2267
120,2009-09-11,5.0829,5.2164,4.6738,5.2164,6173
121,2009-09-14,5.2998,5.5084,4.9241,5.3832,26048
122,2009-09-15,5.3832,5.8006,5.3832,5.8006,6785
123,2009-09-16,5.7756,5.7756,5.7756,5.7756,24
124,2009-09-17,5.7756,5.7756,5.4416,5.7588,5962
125,2009-09-18,5.7505,5.7505,5.5336,5.7422,18970
126,2009-09-21,5.6337,5.6337,5.6337,5.6337,11
127,2009-09-22,5.6253,5.6253,5.6253,5.6253,9
128,2009-09-23,5.6253,5.7256,5.6087,5.7256,4640
129,2009-09-24,5.6754,5.6837,5.6754,5.6754,1439
130,2009-09-25,5.8006,5.8006,5.5336,5.5336,1457
131,2009-09-28,5.6169,5.7422,5.6169,5.7422,94
132,2009-09-29,5.7422,5.7422,5.7422,5.7422,8
133,2009-09-30,5.8006,5.8006,5.8006,5.8006,8
134,2009-10-01,5.8006,5.8006,5.6003,5.784,1690
135,2009-10-02,5.7588,5.7588,5.6253,5.6754,1542
136,2009-10-05,5.7588,5.7588,5.6169,5.6754,712
137,2009-10-06,5.7169,5.7169,5.425,5.425,848
138,2009-10-07,5.5084,5.5084,5.3415,5.3832,940
139,2009-10-08,5.3832,5.3832,5.0494,5.0494,438
140,2009-10-09,5.0494,5.0494,4.966,5.0077,324
141,2009-10-12,5.0077,5.2998,4.8408,5.2998,2391
142,2009-10-13,5.2915,5.2915,5.2915,5.2915,10
143,2009-10-14,5.2831,5.4667,5.1829,5.4584,3030
144,2009-10-15,5.4584,5.4584,5.1495,5.2412,1999
145,2009-10-16,5.425,5.425,5.3415,5.3415,121
146,2009-10-19,5.425,5.425,5.425,5.425,22
147,2009-10-20,5.2915,5.425,5.2915,5.425,360
148,2009-10-21,5.425,5.425,5.1661,5.2581,3485
149,2009-10-22,5.425,5.4833,5.1661,5.4833,1791
150,2009-10-23,4.9492,5.5918,4.9492,5.5918,4890
151,2009-10-26,5.7588,5.7588,5.4667,5.4667,1811
152,2009-10-27,5.5918,5.5918,5.3749,5.3749,229
153,2009-10-28,5.5918,5.5918,5.1329,5.1329,3201
154,2009-10-29,5.1329,5.2915,5.1329,5.2915,726
155,2009-10-30,5.2915,5.2915,5.2915,5.2915,11
156,2009-11-02,5.2915,5.3666,5.1746,5.1746,1208
157,2009-11-03,5.3415,5.3415,5.3415,5.3415,5
158,2009-11-04,5.3415,5.5918,5.3415,5.5918,1971
159,2009-11-05,5.5918,5.5918,5.5084,5.5084,653
160,2009-11-06,5.5918,5.5918,5.3165,5.4584,1602
161,2009-11-09,5.6253,5.6253,5.3666,5.3666,1122
162,2009-11-10,5.6337,5.6337,5.3582,5.3582,1234
163,2009-11-12,5.1329,5.3582,5.1329,5.3582,1809
164,2009-11-13,5.3582,5.3582,5.3582,5.3582,11
165,2009-11-16,5.3582,5.425,5.1413,5.1413,1767
166,2009-11-17,4.9744,5.2079,4.9744,5.1079,1900
167,2009-11-18,5.4,5.4,5.0829,5.3749,2018
168,2009-11-19,5.1746,5.2497,5.1746,5.2497,316
169,2009-11-20,5.2079,5.2079,5.0829,5.0829,101
170,2009-11-23,5.2079,5.2079,5.1579,5.1579,22
171,2009-11-24,4.8825,5.041,4.8825,5.041,103
172,2009-11-25,5.0077,5.0077,5.0077,5.0077,4
173,2009-11-26,5.0077,5.0077,4.7572,4.941,2456
174,2009-11-27,4.8742,4.8742,4.7907,4.7907,10125
175,2009-11-30,5.2164,5.2164,5.0912,5.0912,817
176,2009-12-01,5.2164,5.2164,5.2164,5.2164,8
177,2009-12-02,5.3832,5.3832,4.799,4.8241,2473
178,2009-12-03,5.1162,5.1247,5.1162,5.1247,494
179,2009-12-04,5.1247,5.1247,4.991,5.1079,284
180,2009-12-07,5.1162,5.1162,5.1162,5.1162,844
181,2009-12-08,5.1162,5.1162,5.1162,5.1162,122
182,2009-12-09,5.1162,5.3415,5.1162,5.3415,621
183,2009-12-10,5.4084,5.4084,5.0912,5.2998,3519
184,2009-12-11,5.3666,5.3666,5.3331,5.3331,783
185,2009-12-14,5.2998,5.2998,5.2915,5.2915,974
186,2009-12-15,5.2915,5.2915,5.2581,5.2581,4609
187,2009-12-16,5.2581,5.3749,5.2581,5.3749,3272
