,Date,Open,High,Low,Close,Volume
0,2007-08-30,0.23,0.6,0.23,0.6,774602
1,2007-08-31,0.76,0.76,0.76,0.76,233768
2,2007-09-03,0.98,1.02,0.98,1.02,390129
3,2007-09-04,0.87,0.87,0.83,0.83,92592
4,2007-09-05,0.8,0.8,0.8,0.8,61886
5,2007-09-06,0.76,0.78,0.76,0.78,104415
6,2007-09-07,0.8,0.87,0.8,0.87,77970
7,2007-09-10,0.83,0.84,0.83,0.84,42202
8,2007-09-11,0.87,0.9,0.87,0.9,40213
9,2007-09-12,0.9,0.91,0.9,0.91,9758
10,2007-09-13,0.95,0.95,0.91,0.91,28562
11,2007-09-14,0.87,0.87,0.87,0.87,17992
12,2007-09-17,0.84,0.87,0.84,0.87,2908
13,2007-09-18,0.8,0.81,0.8,0.81,4639
14,2007-09-19,0.83,0.83,0.81,0.81,7851
15,2007-09-20,0.79,0.82,0.79,0.82,10863
16,2007-09-21,0.79,0.83,0.79,0.83,30655
17,2007-09-24,0.89,0.89,0.89,0.89,14733
18,2007-09-25,0.9,0.9,0.89,0.89,4795
19,2007-09-26,0.9,0.9,0.9,0.9,7919
20,2007-09-27,0.9,0.9,0.89,0.89,12997
21,2007-09-28,0.89,0.89,0.89,0.89,15688
22,2007-10-01,0.88,0.95,0.88,0.95,42308
23,2007-10-02,1.02,1.74,1.02,1.45,214428
24,2007-10-03,1.66,1.89,1.45,1.76,395733
25,2007-10-04,1.73,1.73,1.44,1.48,238795
26,2007-10-05,1.5,1.54,1.2,1.39,82039
27,2007-10-08,1.38,1.44,1.25,1.36,59872
28,2007-10-09,1.36,1.44,1.29,1.29,44776
29,2007-10-10,1.35,1.35,1.2,1.29,98820
30,2007-10-11,1.28,1.29,1.22,1.27,28573
31,2007-10-12,1.26,1.35,1.2,1.32,60649
32,2007-10-15,1.34,1.35,1.2,1.23,79412
33,2007-10-16,1.26,1.26,1.21,1.23,40312
34,2007-10-17,1.25,1.25,1.21,1.22,10505
35,2007-10-18,1.23,1.24,1.18,1.2,25782
36,2007-10-19,1.17,1.19,1.14,1.17,39960
37,2007-10-22,1.17,1.17,1.07,1.17,22843
38,2007-10-23,1.17,1.17,1.07,1.1,14504
39,2007-10-24,1.1,1.12,1.07,1.12,25237
40,2007-10-25,1.14,1.14,1.06,1.12,25260
41,2007-10-26,1.12,1.14,1.04,1.14,35416
42,2007-10-29,1.17,1.66,1.17,1.65,654208
43,2007-10-30,1.63,1.94,1.38,1.39,702928
44,2007-10-31,1.44,1.51,1.32,1.46,199703
45,2007-11-02,1.42,1.55,1.35,1.36,128915
46,2007-11-05,1.36,1.42,1.25,1.29,62524
47,2007-11-06,1.34,1.34,1.17,1.24,149476
48,2007-11-07,1.26,1.29,1.14,1.16,113234
49,2007-11-08,1.1,1.26,1.1,1.22,53771
50,2007-11-09,1.23,1.51,1.23,1.29,310441
51,2007-11-12,1.36,1.36,1.17,1.21,81402
52,2007-11-13,1.21,1.27,1.17,1.24,43644
53,2007-11-14,1.26,1.26,1.21,1.26,23106
54,2007-11-15,1.23,1.26,1.19,1.19,34610
55,2007-11-16,1.23,1.23,1.14,1.14,22307
