,Date,Open,High,Low,Close,Volume
0,2013-07-04,1.5,2.25,1.5,2.25,4984
1,2013-07-05,2.7,2.7,2.15,2.5,7840
2,2013-07-08,2.4,2.4,2.2,2.4,808
3,2013-07-09,2.4,2.4,1.92,1.99,259
4,2013-07-10,1.99,1.99,1.6,1.9,3831
5,2013-07-11,1.52,1.8,1.22,1.58,6532
6,2013-07-12,1.58,1.58,1.27,1.57,550
7,2013-07-15,1.5,1.5,1.5,1.5,15
8,2013-07-16,1.2,1.2,1.1,1.1,491
9,2013-07-17,1.1,1.1,0.88,1.1,531
10,2013-07-18,1.1,1.1,1.1,1.1,5
11,2013-07-22,1.1,1.3,1.1,1.3,1505
12,2013-07-23,1.35,1.35,1.35,1.35,5
13,2013-07-25,1.2,1.25,1.0,1.18,5905
14,2013-07-30,1.2,1.2,1.08,1.2,975
15,2013-07-31,1.2,1.2,0.94,1.1,1007
16,2013-08-01,1.15,1.25,0.92,1.25,6504
17,2013-08-02,1.2,1.4,1.0,1.32,4304
18,2013-08-05,1.25,1.35,1.25,1.35,2280
19,2013-08-06,1.35,1.4,1.08,1.39,11213
20,2013-08-07,1.39,1.6,1.12,1.43,4923
21,2013-08-08,1.35,1.44,1.08,1.4,5053
22,2013-08-09,1.25,1.42,1.0,1.19,14420
23,2013-08-12,1.31,1.35,1.05,1.29,22637
24,2013-08-13,1.28,1.28,1.03,1.03,27054
25,2013-08-14,1.04,1.22,1.02,1.22,7089
26,2013-08-16,1.16,1.16,1.01,1.16,4464
27,2013-08-19,1.15,1.16,1.0,1.14,4588
28,2013-08-20,1.12,1.14,1.0,1.1,1695
29,2013-08-21,1.09,1.15,1.0,1.11,8602
30,2013-08-22,1.1,1.13,1.0,1.12,4048
31,2013-08-26,1.09,1.15,1.0,1.1,18316
32,2013-08-27,1.09,1.1,1.0,1.07,4439
33,2013-08-28,1.07,1.08,1.07,1.08,2690
34,2013-08-29,1.08,1.1,1.0,1.08,11345
35,2013-08-30,1.08,1.08,1.0,1.08,676
36,2013-09-02,1.07,1.1,0.95,0.97,72873
37,2013-09-03,1.04,1.05,0.84,0.94,14806
38,2013-09-06,0.9,0.9,0.89,0.89,390
39,2013-09-10,0.72,0.72,0.5,0.5,10207
40,2013-09-11,0.41,0.46,0.35,0.46,5631
41,2013-09-12,0.4,0.4,0.37,0.37,1100
42,2013-09-13,0.37,0.42,0.3,0.41,12617
43,2013-09-17,0.41,0.41,0.41,0.41,35
44,2013-09-19,0.35,0.35,0.35,0.35,1000
45,2013-09-24,0.38,0.39,0.37,0.37,1600
46,2013-09-26,0.3,0.3,0.29,0.3,2630
47,2013-09-27,0.35,0.35,0.35,0.35,4386
48,2013-09-30,0.32,0.36,0.26,0.35,4758
49,2013-10-01,0.34,0.38,0.34,0.38,7010
50,2013-10-02,0.38,0.45,0.38,0.45,3260
51,2013-10-04,0.44,0.46,0.44,0.45,2210
52,2013-10-07,0.46,0.46,0.46,0.46,50
53,2013-10-08,0.43,0.47,0.35,0.44,32271
54,2013-10-09,0.43,0.43,0.42,0.42,210
55,2013-10-10,0.42,0.42,0.34,0.34,760
56,2013-10-11,0.37,0.37,0.37,0.37,50
57,2013-10-14,0.32,0.38,0.32,0.38,5348
58,2013-10-15,0.38,0.38,0.31,0.35,27921
59,2013-10-16,0.35,0.35,0.3,0.35,5300
60,2013-10-21,0.3,0.3,0.3,0.3,50
61,2013-10-22,0.31,0.32,0.31,0.32,5190
62,2013-10-23,0.34,0.42,0.3,0.39,101986
63,2013-10-24,0.39,0.46,0.39,0.46,38540
64,2013-10-25,0.46,0.54,0.46,0.54,18754
65,2013-10-29,0.68,0.79,0.59,0.79,59287
66,2013-10-30,0.79,0.8,0.61,0.61,91021
67,2013-10-31,0.61,0.65,0.49,0.61,31894
68,2013-11-04,0.61,0.63,0.49,0.51,97086
69,2013-11-05,0.49,0.58,0.46,0.58,53745
70,2013-11-06,0.56,0.67,0.56,0.66,8884
71,2013-11-07,0.72,0.86,0.68,0.84,35984
72,2013-11-08,0.82,0.9,0.76,0.87,23346
73,2013-11-12,0.86,0.9,0.72,0.86,7744
74,2013-11-13,0.84,0.86,0.67,0.67,141304
75,2013-11-14,0.72,0.84,0.65,0.8,168975
76,2013-11-15,0.81,0.97,0.78,0.97,113066
77,2013-11-18,1.02,1.3,1.02,1.3,82783
78,2013-11-19,1.42,1.43,1.14,1.36,89659
79,2013-11-20,1.3,1.47,1.1,1.1,26729
80,2013-11-21,1.1,1.23,1.06,1.14,20216
81,2013-11-22,1.13,1.29,1.04,1.08,58974
82,2013-11-25,1.11,1.15,0.95,0.96,48317
83,2013-11-26,0.99,1.35,0.99,1.29,91152
84,2013-11-27,1.3,1.34,1.06,1.14,31898
85,2013-11-28,1.17,1.17,1.07,1.15,9722
86,2013-11-29,1.16,1.29,1.09,1.15,18736
87,2013-12-02,1.17,1.17,0.95,1.14,37519
88,2013-12-03,1.11,1.16,0.96,1.12,32831
89,2013-12-04,1.06,1.1,0.97,1.05,4211
90,2013-12-05,1.07,1.07,0.96,0.99,8454
91,2013-12-06,1.03,1.14,1.01,1.09,61964
92,2013-12-09,1.1,1.19,1.05,1.13,80055
93,2013-12-10,1.12,1.17,1.09,1.09,18593
94,2013-12-11,1.15,1.15,1.07,1.1,14794
95,2013-12-12,1.13,1.13,1.04,1.1,15202
96,2013-12-13,1.13,1.13,1.07,1.07,6010
97,2013-12-16,1.08,1.1,1.06,1.09,10722
98,2013-12-17,1.1,1.13,0.88,0.9,71963
99,2013-12-18,0.98,1.12,0.93,0.93,23207
100,2013-12-19,1.07,1.09,0.96,1.0,4594
101,2013-12-20,1.03,1.05,1.0,1.0,1050
102,2013-12-23,1.02,1.04,0.95,1.01,2851
103,2013-12-27,1.03,1.03,0.95,1.03,1050
104,2013-12-30,1.03,1.03,0.9,0.97,17896
105,2014-01-02,0.85,1.02,0.85,1.02,22848
106,2014-01-03,0.96,1.09,0.88,0.94,40501
107,2014-01-07,0.94,0.99,0.85,0.85,5511
108,2014-01-08,0.93,0.93,0.82,0.88,4302
109,2014-01-09,0.92,0.92,0.74,0.88,1564
110,2014-01-10,0.9,0.9,0.73,0.85,2823
111,2014-01-13,0.85,0.85,0.71,0.84,7763
112,2014-01-14,0.84,1.0,0.84,0.92,68132
113,2014-01-15,0.96,1.0,0.9,0.93,80219
114,2014-01-16,0.93,0.93,0.87,0.9,12947
115,2014-01-17,0.91,0.91,0.77,0.89,30977
116,2014-01-20,0.89,0.9,0.8,0.87,17851
117,2014-01-21,0.85,0.89,0.85,0.89,16808
118,2014-01-22,0.91,0.94,0.86,0.92,1702
119,2014-01-23,0.92,0.95,0.84,0.95,17469
120,2014-01-24,0.99,1.1,0.93,1.04,52359
121,2014-01-27,1.04,1.05,0.96,1.02,16403
122,2014-01-28,1.02,1.02,1.02,1.02,50
123,2014-01-29,0.92,0.98,0.89,0.97,5285
124,2014-01-30,0.97,1.03,0.9,0.98,156487
125,2014-01-31,0.97,1.06,0.96,1.03,43743
126,2014-02-03,1.02,1.03,0.96,1.03,2949
127,2014-02-04,1.03,1.2,1.02,1.2,25182
128,2014-02-05,1.25,1.43,1.18,1.3,48720
129,2014-02-06,1.3,1.3,1.12,1.23,5336
130,2014-02-07,1.19,1.28,1.1,1.28,8578
131,2014-02-10,1.25,1.43,1.25,1.35,20561
132,2014-02-11,1.42,1.43,1.15,1.35,22017
133,2014-02-12,1.38,1.38,1.16,1.23,7783
134,2014-02-13,1.23,1.38,1.23,1.38,11930
135,2014-02-14,1.38,1.39,1.11,1.17,42535
136,2014-02-17,1.11,1.22,1.01,1.16,40824
137,2014-02-18,1.14,1.17,1.0,1.0,24681
138,2014-02-19,1.0,1.13,0.93,1.02,65287
139,2014-02-20,1.01,1.03,0.9,0.96,18386
140,2014-02-21,0.96,0.96,0.95,0.96,1675
141,2014-02-24,0.96,1.0,0.96,1.0,2529
142,2014-02-25,1.0,1.1,0.95,1.06,21818
143,2014-02-26,1.06,1.06,1.06,1.06,513
144,2014-02-27,0.97,1.02,0.96,1.02,1362
145,2014-02-28,1.02,1.02,0.83,1.01,15441
146,2014-03-03,1.0,1.0,0.84,0.95,23042
147,2014-03-04,0.94,0.97,0.94,0.97,2653
148,2014-03-05,0.97,0.97,0.86,0.96,2783
149,2014-03-06,0.97,0.97,0.81,0.94,5314
150,2014-03-07,0.93,0.97,0.84,0.86,6387
151,2014-03-10,0.93,0.93,0.86,0.93,10442
152,2014-03-11,0.93,0.93,0.81,0.91,22080
153,2014-03-12,0.91,0.92,0.83,0.91,1857
154,2014-03-13,0.9,0.92,0.83,0.83,1546
155,2014-03-14,0.91,0.91,0.82,0.85,2798
156,2014-03-17,0.88,0.93,0.8,0.8,12368
157,2014-03-18,0.85,0.9,0.79,0.84,38944
158,2014-03-19,0.83,0.88,0.81,0.88,16472
159,2014-03-20,0.88,0.98,0.88,0.98,14152
160,2014-03-21,0.97,1.07,0.91,1.03,25859
161,2014-03-24,1.03,1.03,1.03,1.03,40
162,2014-03-25,1.03,1.08,0.93,1.05,21919
163,2014-03-26,1.06,1.07,0.96,1.06,3576
164,2014-03-27,1.06,1.09,0.99,1.09,14565
165,2014-03-28,1.09,1.19,1.03,1.11,57843
166,2014-03-31,1.16,1.17,1.07,1.15,14571
167,2014-04-01,1.15,1.18,1.1,1.18,24281
168,2014-04-02,1.18,1.34,1.1,1.31,49859
169,2014-04-03,1.34,1.34,1.24,1.31,18137
170,2014-04-04,1.3,1.32,1.16,1.28,13973
171,2014-04-07,1.29,1.29,1.15,1.28,10276
172,2014-04-08,1.27,1.3,1.2,1.28,16118
173,2014-04-09,1.27,1.33,1.24,1.25,35200
174,2014-04-10,1.28,1.32,1.11,1.21,51532
175,2014-04-11,1.21,1.25,1.08,1.15,119755
176,2014-04-14,1.14,1.2,1.09,1.14,52292
177,2014-04-15,1.1,1.18,1.09,1.14,20146
178,2014-04-16,1.12,1.14,1.01,1.1,23571
179,2014-04-17,1.1,1.15,1.06,1.14,14182
180,2014-04-22,1.15,1.17,1.1,1.14,42393
181,2014-04-23,1.14,1.14,1.08,1.14,4793
182,2014-04-24,1.14,1.17,1.06,1.11,46966
183,2014-04-25,1.11,1.14,1.06,1.12,8298
184,2014-04-28,1.12,1.14,1.08,1.13,701
185,2014-04-29,1.13,1.13,0.98,1.02,53922
186,2014-04-30,1.0,1.07,0.98,1.05,9299
187,2014-05-02,1.05,1.08,1.0,1.03,32890
188,2014-05-05,1.04,1.04,0.85,0.98,47151
189,2014-05-06,0.98,1.05,0.9,0.99,72120
190,2014-05-07,0.99,0.99,0.85,0.92,22221
191,2014-05-08,0.93,0.94,0.9,0.9,4196
192,2014-05-09,0.92,0.98,0.85,0.85,134791
193,2014-05-12,0.9,0.92,0.83,0.87,71785
194,2014-05-13,0.88,0.9,0.88,0.9,4558
195,2014-05-14,0.9,0.99,0.9,0.98,14338
196,2014-05-15,0.98,0.99,0.82,0.86,25005
197,2014-05-16,0.82,0.86,0.76,0.81,11608
198,2014-05-19,0.83,0.83,0.8,0.82,998
199,2014-05-20,0.7,0.8,0.7,0.79,21162
