,Date,Open,High,Low,Close,Volume
0,2008-05-09,2.4921,2.4921,1.3002,1.342,1170369
1,2008-05-12,1.3753,1.4168,1.2502,1.2919,188584
2,2008-05-13,1.2919,1.4335,1.192,1.3337,274463
3,2008-05-14,1.3337,1.7337,1.2919,1.6669,296375
4,2008-05-15,1.6919,1.7003,1.4003,1.4168,90901
5,2008-05-16,1.4168,1.567,1.3836,1.4335,99535
6,2008-05-19,1.567,1.6085,1.4502,1.5586,34960
7,2008-05-20,1.5837,1.5837,1.4168,1.517,21974
8,2008-05-21,1.4168,1.4836,1.3836,1.4418,24072
9,2008-05-23,1.4418,1.4586,1.3086,1.3836,58834
10,2008-05-26,1.3836,1.4586,1.2835,1.317,28899
11,2008-05-27,1.3086,1.3086,1.2502,1.2669,36238
12,2008-05-28,1.217,1.2751,1.2086,1.2086,39248
13,2008-05-29,1.192,1.2502,1.1419,1.2002,28319
14,2008-05-30,1.2086,1.3253,1.1669,1.242,26729
15,2008-06-02,1.3086,1.3086,1.192,1.242,18641
16,2008-06-03,1.2086,1.2086,1.1419,1.192,14960
17,2008-06-04,1.1753,1.5337,1.1753,1.3753,147440
18,2008-06-05,1.3586,1.3586,1.2253,1.2751,20375
19,2008-06-06,1.3504,1.3671,1.1419,1.2502,34733
20,2008-06-09,1.317,1.4085,1.2502,1.3919,14333
21,2008-06-10,1.3086,1.3919,1.2586,1.3337,6478
22,2008-06-11,1.3671,1.3671,1.3337,1.3337,3719
23,2008-06-12,1.342,1.342,1.1753,1.2919,8680
24,2008-06-13,1.2919,1.3671,1.2253,1.3671,9419
25,2008-06-16,1.3586,1.3586,1.2502,1.342,9775
26,2008-06-17,1.2502,1.4168,1.242,1.4003,44362
27,2008-06-18,1.3337,1.4253,1.2835,1.3586,7850
28,2008-06-19,1.342,1.3919,1.2586,1.3086,11819
29,2008-06-20,1.3086,1.3504,1.1753,1.2835,12573
30,2008-06-23,1.2086,1.2751,1.1669,1.2336,13722
31,2008-06-24,1.2336,1.317,1.1753,1.2751,10033
32,2008-06-25,1.2919,1.3253,1.1753,1.2751,6659
33,2008-06-26,1.2669,1.2919,1.1669,1.2336,9758
34,2008-06-27,1.1753,1.217,1.1753,1.217,3090
35,2008-06-30,1.1837,1.2002,1.1002,1.2002,1573
36,2008-07-01,1.192,1.2835,1.0836,1.1837,7968
37,2008-07-02,1.0836,1.2336,1.0836,1.1837,1116
38,2008-07-03,1.1669,1.1669,1.0918,1.1587,1512
39,2008-07-04,1.1753,1.1837,1.1002,1.1837,10030
40,2008-07-07,1.1002,1.1669,1.0252,1.1169,11763
41,2008-07-08,1.1336,1.1336,1.0585,1.1169,838
42,2008-07-09,1.1169,1.1669,1.0585,1.1419,8103
43,2008-07-10,1.0669,1.1169,1.0585,1.1169,1279
44,2008-07-11,1.0419,1.1169,1.0087,1.1169,6837
45,2008-07-14,1.1169,1.1169,1.0087,1.0169,11206
46,2008-07-15,1.0836,1.0836,1.0087,1.0669,3487
47,2008-07-16,1.0669,1.0669,1.0585,1.0669,4052
48,2008-07-17,1.1587,1.1753,1.0752,1.1669,1611
49,2008-07-18,1.0585,1.1419,1.0502,1.1419,1566
50,2008-07-21,1.1336,1.1336,1.1336,1.1336,71
51,2008-07-22,1.0169,1.1419,1.0169,1.1336,2840
52,2008-07-23,1.1169,1.1753,1.1169,1.1753,370
53,2008-07-24,1.1587,1.1587,1.0003,1.0836,7229
54,2008-07-25,1.1419,1.2253,1.0252,1.2002,11469
55,2008-07-28,1.192,1.2835,1.192,1.2502,25395
56,2008-07-29,1.2751,1.2751,1.1669,1.2669,8173
57,2008-07-30,1.0918,1.2751,1.0918,1.2751,5204
58,2008-07-31,1.1753,1.242,1.1669,1.242,7079
59,2008-08-01,1.2919,1.4168,1.2919,1.3504,3574
60,2008-08-04,1.3253,1.3337,1.3253,1.3337,3043
61,2008-08-05,1.1837,1.2751,1.1837,1.2751,2549
62,2008-08-06,1.1669,1.2502,1.1587,1.2336,5548
63,2008-08-07,1.1587,1.1587,1.0502,1.1419,3346
64,2008-08-08,1.1336,1.1503,1.1169,1.1336,4078
65,2008-08-11,1.2669,1.2669,1.2669,1.2669,7
66,2008-08-12,1.1837,1.1837,1.1837,1.1837,359
67,2008-08-13,1.1669,1.1669,1.0836,1.1336,2050
68,2008-08-14,1.0669,1.1669,1.0335,1.1669,8682
69,2008-08-18,1.0252,1.1669,1.0252,1.1669,481
70,2008-08-19,1.1002,1.1002,1.0169,1.0335,12263
71,2008-08-20,1.1587,1.1587,0.9586,0.9836,4785
72,2008-08-21,1.1336,1.1336,0.9253,0.9669,9910
73,2008-08-22,1.1336,1.1336,0.9669,1.0003,9827
74,2008-08-25,0.9836,1.0669,0.9836,1.0669,3594
75,2008-08-26,1.0003,1.0003,1.0003,1.0003,725
76,2008-08-27,0.9085,1.1587,0.8752,1.1419,23141
77,2008-08-28,1.0252,1.1169,1.0252,1.1169,122
78,2008-08-29,1.0003,1.0918,1.0003,1.0918,8411
79,2008-09-01,0.9253,1.1002,0.9085,1.0252,6913
80,2008-09-02,1.0502,1.0502,1.0502,1.0502,121
81,2008-09-03,1.1002,1.1002,1.0502,1.0836,1307
82,2008-09-04,1.0752,1.0752,1.0003,1.0752,1922
83,2008-09-05,0.9419,1.0585,0.9419,1.0335,8287
84,2008-09-09,0.9419,1.0419,0.9419,1.0419,4932
85,2008-09-10,1.0252,1.1002,1.0252,1.0585,18235
86,2008-09-12,1.0836,1.1669,1.0252,1.1002,13018
87,2008-09-15,0.9586,1.0836,0.9503,1.0836,2399
88,2008-09-16,0.9669,0.9669,0.9586,0.9586,2744
89,2008-09-17,0.9919,0.9919,0.9919,0.9919,593
90,2008-09-18,1.0003,1.0003,1.0003,1.0003,720
91,2008-09-19,1.0585,1.0836,1.0585,1.0836,4525
92,2008-09-23,0.9669,0.9669,0.9669,0.9669,1560
93,2008-09-24,1.0836,1.0836,1.0836,1.0836,602
94,2008-09-25,1.0003,1.0502,1.0003,1.0502,4198
95,2008-09-29,1.0585,1.0585,0.9085,1.0003,2032
96,2008-09-30,0.9836,1.0752,0.9503,1.0252,3902
97,2008-10-01,1.0669,1.0669,1.0669,1.0669,300
98,2008-10-06,0.9085,1.0003,0.9085,1.0003,483
99,2008-10-07,0.9919,1.0003,0.9919,1.0003,601
100,2008-10-08,1.0003,1.0169,0.9085,1.0169,2776
101,2008-10-09,0.9167,1.0252,0.9167,0.9586,5593
102,2008-10-10,1.0335,1.0669,1.0335,1.0669,264
103,2008-10-14,0.9586,0.9669,0.8835,0.9586,9531
104,2008-10-16,1.0419,1.0585,1.0419,1.0585,71
105,2008-10-17,0.9167,0.9167,0.9085,0.9085,4098
106,2008-10-20,0.8584,0.9167,0.8418,0.9167,6118
107,2008-10-22,0.9752,0.9752,0.9586,0.9586,11
108,2008-10-24,0.9253,0.9419,0.8502,0.9419,211
109,2008-10-29,0.9419,0.9669,0.9335,0.9335,132
110,2008-10-30,0.8336,0.9419,0.8001,0.9419,2322
111,2008-10-31,0.9167,0.9167,0.7585,0.7667,7215
112,2008-11-03,0.8251,0.9167,0.8251,0.8336,4956
113,2008-11-04,0.8584,0.9167,0.8336,0.8752,1396
114,2008-11-05,0.8752,0.8752,0.7919,0.8336,3073
115,2008-11-06,0.8752,0.9669,0.8001,0.9167,771
116,2008-11-07,0.8752,0.8752,0.8251,0.8752,1770
117,2008-11-10,0.9167,0.9167,0.9167,0.9167,121
118,2008-11-13,0.8336,0.8336,0.8336,0.8336,1442
119,2008-11-14,0.9167,0.9586,0.8336,0.9503,19394
120,2008-11-17,0.9669,0.9669,0.9419,0.9503,12065
121,2008-11-18,0.9001,0.9001,0.8336,0.8336,126
122,2008-11-19,0.9001,0.9001,0.9001,0.9001,121
123,2008-11-20,0.8336,0.8336,0.8336,0.8336,11516
124,2008-11-24,0.8752,0.9419,0.8752,0.9419,11
125,2008-11-25,0.9085,0.9085,0.8919,0.8919,1957
126,2008-11-26,0.8336,0.8336,0.8336,0.8336,2998
127,2008-11-27,0.8336,0.8336,0.8336,0.8336,1
128,2008-12-03,0.8251,0.8502,0.8251,0.8336,7799
129,2008-12-04,0.7502,0.8336,0.7502,0.817,5191
130,2008-12-08,0.8251,0.8251,0.8251,0.8251,1201
131,2008-12-09,0.7585,0.7585,0.7502,0.7502,2398
132,2008-12-11,0.7919,0.7919,0.7919,0.7919,1888
133,2008-12-12,0.8251,0.8251,0.8251,0.8251,36
134,2008-12-15,0.7169,0.7835,0.7087,0.7835,1812
135,2008-12-16,0.7502,0.8336,0.7502,0.7919,26937
136,2008-12-17,0.8251,0.8251,0.8251,0.8251,10
137,2008-12-19,0.7087,0.7835,0.6667,0.7835,3000
138,2008-12-30,0.7835,0.7835,0.6585,0.7835,85
139,2008-12-31,0.6585,0.6585,0.6585,0.6585,34
140,2009-01-05,0.7752,0.7835,0.7752,0.7835,5037
141,2009-01-06,0.7752,0.7752,0.6667,0.7752,276
142,2009-01-08,0.7667,0.7667,0.7667,0.7667,2303
143,2009-01-09,0.7336,0.7502,0.7336,0.7502,14398
144,2009-01-16,0.7502,0.7502,0.7502,0.7502,10
145,2009-01-19,0.7502,0.7502,0.7252,0.7502,1217
146,2009-01-20,0.7001,0.7001,0.7001,0.7001,1
147,2009-01-21,0.6667,0.6667,0.6667,0.6667,601
148,2009-01-22,0.7417,0.7417,0.7087,0.7087,16
149,2009-01-23,0.7417,0.7417,0.7417,0.7417,9
150,2009-01-26,0.6252,0.6667,0.6252,0.6667,9719
151,2009-01-27,0.7417,0.7417,0.7417,0.7417,1
152,2009-01-28,0.7417,0.7417,0.5668,0.7417,8040
153,2009-01-30,0.5834,0.7252,0.5834,0.7252,617
154,2009-02-02,0.7252,0.7252,0.5918,0.6585,9778
155,2009-02-03,0.6667,0.6667,0.5335,0.5752,5665
156,2009-02-04,0.5752,0.5752,0.5001,0.5752,61
157,2009-02-05,0.5752,0.6169,0.5752,0.6169,23
158,2009-02-06,0.6083,0.6083,0.48344,0.48344,984
159,2009-02-09,0.48344,0.5668,0.48344,0.5668,326
160,2009-02-10,0.49181,0.5585,0.49181,0.5585,2338
161,2009-02-11,0.5585,0.5585,0.5585,0.5585,10
162,2009-02-12,0.5585,0.5585,0.4667,0.5585,21869
163,2009-02-13,0.5585,0.5585,0.48344,0.5418,1570
164,2009-02-16,0.55,0.55,0.48344,0.5418,6432
165,2009-02-17,0.5418,0.5418,0.5418,0.5418,10
166,2009-02-18,0.5001,0.5418,0.41672,0.5335,16649
167,2009-02-19,0.5335,0.5335,0.44175,0.5085,6025
168,2009-02-20,0.5335,0.5335,0.5335,0.5335,3865
169,2009-02-23,0.5335,0.5335,0.5335,0.5335,10
170,2009-02-24,0.5335,0.5335,0.5335,0.5335,10
171,2009-02-25,0.5418,0.55,0.5418,0.55,838
172,2009-02-26,0.55,0.55,0.49181,0.5418,97
173,2009-02-27,0.55,0.55,0.55,0.55,23
174,2009-03-02,0.55,0.55,0.55,0.55,60
175,2009-03-03,0.55,0.55,0.55,0.55,23
176,2009-03-05,0.55,0.55,0.55,0.55,60
177,2009-03-06,0.55,0.55,0.55,0.55,36
178,2009-03-09,0.55,0.6169,0.55,0.6169,9872
179,2009-03-10,0.6169,0.6169,0.6169,0.6169,341
180,2009-03-11,0.6169,0.6169,0.6169,0.6169,60
181,2009-03-12,0.6169,0.6169,0.6169,0.6169,60
182,2009-03-13,0.6169,0.6169,0.6169,0.6169,36
183,2009-03-16,0.6169,0.6169,0.6169,0.6169,36
184,2009-03-17,0.6169,0.7252,0.6169,0.7252,18421
185,2009-03-18,0.7252,0.7502,0.7252,0.7502,902
186,2009-03-19,0.7502,0.7502,0.6169,0.7502,13220
187,2009-03-20,0.7417,0.7417,0.7417,0.7417,10
188,2009-03-23,0.7417,0.7417,0.6169,0.7417,1527
189,2009-03-24,0.7336,0.7336,0.7336,0.7336,23
190,2009-03-25,0.7252,0.7252,0.7252,0.7252,23
191,2009-03-26,0.7336,0.817,0.7336,0.7919,9903
192,2009-03-27,0.8251,0.8251,0.8251,0.8251,1223
193,2009-03-30,0.8251,0.8251,0.8251,0.8251,23
194,2009-03-31,0.8251,0.9085,0.7502,0.9085,6192
195,2009-04-01,0.7919,0.9167,0.7919,0.9167,1260
196,2009-04-03,0.9167,0.9167,0.7502,0.9167,6143
197,2009-04-06,0.9586,1.1002,0.7502,0.8752,17683
198,2009-04-07,0.867,0.867,0.7585,0.8584,9376
199,2009-04-08,0.7667,0.8336,0.7667,0.8336,3239
200,2009-04-09,0.7585,0.8584,0.7585,0.8584,1685
201,2009-04-14,0.8251,0.8251,0.7919,0.817,7128
202,2009-04-15,0.8086,0.8086,0.8086,0.8086,121
203,2009-04-16,0.8001,0.8251,0.7667,0.8086,4176
204,2009-04-17,0.8086,0.8086,0.7752,0.7752,4079
205,2009-04-20,0.7752,0.8251,0.7502,0.8251,4703
206,2009-04-21,0.8251,0.8251,0.7585,0.7585,7437
207,2009-04-22,0.7752,0.9085,0.7752,0.8835,11860
208,2009-04-23,0.9085,0.9167,0.8752,0.9085,5348
209,2009-04-24,0.8336,0.9503,0.7919,0.9503,12554
210,2009-04-27,0.9419,0.9419,0.8752,0.9335,1152
211,2009-04-28,0.9419,0.9419,0.9419,0.9419,60
212,2009-04-29,0.9419,0.9419,0.9419,0.9419,10
213,2009-04-30,0.9419,0.9419,0.867,0.867,915
214,2009-05-04,0.867,0.9419,0.7919,0.8001,1296
215,2009-05-05,0.8336,0.9253,0.8336,0.9253,109
216,2009-05-06,0.9001,0.9001,0.7752,0.8752,4413
217,2009-05-07,0.8336,0.8336,0.7835,0.8336,3745
218,2009-05-08,0.8251,0.8251,0.7502,0.817,4356
219,2009-05-11,0.817,0.817,0.817,0.817,60
220,2009-05-12,0.7502,0.8001,0.7502,0.8001,3924
221,2009-05-13,0.7585,0.8251,0.7585,0.8251,3120
222,2009-05-14,0.7585,0.7835,0.7585,0.7835,1679
223,2009-05-15,0.7919,0.8251,0.7502,0.8251,3265
224,2009-05-18,0.817,0.817,0.7502,0.817,2437
225,2009-05-19,0.817,0.817,0.7502,0.817,2482
226,2009-05-20,0.7502,0.7502,0.6667,0.6667,34614
227,2009-05-21,0.7087,0.7087,0.7087,0.7087,10
228,2009-05-22,0.5834,0.5834,0.5834,0.5834,10
229,2009-05-25,0.6752,0.6752,0.6752,0.6752,10
230,2009-05-26,0.6667,0.7001,0.6667,0.7001,2242
231,2009-05-27,0.7087,0.7087,0.7087,0.7087,590
232,2009-05-28,0.7087,0.7087,0.7087,0.7087,5
233,2009-05-29,0.7087,0.7087,0.7087,0.7087,2
234,2009-06-01,0.7087,0.7087,0.6918,0.7001,9421
235,2009-06-02,0.6667,0.6667,0.6667,0.6667,7899
236,2009-06-03,0.7169,0.7252,0.7169,0.7252,191
237,2009-06-04,0.7087,0.7169,0.6667,0.7169,4342
238,2009-06-05,0.7169,0.7252,0.6585,0.7252,2059
239,2009-06-08,0.6667,0.7087,0.6502,0.7087,6046
240,2009-06-09,0.7087,0.7087,0.7087,0.7087,10
241,2009-06-10,0.7252,0.8086,0.7252,0.8001,11210
