,Date,Open,High,Low,Close,Volume
0,2021-05-06,53.99,57.77,51.5,52.4,21131
1,2021-05-07,52.5,54.0,51.0,52.6,30587
2,2021-05-10,53.89,53.9,52.4,52.6,122127
3,2021-05-11,53.9,53.9,51.5,51.51,908
4,2021-05-12,51.51,52.0,51.5,52.0,1286
5,2021-05-13,53.0,53.0,52.0,52.0,284
6,2021-05-14,51.5,52.0,50.8,51.02,455
7,2021-05-17,51.02,51.08,50.9,51.07,648
8,2021-05-18,50.86,52.11,50.72,50.82,1246
9,2021-05-19,51.2,52.0,51.2,52.0,119
10,2021-05-20,51.01,52.7,51.0,52.7,516
11,2021-05-21,52.7,54.0,52.5,54.0,334
12,2021-05-24,54.0,54.6,52.0,54.0,540
13,2021-05-25,51.19,52.8,51.19,51.68,1185
14,2021-05-26,52.7,52.7,51.12,51.99,1226
15,2021-05-27,51.99,52.0,51.5,51.5,1552
16,2021-05-28,51.96,51.99,51.16,51.16,394
17,2021-05-31,51.16,51.84,50.0,51.84,329
18,2021-06-01,51.99,51.99,50.9,51.98,444
19,2021-06-02,51.98,51.98,51.98,51.98,12
20,2021-06-04,51.7,52.0,51.2,52.0,535
21,2021-06-07,52.0,52.0,51.01,51.6,747
22,2021-06-08,52.0,52.0,51.9,51.9,346
23,2021-06-09,53.6,53.6,52.0,52.0,76
24,2021-06-10,52.0,52.8,51.9,52.0,2699
25,2021-06-11,53.7,53.7,53.6,53.6,87
26,2021-06-14,53.75,53.75,52.5,53.0,1107
27,2021-06-15,53.75,53.75,53.01,53.01,374
28,2021-06-16,53.0,53.2,52.5,52.55,348
29,2021-06-17,53.75,53.75,52.5,53.5,380
30,2021-06-18,53.5,53.5,53.0,53.0,250
31,2021-06-21,52.0,52.2,51.8,51.8,742
32,2021-06-22,52.0,52.02,52.0,52.0,120
33,2021-06-23,52.1,53.51,51.32,53.51,1046
34,2021-06-24,53.48,53.48,52.0,52.5,11507
35,2021-06-25,52.5,53.0,51.9,52.86,1995
36,2021-06-28,52.21,52.22,52.0,52.0,864
37,2021-06-29,51.84,52.2,51.05,51.05,4344
38,2021-06-30,52.0,52.0,51.05,51.7,1207
39,2021-07-01,51.15,52.7,51.15,52.5,1878
40,2021-07-02,52.0,52.9,52.0,52.9,2700
41,2021-07-05,52.9,53.45,52.2,53.0,2607
42,2021-07-06,53.0,53.9,53.0,53.5,4310
43,2021-07-07,53.9,54.99,53.5,54.68,15897
44,2021-07-08,54.7,54.71,54.0,54.2,4415
45,2021-07-09,54.5,54.59,53.5,54.06,4795
46,2021-07-12,54.06,54.8,54.05,54.7,2068
47,2021-07-13,54.69,55.55,54.21,54.22,35002
48,2021-07-14,54.7,54.85,51.14,54.0,4636
49,2021-07-15,54.5,54.75,53.82,54.52,446
50,2021-07-16,54.35,54.35,53.86,54.25,688
51,2021-07-19,54.2,54.2,52.95,53.0,3890
52,2021-07-20,52.9,53.75,52.9,53.0,1165
53,2021-07-21,53.1,53.67,52.7,53.67,1789
54,2021-07-22,53.95,53.96,52.7,53.49,817
55,2021-07-23,53.49,53.93,52.7,52.94,12105
56,2021-07-26,53.43,53.43,52.7,52.7,407
57,2021-07-27,52.71,52.8,52.52,52.75,1528
58,2021-07-28,52.98,52.98,52.53,52.53,675
59,2021-07-29,52.79,53.19,52.52,52.7,7669
60,2021-07-30,52.98,53.0,52.5,52.75,9137
61,2021-08-02,52.99,53.1,52.99,53.1,351
62,2021-08-03,53.9,54.05,53.5,53.7,5680
