,Date,Open,High,Low,Close,Volume
0,1993-09-30,2.0459,2.0459,2.0459,2.0459,3616108.0
1,1993-10-04,2.0459,2.0459,2.0459,2.0459,4404060.0
2,1993-10-05,2.0459,2.0459,2.0459,2.0459,3431542.0
3,1993-10-07,2.036,2.036,2.036,2.036,2532953.0
4,1993-10-11,1.9866,1.9866,1.9866,1.9866,1859785.0
5,1993-10-12,2.1645,2.1645,2.1645,2.1645,1815268.0
6,1993-10-14,2.3227,2.3227,2.3227,2.3227,2275499.0
7,1993-10-18,2.3721,2.3721,2.3721,2.3721,1160201.0
8,1993-10-19,2.3424,2.3424,2.3424,2.3424,694465.0
9,1993-10-21,2.2733,2.2733,2.2733,2.2733,987128.0
10,1993-10-26,2.0657,2.0657,2.0657,2.0657,1142131.0
11,1993-10-28,2.2634,2.2634,2.2634,2.2634,1969916.0
12,1993-11-02,2.3721,2.3721,2.3721,2.3721,2018724.0
13,1993-11-04,2.3721,2.3721,2.3721,2.3721,1879859.0
14,1993-11-08,2.2733,2.2733,2.2733,2.2733,1173647.0
15,1993-11-09,2.2733,2.2733,2.2733,2.2733,1093869.0
16,1993-11-10,2.3523,2.3523,2.3523,2.3523,1400636.0
17,1993-11-15,2.3721,2.3721,2.3721,2.3721,1962672.0
18,1993-11-16,2.3721,2.3721,2.3721,2.3721,1875458.0
19,1993-11-18,2.293,2.293,2.293,2.293,760786.0
20,1993-11-22,2.0953,2.0953,2.0953,2.0953,946546.0
21,1993-11-23,2.3029,2.3029,2.3029,2.3029,719871.0
22,1993-11-25,2.3424,2.3424,2.3424,2.3424,1653021.0
23,1993-11-29,2.5698,2.5698,2.5698,2.5698,3153104.0
24,1993-11-30,2.8267,2.8267,2.8267,2.8267,3012428.0
25,1993-12-02,2.7674,2.7674,2.7674,2.7674,1726779.0
26,1993-12-06,3.0442,3.0442,3.0442,3.0442,2323771.0
27,1993-12-07,2.9651,2.9651,2.9651,2.9651,877251.0
28,1993-12-09,3.064,3.064,3.064,3.064,1669260.0
29,1993-12-13,3.1826,3.1826,3.1826,3.1826,1340082.0
30,1993-12-14,3.2023,3.2023,3.2023,3.2023,1522655.0
31,1993-12-16,3.2616,3.2616,3.2616,3.2616,1324198.0
32,1993-12-20,3.3605,3.3605,3.3605,3.3605,1492758.0
33,1993-12-21,3.2419,3.2419,3.2419,3.2419,1800385.0
34,1993-12-23,3.3407,3.3407,3.3407,3.3407,1893366.0
35,1993-12-27,3.5384,3.5384,3.5384,3.5384,1605316.0
36,1993-12-28,3.1924,3.1924,3.1924,3.1924,1663240.0
37,1993-12-30,3.3605,3.3605,3.3605,3.3605,1451225.0
38,1994-01-03,3.4593,3.4593,3.4593,3.4593,1128219.0
39,1994-01-04,3.3605,3.3605,3.3605,3.3605,1780605.0
40,1994-01-06,3.6174,3.6174,3.6174,3.6174,2566796.0
41,1994-01-10,3.5581,3.5581,3.5581,3.5581,1572181.0
42,1994-01-11,3.657,3.657,3.657,3.657,1482387.0
43,1994-01-13,4.0227,4.0227,4.0227,4.0227,2958754.0
44,1994-01-17,4.418,4.418,4.418,4.418,1208351.0
45,1994-01-18,4.8529,4.8529,4.8529,4.8529,990518.0
46,1994-01-20,5.2384,5.2384,5.2384,5.2384,2064556.0
47,1994-01-24,5.1297,5.1297,5.1297,5.1297,1265869.0
48,1994-01-25,5.6337,5.6337,5.6337,5.6337,1621100.0
49,1994-01-27,5.6337,5.6337,5.6337,5.6337,1835746.0
50,1994-01-31,5.0703,5.0703,5.0703,5.0703,1736644.0
51,1994-02-01,4.5663,4.5663,4.5663,4.5663,2256539.0
52,1994-02-03,5.0209,5.0209,5.0209,5.0209,1088709.0
53,1994-02-07,4.9419,4.9419,4.9419,4.9419,1283272.0
54,1994-02-08,5.1988,5.1988,5.1988,5.1988,2114133.0
55,1994-02-10,5.1988,5.1988,5.1988,5.1988,1193022.0
56,1994-02-14,5.7128,5.7128,5.7128,5.7128,1530598.0
57,1994-02-15,5.9302,5.9302,5.9302,5.9302,2044169.0
58,1994-02-17,5.9302,5.9302,5.9302,5.9302,1332089.0
59,1994-02-21,5.7326,5.7326,5.7326,5.7326,1095336.0
60,1994-02-22,5.9302,5.9302,5.9302,5.9302,1475811.0
61,1994-02-24,6.5233,6.5233,6.5233,6.5233,2342033.0
62,1994-02-28,7.0174,7.0174,7.0174,7.0174,2204828.0
63,1994-03-01,6.9186,6.9186,6.9186,6.9186,1639231.0
64,1994-03-03,7.2151,7.2151,7.2151,7.2151,2035438.0
65,1994-03-07,7.4128,7.4128,7.4128,7.4128,1242144.0
66,1994-03-08,7.2151,7.2151,7.2151,7.2151,805496.0
67,1994-03-10,6.9186,6.9186,6.9186,6.9186,1147392.0
68,1994-03-14,6.7209,6.7209,6.7209,6.7209,828403.0
69,1994-03-15,6.5233,6.5233,6.5233,6.5233,706718.0
70,1994-03-17,6.5233,6.5233,6.5233,6.5233,978882.0
71,1994-03-21,5.8808,5.8808,5.8808,5.8808,836618.0
72,1994-03-22,5.3372,5.3372,5.3372,5.3372,1524021.0
73,1994-03-24,5.8314,5.8314,5.8314,5.8314,1646101.0
74,1994-03-28,5.2878,5.2878,5.2878,5.2878,838075.0
75,1994-03-29,4.764,4.764,4.764,4.764,393587.0
76,1994-03-31,4.2895,4.2895,4.2895,4.2895,818902.0
77,1994-04-05,3.8645,3.8645,3.8645,3.8645,1315881.0
78,1994-04-07,4.2006,4.2006,4.2006,4.2006,1842747.0
79,1994-04-08,4.1907,4.1907,4.1907,4.1907,782600.0
80,1994-04-11,3.7756,3.7756,3.7756,3.7756,
81,1994-04-12,3.4,3.4,3.4,3.4,
82,1994-04-14,2.9651,2.9651,2.9651,2.9651,750041.0
83,1994-04-18,3.064,3.064,3.064,3.064,834443.0
84,1994-04-19,3.3703,3.3703,3.3703,3.3703,1562256.0
85,1994-04-21,3.9535,3.9535,3.9535,3.9535,1004662.0
86,1994-04-25,3.9535,3.9535,3.9535,3.9535,1040145.0
87,1994-04-26,3.5581,3.5581,3.5581,3.5581,
88,1994-04-28,3.2023,3.2023,3.2023,3.2023,
89,1994-05-05,3.1628,3.1628,3.1628,3.1628,515524.0
90,1994-05-06,3.2616,3.2616,3.2616,3.2616,1150437.0
91,1994-05-09,2.9355,2.9355,2.9355,2.9355,557523.0
92,1994-05-10,2.9651,2.9651,2.9651,2.9651,415400.0
93,1994-05-12,2.9651,2.9651,2.9651,2.9651,658993.0
94,1994-05-16,3.2616,3.2616,3.2616,3.2616,857046.0
95,1994-05-17,3.0738,3.0738,3.0738,3.0738,431639.0
96,1994-05-19,3.1529,3.1529,3.1529,3.1529,711443.0
97,1994-05-23,3.2616,3.2616,3.2616,3.2616,952101.0
98,1994-05-24,3.3605,3.3605,3.3605,3.3605,938037.0
99,1994-05-26,3.3506,3.3506,3.3506,3.3506,734096.0
100,1994-05-30,3.2616,3.2616,3.2616,3.2616,306008.0
101,1994-05-31,3.1628,3.1628,3.1628,3.1628,388649.0
102,1994-06-01,2.9651,2.9651,2.9651,2.9651,597902.0
103,1994-06-06,2.6884,2.6884,2.6884,2.6884,406790.0
104,1994-06-07,2.6587,2.6587,2.6587,2.6587,438296.0
105,1994-06-09,2.6587,2.6587,2.6587,2.6587,616408.0
106,1994-06-13,2.4017,2.4017,2.4017,2.4017,
107,1994-06-14,2.1645,2.1645,2.1645,2.1645,876816.0
108,1994-06-16,2.2733,2.2733,2.2733,2.2733,738082.0
109,1994-06-20,2.0459,2.0459,2.0459,2.0459,510375.0
110,1994-06-21,1.8779,1.8779,1.8779,1.8779,920412.0
111,1994-06-23,1.6901,1.6901,1.6901,1.6901,889645.0
112,1994-06-27,1.8581,1.8581,1.8581,1.8581,309802.0
113,1994-06-28,1.957,1.957,1.957,1.957,415795.0
114,1994-06-30,1.957,1.957,1.957,1.957,489047.0
115,1994-07-04,1.9669,1.9669,1.9669,1.9669,375496.0
116,1994-07-05,2.0064,2.0064,2.0064,2.0064,183686.0
117,1994-07-06,2.2041,2.2041,2.2041,2.2041,389438.0
118,1994-07-07,2.2238,2.2238,2.2238,2.2238,453655.0
119,1994-07-11,2.3721,2.3721,2.3721,2.3721,823637.0
120,1994-07-12,2.6093,2.6093,2.6093,2.6093,391968.0
121,1994-07-13,2.8663,2.8663,2.8663,2.8663,794448.0
122,1994-07-14,2.5797,2.5797,2.5797,2.5797,560639.0
123,1994-07-18,2.6192,2.6192,2.6192,2.6192,396521.0
124,1994-07-19,2.8169,2.8169,2.8169,2.8169,696711.0
125,1994-07-20,2.5401,2.5401,2.5401,2.5401,594584.0
126,1994-07-21,2.7674,2.7674,2.7674,2.7674,657576.0
127,1994-07-25,2.8169,2.8169,2.8169,2.8169,1251361.0
128,1994-07-26,2.8169,2.8169,2.8169,2.8169,756567.0
129,1994-07-27,2.8663,2.8663,2.8663,2.8663,309701.0
130,1994-07-28,2.8663,2.8663,2.8663,2.8663,194734.0
131,1994-08-01,2.7674,2.7674,2.7674,2.7674,201473.0
132,1994-08-02,2.6785,2.6785,2.6785,2.6785,181834.0
133,1994-08-03,2.7279,2.7279,2.7279,2.7279,209425.0
134,1994-08-04,2.7674,2.7674,2.7674,2.7674,261814.0
135,1994-08-08,2.7674,2.7674,2.7674,2.7674,610114.0
136,1994-08-09,2.4907,2.4907,2.4907,2.4907,233869.0
137,1994-08-10,2.5698,2.5698,2.5698,2.5698,275514.0
138,1994-08-11,2.6686,2.6686,2.6686,2.6686,272225.0
139,1994-08-16,2.6686,2.6686,2.6686,2.6686,147525.0
140,1994-08-17,2.7674,2.7674,2.7674,2.7674,352165.0
141,1994-08-18,2.7477,2.7477,2.7477,2.7477,166466.0
142,1994-08-22,2.7477,2.7477,2.7477,2.7477,326365.0
143,1994-08-23,2.6686,2.6686,2.6686,2.6686,180539.0
144,1994-08-24,2.4017,2.4017,2.4017,2.4017,163886.0
145,1994-08-25,2.4017,2.4017,2.4017,2.4017,188360.0
146,1994-08-29,2.461,2.461,2.461,2.461,195604.0
147,1994-08-30,2.461,2.461,2.461,2.461,130862.0
148,1994-08-31,2.461,2.461,2.461,2.461,242743.0
149,1994-09-01,2.2238,2.2238,2.2238,2.2238,107652.0
150,1994-09-05,2.2733,2.2733,2.2733,2.2733,201624.0
151,1994-09-06,2.0756,2.0756,2.0756,2.0756,207918.0
152,1994-09-07,2.0262,2.0262,2.0262,2.0262,427410.0
153,1994-09-08,2.2238,2.2238,2.2238,2.2238,134585.0
154,1994-09-12,2.3326,2.3326,2.3326,2.3326,318817.0
155,1994-09-13,2.1052,2.1052,2.1052,2.1052,274957.0
