,Date,Open,High,Low,Close,Volume
0,2001-05-24,3.7142,3.7544,3.5373,3.6739,66192
1,2001-05-25,3.6981,3.6981,3.5614,3.5854,6800
2,2001-05-28,3.5936,3.5936,3.4731,3.5775,13153
3,2001-05-29,3.5132,3.5614,3.4166,3.5132,13905
4,2001-05-30,3.5051,3.5051,3.3523,3.4328,2617
5,2001-05-31,3.3925,3.3925,3.312,3.312,12787
6,2001-06-01,3.3042,3.3523,3.2639,3.2639,10077
7,2001-06-04,3.312,3.312,3.0709,3.0709,4156
8,2001-06-05,3.0228,3.0308,2.6209,2.7494,22776
9,2001-06-06,2.7175,2.7413,2.6931,2.7333,3536
10,2001-06-07,2.669,2.7253,2.6369,2.7092,1709
11,2001-06-08,2.6931,2.7092,2.6369,2.7092,1283
12,2001-06-12,2.5565,2.6611,2.476,2.476,12678
13,2001-06-13,2.4922,2.4922,2.46,2.46,3906
14,2001-06-15,2.476,2.5083,2.3958,2.3958,8715
15,2001-06-18,2.3958,2.3958,2.235,2.235,4787
16,2001-06-19,2.2189,2.2189,1.8329,1.9455,26140
17,2001-06-20,1.9215,1.9215,1.8008,1.8008,12998
18,2001-06-21,1.8008,1.8329,1.7847,1.8329,3260
19,2001-06-22,1.8088,1.8489,1.7927,1.7927,17094
20,2001-06-25,1.8489,1.9376,1.825,1.9376,61147
21,2001-06-26,1.9856,1.9856,1.9133,1.9133,2276
22,2001-06-27,1.9133,1.9133,1.9133,1.9133,219
23,2001-06-28,1.8329,1.8329,1.7606,1.7606,1229
24,2001-06-29,1.7606,1.8411,1.7606,1.8329,5704
25,2001-07-02,1.8008,1.8008,1.8008,1.8008,1504
26,2001-07-04,1.7606,1.8329,1.7606,1.8329,258
27,2001-07-05,1.9455,1.9937,1.9455,1.9536,2405
28,2001-07-10,1.9536,1.9536,1.9133,1.9133,4131
29,2001-07-11,1.9536,1.9536,1.9536,1.9536,876
30,2001-07-13,1.7927,1.7927,1.7927,1.7927,2916
31,2001-07-16,1.9856,2.042,1.9856,2.042,595
32,2001-07-17,2.034,2.0742,2.034,2.0742,765
33,2001-07-18,2.0742,2.0742,2.0742,2.0742,1
34,2001-07-19,2.0742,2.0742,1.9133,2.0742,29
35,2001-07-23,1.9536,1.9536,1.9536,1.9536,4006
36,2001-07-24,2.0098,2.0098,2.0098,2.0098,1
37,2001-07-25,2.0019,2.0019,1.9937,1.9937,6509
38,2001-07-26,2.0019,2.0019,2.0019,2.0019,42
39,2001-07-27,1.9133,1.9133,1.9133,1.9133,7486
40,2001-07-30,1.8973,1.8973,1.8973,1.8973,1302
41,2001-07-31,1.8329,1.9053,1.7927,1.9053,10294
42,2001-08-02,1.8088,1.8088,1.7446,1.7446,4077
43,2001-08-03,1.8329,1.8329,1.8329,1.8329,39
44,2001-08-07,1.6399,1.7606,1.6399,1.7606,2508
45,2001-08-09,1.5997,1.5997,1.5997,1.5997,11896
46,2001-08-10,1.6802,1.7606,1.6802,1.7606,2190
47,2001-08-13,1.7927,1.7927,1.3667,1.5837,31746
48,2001-08-14,1.4551,1.4712,1.4309,1.4712,10645
49,2001-08-16,1.4712,1.4712,1.3587,1.4632,9412
50,2001-08-17,1.5355,1.5355,1.4551,1.4551,1582
51,2001-08-20,1.4551,1.4551,1.4551,1.4551,6375
52,2001-08-21,1.5195,1.5195,1.439,1.439,5451
53,2001-08-22,1.3989,1.4791,1.3989,1.4791,6092
54,2001-08-23,1.5195,1.5195,1.4791,1.4791,2478
55,2001-08-27,1.5195,1.5275,1.439,1.5275,1376
56,2001-08-31,1.3989,1.4791,1.3989,1.447,9242
57,2001-09-03,1.4149,1.4149,1.3909,1.3909,3562
58,2001-09-04,1.3989,1.3989,1.3989,1.3989,1069
59,2001-09-05,1.4874,1.4874,1.4874,1.4874,625
60,2001-09-06,1.439,1.439,1.439,1.439,625
61,2001-09-07,1.439,1.439,1.439,1.439,1251
62,2001-09-12,1.1979,1.439,1.1979,1.439,5635
63,2001-09-17,1.2783,1.4068,1.2783,1.4068,207
64,2001-09-18,1.2783,1.4149,1.2783,1.4149,977
65,2001-09-19,1.3989,1.3989,1.3989,1.3989,249
66,2001-09-25,1.1898,1.3185,1.1898,1.3185,8015
67,2001-09-26,1.439,1.439,1.1979,1.3506,1904
68,2001-09-27,1.3587,1.3587,1.1979,1.3023,1053
69,2001-09-28,1.2783,1.3667,1.2783,1.3667,1254
70,2001-10-02,1.1656,1.238,1.1656,1.238,382
71,2001-10-05,1.1577,1.2701,1.1577,1.2701,2565
72,2001-10-08,1.1175,1.238,1.1175,1.238,2521
73,2001-10-10,1.238,1.3989,1.1737,1.3989,8943
74,2001-10-11,1.439,1.439,1.23,1.439,2802
75,2001-10-12,1.439,1.439,1.3185,1.4228,16882
76,2001-10-15,1.4149,1.4149,1.4149,1.4149,124
77,2001-10-16,1.3989,1.6562,1.3989,1.5433,103880
78,2001-10-17,1.6399,1.857,1.3426,1.6562,253428
79,2001-10-18,1.6321,1.6321,1.439,1.5516,21986
80,2001-10-19,1.4228,1.5595,1.4228,1.5113,10509
81,2001-10-22,1.5275,1.6399,1.5275,1.6399,34036
82,2001-10-23,1.7285,1.7285,1.5595,1.5919,18579
83,2001-10-24,1.5195,1.6639,1.5195,1.624,4141
84,2001-10-25,1.6321,1.6321,1.5275,1.6079,13508
85,2001-10-26,1.6399,1.6399,1.5516,1.5997,6650
86,2001-10-29,1.6399,1.6399,1.5433,1.5919,7116
87,2001-10-30,1.5195,1.5195,1.5195,1.5195,1251
88,2001-10-31,1.4551,1.5113,1.4551,1.5113,2877
89,2001-11-02,1.4791,1.5275,1.4632,1.4632,11692
90,2001-11-05,1.5676,1.5676,1.439,1.5433,9391
91,2001-11-06,1.5433,1.5433,1.5195,1.5195,1111
92,2001-11-07,1.5433,1.5433,1.5433,1.5433,3818
93,2001-11-08,1.4632,1.5195,1.439,1.5195,2943
94,2001-11-09,1.5195,1.5195,1.439,1.439,5191
95,2001-11-12,1.4551,1.4551,1.4551,1.4551,124
