,Date,Open,High,Low,Close,Volume
0,2010-07-15,0.86,1.03,0.86,1.03,72857
1,2010-07-16,1.11,1.33,1.02,1.17,187902
2,2010-07-19,1.24,1.25,1.02,1.05,18358
3,2010-07-20,1.08,1.18,1.03,1.04,13669
4,2010-07-21,1.04,1.11,0.96,1.02,13496
5,2010-07-22,0.92,1.06,0.85,1.02,80365
6,2010-07-23,1.05,1.07,1.0,1.0,13872
7,2010-07-26,1.05,1.05,0.9,0.93,28563
8,2010-07-27,0.96,0.96,0.88,0.91,13358
9,2010-07-28,0.85,0.9,0.85,0.9,1185
10,2010-07-29,0.91,0.91,0.89,0.9,1227
11,2010-07-30,0.9,0.94,0.85,0.94,989
12,2010-08-02,0.97,0.97,0.9,0.94,3174
13,2010-08-03,0.94,0.94,0.94,0.94,185
14,2010-08-04,0.9,0.9,0.84,0.9,2822
15,2010-08-05,0.94,0.98,0.92,0.92,950
16,2010-08-06,0.92,0.92,0.92,0.92,200
17,2010-08-09,0.92,0.92,0.84,0.9,1200
18,2010-08-10,0.84,0.92,0.84,0.9,800
19,2010-08-11,0.85,1.07,0.85,0.94,48943
20,2010-08-12,0.98,0.99,0.9,0.99,7790
21,2010-08-13,0.97,0.97,0.96,0.97,6100
22,2010-08-16,0.98,0.99,0.96,0.99,7225
23,2010-08-17,1.03,1.04,1.02,1.04,4640
24,2010-08-18,1.05,1.05,0.91,1.02,10573
25,2010-08-19,1.01,1.01,0.93,1.01,6340
26,2010-08-20,1.02,1.02,1.02,1.02,40
27,2010-08-23,1.02,1.04,1.02,1.04,1100
28,2010-08-24,0.91,1.03,0.9,0.97,4089
29,2010-08-25,0.99,0.99,0.99,0.99,101
30,2010-08-26,1.0,1.0,0.85,0.95,1734
31,2010-08-30,0.84,0.96,0.84,0.96,16104
32,2010-08-31,0.87,0.98,0.86,0.98,9801
33,2010-09-01,0.89,0.97,0.89,0.97,4100
34,2010-09-08,0.84,0.96,0.84,0.95,2600
35,2010-09-10,0.86,0.94,0.86,0.94,3205
36,2010-09-13,0.89,0.94,0.89,0.94,2350
37,2010-09-14,0.87,0.89,0.85,0.89,4355
38,2010-09-15,0.92,0.92,0.83,0.9,23458
39,2010-09-16,0.9,0.9,0.9,0.9,190
40,2010-09-17,0.87,0.88,0.87,0.88,5570
41,2010-09-20,0.88,0.88,0.88,0.88,142
42,2010-09-21,0.83,0.84,0.83,0.83,6484
43,2010-09-22,0.83,0.83,0.82,0.82,900
44,2010-09-24,0.84,0.84,0.8,0.8,4557
45,2010-09-29,0.84,0.84,0.84,0.84,20
46,2010-10-04,0.84,0.84,0.84,0.84,297
47,2010-10-08,0.8,0.8,0.8,0.8,667
48,2010-10-11,0.83,0.83,0.8,0.8,15842
49,2010-10-12,0.73,0.73,0.69,0.69,2992
50,2010-10-13,0.74,0.74,0.64,0.67,3286
51,2010-10-14,0.73,0.73,0.68,0.68,898
52,2010-10-15,0.71,0.79,0.7,0.78,26326
53,2010-10-18,0.77,0.78,0.75,0.78,2196
54,2010-10-19,0.74,0.74,0.74,0.74,300
55,2010-10-20,0.73,0.73,0.71,0.71,12625
56,2010-10-21,0.71,0.81,0.71,0.76,9119
57,2010-10-22,0.78,0.81,0.74,0.74,11495
58,2010-10-25,0.77,0.77,0.77,0.77,50
59,2010-10-26,0.78,0.78,0.78,0.78,38
60,2010-10-27,0.77,0.77,0.76,0.76,6790
61,2010-10-28,0.72,0.72,0.7,0.7,6423
62,2010-10-29,0.72,0.72,0.72,0.72,312
63,2010-11-02,0.72,0.8,0.72,0.8,2957
64,2010-11-03,0.76,0.76,0.7,0.7,3237
65,2010-11-04,0.73,0.73,0.73,0.73,2500
66,2010-11-05,0.72,0.72,0.72,0.72,300
67,2010-11-10,0.7,0.73,0.7,0.73,10719
