,Date,Open,High,Low,Close,Volume
0,2021-09-14,15.4,15.86,14.1,14.2,164867
1,2021-09-15,14.49,14.8,14.0,14.49,28856
2,2021-09-16,14.69,14.9,13.8,13.9,34793
3,2021-09-17,13.902,14.3,13.5,13.78,12089
4,2021-09-20,13.6,13.6,12.51,12.82,23715
5,2021-09-21,12.9,13.52,12.9,13.1,8839
6,2021-09-22,13.2,13.4,12.7,13.1,7990
7,2021-09-23,13.11,13.96,13.11,13.8,4280
8,2021-09-24,13.98,14.48,13.9,14.4,1603
9,2021-09-27,14.4,14.4,13.9,14.28,2560
10,2021-09-28,14.33,14.33,13.9,14.23,2533
11,2021-09-29,14.32,14.32,13.9,14.28,824
12,2021-09-30,14.38,14.38,13.8,14.22,2208
13,2021-10-01,14.18,14.18,13.742,14.05,2444
14,2021-10-04,14.05,14.164,13.0,13.99,3981
15,2021-10-05,13.3,13.8,13.1,13.1,8268
16,2021-10-06,13.2,13.986,13.1,13.1,4397
17,2021-10-07,13.14,13.48,13.1,13.48,4084
18,2021-10-08,13.12,13.85,13.11,13.85,1675
19,2021-10-11,13.83,13.85,13.05,13.6,4574
20,2021-10-12,13.12,13.48,12.81,13.23,6593
21,2021-10-13,13.27,13.27,13.0,13.2,1055
22,2021-10-14,13.24,13.24,12.5,13.0,8018
23,2021-10-15,13.24,13.5,12.92,13.388,2070
24,2021-10-18,13.388,13.54,13.16,13.5,1867
25,2021-10-19,13.59,13.59,13.24,13.59,382
26,2021-10-20,13.59,13.59,12.95,13.298,2249
27,2021-10-21,13.298,13.298,12.84,13.24,1706
28,2021-10-22,13.24,13.49,13.22,13.49,1535
29,2021-10-25,13.48,13.48,13.2,13.43,1084
30,2021-10-26,13.45,13.45,12.96,13.45,3046
31,2021-10-27,13.4,13.6,13.0,13.6,4964
32,2021-10-28,13.052,13.46,12.55,13.27,6783
33,2021-10-29,13.15,13.15,12.83,13.0,515
34,2021-11-02,13.0,13.1,12.88,13.1,1776
35,2021-11-03,13.098,13.098,12.82,13.06,1461
36,2021-11-04,13.06,13.094,12.85,13.058,1233
37,2021-11-05,12.852,13.0,12.852,12.998,5454
38,2021-11-08,12.87,12.93,12.55,12.93,7594
39,2021-11-09,12.95,13.07,12.9,13.06,2707
40,2021-11-10,13.3,13.33,13.1,13.2,2711
41,2021-11-12,13.202,13.6,13.2,13.59,7649
42,2021-11-15,13.51,14.18,12.96,13.45,10814
43,2021-11-16,13.5,13.8,13.1,13.7,6211
44,2021-11-17,13.79,14.0,13.42,13.9,2888
45,2021-11-18,13.81,14.0,13.22,13.8,4896
46,2021-11-19,13.8,13.8,13.1,13.43,1710
47,2021-11-22,13.2,13.35,13.0,13.32,5414
48,2021-11-23,13.29,13.88,13.0,13.88,2268
49,2021-11-24,13.528,13.88,13.1,13.2,1186
50,2021-11-25,13.32,13.49,13.3,13.49,451
51,2021-11-26,13.5,13.5,13.3,13.5,2407
52,2021-11-29,13.5,13.6,13.4,13.49,1538
53,2021-11-30,13.49,13.7,13.31,13.38,7233
54,2021-12-01,13.38,13.5,13.25,13.45,6563
55,2021-12-02,13.49,13.49,13.07,13.38,4453
56,2021-12-03,13.18,13.66,13.18,13.6,449
57,2021-12-06,13.66,13.66,13.17,13.35,2033
58,2021-12-07,13.17,13.63,13.17,13.3,2119
59,2021-12-08,13.6,13.6,13.21,13.48,1578
60,2021-12-09,13.5,13.5,13.3,13.5,684
61,2021-12-10,13.5,13.5,13.31,13.31,2124
62,2021-12-13,13.3,13.5,13.3,13.33,2239
63,2021-12-14,13.33,13.33,13.13,13.3,4404
64,2021-12-15,13.22,13.22,13.1,13.22,4496
65,2021-12-16,13.2,13.2,13.15,13.15,1204
66,2021-12-17,13.2,13.36,13.2,13.36,42
67,2021-12-20,13.36,13.36,13.15,13.2,988
68,2021-12-21,13.16,13.2,13.15,13.2,10201
69,2021-12-22,13.15,13.45,13.15,13.45,86
70,2021-12-23,13.25,13.45,13.25,13.45,11428
71,2021-12-27,13.29,13.4,13.29,13.38,2297
72,2021-12-28,13.37,13.56,13.2,13.53,1228
73,2021-12-29,13.5,13.85,13.5,13.84,3032
74,2021-12-30,13.44,14.16,13.44,14.12,5931
75,2022-01-03,14.48,16.7,14.48,16.0,27758
76,2022-01-04,15.99,16.3,15.85,16.0,21441
77,2022-01-05,16.0,16.0,15.6,15.99,12538
78,2022-01-07,15.95,17.0,15.95,17.0,7916
79,2022-01-10,17.0,19.4,17.0,17.8,34916
80,2022-01-11,18.0,19.0,17.9,18.4,6153
81,2022-01-12,18.4,19.8,18.4,18.902,9886
82,2022-01-13,19.5,19.5,18.61,18.9,3038
83,2022-01-14,18.21,18.57,18.002,18.1,2723
84,2022-01-17,18.4,19.9,18.1,19.1,10029
85,2022-01-18,19.1,19.1,18.55,19.0,1258
86,2022-01-19,18.7,19.1,18.22,18.98,20425
87,2022-01-20,18.98,18.98,18.23,18.736,2692
88,2022-01-21,18.7,18.7,16.6,17.53,10604
89,2022-01-24,17.1,17.1,15.57,16.6,15527
90,2022-01-25,16.7,16.9,16.0,16.03,2979
91,2022-01-26,16.03,17.2,16.03,16.91,1472
92,2022-01-27,16.88,17.5,16.88,17.48,2949
93,2022-01-28,17.02,18.1,17.0,17.05,1619
94,2022-01-31,17.05,18.1,17.05,17.52,781
95,2022-02-01,17.52,17.52,16.8,17.03,4131
96,2022-02-02,17.4,17.4,16.87,17.0,538
97,2022-02-03,17.2,17.2,16.18,16.8,3925
98,2022-02-04,16.32,17.0,16.32,16.9,1456
