,Date,Open,High,Low,Close,Volume
0,2011-03-18,5.85,7.0,5.72,5.72,3877
1,2011-03-21,5.45,5.45,5.45,5.45,140
2,2011-03-22,5.4,5.4,5.4,5.4,495
3,2011-03-23,5.56,5.56,5.56,5.56,2
4,2011-03-24,5.2,5.2,5.2,5.2,497
5,2011-05-17,5.14,5.14,5.14,5.14,500
6,2011-06-09,4.77,4.77,4.77,4.77,135
7,2011-06-10,4.7,4.7,4.6,4.6,750
8,2011-06-16,4.3,4.3,4.3,4.3,575
9,2011-06-20,4.0,4.0,4.0,4.0,500
10,2011-07-04,3.72,3.72,3.72,3.72,675
11,2011-07-11,3.5,3.5,3.5,3.5,200
12,2011-07-12,3.5,3.5,3.5,3.5,100
13,2011-07-13,3.34,3.34,3.04,3.04,950
14,2011-07-15,3.09,3.09,3.09,3.09,100
15,2011-07-18,3.09,3.19,3.09,3.19,800
16,2011-07-19,3.2,3.2,3.2,3.2,500
17,2011-07-20,3.2,3.25,3.2,3.25,250
18,2011-07-21,3.25,3.5,3.25,3.5,1490
19,2011-07-22,3.57,3.59,3.57,3.59,210
20,2011-07-25,3.61,3.61,3.61,3.61,350
21,2011-07-26,3.67,3.67,3.67,3.67,200
22,2011-07-27,3.78,3.8,3.78,3.8,430
23,2011-07-28,3.72,4.06,3.72,4.06,1230
24,2011-08-01,3.99,4.8,3.99,4.3,1230
25,2011-08-02,4.1,4.8,4.1,4.8,4395
26,2011-08-03,4.8,4.8,4.8,4.8,130
27,2011-08-04,4.78,4.78,4.78,4.78,520
28,2011-08-05,4.78,5.72,4.78,5.71,980
29,2011-08-08,6.05,6.05,6.05,6.05,100
30,2011-08-09,6.05,6.05,6.05,6.05,411
31,2011-08-10,6.04,6.05,6.04,6.05,410
32,2011-08-11,6.08,6.08,6.07,6.08,505
33,2011-08-12,5.81,5.81,5.81,5.81,435
34,2011-08-16,5.82,6.43,5.82,6.43,975
35,2011-08-17,6.19,6.43,6.19,6.4,470
36,2011-08-18,6.12,6.12,6.12,6.12,425
37,2011-08-19,6.22,6.22,6.22,6.22,20
38,2011-08-22,6.24,6.24,6.24,6.24,25
39,2011-08-24,6.24,6.24,6.24,6.24,350
40,2011-08-26,5.96,5.96,5.96,5.96,420
41,2011-08-29,6.0,6.15,6.0,6.15,270
42,2011-08-30,6.14,6.14,6.14,6.14,50
43,2011-09-02,5.9,5.95,5.9,5.95,475
44,2011-09-05,5.95,5.95,5.95,5.95,150
45,2011-09-06,6.05,6.05,6.05,6.05,100
46,2011-09-07,5.95,5.95,5.95,5.95,50
47,2011-09-09,5.8,5.8,5.8,5.8,450
48,2011-09-12,5.58,5.58,5.36,5.36,900
49,2011-09-13,5.36,5.8,4.89,5.8,1525
50,2011-09-14,5.09,5.8,5.09,5.8,525
51,2011-09-15,5.3,6.66,5.3,6.66,555
52,2011-09-16,5.28,6.66,5.28,6.66,2425
53,2011-09-19,6.66,7.79,6.66,7.79,710
54,2011-09-20,7.8,7.8,7.05,7.05,465
55,2011-09-21,7.12,7.12,6.78,6.85,730
56,2011-09-22,7.12,7.12,6.79,6.83,475
57,2011-09-23,6.81,6.81,6.52,6.52,735
58,2011-09-26,6.24,6.24,6.24,6.24,390
59,2011-09-27,6.2,6.2,6.2,6.2,410
60,2011-09-30,5.93,5.93,5.93,5.93,425
61,2011-10-04,5.94,5.94,5.94,5.94,425
62,2011-10-05,6.18,6.34,6.18,6.34,350
63,2011-10-12,6.37,7.0,6.37,7.0,420
64,2011-10-13,6.32,6.32,6.32,6.32,400
65,2011-10-17,6.33,6.33,6.33,6.33,30
66,2011-10-20,6.3,6.3,6.3,6.3,80
67,2011-10-24,6.03,6.03,6.03,6.03,420
68,2011-10-31,5.79,6.04,5.79,6.04,390
69,2011-11-14,6.04,6.4,6.04,6.4,790
70,2011-11-15,6.4,6.45,6.4,6.45,290
71,2011-11-18,6.15,6.15,6.15,6.15,420
72,2011-11-22,5.88,5.88,5.88,5.88,430
73,2011-11-29,5.62,5.62,5.38,5.38,925
74,2011-12-01,5.15,5.15,4.92,4.92,1000
75,2011-12-06,4.58,4.58,4.58,4.58,550
76,2011-12-12,4.59,4.8,4.59,4.8,615
77,2011-12-19,4.38,4.8,4.38,4.8,615
78,2012-01-05,4.39,4.39,4.2,4.2,1800
79,2012-01-13,4.12,4.12,4.12,4.12,620
80,2012-01-17,3.81,4.0,3.81,4.0,1060
81,2012-01-23,3.78,3.78,3.6,3.6,750
82,2012-01-24,3.43,3.43,3.05,3.31,2365
83,2012-01-25,3.31,3.4,3.31,3.4,580
84,2012-01-26,3.4,3.4,3.4,3.4,159
85,2012-01-27,3.24,3.24,3.24,3.24,800
86,2012-01-30,3.1,3.1,3.1,3.1,810
87,2012-01-31,3.11,3.38,3.11,3.38,2355
88,2012-02-01,3.37,3.37,3.11,3.12,3680
89,2012-02-02,3.12,3.72,3.12,3.34,1602
90,2012-02-03,3.19,3.19,3.07,3.08,2142
91,2012-02-06,3.19,3.27,3.01,3.27,2559
92,2012-02-07,3.2,3.21,3.2,3.21,1600
93,2012-02-09,3.17,3.17,3.03,3.04,2000
94,2012-02-10,3.04,3.38,3.04,3.19,3718
95,2012-02-13,3.19,3.2,3.05,3.2,1552
96,2012-02-14,3.06,3.06,3.06,3.06,830
97,2012-02-15,3.02,3.17,3.02,3.17,850
98,2012-02-21,3.03,3.13,2.86,2.86,2455
99,2012-02-22,2.87,3.0,2.87,2.98,1475
100,2012-02-23,2.84,2.98,2.84,2.86,1060
101,2012-02-24,2.86,3.33,2.86,3.33,800
102,2012-03-01,2.81,2.87,2.51,2.63,5318
103,2012-03-02,2.41,2.44,2.41,2.41,718
104,2012-03-06,2.33,2.33,2.3,2.3,2200
105,2012-03-07,2.41,2.41,2.41,2.41,380
106,2012-03-08,2.41,2.47,2.41,2.47,1570
107,2012-03-09,2.49,2.49,2.49,2.49,190
108,2012-03-12,2.48,2.48,2.1,2.1,4309
109,2012-03-13,2.1,2.1,1.52,1.61,18034
110,2012-03-14,1.62,1.94,1.44,1.58,9390
111,2012-03-15,1.7,1.75,1.67,1.67,2931
112,2012-03-16,1.58,1.86,1.58,1.86,3340
113,2012-03-19,1.56,1.59,1.56,1.59,2000
114,2012-03-20,1.61,1.61,1.61,1.61,320
115,2012-03-21,1.6,1.63,1.6,1.63,1630
116,2012-03-23,1.53,1.86,1.53,1.61,4572
117,2012-03-26,1.57,1.67,1.57,1.67,2970
118,2012-03-27,1.57,1.57,1.57,1.57,1051
119,2012-03-28,1.61,1.61,1.51,1.61,2105
120,2012-03-30,1.52,1.75,1.52,1.75,1800
121,2012-04-02,1.49,1.59,1.4,1.41,9700
122,2012-04-03,1.48,1.75,1.48,1.75,3405
123,2012-04-10,1.55,1.55,1.45,1.46,1856
124,2012-04-11,1.36,1.36,1.34,1.34,3750
125,2012-04-12,1.41,1.41,1.41,1.41,350
126,2012-04-13,1.41,1.41,1.41,1.41,1325
127,2012-04-20,1.38,1.43,1.33,1.34,4080
128,2012-04-23,1.25,1.35,1.25,1.26,4563
129,2012-05-07,1.26,1.3,1.23,1.23,3740
130,2012-05-08,1.23,1.47,1.18,1.18,9161
131,2012-05-09,1.1,1.1,1.09,1.1,3508
132,2012-05-10,1.05,1.05,1.05,1.05,500
133,2012-05-11,1.01,1.01,1.0,1.0,3500
134,2012-05-14,1.02,1.02,1.02,1.02,320
135,2012-05-15,1.02,1.02,0.97,0.98,4830
136,2012-05-17,0.93,0.94,0.93,0.94,3580
137,2012-05-18,0.9,0.9,0.89,0.9,6950
138,2012-05-21,0.9,0.92,0.9,0.92,2850
139,2012-05-22,0.95,0.95,0.95,0.95,1100
140,2012-05-23,0.91,0.94,0.91,0.94,1750
141,2012-05-25,0.89,0.89,0.89,0.89,2950
142,2012-05-30,0.9,0.94,0.9,0.94,5500
143,2012-05-31,0.97,0.97,0.92,0.97,1401
144,2012-06-01,0.97,1.16,0.97,1.11,2499
145,2012-06-04,1.38,1.47,1.37,1.37,3555
146,2012-06-05,1.6,1.6,1.4,1.5,1750
147,2012-06-06,1.43,1.43,1.43,1.43,975
148,2012-06-13,1.59,1.59,1.54,1.54,200
149,2012-06-15,1.42,1.42,1.42,1.42,1800
150,2012-06-19,1.44,1.44,1.35,1.44,1300
151,2012-06-20,1.3,1.39,1.3,1.39,2200
152,2012-06-27,1.22,1.28,1.18,1.28,6176
153,2012-06-29,1.11,1.11,1.11,1.11,1000
154,2012-07-06,1.12,1.12,1.12,1.12,2400
155,2012-07-09,1.1,1.19,1.1,1.19,1418
156,2012-07-11,1.09,1.19,1.09,1.19,2450
157,2012-07-12,1.1,1.1,1.1,1.1,309
158,2012-07-13,1.0,1.01,0.96,1.01,5300
159,2012-07-16,0.97,0.97,0.92,0.92,3208
160,2012-07-23,0.88,0.88,0.88,0.88,2900
161,2012-07-24,0.84,0.89,0.84,0.89,3050
162,2012-07-25,0.8,0.85,0.8,0.85,3250
163,2012-07-26,0.75,0.75,0.6,0.61,15111
164,2012-07-27,0.61,0.61,0.61,0.61,25
165,2012-07-31,0.53,0.55,0.53,0.55,1930
166,2012-08-06,0.46,0.47,0.44,0.47,19250
167,2012-08-07,0.47,0.47,0.47,0.47,2100
168,2012-08-08,0.47,0.51,0.47,0.51,3595
169,2012-08-14,0.42,0.42,0.36,0.41,17650
170,2012-08-16,0.41,0.49,0.41,0.44,26793
171,2012-08-17,0.47,0.5,0.47,0.5,3140
172,2012-08-20,0.51,0.53,0.51,0.53,8149
173,2012-08-21,0.53,0.58,0.53,0.58,5257
174,2012-08-22,0.51,0.58,0.51,0.58,5120
175,2012-08-24,0.47,0.47,0.46,0.46,8100
176,2012-08-27,0.48,0.48,0.48,0.48,2130
177,2012-08-28,0.48,0.48,0.48,0.48,5400
178,2012-08-29,0.52,0.52,0.52,0.52,900
179,2012-08-30,0.53,0.53,0.53,0.53,100
180,2012-08-31,0.53,0.53,0.53,0.53,180
181,2012-09-03,0.48,0.55,0.46,0.55,22045
182,2012-09-04,0.55,0.67,0.55,0.67,9710
183,2012-09-07,1.11,1.11,1.11,1.11,6677
184,2012-09-10,1.33,1.49,1.02,1.12,20581
185,2012-09-11,1.12,1.17,0.9,0.9,11935
186,2012-09-12,0.83,0.91,0.79,0.84,26076
187,2012-09-13,0.79,0.84,0.68,0.74,17775
188,2012-09-14,0.81,0.85,0.81,0.85,4710
189,2012-09-17,0.99,1.0,0.85,0.86,8340
190,2012-09-18,0.82,0.86,0.82,0.86,2390
191,2012-09-19,0.86,1.03,0.83,0.9,13389
192,2012-09-20,0.77,0.78,0.77,0.78,2650
193,2012-09-21,0.71,0.95,0.71,0.84,19030
194,2012-09-24,0.9,0.9,0.9,0.9,501
195,2012-09-25,0.77,0.78,0.77,0.78,3310
196,2012-09-26,0.71,0.93,0.65,0.65,21521
197,2012-09-27,0.66,0.78,0.66,0.76,13760
198,2012-09-28,0.7,0.75,0.7,0.75,1521
199,2012-10-01,0.75,0.9,0.74,0.81,14502
200,2012-10-02,0.8,0.84,0.78,0.79,18611
201,2012-10-05,0.79,0.9,0.79,0.9,7040
202,2012-10-08,0.85,0.86,0.85,0.86,2100
203,2012-10-09,0.81,0.86,0.81,0.86,1260
204,2012-10-10,0.79,0.9,0.78,0.9,13985
205,2012-10-11,0.87,0.87,0.8,0.87,1275
206,2012-10-15,0.78,0.78,0.78,0.78,3300
207,2012-10-16,0.79,1.06,0.79,0.9,31550
208,2012-10-17,0.92,0.94,0.87,0.94,5922
209,2012-10-18,0.87,1.22,0.81,1.22,17541
210,2012-10-19,1.4,1.4,0.89,1.13,21019
211,2012-10-23,0.89,0.89,0.84,0.84,11630
212,2012-10-24,0.86,0.96,0.86,0.92,12900
213,2012-10-25,0.86,0.92,0.8,0.89,20688
214,2012-10-26,0.89,0.89,0.89,0.89,2500
215,2012-10-29,0.83,0.84,0.8,0.84,4850
216,2012-10-30,0.84,0.84,0.77,0.83,4350
217,2012-10-31,0.76,0.77,0.75,0.75,10227
218,2012-11-06,0.7,0.82,0.65,0.73,11704
219,2012-11-07,0.73,0.75,0.73,0.75,4000
220,2012-11-09,0.79,0.8,0.72,0.73,7401
221,2012-11-14,0.75,0.8,0.75,0.8,3882
222,2012-11-20,0.8,0.8,0.8,0.8,118
223,2012-11-21,0.8,0.8,0.8,0.8,256
224,2012-11-23,0.79,0.79,0.7,0.71,4625
225,2012-11-27,0.74,0.85,0.74,0.85,11188
226,2012-11-28,0.8,0.8,0.7,0.79,10561
227,2012-11-29,0.71,0.84,0.7,0.84,15950
228,2012-11-30,0.78,0.81,0.7,0.81,12098
229,2012-12-03,0.73,0.82,0.71,0.74,8000
230,2012-12-04,0.8,0.82,0.7,0.81,14528
231,2012-12-05,0.82,0.84,0.74,0.84,3825
232,2012-12-10,0.81,0.81,0.81,0.81,28
233,2012-12-13,0.71,0.79,0.7,0.71,12270
234,2012-12-14,0.63,0.71,0.63,0.71,7500
235,2012-12-19,0.68,0.68,0.68,0.68,2121
236,2012-12-20,0.61,0.78,0.55,0.68,25944
237,2012-12-21,0.59,0.59,0.59,0.59,20
238,2012-12-27,0.59,0.67,0.59,0.67,1250
239,2013-01-02,0.78,0.8,0.78,0.8,2321
240,2013-01-04,0.72,0.72,0.72,0.72,104
241,2013-01-08,0.72,0.72,0.72,0.72,817
242,2013-01-10,0.73,0.77,0.73,0.77,5100
243,2013-01-11,0.76,0.76,0.76,0.76,100
244,2013-01-14,0.74,0.75,0.7,0.7,4579
245,2013-01-16,0.7,0.7,0.7,0.7,720
246,2013-01-17,0.72,0.75,0.72,0.75,3141
247,2013-01-18,0.71,0.71,0.71,0.71,2341
248,2013-01-22,0.72,0.77,0.65,0.77,15011
249,2013-01-23,0.73,0.73,0.73,0.73,2003
250,2013-01-31,0.75,0.75,0.75,0.75,5
251,2013-02-04,0.66,0.76,0.66,0.76,2350
252,2013-02-05,0.68,0.75,0.65,0.75,5700
253,2013-02-07,0.67,0.67,0.64,0.64,2073
254,2013-02-08,0.74,0.74,0.74,0.74,5
255,2013-02-12,0.64,0.71,0.64,0.71,5615
256,2013-02-13,0.66,0.76,0.63,0.63,6259
257,2013-02-14,0.69,0.69,0.69,0.69,8
258,2013-02-15,0.69,0.73,0.69,0.73,2342
259,2013-02-18,0.65,0.65,0.63,0.63,4700
260,2013-02-19,0.59,0.7,0.59,0.6,1742
261,2013-02-20,0.7,0.73,0.7,0.73,9100
262,2013-02-26,0.67,0.73,0.66,0.73,2584
263,2013-02-27,0.66,0.66,0.64,0.64,2700
264,2013-03-01,0.72,0.73,0.72,0.73,1350
265,2013-03-05,0.64,0.72,0.63,0.72,6680
266,2013-03-06,0.64,0.71,0.58,0.71,11500
267,2013-03-08,0.61,0.7,0.61,0.7,4000
268,2013-03-12,0.7,0.7,0.7,0.7,2200
269,2013-03-13,0.67,0.67,0.67,0.67,2400
270,2013-03-14,0.69,0.74,0.62,0.74,17900
271,2013-03-15,0.7,0.7,0.63,0.63,8398
272,2013-03-18,0.66,0.66,0.66,0.66,1500
273,2013-03-20,0.62,0.72,0.6,0.7,27704
274,2013-03-21,0.72,0.72,0.72,0.72,500
275,2013-03-22,0.7,0.72,0.65,0.72,11596
276,2013-03-25,0.64,0.72,0.63,0.7,8136
277,2013-03-26,0.62,0.7,0.62,0.7,5187
278,2013-03-27,0.7,0.7,0.7,0.7,9
279,2013-03-28,0.7,0.7,0.7,0.7,424
280,2013-04-03,0.62,0.64,0.62,0.64,4190
281,2013-04-04,0.62,0.64,0.62,0.64,3500
282,2013-04-05,0.6,0.62,0.6,0.62,6400
283,2013-04-08,0.54,0.62,0.53,0.62,5890
284,2013-04-10,0.56,0.59,0.51,0.59,10626
285,2013-04-12,0.52,0.59,0.51,0.58,5906
286,2013-04-17,0.58,0.63,0.54,0.63,16707
287,2013-04-19,0.61,0.61,0.61,0.61,10
288,2013-04-22,0.63,0.64,0.63,0.64,157
289,2013-04-23,0.56,0.56,0.56,0.56,57
290,2013-04-24,0.56,0.56,0.56,0.56,2643
291,2013-04-25,0.53,0.59,0.52,0.54,20124
292,2013-04-26,0.55,0.55,0.45,0.45,2001
293,2013-04-29,0.53,0.59,0.52,0.59,5451
294,2013-04-30,0.57,0.57,0.51,0.57,4125
