,Date,Open,High,Low,Close,Volume
0,2012-12-14,4.0692,4.0692,4.0692,4.0692,13550
1,2012-12-17,4.0733,4.0733,3.9275,4.0733,433
2,2012-12-18,4.0774,4.0774,4.0774,4.0774,74
3,2012-12-19,4.0813,4.0813,4.0813,4.0813,87
4,2012-12-20,4.0854,4.0854,4.0854,4.0854,49
5,2012-12-27,3.8871,3.8871,3.64,3.64,585
6,2013-01-03,3.6482,3.6482,3.6482,3.6482,36
7,2013-01-04,3.7008,3.7008,3.7008,3.7008,38
8,2013-01-08,3.7048,4.3648,3.7048,4.3648,526
9,2013-01-09,4.3687,4.3931,4.1137,4.1704,1034
10,2013-01-10,4.1704,4.2109,4.1704,4.2109,49
11,2013-01-14,4.2109,4.2514,4.0409,4.1137,500
12,2013-01-15,4.13,4.1704,3.968,4.0489,476
13,2013-01-16,3.9275,3.9275,3.644,3.7656,1098
14,2013-01-21,3.7656,3.8061,3.7656,3.8061,151
15,2013-01-22,3.8061,3.8465,3.8061,3.8465,149
16,2013-01-28,3.8465,3.9275,3.8465,3.9275,259
17,2013-01-29,3.713,3.8425,3.713,3.8263,428
18,2013-01-30,3.8263,3.8465,3.8263,3.8465,23
19,2013-01-31,3.8465,4.0895,3.8465,4.0895,476
20,2013-02-01,4.0813,4.13,4.0813,4.13,1222
21,2013-02-12,4.0895,4.0895,4.0895,4.0895,9
22,2013-02-13,4.1096,4.1704,4.1096,4.1704,98
23,2013-02-18,4.1704,4.1906,4.1704,4.1906,50
24,2013-02-22,4.1906,4.2109,4.1906,4.2109,50
25,2013-02-25,4.2109,4.2514,4.2109,4.2514,20
26,2013-02-26,4.2514,4.2514,4.2514,4.2514,23
27,2013-02-27,4.2514,4.2918,4.0895,4.2918,395
28,2013-02-28,4.1438,4.1438,3.8933,4.0511,1086
29,2013-03-05,3.8871,3.8871,3.644,3.644,236
30,2013-03-06,3.6846,3.7656,3.6846,3.7656,56
31,2013-03-07,3.7656,3.9518,3.7656,3.9518,202
32,2013-03-11,3.9599,4.0489,3.9599,4.0489,876
33,2013-03-12,3.968,4.0489,3.8061,3.968,924
34,2013-03-13,3.9883,4.0449,3.8465,4.0085,1943
35,2013-03-14,4.0085,4.1421,3.8465,4.138,1435
36,2013-03-15,4.134,4.134,4.134,4.134,15
37,2013-03-18,3.8871,4.138,3.8465,3.8871,2134
38,2013-03-19,3.8871,3.8871,3.8871,3.8871,386
39,2013-03-20,3.8871,4.138,3.8871,4.138,391
40,2013-03-21,3.9761,4.0489,3.9761,4.0489,380
41,2013-03-22,3.9275,4.0489,3.8871,4.0489,763
42,2013-03-25,3.9275,4.0489,3.9275,4.0489,395
43,2013-03-26,3.9275,3.9275,3.9275,3.9275,322
44,2013-03-27,3.9073,3.9639,3.9073,3.9639,373
45,2013-03-28,3.968,4.0489,3.8871,4.0489,526
46,2013-04-02,3.8871,4.0489,3.8871,4.0489,283
47,2013-04-03,3.8871,4.13,3.8871,4.13,1693
48,2013-04-04,4.13,4.138,3.8871,4.0489,969
49,2013-04-08,3.8668,4.1096,3.8263,4.0085,862
50,2013-04-09,4.0409,4.2109,3.8871,4.0489,2420
51,2013-04-10,4.0489,4.1056,3.7858,3.968,1232
52,2013-04-11,3.968,3.968,3.968,3.968,15
53,2013-04-12,3.968,4.0489,3.968,4.0489,312
54,2013-04-15,4.0489,4.13,3.8465,4.13,802
55,2013-04-19,4.13,4.2474,4.0489,4.0489,4683
56,2013-04-22,4.0895,4.2514,4.0085,4.2514,1388
57,2013-04-23,4.1704,4.3687,4.1704,4.3687,2085
58,2013-04-24,4.3324,4.3931,4.2312,4.3687,1369
59,2013-04-25,4.3727,4.4497,4.1016,4.2028,1163
