,Date,Open,High,Low,Close,Volume
0,2016-05-06,8.6649,9.0469,8.6414,9.0397,1917629
1,2016-05-09,9.0397,9.0541,8.8739,9.0018,412688
2,2016-05-10,8.9793,9.0018,8.8667,8.9568,42098
3,2016-05-11,8.9108,9.0397,8.7766,9.0397,230546
4,2016-05-12,9.0397,9.219,9.0018,9.1145,424656
5,2016-05-13,9.1595,9.3019,9.0838,9.3019,189507
6,2016-05-16,9.3019,9.902,9.2262,9.751,176570
7,2016-05-17,9.857,9.857,9.715,9.751,540621
8,2016-05-18,9.834,10.277,9.834,10.187,164537
9,2016-05-19,9.978,10.427,9.902,10.427,71586
10,2016-05-20,10.427,10.727,10.24,10.727,73597
11,2016-05-23,10.689,10.689,10.202,10.503,49247
12,2016-05-24,10.389,10.862,9.64,10.652,129227
13,2016-05-25,10.652,11.253,10.389,11.253,42767
14,2016-05-27,11.253,11.253,10.877,11.177,6361
15,2016-05-30,11.027,11.553,10.885,11.17,88396
16,2016-05-31,11.236,11.236,10.816,11.02,56933
17,2016-06-01,11.02,11.027,10.427,10.803,24217
18,2016-06-02,10.765,10.765,10.442,10.442,7668
19,2016-06-03,10.352,10.503,10.0,10.503,11354
20,2016-06-06,10.765,10.765,10.24,10.503,3269
21,2016-06-07,10.367,10.503,10.224,10.503,69698
22,2016-06-08,10.503,10.503,10.24,10.24,2026
23,2016-06-09,10.142,10.292,10.142,10.277,6526
24,2016-06-10,10.202,10.352,10.113,10.352,19446
25,2016-06-13,10.352,10.352,10.126,10.277,14847
26,2016-06-14,10.126,10.277,10.022,10.277,22531
27,2016-06-15,10.104,10.195,10.104,10.195,75710
28,2016-06-16,10.052,10.126,10.022,10.12,29580
29,2016-06-17,10.022,10.277,10.022,10.277,28941
30,2016-06-20,10.135,10.314,10.126,10.314,22798
31,2016-06-21,10.352,10.427,10.135,10.389,27844
32,2016-06-22,10.389,10.644,10.389,10.503,33918
33,2016-06-23,10.503,10.652,10.36,10.652,11001
34,2016-06-24,10.126,10.877,10.0,10.794,147052
35,2016-06-27,10.794,11.253,10.503,11.253,92545
36,2016-06-28,10.96,11.604,10.96,11.17,44294
37,2016-06-29,11.17,11.17,11.065,11.117,42880
38,2016-06-30,11.236,11.328,10.885,11.328,122774
39,2016-07-01,11.185,11.215,11.147,11.207,1313
40,2016-07-04,11.17,11.253,10.885,11.253,10769
41,2016-07-05,11.088,11.101,11.011,11.02,42095
42,2016-07-06,10.982,10.982,10.689,10.877,144421
43,2016-07-07,10.771,10.936,10.771,10.93,1739
44,2016-07-08,10.809,11.027,10.809,11.027,948
45,2016-07-11,11.236,11.236,10.885,11.132,3342
46,2016-07-12,11.027,11.132,10.877,11.132,29027
47,2016-07-13,11.027,11.231,10.508,11.02,47919
48,2016-07-14,11.065,11.065,10.914,11.043,25601
49,2016-07-15,11.132,11.132,10.742,11.02,14438
50,2016-07-18,11.011,11.011,10.809,11.011,83097
51,2016-07-19,11.005,11.011,10.562,10.644,396268
52,2016-07-20,10.719,10.719,10.577,10.577,11695
53,2016-07-21,10.577,10.862,10.54,10.862,49292
54,2016-07-22,10.877,10.877,10.615,10.771,2986
55,2016-07-25,10.771,10.771,10.584,10.698,2557
56,2016-07-26,10.712,10.914,10.517,10.914,20880
57,2016-07-27,10.9,10.9,10.389,10.503,196270
58,2016-07-28,10.495,10.644,10.246,10.644,168628
59,2016-07-29,10.577,10.577,10.405,10.495,23824
60,2016-08-01,10.794,10.794,10.255,10.479,7906
61,2016-08-02,10.479,10.479,10.24,10.42,7642
62,2016-08-03,10.389,10.389,10.172,10.307,100824
63,2016-08-04,10.465,10.465,10.216,10.337,90154
64,2016-08-05,10.343,10.343,10.06,10.164,6903
65,2016-08-08,10.57,10.57,9.909,10.037,10876
66,2016-08-09,9.939,10.479,9.939,10.126,75489
67,2016-08-10,10.172,10.172,9.97,10.126,8472
68,2016-08-11,10.126,10.27,9.961,10.075,14140
69,2016-08-12,10.27,10.27,9.961,10.06,6316
70,2016-08-16,9.97,10.126,9.909,10.006,15985
71,2016-08-17,9.0397,9.0397,8.1841,8.4917,629415
72,2016-08-18,8.6261,8.6261,8.2144,8.3186,77403
73,2016-08-19,8.3186,8.4767,8.169,8.4022,9164
74,2016-08-22,8.5145,8.5973,8.2514,8.5667,30425
75,2016-08-23,8.5667,8.5667,8.259,8.4022,28657
76,2016-08-24,8.274,8.5513,8.274,8.5513,5248
77,2016-08-25,8.6261,8.7982,8.4241,8.7388,10281
78,2016-08-26,8.6261,8.7009,8.5224,8.6946,35133
79,2016-08-29,8.6865,8.6865,8.4163,8.5145,12737
80,2016-08-30,8.5058,8.5443,8.4022,8.5443,8229
81,2016-08-31,8.4917,8.5058,8.3338,8.4022,23901
82,2016-09-01,8.3043,8.4689,8.2665,8.3935,40938
83,2016-09-02,8.3186,8.3935,8.0261,8.0866,35775
84,2016-09-05,8.0866,8.0866,7.1263,7.1263,63353
85,2016-09-06,7.0888,7.0888,6.5711,6.9087,169177
86,2016-09-07,6.8262,7.3439,6.7512,7.3439,32527
87,2016-09-08,7.3364,7.3439,7.1263,7.2464,8695
88,2016-09-09,7.1263,7.5016,7.1263,7.5016,12445
89,2016-09-12,7.5016,7.5765,7.4188,7.5765,40016
90,2016-09-13,7.5836,7.5836,7.3213,7.5765,22191
91,2016-09-14,7.6514,7.8014,7.5086,7.8014,10657
