,Date,Open,High,Low,Close,Volume
0,2017-09-14,73.0,73.0,53.03,60.0,76480
1,2017-09-15,59.5,69.0,58.0,68.93,15174
2,2017-09-18,68.96,71.3,67.0,67.02,6579
3,2017-09-19,68.0,68.7,62.71,63.05,4866
4,2017-09-20,63.96,64.72,63.1,63.11,1161
5,2017-09-21,64.0,64.0,58.29,60.98,4610
6,2017-09-22,61.7,62.9,59.5,62.77,695
7,2017-09-25,62.75,62.75,62.5,62.64,62
8,2017-09-26,62.64,62.64,60.0,61.0,115
9,2017-09-27,60.5,66.0,59.0,65.85,5475
10,2017-09-28,66.4,66.6,63.15,66.45,1104
11,2017-09-29,66.11,66.45,63.6,63.6,2376
12,2017-10-02,65.95,65.95,63.5,63.51,873
13,2017-10-03,65.8,65.98,62.99,65.0,3394
14,2017-10-04,65.07,65.65,64.3,64.5,1153
15,2017-10-05,65.65,65.85,64.0,65.0,758
16,2017-10-06,65.85,65.85,64.2,65.85,74
17,2017-10-09,65.85,66.0,64.7,65.3,960
18,2017-10-10,65.85,65.85,64.0,64.0,532
19,2017-10-11,64.0,65.84,63.0,65.0,1274
20,2017-10-12,65.5,65.55,65.0,65.0,158
21,2017-10-13,65.0,65.5,62.5,65.4,2016
22,2017-10-16,63.01,66.45,63.01,66.38,2346
23,2017-10-17,66.3,69.05,66.0,68.14,2273
24,2017-10-18,68.1,68.5,65.31,65.31,827
25,2017-10-19,65.5,68.0,65.5,68.0,40
26,2017-10-20,66.35,66.35,66.34,66.34,165
27,2017-10-23,66.0,66.0,65.0,65.0,282
28,2017-10-24,63.36,64.9,63.16,64.89,284
29,2017-10-25,64.0,65.25,58.1,63.9,810
30,2017-10-26,64.0,64.0,63.6,63.9,153
31,2017-10-27,63.5,63.5,61.05,61.25,189
32,2017-10-30,61.25,61.25,59.0,61.25,1248
33,2017-10-31,62.0,62.0,62.0,62.0,1
34,2017-11-02,59.0,63.0,58.85,63.0,1469
35,2017-11-03,59.9,62.9,59.16,62.9,428
36,2017-11-06,62.89,62.89,62.89,62.89,1
37,2017-11-07,59.15,61.88,59.15,61.88,277
38,2017-11-08,58.9,62.59,58.9,61.48,993
39,2017-11-09,59.59,59.99,59.59,59.6,228
40,2017-11-10,59.1,59.49,56.4,57.37,1562
41,2017-11-13,56.0,60.88,56.0,60.5,1505
42,2017-11-14,60.0,60.0,60.0,60.0,222
43,2017-11-15,59.0,59.99,59.0,59.99,92
44,2017-11-16,57.5,57.5,57.5,57.5,200
45,2017-11-17,57.0,57.5,47.0,56.8,441
46,2017-11-20,56.8,56.8,56.0,56.0,276
47,2017-11-21,53.5,55.0,52.8,53.0,1060
48,2017-11-22,54.2,54.8,52.85,53.0,317
49,2017-11-23,54.4,62.55,54.4,59.99,1101
50,2017-11-24,59.9,62.0,56.52,62.0,477
51,2017-11-27,56.6,60.0,56.6,60.0,105
52,2017-11-28,58.0,61.0,58.0,61.0,228
53,2017-11-29,62.5,62.5,62.0,62.0,82
54,2017-11-30,62.0,62.0,57.57,62.0,23
55,2017-12-01,61.0,61.0,61.0,61.0,5
56,2017-12-04,61.0,61.23,57.57,57.57,35
57,2017-12-05,61.23,61.23,61.23,61.23,2
58,2017-12-06,58.03,60.85,58.03,60.85,30
59,2017-12-07,58.5,60.85,58.5,60.85,192
60,2017-12-08,60.85,61.23,60.85,61.23,65
61,2017-12-11,61.23,61.23,61.23,61.23,1
62,2017-12-12,58.03,61.23,58.0,61.23,245
63,2017-12-13,61.23,61.23,58.3,58.3,124
64,2017-12-14,61.19,62.0,59.0,61.3,520
65,2017-12-15,61.9,63.0,60.0,60.0,486
66,2017-12-18,60.0,60.0,59.4,60.0,124
67,2017-12-19,60.0,61.5,59.4,61.5,139
68,2017-12-20,61.5,64.0,61.5,64.0,13
69,2017-12-22,63.0,63.0,61.0,62.8,10218
70,2017-12-27,60.0,62.5,60.0,60.15,49
71,2017-12-28,60.5,64.2,60.5,64.0,99
72,2017-12-29,63.1,63.1,62.0,63.1,246
73,2018-01-03,60.6,64.0,60.6,63.0,81
74,2018-01-04,61.5,63.8,61.5,63.8,173
75,2018-01-05,63.0,66.0,63.0,66.0,1115
76,2018-01-08,66.0,68.0,63.7,68.0,220
77,2018-01-09,67.9,67.9,65.4,66.0,516
78,2018-01-10,65.8,65.8,64.01,64.01,542
79,2018-01-11,65.5,68.0,65.0,65.0,2850
80,2018-01-12,66.0,67.0,66.0,67.0,519
81,2018-01-15,69.4,69.8,66.0,69.0,1937
82,2018-01-16,68.99,68.99,67.55,68.0,347
83,2018-01-17,68.4,68.4,66.65,66.65,254
84,2018-01-18,66.7,67.4,66.2,67.4,396
85,2018-01-19,68.7,68.7,65.0,68.1,457
86,2018-01-22,67.95,67.95,67.95,67.95,30
87,2018-01-23,65.0,72.0,65.0,68.8,1666
88,2018-01-24,68.4,68.4,68.0,68.0,133
89,2018-01-25,67.0,67.0,67.0,67.0,60
90,2018-01-26,68.0,69.8,68.0,68.0,259
91,2018-01-29,68.0,68.8,68.0,68.8,265
92,2018-01-30,67.6,67.6,66.0,66.0,150
93,2018-01-31,66.2,66.8,65.0,65.2,149
94,2018-02-01,67.8,68.0,65.6,65.6,79
95,2018-02-02,66.2,66.2,66.2,66.2,75
96,2018-02-05,66.0,66.0,65.0,65.0,155
97,2018-02-06,65.0,66.0,60.0,62.8,775
98,2018-02-07,60.4,66.0,60.4,62.0,201
99,2018-02-08,60.4,63.0,60.4,63.0,213
100,2018-02-09,63.6,63.6,61.0,63.6,39
101,2018-02-12,64.0,68.6,64.0,67.0,682
102,2018-02-13,68.0,72.6,67.0,71.0,4983
103,2018-02-14,73.0,73.6,71.0,73.4,2787
104,2018-02-15,73.8,85.0,73.6,78.0,5941
105,2018-02-16,79.0,82.4,78.0,79.0,7318
106,2018-02-19,83.0,83.0,80.0,80.8,1730
107,2018-02-20,79.8,81.8,79.8,81.0,508
108,2018-02-21,81.2,82.4,80.0,80.0,391
109,2018-02-22,80.0,80.0,78.2,78.2,1035
110,2018-02-23,80.0,81.6,78.6,80.0,275
111,2018-02-26,81.0,81.6,80.8,80.8,419
112,2018-02-27,81.0,81.0,78.4,79.0,595
113,2018-02-28,78.6,78.6,77.2,77.2,4016
114,2018-03-01,77.2,78.0,77.2,77.8,311
115,2018-03-02,77.8,77.8,76.0,77.8,178
116,2018-03-05,77.4,77.4,77.4,77.4,34
117,2018-03-06,76.0,79.6,74.6,75.0,661
118,2018-03-07,75.0,79.0,75.0,77.8,462
119,2018-03-08,77.0,77.4,76.0,76.0,106
120,2018-03-09,77.0,77.0,75.0,77.0,374
121,2018-03-12,75.2,76.6,74.0,74.0,1108
122,2018-03-13,73.4,74.0,73.0,73.0,439
123,2018-03-14,72.2,79.6,72.2,76.8,97
124,2018-03-15,77.0,77.0,70.4,72.6,387
125,2018-03-16,74.8,80.2,74.8,76.2,1239
126,2018-03-19,79.6,79.6,75.0,77.0,519
127,2018-03-20,78.0,79.0,76.4,76.4,794
128,2018-03-21,76.2,76.2,75.6,76.0,331
129,2018-03-22,77.2,77.2,75.2,75.2,135
130,2018-03-23,75.0,76.6,73.0,76.6,350
131,2018-03-26,76.6,77.8,73.6,76.4,846
132,2018-03-27,76.4,76.4,75.0,76.2,45
133,2018-03-28,75.2,77.0,74.6,77.0,124
134,2018-03-29,74.6,76.0,72.8,76.0,314
135,2018-04-03,75.0,75.0,74.6,75.0,731
136,2018-04-04,74.0,76.0,73.6,76.0,365
137,2018-04-05,76.0,76.8,75.0,76.0,478
138,2018-04-06,78.0,78.8,77.0,77.8,1325
139,2018-04-09,78.0,82.0,78.0,80.0,1079
140,2018-04-10,80.0,80.4,80.0,80.4,2051
141,2018-04-11,80.4,81.0,80.0,80.0,405
142,2018-04-12,81.0,81.0,78.0,79.8,1685
143,2018-04-13,79.8,80.0,79.8,80.0,75
144,2018-04-16,79.8,79.8,78.4,79.4,105
145,2018-04-17,79.6,79.6,78.0,79.4,1183
146,2018-04-18,79.0,81.6,78.0,79.6,351
147,2018-04-19,78.2,78.2,78.2,78.2,130
148,2018-04-20,79.0,79.0,78.2,78.2,70
149,2018-04-23,78.4,78.4,75.0,75.0,947
150,2018-04-24,76.0,76.0,71.0,76.0,972
151,2018-04-25,75.6,79.4,72.0,72.0,938
152,2018-04-26,72.2,74.0,61.0,68.2,1281
153,2018-04-27,69.0,71.0,66.0,70.4,702
154,2018-04-30,69.0,70.4,65.0,67.8,1102
155,2018-05-02,67.8,74.0,63.6,74.0,433
156,2018-05-04,71.0,72.8,71.0,72.8,51
157,2018-05-07,73.0,73.6,69.0,72.6,587
158,2018-05-08,67.2,72.4,67.0,68.0,206
159,2018-05-09,71.0,71.0,68.0,69.6,155
160,2018-05-10,70.0,73.0,68.0,68.0,607
161,2018-05-11,70.0,71.0,66.0,67.2,703
162,2018-05-14,67.0,68.0,62.6,65.8,1085
163,2018-05-15,67.8,67.8,62.0,65.8,900
164,2018-05-16,66.6,68.8,65.8,65.8,474
165,2018-05-17,66.2,66.2,63.4,63.4,83
166,2018-05-18,65.0,67.0,63.0,67.0,366
167,2018-05-21,66.0,66.0,63.4,64.6,215
168,2018-05-22,63.4,63.6,63.4,63.4,165
169,2018-05-23,63.6,65.2,63.4,65.2,61
170,2018-05-24,65.2,66.0,64.2,64.8,430
171,2018-05-25,66.0,66.0,61.6,64.6,415
172,2018-05-28,63.0,64.6,62.6,64.6,1920
173,2018-05-29,63.0,63.8,61.4,62.0,728
174,2018-05-30,62.0,63.0,62.0,63.0,578
175,2018-06-01,63.0,72.0,62.0,68.8,2412
176,2018-06-04,70.0,72.0,69.8,70.2,620
177,2018-06-05,70.0,70.2,70.0,70.2,335
178,2018-06-06,70.0,70.2,70.0,70.2,340
179,2018-06-07,70.0,72.0,68.0,69.0,1138
180,2018-06-08,70.0,72.0,70.0,72.0,1526
181,2018-06-11,74.0,74.0,70.0,73.8,1162
182,2018-06-12,74.0,85.2,74.0,83.0,3412
183,2018-06-13,82.2,82.2,78.8,81.6,949
184,2018-06-14,85.0,87.0,83.0,86.8,4780
185,2018-06-15,86.8,91.0,86.8,90.8,6359
