,Date,Open,High,Low,Close,Volume
0,2011-09-01,5.39,6.46,5.0,6.46,147520
1,2011-09-02,7.75,9.3,7.75,9.2,365
2,2011-09-05,9.89,10.0,5.5,6.9,17581
3,2011-09-06,6.6,8.9,5.3,8.82,4846
4,2011-09-07,7.16,10.57,7.12,10.57,1996
5,2011-09-08,11.49,13.78,10.04,13.75,4731
6,2011-09-09,16.45,18.95,14.1,15.0,5997
7,2011-09-12,17.49,17.49,12.01,14.98,814
8,2011-09-13,15.8,15.8,9.01,12.63,3545
9,2011-09-14,12.59,18.18,11.11,18.18,4396
10,2011-09-15,21.81,26.17,21.81,26.0,568
11,2011-09-16,31.0,37.0,31.0,37.0,1707
12,2011-09-19,44.4,53.0,30.0,42.5,1372
13,2011-09-20,50.0,60.0,49.99,60.0,9897
14,2011-09-21,72.0,86.0,65.0,83.51,549
15,2011-09-22,85.5,87.0,66.81,66.81,287
16,2011-09-23,66.0,66.0,40.0,60.0,395
17,2011-09-26,70.0,80.0,60.0,80.0,1605
18,2011-09-27,80.0,96.0,80.0,95.5,3120
19,2011-09-28,105.0,110.0,90.0,107.0,5673
20,2011-09-29,85.6,93.0,64.9,69.9,6868
21,2011-09-30,55.92,66.66,44.0,48.99,6606
22,2011-10-03,39.2,39.2,29.36,33.6,13410
23,2011-10-04,26.9,29.5,19.6,23.25,14216
24,2011-10-05,18.6,18.6,14.8,14.8,29276
25,2011-10-06,12.0,12.0,9.6,9.6,42079
26,2011-10-07,8.8,10.56,5.51,5.51,182809
27,2011-10-10,5.0,5.0,3.89,3.89,119318
28,2011-10-11,4.4,4.5,3.5,3.5,76864
29,2011-10-12,3.39,4.79,3.25,3.38,107522
30,2011-10-13,3.37,3.79,3.2,3.22,24397
31,2011-10-14,3.4,3.44,3.01,3.2,18414
32,2011-10-17,3.17,3.77,3.17,3.6,21800
33,2011-10-18,3.6,3.8,3.3,3.49,10127
34,2011-10-19,3.66,3.66,3.12,3.38,7010
35,2011-10-20,3.2,3.2,2.78,2.94,9221
36,2011-10-21,2.9,3.49,2.9,3.2,9382
37,2011-10-24,3.48,3.5,3.21,3.25,5525
38,2011-10-25,3.44,3.44,3.25,3.34,5687
39,2011-10-26,3.21,3.29,2.9,3.27,2443
40,2011-10-27,3.29,3.29,2.95,3.19,2435
41,2011-10-28,3.1,3.19,3.0,3.06,3296
42,2011-10-31,3.07,3.2,3.0,3.2,4505
43,2011-11-02,3.2,3.29,2.9,3.0,3877
44,2011-11-03,3.22,3.22,2.81,2.83,5294
45,2011-11-04,3.0,3.16,2.8,3.06,5756
46,2011-11-07,2.85,3.95,2.85,3.95,25926
47,2011-11-08,4.05,5.75,3.65,4.95,62444
48,2011-11-09,4.95,5.52,3.5,3.78,37242
49,2011-11-10,3.9,4.5,3.9,4.12,20120
50,2011-11-14,4.4,4.79,3.8,3.85,6271
51,2011-11-15,4.0,4.53,3.85,4.01,9701
52,2011-11-16,4.24,4.29,3.57,4.07,7297
53,2011-11-17,4.07,4.07,3.6,3.95,4395
54,2011-11-18,3.62,3.94,3.33,3.33,5548
55,2011-11-21,2.67,2.9,1.72,1.72,440192
56,2011-11-22,1.45,1.69,1.16,1.16,439957
57,2011-11-23,1.02,1.22,0.96,1.21,90349
58,2011-11-24,1.21,1.35,1.15,1.27,23724
59,2011-11-25,1.35,1.77,1.16,1.74,38553
60,2011-11-28,1.74,2.08,1.63,1.93,33458
61,2011-11-29,1.95,2.0,1.56,1.56,10037
62,2011-11-30,1.74,1.74,1.38,1.59,17170
63,2011-12-01,1.57,1.72,1.4,1.66,1146
64,2011-12-02,1.7,1.7,1.36,1.52,21566
65,2011-12-05,1.52,1.59,1.35,1.43,10976
66,2011-12-06,1.44,1.56,1.4,1.5,6843
67,2011-12-07,1.54,1.54,1.38,1.5,3404
68,2011-12-08,1.41,1.51,1.37,1.42,3404
69,2011-12-09,1.43,1.48,1.37,1.37,7205
70,2011-12-12,1.49,1.49,1.25,1.32,3259
71,2011-12-13,1.48,1.48,1.13,1.31,4085
72,2011-12-14,1.44,1.44,1.14,1.42,17
73,2011-12-15,1.39,1.4,1.39,1.4,352
74,2011-12-16,1.35,1.35,1.12,1.32,2935
75,2011-12-19,1.3,1.3,1.11,1.16,1602
76,2011-12-20,1.09,1.28,1.09,1.27,1172
77,2011-12-21,1.31,1.31,1.15,1.25,2043
78,2011-12-22,1.26,1.3,1.2,1.3,1011
79,2011-12-23,1.3,1.32,1.15,1.32,1678
80,2011-12-27,1.29,1.33,1.1,1.1,2591
81,2011-12-28,1.32,1.32,1.1,1.3,7852
82,2011-12-29,1.33,1.33,1.16,1.16,1441
83,2011-12-30,1.29,1.35,1.21,1.29,7697
84,2012-01-02,1.35,1.5,1.29,1.4,2831
85,2012-01-03,1.37,1.38,1.14,1.34,1565
86,2012-01-04,1.16,1.65,1.16,1.48,18575
87,2012-01-05,1.62,1.62,1.2,1.46,11469
88,2012-01-09,1.3,1.3,1.25,1.25,1275
89,2012-01-10,1.25,1.3,1.11,1.2,15712
90,2012-01-11,1.2,1.32,1.2,1.32,4800
91,2012-01-12,1.32,1.32,1.32,1.32,10
92,2012-01-13,1.32,1.38,1.28,1.38,4060
93,2012-01-16,1.35,1.5,1.3,1.31,8552
94,2012-01-17,1.41,1.41,1.36,1.41,971
95,2012-01-18,1.35,1.48,1.32,1.32,3039
96,2012-01-19,1.31,1.31,1.11,1.28,16882
97,2012-01-20,1.28,1.29,1.22,1.28,5515
