,Date,Open,High,Low,Close,Volume
0,2005-10-19,28.774,28.774,27.22,27.381,1038831
1,2005-10-20,27.595,27.97,26.685,27.059,340314
2,2005-10-21,27.059,27.059,26.631,26.952,165762
3,2005-10-24,26.792,27.327,26.685,26.845,213140
4,2005-10-25,26.792,27.864,26.792,27.864,137235
5,2005-10-26,28.078,28.184,27.435,28.078,168355
6,2005-10-27,27.595,27.864,27.327,27.864,35151
7,2005-10-28,27.542,27.595,27.381,27.489,59489
8,2005-10-31,27.327,27.703,27.327,27.542,10515
9,2005-11-02,27.595,27.756,27.327,27.542,20520
10,2005-11-03,27.595,27.595,27.113,27.167,66172
11,2005-11-04,27.113,27.113,26.042,26.256,83388
12,2005-11-07,26.256,26.256,24.862,25.719,113786
13,2005-11-08,25.452,25.935,25.452,25.719,72188
14,2005-11-09,25.935,26.631,25.935,26.631,105640
15,2005-11-10,26.792,26.898,26.471,26.792,112472
16,2005-11-14,26.792,27.435,26.792,27.435,41390
17,2005-11-15,27.327,27.703,27.22,27.703,60232
18,2005-11-16,27.435,28.131,27.381,28.078,91542
19,2005-11-17,28.131,28.936,28.078,28.668,84621
20,2005-11-18,28.72,28.989,28.453,28.936,70498
21,2005-11-21,28.936,28.936,28.4,28.614,31912
22,2005-11-22,28.72,29.094,28.505,28.989,131817
23,2005-11-23,28.56,28.989,28.56,28.882,86270
24,2005-11-24,28.56,29.094,28.56,28.989,89923
25,2005-11-25,28.668,29.042,28.668,29.042,56213
26,2005-11-28,28.936,29.094,28.828,29.042,45308
27,2005-11-29,28.989,30.168,28.936,30.006,127040
28,2005-11-30,29.899,30.275,29.631,30.275,40737
29,2005-12-01,30.006,30.489,29.899,29.953,19622
30,2005-12-02,30.006,30.114,29.846,30.006,42488
31,2005-12-05,29.953,30.006,29.524,30.006,49460
32,2005-12-06,29.578,30.006,29.524,30.006,52156
33,2005-12-07,29.74,30.006,29.578,30.006,87873
34,2005-12-08,30.006,30.006,29.578,29.794,14793
35,2005-12-09,29.74,29.74,29.418,29.578,57411
36,2005-12-12,29.899,29.899,29.204,29.47,25202
37,2005-12-13,29.257,29.257,28.989,29.149,19256
38,2005-12-14,28.936,29.204,28.936,29.204,30499
39,2005-12-15,29.204,29.204,28.882,29.204,35751
40,2005-12-16,29.042,29.257,28.989,29.204,16279
41,2005-12-19,29.204,29.204,28.936,28.936,23943
42,2005-12-20,28.936,29.149,28.882,29.094,32340
43,2005-12-21,28.989,29.31,28.989,29.31,22784
44,2005-12-22,29.094,29.47,28.989,29.204,36946
45,2005-12-23,29.31,29.31,29.042,29.31,17369
46,2005-12-27,29.094,29.149,29.042,29.149,43257
47,2005-12-28,29.042,29.204,29.042,29.204,17186
48,2005-12-29,29.094,29.204,29.094,29.204,30957
49,2005-12-30,29.042,29.257,28.989,29.257,22433
50,2006-01-02,29.094,29.094,28.505,28.936,23883
51,2006-01-03,28.882,28.989,28.72,28.936,99311
52,2006-01-04,28.936,29.042,28.882,28.989,70200
53,2006-01-05,28.936,29.042,28.882,28.989,52537
54,2006-01-06,28.882,29.149,28.882,29.149,64098
55,2006-01-09,29.31,29.365,28.936,29.042,19136
56,2006-01-10,28.936,29.042,28.882,29.042,24332
57,2006-01-11,28.936,29.257,28.936,29.204,39680
58,2006-01-12,29.149,29.74,29.149,29.74,62237
59,2006-01-13,29.74,29.74,29.365,29.685,26336
60,2006-01-16,29.899,29.953,29.74,29.794,19638
61,2006-01-17,29.74,29.74,29.47,29.631,17978
62,2006-01-18,28.936,31.453,28.936,31.132,313931
63,2006-01-19,31.775,33.168,31.775,32.899,458152
64,2006-01-20,33.168,36.811,33.168,36.221,563470
65,2006-01-23,34.99,35.634,34.293,35.097,318844
66,2006-01-24,34.829,35.097,34.561,34.561,170345
67,2006-01-25,34.561,35.579,34.561,35.471,562076
68,2006-01-26,35.471,35.471,34.561,34.829,46500
69,2006-01-27,34.561,34.829,34.561,34.615,29793
70,2006-01-30,34.346,34.936,34.293,34.883,26978
71,2006-01-31,34.561,34.829,34.4,34.829,53232
72,2006-02-01,34.4,34.775,34.4,34.775,20363
73,2006-02-02,34.775,34.775,34.025,34.615,24324
74,2006-02-03,34.615,34.615,34.24,34.293,130620
75,2006-02-06,34.293,35.366,34.133,34.829,55153
76,2006-02-07,34.883,34.936,34.346,34.936,49976
77,2006-02-08,34.883,34.936,34.293,34.936,37839
78,2006-02-09,34.775,35.9,34.4,35.795,86148
79,2006-02-10,35.15,35.74,35.15,35.634,52939
80,2006-02-13,35.686,35.9,35.525,35.686,38777
81,2006-02-14,35.634,38.258,35.579,37.831,170826
82,2006-02-15,37.831,37.938,36.757,36.973,72753
83,2006-02-16,36.919,36.973,36.169,36.437,69127
84,2006-02-17,36.437,36.544,36.169,36.437,45151
85,2006-02-20,36.437,36.544,36.169,36.437,97536
86,2006-02-21,36.437,36.437,35.366,35.953,20339
87,2006-02-22,35.953,36.169,35.471,36.116,23587
88,2006-02-23,36.383,36.383,35.74,36.008,3697
