,Date,Open,High,Low,Close,Volume
0,2021-11-24,9.5,9.999,8.5,9.45,79695
1,2021-11-25,9.5,11.0,9.351,10.38,5339
2,2021-11-26,9.78,9.78,8.8,8.85,1925
3,2021-11-29,8.7,9.438,8.6,9.438,509
4,2021-11-30,9.435,9.435,9.43,9.43,77
5,2021-12-01,9.435,9.435,9.4,9.4,322
6,2021-12-02,9.429,9.429,9.429,9.429,5
7,2021-12-03,9.428,9.43,9.0,9.43,92
8,2021-12-06,9.4,9.4,9.4,9.4,5
9,2021-12-07,9.399,9.399,9.398,9.398,70
10,2021-12-08,9.399,9.399,9.3,9.399,12750
11,2021-12-09,9.399,9.399,8.9,9.38,12652
12,2021-12-10,9.379,9.379,9.379,9.379,2
13,2021-12-13,9.37,9.75,9.0,9.3,1171
14,2021-12-14,9.0,9.0,8.6,8.6,940
15,2021-12-15,8.799,8.799,8.697,8.697,81
16,2021-12-16,8.798,8.85,8.798,8.85,47
17,2021-12-17,8.85,8.887,8.5,8.887,478
18,2021-12-20,8.887,8.888,8.5,8.848,54331
19,2021-12-21,8.85,8.85,8.849,8.85,32
20,2021-12-22,8.5,8.5,6.843,6.94,7466
21,2021-12-23,7.289,7.3,7.0,7.0,155
22,2021-12-27,6.888,6.888,6.622,6.71,18978
23,2021-12-28,6.61,7.399,6.551,7.399,1599
24,2021-12-29,7.197,8.989,7.197,8.98,3425
25,2021-12-30,8.21,9.0,8.21,9.0,1040
26,2022-01-04,8.88,9.22,8.88,9.22,2400
27,2022-01-05,9.279,10.0,9.279,10.0,1814
28,2022-01-07,9.89,10.0,9.3,9.3,1177
29,2022-01-10,10.0,10.0,9.4,9.6,580
30,2022-01-11,9.6,9.6,9.0,9.0,250
31,2022-01-12,8.8,8.81,8.8,8.8,107
32,2022-01-13,9.36,9.5,9.1,9.1,735
33,2022-01-14,9.13,9.13,9.1,9.1,110
34,2022-01-18,9.0,9.0,8.5,8.5,605
35,2022-01-19,8.3,9.4,8.0,9.4,1100
36,2022-01-20,9.0,9.0,9.0,9.0,10
37,2022-01-21,9.2,10.95,9.2,9.35,1106
38,2022-01-24,9.8,11.39,9.8,11.39,1432
39,2022-01-25,9.4,10.9,9.4,10.9,606
40,2022-01-26,9.9,11.0,9.0,9.55,1019
41,2022-01-27,9.4,9.4,9.4,9.4,10
42,2022-01-28,9.1,9.7,9.1,9.7,31
43,2022-01-31,9.7,11.0,9.7,10.69,1610
44,2022-02-01,10.69,10.98,10.69,10.98,10
45,2022-02-02,10.75,10.75,10.75,10.75,2
46,2022-02-03,10.9,10.98,9.4,9.4,260
47,2022-02-04,10.0,10.3,9.41,9.41,135
