,Date,Open,High,Low,Close,Volume
0,2012-10-30,19.322,19.387,19.1,19.1,4110449
1,2012-10-31,19.1,19.189,18.952,18.952,519099
2,2012-11-02,18.952,18.952,18.657,18.731,378548
3,2012-11-05,18.657,18.716,18.657,18.657,143330
4,2012-11-06,18.657,18.908,18.657,18.857,80604
5,2012-11-07,18.938,19.019,18.864,18.864,61842
6,2012-11-08,18.864,18.915,18.857,18.915,43225
7,2012-11-09,18.915,18.93,18.827,18.879,61243
8,2012-11-12,18.879,18.923,18.842,18.842,105684
9,2012-11-13,18.842,18.915,18.842,18.894,314911
10,2012-11-14,18.952,19.071,18.952,19.056,155177
11,2012-11-15,19.086,19.173,19.027,19.064,105273
12,2012-11-16,19.093,19.225,19.093,19.189,119230
13,2012-11-19,19.173,19.225,19.064,19.136,163786
14,2012-11-20,19.1,19.122,18.952,18.967,45725
15,2012-11-21,18.915,18.945,18.879,18.886,34423
16,2012-11-22,18.879,19.381,18.813,19.365,769480
17,2012-11-23,19.322,19.44,19.225,19.395,150671
18,2012-11-26,19.395,19.49,19.395,19.483,575833
19,2012-11-27,19.483,19.483,19.328,19.447,46159
20,2012-11-28,19.395,19.395,19.277,19.306,23949
21,2012-11-29,19.344,19.468,19.299,19.447,70840
22,2012-11-30,19.468,19.468,19.402,19.44,58408
23,2012-12-03,19.44,19.44,19.322,19.373,57544
24,2012-12-04,19.336,19.395,19.336,19.395,70307
25,2012-12-05,19.344,19.41,19.336,19.351,58134
26,2012-12-06,19.344,19.381,19.336,19.358,42881
27,2012-12-07,19.381,19.41,19.336,19.41,35793
28,2012-12-10,19.424,19.461,19.358,19.395,34872
29,2012-12-11,19.358,19.41,19.344,19.395,58782
30,2012-12-12,19.351,19.453,19.285,19.395,261038
31,2012-12-13,19.431,20.243,19.431,20.096,576429
32,2012-12-14,20.059,20.715,19.926,20.663,225467
33,2012-12-17,20.685,20.832,20.205,20.456,148118
34,2012-12-18,20.427,20.649,20.354,20.501,103227
35,2012-12-19,20.575,20.759,20.318,20.7,152077
36,2012-12-20,20.546,20.634,20.479,20.501,87334
37,2012-12-21,20.427,20.427,20.213,20.28,125413
38,2012-12-27,20.176,20.878,20.176,20.878,124235
39,2012-12-28,20.878,20.98,20.546,20.98,172712
40,2013-01-02,21.003,21.129,20.957,21.017,106824
41,2013-01-03,21.017,21.276,21.003,21.276,102073
42,2013-01-04,21.165,22.086,21.165,21.865,416611
43,2013-01-07,21.755,22.293,21.703,22.234,304490
44,2013-01-08,22.234,22.971,22.123,22.418,209063
45,2013-01-09,22.507,23.304,22.507,23.304,253036
46,2013-01-10,23.599,24.107,22.986,23.229,291318
47,2013-01-11,23.245,23.569,22.507,22.832,255994
48,2013-01-14,22.574,23.083,22.574,22.868,84887
49,2013-01-15,22.861,22.861,22.559,22.559,114525
50,2013-01-16,22.271,22.706,22.226,22.492,79283
51,2013-01-17,22.492,22.861,22.455,22.655,48169
52,2013-01-18,22.721,23.185,22.655,23.009,265335
53,2013-01-21,22.971,23.156,22.861,23.046,31619
54,2013-01-22,22.957,23.156,22.53,22.53,127630
55,2013-01-23,22.462,22.788,22.234,22.537,54499
56,2013-01-24,22.566,22.706,22.418,22.625,269263
57,2013-01-25,22.492,22.596,22.345,22.345,70601
58,2013-01-28,22.241,22.411,21.534,21.534,298033
59,2013-01-29,21.312,21.6,21.106,21.571,121922
60,2013-01-30,21.386,21.939,21.386,21.792,64696
61,2013-01-31,21.829,22.271,21.615,22.264,191745
62,2013-02-01,22.241,22.264,22.013,22.123,75077
63,2013-02-04,22.123,22.123,21.129,21.902,190626
64,2013-02-05,21.534,21.902,21.459,21.755,46656
65,2013-02-06,21.755,21.888,21.607,21.814,44635
66,2013-02-07,21.732,22.123,21.541,21.541,32058
67,2013-02-08,21.785,22.05,21.607,22.043,42964
68,2013-02-11,21.799,21.91,21.799,21.865,9615
69,2013-02-12,21.968,21.968,21.681,21.747,318394
70,2013-02-13,21.607,21.607,21.091,21.091,17736
71,2013-02-14,21.238,21.238,20.832,20.832,47896
72,2013-02-15,20.87,21.312,20.826,21.305,37924
73,2013-02-18,21.305,21.305,21.165,21.202,6891
74,2013-02-19,21.202,21.238,21.091,21.231,5980
75,2013-02-20,21.238,21.238,20.634,20.634,138487
76,2013-02-21,20.649,20.649,19.838,20.059,88555
77,2013-02-22,19.933,20.089,19.845,19.954,25719
78,2013-02-25,19.977,20.427,19.977,20.28,15560
79,2013-02-26,20.133,20.384,20.133,20.318,6629
80,2013-02-27,20.604,20.841,20.553,20.759,4874
81,2013-02-28,20.819,20.87,20.685,20.796,5668
82,2013-03-01,20.832,21.017,20.641,20.936,31381
83,2013-03-04,20.944,20.944,20.649,20.649,7722
84,2013-03-05,20.501,20.796,20.501,20.759,8089
85,2013-03-06,20.766,21.445,20.427,21.246,68246
86,2013-03-07,21.386,21.459,21.246,21.276,57334
87,2013-03-08,21.401,21.74,21.401,21.63,12556
88,2013-03-11,21.74,21.74,21.386,21.519,10649
89,2013-03-12,21.755,21.755,21.017,21.106,12877
90,2013-03-13,21.091,21.216,21.017,21.129,7750
91,2013-03-14,21.165,21.681,21.017,21.497,29783
92,2013-03-15,21.527,22.123,21.459,22.123,86895
93,2013-03-18,22.05,22.05,21.534,21.939,22498
94,2013-03-19,21.902,21.976,20.885,20.885,130009
95,2013-03-20,21.386,21.681,21.342,21.342,79372
96,2013-03-21,21.6,21.6,20.944,21.033,20213
97,2013-03-22,20.957,21.017,20.471,20.59,35972
98,2013-03-25,20.87,21.157,20.538,20.538,24722
99,2013-03-26,20.28,20.612,20.28,20.464,9117
100,2013-03-27,20.634,20.722,20.427,20.663,9093
101,2013-03-28,20.744,20.87,20.649,20.663,12605
102,2013-04-02,20.575,20.973,20.575,20.973,11849
103,2013-04-03,20.804,20.804,20.096,20.096,80002
104,2013-04-04,20.059,20.318,19.933,20.074,255878
105,2013-04-05,20.205,20.205,20.08,20.126,22752
106,2013-04-08,20.133,20.427,20.103,20.205,17429
107,2013-04-09,20.08,20.205,20.08,20.205,6954
108,2013-04-10,20.501,20.501,20.205,20.384,15333
109,2013-04-11,20.39,20.575,20.205,20.553,24740
110,2013-04-12,20.553,20.722,20.553,20.722,26215
111,2013-04-15,20.354,20.649,20.221,20.28,7268
112,2013-04-17,20.28,20.354,19.027,19.764,42754
113,2013-04-18,19.764,19.954,19.543,19.764,24552
114,2013-04-19,19.875,19.875,19.476,19.543,3579
115,2013-04-22,19.262,19.543,18.813,19.211,27549
116,2013-04-23,19.1,19.202,18.805,18.813,26255
117,2013-04-24,18.886,19.159,18.879,18.915,286631
118,2013-04-25,19.1,19.262,18.842,19.049,91762
119,2013-04-26,19.1,19.395,18.879,19.315,23214
120,2013-04-29,19.315,19.387,19.034,19.064,10650
121,2013-04-30,19.071,19.322,19.027,19.322,5979
122,2013-05-02,19.365,19.41,19.173,19.328,2442
123,2013-05-06,19.358,20.022,19.351,20.014,87911
124,2013-05-07,20.096,20.501,20.08,20.318,116919
125,2013-05-08,20.169,20.28,20.059,20.258,13057
126,2013-05-09,20.059,20.059,19.918,19.918,23294
127,2013-05-10,20.022,20.059,19.764,20.0,77616
128,2013-05-13,19.911,19.984,19.771,19.984,5034
129,2013-05-14,19.977,19.977,19.823,19.911,15928
130,2013-05-15,19.911,20.133,19.764,20.133,34866
131,2013-05-16,20.126,20.273,19.793,19.984,31694
132,2013-05-17,19.911,20.051,19.764,19.911,12923
133,2013-05-20,20.037,20.493,20.037,20.493,21688
134,2013-05-21,20.575,20.789,20.546,20.722,13189
135,2013-05-22,20.649,20.966,20.442,20.442,81689
136,2013-05-23,20.28,20.28,19.771,19.816,181545
137,2013-05-24,19.823,20.059,19.823,20.022,159331
138,2013-05-27,20.022,20.228,20.022,20.169,10167
139,2013-05-28,20.221,20.479,20.022,20.03,40177
140,2013-05-29,20.133,20.169,19.911,19.963,3201
141,2013-05-31,20.007,21.017,20.007,21.017,327984
142,2013-06-03,21.017,21.017,20.28,20.649,76568
143,2013-06-04,20.649,20.759,20.361,20.582,28667
144,2013-06-05,20.516,20.575,20.384,20.538,5528
145,2013-06-06,20.575,20.612,20.427,20.538,26968
146,2013-06-07,20.427,20.501,20.288,20.501,16162
147,2013-06-10,20.501,20.87,20.434,20.722,28357
148,2013-06-11,20.782,20.98,20.634,20.98,14605
149,2013-06-12,20.722,21.003,20.501,20.501,80099
150,2013-06-13,20.649,20.649,20.434,20.553,6685
151,2013-06-14,20.56,20.862,20.56,20.789,81189
152,2013-06-17,20.722,20.722,20.434,20.627,4718
153,2013-06-18,20.464,20.619,20.288,20.288,17791
154,2013-06-19,20.354,20.427,20.288,20.427,38679
155,2013-06-20,20.346,20.413,19.911,19.933,28852
156,2013-06-21,19.764,19.911,19.086,19.315,547037
157,2013-06-24,19.202,19.315,19.173,19.315,29939
158,2013-06-25,19.328,19.543,19.093,19.1,32283
159,2013-06-26,19.173,19.285,18.584,18.584,441527
160,2013-06-27,18.657,19.1,17.846,18.068,111251
161,2013-06-28,18.348,18.487,18.068,18.362,40986
