,Date,Open,High,Low,Close,Volume
0,2011-10-10,1.2807,1.2807,0.8934,0.8934,161765
1,2011-10-11,0.9013,0.9329,0.8221,0.8302,59331
2,2011-10-12,0.8459,0.8459,0.7669,0.8302,243011
3,2011-10-13,0.8221,0.8459,0.8221,0.8459,18629
4,2011-10-14,0.8459,0.9091,0.838,0.8775,28821
5,2011-10-17,0.9249,0.9249,0.8696,0.8934,23095
6,2011-10-18,0.8617,0.8775,0.8143,0.8696,21067
7,2011-10-19,0.8538,0.8775,0.8459,0.8696,16787
8,2011-10-20,0.8459,0.8775,0.838,0.838,173316
9,2011-10-21,0.838,0.8696,0.8302,0.8696,3062
10,2011-10-24,0.8696,0.9171,0.7985,0.9171,21402
11,2011-10-25,0.8855,0.9249,0.8855,0.9171,37496
12,2011-10-26,0.9249,0.9566,0.9171,0.9249,215983
13,2011-10-27,0.9566,1.004,0.9487,0.9724,97988
14,2011-10-28,0.9882,0.9961,0.9249,0.9803,18412
15,2011-10-31,1.004,1.004,0.9407,0.9724,5214
16,2011-11-02,0.9091,0.9961,0.9091,0.9882,58358
17,2011-11-03,0.9724,1.0199,0.9724,1.0119,59785
18,2011-11-04,1.0119,1.0594,0.9961,1.0594,18635
19,2011-11-07,1.0277,1.091,1.0277,1.0831,19750
20,2011-11-08,1.0594,1.0988,1.0594,1.091,7149
21,2011-11-09,1.0988,1.0988,1.0594,1.0673,17387
22,2011-11-10,1.0277,1.0988,1.0277,1.0988,8104
23,2011-11-14,1.0988,1.0988,1.0436,1.0988,4562
24,2011-11-15,1.091,1.091,1.0436,1.0831,11335
25,2011-11-16,1.0673,1.0831,1.0436,1.0436,2785
26,2011-11-17,1.0436,1.0831,1.0436,1.0594,25913
27,2011-11-18,1.0436,1.0752,1.0277,1.0594,2071
28,2011-11-21,1.0277,1.0673,1.0119,1.0594,16455
29,2011-11-22,1.0199,1.0673,1.0199,1.0594,54768
30,2011-11-23,1.0277,1.0752,1.0277,1.0356,1642
31,2011-11-24,0.9724,1.0752,0.9724,1.0594,18351
32,2011-11-25,1.004,1.0673,1.004,1.0673,5429
33,2011-11-28,1.0831,1.091,1.0514,1.091,21535
34,2011-11-29,1.0673,1.0988,1.0594,1.0988,15598
35,2011-11-30,1.0594,1.1068,1.0594,1.1068,276177
36,2011-12-01,0.9961,1.1068,0.9961,1.0673,32871
