,Date,Open,High,Low,Close,Volume
0,2015-04-20,2.5,2.6,1.45,1.78,37033
1,2015-04-21,1.6,1.76,1.28,1.7,3142
2,2015-04-22,1.73,1.73,1.5,1.69,1056
3,2015-04-23,1.68,1.68,1.34,1.34,750
4,2015-04-24,1.28,1.3,1.03,1.05,5160
5,2015-04-27,1.07,1.07,1.03,1.03,1600
6,2015-04-30,1.05,1.05,1.0,1.0,2200
7,2015-05-04,0.95,1.04,0.93,0.93,433
8,2015-05-05,0.94,0.94,0.94,0.94,1000
9,2015-05-06,0.93,1.0,0.93,1.0,159
10,2015-05-07,1.0,1.0,0.92,0.92,4357
11,2015-05-13,0.92,0.92,0.92,0.92,150
12,2015-05-14,0.9,0.91,0.88,0.91,3853
13,2015-05-15,0.88,0.88,0.88,0.88,1180
14,2015-05-18,0.9,0.9,0.9,0.9,500
15,2015-05-19,0.86,0.86,0.86,0.86,1170
16,2015-05-20,0.9,0.9,0.9,0.9,150
17,2015-05-22,0.9,0.98,0.9,0.98,1300
18,2015-05-25,0.98,1.1,0.8,0.85,18755
19,2015-05-26,0.73,0.87,0.69,0.84,9137
20,2015-05-27,0.68,0.81,0.66,0.74,42606
21,2015-05-28,0.74,0.74,0.74,0.74,1
22,2015-05-29,0.72,0.78,0.72,0.78,4020
23,2015-06-01,0.78,0.78,0.78,0.78,10
24,2015-06-02,0.78,0.78,0.78,0.78,49
25,2015-06-03,0.78,0.79,0.78,0.79,1125
26,2015-06-05,0.79,0.81,0.79,0.81,3160
27,2015-06-08,0.81,0.84,0.79,0.79,1030
28,2015-06-09,0.79,0.84,0.79,0.79,1050
29,2015-06-10,0.84,0.84,0.8,0.84,185
30,2015-06-11,0.84,0.84,0.77,0.83,2610
31,2015-06-12,0.82,0.82,0.82,0.82,50
32,2015-06-15,0.77,0.82,0.77,0.77,3902
33,2015-06-16,0.76,0.76,0.75,0.75,3500
34,2015-06-17,0.75,0.75,0.74,0.74,745
35,2015-06-18,0.78,0.81,0.78,0.81,505
36,2015-06-19,0.82,0.82,0.82,0.82,500
37,2015-06-22,0.82,0.82,0.69,0.77,3200
38,2015-06-23,0.77,0.78,0.68,0.68,3040
39,2015-06-24,0.68,0.8,0.66,0.7,5011
40,2015-06-25,0.7,0.7,0.7,0.7,1460
41,2015-06-26,0.75,0.75,0.75,0.75,320
42,2015-06-29,0.75,0.77,0.75,0.77,135
43,2015-06-30,0.75,0.75,0.67,0.67,1940
44,2015-07-01,0.74,0.74,0.74,0.74,50
45,2015-07-02,0.74,0.74,0.74,0.74,15
46,2015-07-03,0.74,0.74,0.68,0.74,535
47,2015-07-06,0.74,0.76,0.74,0.76,110
48,2015-07-07,0.75,0.75,0.75,0.75,115
49,2015-07-08,0.75,0.75,0.75,0.75,220
50,2015-07-09,0.75,0.75,0.75,0.75,320
51,2015-07-10,0.76,0.76,0.7,0.7,5215
52,2015-07-14,0.69,0.69,0.69,0.69,25
53,2015-07-15,0.73,0.74,0.73,0.74,150
54,2015-07-16,0.74,0.75,0.74,0.75,410
55,2015-07-17,0.75,0.75,0.75,0.75,80
56,2015-07-20,0.75,0.75,0.75,0.75,400
57,2015-07-21,0.75,0.75,0.75,0.75,70
58,2015-07-22,0.75,0.75,0.75,0.75,130
59,2015-07-23,0.75,0.75,0.75,0.75,15
60,2015-07-24,0.75,0.75,0.75,0.75,25
61,2015-07-27,0.75,0.75,0.75,0.75,20
62,2015-07-28,0.75,0.75,0.75,0.75,215
63,2015-07-29,0.75,0.76,0.75,0.76,715
64,2015-07-30,0.76,0.76,0.76,0.76,50
65,2015-07-31,0.76,0.76,0.76,0.76,95
66,2015-08-03,0.76,0.76,0.76,0.76,45
67,2015-08-04,0.77,0.77,0.71,0.71,1390
68,2015-08-05,0.71,0.71,0.71,0.71,50
69,2015-08-06,0.71,0.71,0.71,0.71,100
70,2015-08-07,0.71,0.77,0.71,0.77,105
71,2015-08-10,0.77,0.77,0.77,0.77,1326
72,2015-08-11,0.74,0.74,0.73,0.73,1480
73,2015-08-12,0.76,0.76,0.76,0.76,50
74,2015-08-19,0.76,0.76,0.76,0.76,156
75,2015-08-24,0.75,0.76,0.75,0.76,134500
76,2015-09-02,0.76,0.79,0.76,0.79,445
77,2015-09-03,0.8,0.8,0.8,0.8,20
78,2015-09-04,0.79,0.79,0.72,0.72,1515
79,2015-09-07,0.75,0.75,0.75,0.75,60
80,2015-09-14,0.75,0.75,0.75,0.75,20
81,2015-09-15,0.71,0.71,0.7,0.7,1555
82,2015-09-17,0.75,0.75,0.75,0.75,15
83,2015-09-21,0.75,0.75,0.75,0.75,10
84,2015-09-24,0.72,0.72,0.72,0.72,100
85,2015-09-25,0.7,0.72,0.7,0.72,900
86,2015-09-28,0.72,0.75,0.72,0.75,25
87,2015-10-01,0.72,0.72,0.72,0.72,20
88,2015-10-02,0.72,0.72,0.72,0.72,30
89,2015-10-05,0.72,0.72,0.72,0.72,20
90,2015-10-06,0.72,0.72,0.67,0.67,1120
91,2015-10-08,0.66,0.66,0.66,0.66,20
92,2015-10-09,0.66,0.66,0.66,0.66,1480
93,2015-10-14,0.65,0.65,0.63,0.63,2200
94,2015-10-15,0.67,0.68,0.67,0.68,166
95,2015-10-16,0.68,0.68,0.68,0.68,20
96,2015-10-22,0.61,0.61,0.61,0.61,855
97,2015-10-26,0.58,0.58,0.58,0.58,100
98,2015-11-09,0.64,0.64,0.64,0.64,100
99,2015-11-13,0.65,0.65,0.65,0.65,50
100,2015-11-24,0.57,0.57,0.56,0.56,770
101,2015-12-08,0.55,0.55,0.46,0.46,1200
102,2015-12-10,0.45,0.45,0.4,0.4,1332
103,2016-01-08,0.48,0.57,0.48,0.57,1337
104,2016-01-11,0.5,0.5,0.5,0.5,165
105,2016-01-19,0.45,0.45,0.45,0.45,577
106,2016-01-21,0.46,0.46,0.46,0.46,100
107,2016-01-22,0.46,0.46,0.46,0.46,50
108,2016-01-25,0.46,0.46,0.46,0.46,25
109,2016-01-26,0.46,0.46,0.46,0.46,20
110,2016-01-28,0.46,0.46,0.46,0.46,25
111,2016-01-29,0.49,0.58,0.49,0.58,2200
112,2016-02-01,0.58,0.58,0.58,0.58,30
113,2016-02-15,0.48,0.48,0.48,0.48,995
114,2016-02-17,0.48,0.48,0.48,0.48,400
115,2016-02-22,0.45,0.45,0.4,0.4,568
