,Date,Open,High,Low,Close,Volume
0,1991-09-24,3.142,3.142,3.142,3.142,103378.0
1,1991-10-01,3.2862,3.2862,3.2862,3.2862,130386.0
2,1991-10-08,3.6073,3.6073,3.6073,3.6073,109396.0
3,1991-10-15,3.9643,3.9643,3.9643,3.9643,128074.0
4,1991-10-22,4.3575,4.3575,4.3575,4.3575,71229.0
5,1991-10-29,4.7872,4.7872,4.7872,4.7872,63047.0
6,1991-11-05,5.2526,5.2526,5.2526,5.2526,123537.0
7,1991-11-12,5.3569,5.3569,5.3569,5.3569,90184.0
8,1991-11-19,4.8231,4.8231,4.8231,4.8231,
9,1991-11-26,4.3575,4.3575,4.3575,4.3575,26806.0
10,1991-12-03,4.7872,4.7872,4.7872,4.7872,
11,1991-12-10,5.2526,5.2526,5.2526,5.2526,165709.0
12,1991-12-17,4.7509,4.7509,4.7509,4.7509,91502.0
13,1991-12-31,5.2164,5.2164,5.2164,5.2164,36744.0
14,1992-01-07,5.3569,5.3569,5.3569,5.3569,48905.0
15,1992-01-09,5.3569,5.3569,5.3569,5.3569,21736.0
16,1992-01-14,5.0358,5.0358,5.0358,5.0358,50685.0
17,1992-01-16,4.9995,4.9995,4.9995,4.9995,21458.0
18,1992-01-21,5.2164,5.2164,5.2164,5.2164,14111.0
19,1992-01-23,5.2887,5.2887,5.2887,5.2887,14839.0
20,1992-01-28,5.2164,5.2164,5.2164,5.2164,15889.0
21,1992-01-30,5.1803,5.1803,5.1803,5.1803,12723.0
22,1992-02-04,5.144,5.144,5.144,5.144,19387.0
23,1992-02-06,5.2164,5.2164,5.2164,5.2164,15632.0
24,1992-02-11,5.1081,5.1081,5.1081,5.1081,17726.0
25,1992-02-13,5.2887,5.2887,5.2887,5.2887,23134.0
26,1992-02-18,5.3569,5.3569,5.3569,5.3569,38153.0
27,1992-02-20,5.3569,5.3569,5.3569,5.3569,22093.0
28,1992-02-25,5.3931,5.3931,5.3931,5.3931,48465.0
29,1992-02-27,5.6097,5.6097,5.6097,5.6097,54761.0
30,1992-03-03,6.143,6.143,6.143,6.143,30394.0
31,1992-03-05,6.4321,6.4321,6.4321,6.4321,39873.0
32,1992-03-10,6.6455,6.6455,6.6455,6.6455,40925.0
33,1992-03-12,6.753,6.753,6.753,6.753,20804.0
34,1992-03-17,6.143,6.143,6.143,6.143,29143.0
35,1992-03-19,6.4321,6.4321,6.4321,6.4321,27005.0
36,1992-03-24,6.4321,6.4321,6.4321,6.4321,22531.0
37,1992-03-26,6.4644,6.4644,6.4644,6.4644,23841.0
38,1992-03-31,6.36,6.36,6.36,6.36,21620.0
39,1992-04-02,6.0751,6.0751,6.0751,6.0751,21479.0
40,1992-04-07,6.0751,6.0751,6.0751,6.0751,21306.0
41,1992-04-09,5.8945,5.8945,5.8945,5.8945,17707.0
42,1992-04-14,5.8945,5.8945,5.8945,5.8945,21714.0
43,1992-04-16,6.0031,6.0031,6.0031,6.0031,19351.0
44,1992-04-23,5.8225,5.8225,5.8225,5.8225,31557.0
45,1992-04-28,5.2526,5.2526,5.2526,5.2526,16762.0
46,1992-04-30,4.9995,4.9995,4.9995,4.9995,26310.0
47,1992-05-05,5.1803,5.1803,5.1803,5.1803,18732.0
48,1992-05-07,5.3569,5.3569,5.3569,5.3569,11847.0
49,1992-05-12,5.3569,5.3569,5.3569,5.3569,11318.0
50,1992-05-14,5.144,5.144,5.144,5.144,9853.0
51,1992-05-19,5.0721,5.0721,5.0721,5.0721,10112.0
52,1992-05-21,4.5745,4.5745,4.5745,4.5745,13623.0
53,1992-05-26,4.9995,4.9995,4.9995,4.9995,29071.0
54,1992-05-28,5.1803,5.1803,5.1803,5.1803,15470.0
55,1992-06-02,5.144,5.144,5.144,5.144,20311.0
56,1992-06-04,4.9675,4.9675,4.9675,4.9675,19288.0
57,1992-06-09,4.6106,4.6106,4.6106,4.6106,11674.0
58,1992-06-11,4.6106,4.6106,4.6106,4.6106,12557.0
59,1992-06-16,4.1812,4.1812,4.1812,4.1812,15802.0
60,1992-06-23,3.7878,3.7878,3.7878,3.7878,23734.0
61,1992-06-25,3.9643,3.9643,3.9643,3.9643,8323.0
62,1992-06-30,4.3575,4.3575,4.3575,4.3575,
63,1992-07-02,4.7872,4.7872,4.7872,4.7872,
64,1992-07-07,5.2526,5.2526,5.2526,5.2526,31894.0
65,1992-07-09,5.3249,5.3249,5.3249,5.3249,35282.0
66,1992-07-14,4.9315,4.9315,4.9315,4.9315,23317.0
67,1992-07-16,5.144,5.144,5.144,5.144,21285.0
68,1992-07-21,5.1081,5.1081,5.1081,5.1081,16363.0
69,1992-07-23,5.1081,5.1081,5.1081,5.1081,23554.0
70,1992-07-28,5.2526,5.2526,5.2526,5.2526,36264.0
71,1992-07-30,5.3569,5.3569,5.3569,5.3569,35382.0
72,1992-08-04,5.1081,5.1081,5.1081,5.1081,20551.0
73,1992-08-06,5.0358,5.0358,5.0358,5.0358,7724.0
74,1992-08-11,5.0358,5.0358,5.0358,5.0358,18183.0
75,1992-08-13,5.144,5.144,5.144,5.144,8148.0
76,1992-08-18,5.144,5.144,5.144,5.144,15298.0
77,1992-08-20,5.1803,5.1803,5.1803,5.1803,27317.0
78,1992-08-25,5.3569,5.3569,5.3569,5.3569,56786.0
79,1992-08-27,5.1803,5.1803,5.1803,5.1803,29476.0
80,1992-09-01,4.9675,4.9675,4.9675,4.9675,50353.0
